N1,N2,...,Nx
[0, 30, 46, 41, 5, 16, 8, 14, 42, 31, 32, 26, 25, 0, 39, 6, 26, 29, 8, 2, 30, 9, 27, 13, 50, 16, 15, 46, 32, 27, 40, 49, 24, 14, 29, 15, 41, 14, 9, 36, 1, 7, 31, 20, 16]
[30, 0, 23, 24, 10, 48, 9, 32, 19, 15, 24, 32, 46, 46, 49, 22, 13, 30, 47, 20, 1, 33, 34, 40, 40, 5, 50, 6, 14, 38, 44, 34, 17, 32, 0, 15, 40, 15, 18, 37, 22, 37, 13, 50, 6]
[46, 23, 0, 36, 49, 20, 22, 46, 42, 18, 10, 32, 12, 35, 7, 29, 14, 2, 49, 23, 23, 36, 15, 39, 38, 32, 19, 25, 10, 10, 17, 14, 37, 42, 40, 9, 45, 6, 8, 18, 43, 48, 11, 44, 29]
[41, 24, 36, 0, 1, 24, 47, 39, 11, 25, 25, 2, 37, 20, 28, 37, 46, 6, 16, 29, 14, 26, 41, 8, 16, 13, 44, 26, 16, 44, 36, 25, 37, 2, 33, 29, 24, 23, 2, 46, 10, 50, 11, 22, 16]
[5, 10, 49, 1, 0, 39, 37, 42, 36, 35, 37, 10, 5, 34, 38, 29, 10, 35, 11, 1, 32, 17, 11, 45, 23, 10, 6, 30, 0, 27, 27, 23, 25, 35, 19, 6, 38, 38, 11, 29, 27, 2, 33, 42, 44]
[16, 48, 20, 24, 39, 0, 8, 21, 9, 36, 42, 10, 43, 41, 8, 16, 10, 40, 15, 47, 34, 14, 26, 0, 18, 4, 28, 22, 26, 45, 37, 14, 3, 29, 9, 18, 37, 38, 13, 37, 39, 18, 31, 34, 19]
[8, 9, 22, 47, 37, 8, 0, 48, 25, 6, 29, 38, 1, 39, 26, 45, 12, 24, 0, 50, 18, 10, 35, 29, 40, 11, 3, 11, 25, 28, 27, 49, 18, 38, 50, 22, 8, 48, 49, 36, 11, 20, 1, 15, 47]
[14, 32, 46, 39, 42, 21, 48, 0, 49, 17, 5, 31, 32, 36, 39, 3, 27, 49, 18, 25, 45, 1, 11, 1, 42, 40, 45, 3, 49, 25, 9, 42, 26, 0, 50, 0, 43, 25, 0, 31, 13, 15, 3, 13, 48]
[42, 19, 42, 11, 36, 9, 25, 49, 0, 39, 28, 42, 16, 3, 26, 18, 21, 20, 37, 49, 10, 28, 38, 2, 28, 31, 42, 26, 30, 8, 47, 33, 33, 24, 31, 28, 37, 45, 25, 7, 38, 10, 35, 37, 29]
[31, 15, 18, 25, 35, 36, 6, 17, 39, 0, 25, 31, 12, 0, 49, 31, 43, 44, 6, 47, 21, 6, 28, 20, 17, 29, 17, 2, 7, 1, 14, 21, 2, 43, 32, 10, 28, 47, 25, 21, 48, 29, 27, 30, 9]
