N1,N2,...,Nx
[0, 26, 32, 22, 37, 42, 8, 1, 11, 49, 49, 50, 1, 44, 25, 41, 26, 7, 23, 29, 50, 48, 17, 9, 41, 19, 31, 47, 26, 43, 6, 27, 49, 3, 30, 26, 40, 42, 11, 2, 9, 15, 16, 50, 44, 33, 35, 39, 26, 24, 43, 49, 4, 0, 3, 19, 34, 7, 36, 27, 33, 5, 30, 14, 34, 41, 41, 22, 42, 34, 39, 46, 50, 19, 42, 35, 25, 12, 23, 9, 24, 29, 12, 12, 24, 46, 35, 50, 28, 30, 9, 19, 36, 23, 23, 36, 49, 11, 48, 28, 13, 6, 39, 32, 15, 49, 20, 40, 34, 9, 1, 46, 18, 45, 11, 27, 0, 32, 13, 15, 20, 41, 22, 41, 9, 27, 43, 16, 0, 18, 41, 22, 5, 41, 2, 49, 15, 7, 44, 10, 42, 12, 47]
[26, 0, 15, 18, 27, 46, 27, 32, 35, 33, 34, 16, 7, 36, 13, 18, 3, 13, 32, 17, 40, 2, 37, 41, 15, 32, 25, 38, 47, 29, 27, 22, 33, 42, 10, 9, 27, 27, 20, 9, 40, 1, 43, 4, 49, 40, 49, 28, 35, 9, 38, 40, 48, 24, 5, 42, 9, 2, 38, 31, 43, 32, 26, 43, 18, 33, 25, 18, 45, 41, 26, 28, 30, 42, 47, 9, 7, 24, 27, 47, 4, 37, 43, 38, 9, 14, 46, 18, 49, 3, 6, 11, 21, 8, 15, 8, 15, 10, 44, 31, 24, 2, 33, 13, 43, 16, 24, 47, 6, 13, 39, 33, 6, 46, 14, 29, 10, 23, 23, 27, 20, 28, 8, 8, 28, 29, 13, 15, 38, 21, 12, 6, 27, 7, 48, 23, 39, 31, 13, 29, 22, 5, 42]
[32, 15, 0, 45, 31, 40, 25, 26, 3, 42, 3, 9, 22, 46, 26, 32, 36, 47, 11, 46, 28, 43, 47, 43, 31, 18, 9, 46, 29, 48, 22, 3, 47, 2, 32, 26, 0, 40, 14, 19, 15, 49, 8, 20, 4, 46, 25, 20, 35, 14, 18, 50, 49, 23, 13, 46, 43, 13, 36, 23, 22, 10, 5, 41, 4, 43, 2, 13, 16, 46, 30, 32, 1, 46, 11, 21, 3, 25, 13, 3, 47, 23, 21, 32, 6, 10, 24, 49, 24, 9, 21, 13, 35, 29, 43, 18, 11, 48, 2, 29, 26, 50, 3, 7, 33, 47, 24, 43, 36, 9, 44, 33, 45, 39, 10, 38, 14, 13, 27, 48, 21, 9, 0, 2, 15, 49, 30, 39, 25, 9, 37, 46, 37, 33, 2, 36, 14, 32, 14, 9, 30, 24, 46]
[22, 18, 45, 0, 18, 41, 45, 27, 23, 14, 18, 15, 27, 30, 15, 47, 27, 3, 28, 14, 45, 39, 5, 19, 10, 19, 38, 40, 25, 45, 49, 44, 5, 8, 44, 21, 35, 50, 39, 20, 27, 21, 8, 0, 14, 47, 42, 49, 32, 46, 20, 26, 42, 3, 38, 21, 44, 4, 36, 28, 27, 29, 9, 36, 45, 46, 34, 15, 25, 20, 25, 17, 15, 47, 34, 37, 28, 21, 21, 43, 35, 37, 14, 19, 0, 25, 15, 25, 19, 1, 10, 43, 23, 43, 20, 34, 6, 19, 31, 40, 20, 33, 16, 21, 1, 31, 22, 13, 14, 34, 39, 8, 26, 35, 9, 3, 32, 2, 10, 31, 44, 47, 28, 46, 21, 32, 13, 10, 22, 33, 1, 8, 10, 37, 7, 39, 7, 24, 1, 29, 47, 26, 4]
[37, 27, 31, 18, 0, 49, 7, 12, 24, 50, 11, 45, 8, 18, 3, 11, 4, 38, 37, 8, 41, 28, 19, 2, 24, 50, 29, 39, 23, 12, 48, 49, 39, 13, 23, 4, 46, 30, 37, 6, 28, 35, 48, 1, 30, 26, 15, 38, 12, 20, 31, 5, 34, 40, 34, 14, 42, 50, 33, 39, 15, 31, 37, 0, 9, 46, 37, 43, 19, 26, 27, 14, 13, 16, 32, 47, 32, 44, 32, 39, 8, 32, 21, 27, 12, 28, 31, 23, 32, 11, 15, 22, 26, 15, 16, 14, 33, 10, 10, 47, 26, 30, 20, 23, 42, 27, 32, 13, 47, 9, 24, 22, 12, 28, 39, 5, 15, 8, 18, 14, 2, 19, 11, 23, 17, 34, 29, 22, 6, 26, 27, 28, 21, 19, 35, 10, 39, 31, 18, 9, 41, 22, 47]
[42, 46, 40, 41, 49, 0, 36, 28, 32, 26, 2, 44, 20, 7, 30, 25, 35, 23, 0, 37, 30, 5, 26, 17, 42, 4, 44, 37, 1, 42, 11, 5, 32, 35, 15, 28, 46, 28, 31, 43, 33, 8, 4, 21, 43, 20, 36, 34, 9, 28, 37, 31, 46, 24, 25, 1, 46, 29, 45, 11, 21, 24, 28, 44, 50, 30, 36, 7, 40, 37, 3, 15, 7, 16, 42, 18, 50, 17, 43, 24, 40, 45, 40, 29, 18, 21, 44, 30, 39, 38, 12, 0, 19, 25, 12, 27, 9, 21, 29, 39, 6, 21, 41, 36, 40, 15, 33, 25, 36, 27, 31, 41, 12, 21, 9, 4, 27, 2, 10, 16, 34, 32, 27, 18, 14, 4, 27, 13, 20, 23, 12, 41, 9, 16, 30, 0, 34, 23, 34, 2, 20, 45, 3]
[8, 27, 25, 45, 7, 36, 0, 42, 49, 36, 0, 2, 13, 34, 33, 25, 0, 13, 43, 8, 7, 12, 47, 38, 29, 37, 2, 13, 27, 35, 39, 1, 29, 15, 17, 32, 13, 47, 27, 14, 2, 1, 24, 24, 17, 12, 14, 6, 32, 8, 23, 9, 0, 49, 11, 49, 47, 9, 47, 30, 37, 22, 46, 8, 50, 1, 10, 10, 40, 29, 30, 32, 0, 46, 26, 6, 28, 49, 19, 3, 43, 1, 28, 11, 28, 35, 19, 18, 39, 29, 42, 23, 43, 48, 21, 37, 35, 11, 10, 48, 4, 25, 35, 0, 31, 5, 43, 47, 7, 17, 7, 45, 9, 31, 3, 2, 16, 44, 41, 37, 7, 3, 15, 13, 32, 0, 41, 17, 20, 28, 34, 31, 1, 16, 34, 44, 20, 7, 11, 1, 14, 45, 29]
[1, 32, 26, 27, 12, 28, 42, 0, 6, 42, 5, 2, 25, 26, 30, 42, 8, 7, 45, 20, 28, 7, 45, 48, 20, 41, 28, 9, 25, 41, 17, 8, 46, 35, 37, 13, 50, 14, 20, 47, 49, 12, 23, 27, 19, 17, 39, 49, 3, 36, 26, 49, 41, 14, 45, 46, 36, 34, 17, 37, 17, 48, 5, 42, 1, 45, 21, 19, 3, 28, 2, 40, 16, 20, 14, 16, 8, 42, 36, 44, 49, 4, 34, 24, 15, 13, 41, 46, 39, 39, 28, 46, 45, 10, 8, 8, 29, 50, 27, 32, 10, 50, 48, 42, 1, 35, 45, 24, 29, 18, 24, 16, 4, 44, 41, 2, 27, 17, 32, 37, 6, 45, 29, 36, 5, 13, 15, 46, 19, 16, 14, 10, 34, 6, 26, 18, 13, 41, 6, 41, 34, 35, 3]
[11, 35, 3, 23, 24, 32, 49, 6, 0, 11, 0, 5, 26, 16, 47, 4, 20, 1, 3, 8, 45, 5, 16, 50, 24, 15, 10, 17, 50, 48, 48, 48, 18, 5, 29, 49, 3, 24, 7, 46, 30, 15, 18, 11, 2, 16, 30, 2, 42, 19, 49, 13, 8, 18, 41, 2, 36, 28, 41, 50, 36, 48, 2, 18, 3, 24, 39, 34, 42, 1, 42, 5, 50, 43, 12, 20, 41, 13, 40, 16, 50, 42, 16, 27, 8, 10, 42, 36, 25, 46, 35, 10, 14, 5, 19, 19, 42, 16, 1, 16, 24, 40, 5, 9, 1, 16, 33, 28, 30, 0, 2, 18, 18, 38, 44, 35, 39, 3, 18, 44, 47, 46, 50, 12, 8, 9, 37, 8, 34, 45, 22, 2, 11, 39, 21, 46, 6, 38, 42, 7, 19, 22, 44]
[49, 33, 42, 14, 50, 26, 36, 42, 11, 0, 41, 46, 15, 38, 30, 1, 26, 36, 6, 21, 23, 29, 34, 10, 48, 36, 49, 22, 25, 21, 8, 4, 45, 40, 0, 22, 49, 11, 33, 9, 43, 25, 9, 44, 40, 35, 12, 49, 19, 4, 43, 28, 2, 25, 15, 36, 50, 18, 7, 48, 43, 6, 29, 5, 23, 35, 28, 28, 14, 4, 19, 9, 32, 50, 11, 5, 7, 44, 11, 24, 39, 50, 10, 26, 2, 43, 48, 38, 23, 22, 39, 23, 37, 43, 13, 1, 40, 41, 48, 44, 25, 37, 12, 4, 15, 29, 45, 3, 43, 16, 26, 48, 35, 3, 6, 45, 31, 6, 38, 39, 48, 41, 25, 49, 47, 35, 41, 18, 8, 19, 14, 43, 40, 27, 12, 16, 29, 3, 4, 2, 24, 6, 12]
