N1,N2,...,Nx
[0, 43, 24, 18, 48, 25, 7, 0, 21, 34, 45, 17, 40, 6, 34, 24, 19, 38, 27, 48, 16, 5, 47, 22, 29, 29, 24, 2, 40, 0, 43, 42, 21, 38, 34, 49, 2, 42, 7, 23, 34, 18, 30, 9, 26, 35, 29, 31, 43, 19, 31, 11, 26, 29, 36, 34, 19, 35, 6, 21, 29, 47, 7, 6, 37, 21, 25, 48, 45, 7, 34, 23, 28, 6, 44, 4, 42, 49, 48, 15, 47, 9, 50, 5, 3, 14, 26, 27, 27, 50, 11, 5, 20, 7, 4, 20, 27, 6, 37, 3, 13, 12, 14, 1, 12, 37, 12, 5, 10, 21, 27, 39, 21, 30, 11, 20, 24, 23, 17, 34, 49, 18, 14, 30, 7, 32, 13, 11, 23, 11, 46, 23, 8, 44, 2, 14, 8, 48, 43, 40, 9, 40, 12, 3, 17, 23, 25, 46, 16, 5, 39, 13, 3, 45, 49, 13]
[43, 0, 12, 40, 26, 3, 16, 34, 26, 24, 23, 27, 29, 47, 49, 48, 38, 1, 25, 26, 43, 31, 41, 26, 16, 6, 10, 8, 44, 43, 23, 28, 6, 19, 24, 50, 32, 27, 40, 3, 40, 36, 14, 43, 46, 19, 13, 41, 6, 38, 24, 20, 29, 13, 15, 13, 7, 27, 28, 31, 34, 46, 28, 12, 38, 14, 21, 14, 42, 27, 31, 11, 3, 37, 12, 20, 37, 11, 36, 47, 5, 20, 9, 23, 49, 42, 30, 6, 31, 20, 31, 29, 0, 37, 16, 47, 9, 15, 9, 18, 26, 16, 42, 23, 0, 21, 1, 0, 7, 45, 36, 15, 1, 49, 33, 19, 19, 44, 22, 34, 23, 6, 5, 43, 17, 21, 1, 19, 32, 5, 12, 0, 35, 33, 42, 11, 12, 13, 6, 5, 31, 11, 1, 25, 36, 6, 49, 14, 3, 45, 12, 9, 5, 15, 13, 30]
[24, 12, 0, 2, 48, 26, 17, 3, 5, 29, 11, 48, 19, 7, 9, 48, 20, 25, 10, 20, 45, 23, 30, 29, 1, 31, 11, 2, 9, 0, 27, 18, 48, 6, 23, 31, 1, 2, 33, 41, 33, 37, 7, 44, 29, 30, 44, 50, 26, 20, 34, 3, 39, 24, 19, 44, 2, 22, 1, 50, 24, 14, 4, 49, 23, 7, 44, 28, 11, 45, 33, 27, 25, 26, 32, 25, 6, 11, 16, 5, 34, 36, 7, 31, 25, 18, 37, 13, 40, 41, 38, 13, 3, 17, 22, 5, 12, 8, 42, 9, 7, 28, 41, 37, 43, 10, 39, 38, 18, 41, 38, 22, 46, 42, 10, 16, 32, 45, 32, 15, 27, 15, 36, 3, 11, 49, 0, 43, 43, 38, 4, 4, 36, 33, 41, 47, 31, 2, 44, 5, 30, 11, 28, 15, 2, 23, 42, 34, 2, 46, 8, 16, 15, 40, 33, 16]
[18, 40, 2, 0, 11, 32, 9, 2, 33, 3, 31, 24, 3, 42, 10, 41, 18, 25, 26, 46, 5, 30, 21, 49, 43, 30, 17, 39, 17, 43, 48, 4, 29, 14, 12, 45, 48, 25, 18, 27, 3, 27, 24, 29, 38, 17, 6, 32, 32, 48, 26, 31, 46, 42, 26, 44, 38, 33, 19, 25, 28, 35, 12, 23, 18, 49, 13, 26, 10, 50, 7, 43, 13, 29, 17, 39, 21, 8, 14, 49, 47, 13, 28, 2, 4, 19, 43, 3, 41, 35, 5, 27, 37, 50, 41, 5, 7, 34, 30, 2, 31, 33, 25, 6, 27, 39, 22, 5, 3, 8, 29, 23, 36, 14, 37, 30, 48, 21, 7, 23, 37, 8, 23, 2, 25, 22, 12, 27, 5, 36, 26, 28, 23, 6, 37, 12, 21, 3, 30, 16, 19, 49, 34, 37, 50, 49, 33, 49, 35, 11, 45, 25, 40, 50, 34, 17]
[48, 26, 48, 11, 0, 27, 15, 6, 5, 46, 6, 36, 4, 22, 28, 42, 45, 40, 1, 31, 42, 21, 23, 48, 29, 10, 4, 35, 49, 24, 46, 23, 42, 43, 17, 1, 39, 25, 8, 6, 10, 4, 0, 35, 45, 12, 38, 35, 16, 18, 17, 47, 14, 2, 8, 23, 4, 29, 41, 12, 20, 34, 28, 28, 22, 4, 40, 0, 40, 41, 40, 46, 23, 38, 3, 26, 36, 1, 12, 44, 21, 8, 17, 18, 25, 43, 44, 39, 28, 4, 15, 10, 47, 17, 42, 31, 36, 18, 39, 2, 17, 35, 12, 24, 22, 15, 13, 49, 21, 44, 46, 8, 0, 24, 14, 41, 37, 38, 18, 48, 16, 11, 15, 9, 38, 34, 50, 42, 0, 9, 25, 20, 12, 3, 19, 36, 28, 21, 47, 37, 3, 3, 13, 48, 8, 29, 40, 24, 36, 34, 46, 28, 2, 38, 25, 29]
[25, 3, 26, 32, 27, 0, 41, 12, 41, 40, 32, 19, 21, 19, 19, 31, 41, 17, 13, 33, 50, 29, 13, 1, 3, 31, 38, 5, 46, 0, 11, 32, 36, 30, 30, 15, 28, 26, 40, 25, 1, 43, 21, 42, 29, 41, 43, 34, 9, 4, 35, 49, 2, 35, 13, 21, 37, 22, 45, 0, 34, 21, 19, 49, 17, 36, 47, 32, 16, 25, 17, 1, 25, 32, 19, 42, 34, 27, 10, 37, 35, 12, 36, 24, 7, 2, 31, 10, 8, 23, 28, 8, 44, 13, 40, 10, 22, 7, 23, 25, 47, 50, 30, 29, 36, 43, 7, 21, 4, 49, 20, 25, 18, 14, 13, 12, 50, 50, 49, 35, 14, 7, 2, 6, 28, 2, 22, 1, 22, 12, 38, 33, 21, 35, 9, 5, 15, 48, 20, 3, 22, 48, 0, 49, 45, 28, 20, 30, 8, 6, 22, 1, 36, 35, 17, 30]
[7, 16, 17, 9, 15, 41, 0, 10, 1, 35, 6, 14, 19, 7, 26, 31, 35, 6, 12, 46, 16, 40, 45, 46, 35, 32, 37, 11, 25, 8, 31, 25, 23, 30, 18, 15, 10, 21, 16, 40, 6, 34, 37, 38, 15, 30, 3, 49, 34, 32, 11, 27, 46, 11, 48, 49, 3, 0, 47, 6, 34, 22, 21, 22, 25, 42, 4, 38, 33, 19, 48, 44, 10, 19, 34, 43, 35, 31, 46, 42, 19, 16, 48, 20, 31, 39, 27, 48, 13, 9, 5, 15, 46, 14, 12, 21, 50, 35, 47, 41, 1, 16, 15, 45, 28, 17, 26, 1, 9, 25, 37, 0, 15, 21, 46, 39, 41, 46, 23, 23, 0, 30, 11, 16, 25, 8, 31, 34, 21, 38, 5, 31, 16, 26, 10, 20, 10, 47, 24, 47, 4, 48, 46, 43, 15, 0, 32, 44, 14, 29, 36, 23, 15, 40, 50, 35]
[0, 34, 3, 2, 6, 12, 10, 0, 42, 22, 6, 11, 46, 15, 37, 19, 15, 32, 33, 12, 48, 0, 0, 43, 30, 14, 39, 1, 26, 34, 35, 4, 46, 39, 0, 40, 15, 22, 42, 31, 42, 30, 12, 45, 41, 29, 0, 1, 31, 0, 32, 50, 44, 21, 15, 45, 46, 26, 24, 10, 18, 21, 47, 21, 30, 39, 15, 38, 10, 21, 32, 29, 17, 35, 9, 46, 34, 1, 40, 47, 30, 28, 49, 3, 38, 30, 6, 1, 21, 28, 17, 7, 43, 28, 9, 16, 50, 23, 9, 48, 34, 42, 48, 26, 49, 39, 9, 47, 8, 12, 1, 14, 11, 48, 43, 15, 35, 17, 33, 48, 0, 37, 13, 34, 40, 26, 36, 24, 36, 36, 50, 29, 7, 5, 23, 24, 41, 3, 11, 42, 37, 27, 37, 30, 4, 34, 0, 48, 27, 46, 12, 47, 35, 20, 29, 43]
[21, 26, 5, 33, 5, 41, 1, 42, 0, 16, 31, 48, 44, 46, 3, 10, 25, 41, 31, 26, 37, 3, 45, 8, 19, 7, 14, 45, 35, 19, 30, 5, 27, 37, 24, 34, 48, 27, 37, 38, 36, 24, 42, 45, 41, 13, 19, 14, 42, 18, 48, 47, 46, 10, 39, 41, 30, 4, 48, 21, 31, 3, 15, 43, 22, 11, 42, 36, 39, 28, 31, 0, 43, 29, 44, 9, 26, 50, 31, 17, 45, 43, 50, 26, 43, 11, 45, 28, 39, 12, 36, 36, 50, 28, 38, 8, 24, 35, 27, 23, 15, 11, 29, 49, 20, 7, 4, 8, 24, 18, 30, 5, 48, 10, 23, 20, 24, 5, 23, 39, 26, 38, 10, 33, 10, 39, 3, 17, 11, 16, 32, 40, 14, 43, 10, 38, 14, 48, 42, 46, 47, 43, 38, 23, 41, 5, 30, 0, 2, 19, 5, 32, 40, 5, 3, 31]
[34, 24, 29, 3, 46, 40, 35, 22, 16, 0, 16, 1, 21, 11, 6, 36, 12, 22, 11, 21, 41, 46, 7, 1, 49, 20, 13, 48, 29, 39, 47, 33, 23, 22, 21, 37, 28, 47, 11, 29, 26, 29, 0, 7, 45, 19, 42, 28, 21, 4, 45, 38, 37, 7, 30, 4, 13, 9, 17, 15, 20, 36, 10, 33, 26, 42, 30, 33, 5, 31, 34, 27, 12, 9, 1, 9, 7, 15, 18, 24, 27, 6, 32, 16, 34, 14, 25, 29, 47, 41, 39, 40, 2, 8, 37, 20, 26, 34, 5, 9, 42, 2, 13, 47, 41, 50, 41, 17, 40, 28, 29, 15, 32, 37, 31, 18, 24, 10, 49, 27, 1, 8, 41, 37, 9, 25, 42, 26, 48, 33, 34, 14, 14, 44, 16, 47, 0, 0, 27, 11, 39, 10, 32, 1, 17, 48, 46, 17, 11, 20, 14, 21, 44, 31, 44, 33]
