N1,N2,...,Nx
[0, 21, 47, 41, 26, 5, 32, 50, 32, 32, 45, 21, 32, 27, 0, 4, 28, 30, 15, 7, 29, 18, 31, 12, 14, 25, 41, 12, 9, 16, 16, 2, 38, 41, 40, 6, 39, 36, 12, 29, 45, 23, 7, 41, 34, 46, 2, 33, 41, 48, 45, 8, 36, 0, 27, 16, 5, 44, 24, 23, 39, 9, 34, 37, 1, 11, 46, 7, 41, 31, 26, 48, 40, 7, 7, 1, 12, 31, 4, 35, 18, 42, 41, 21, 23, 25, 21, 42, 18, 16, 34, 34, 42, 1, 8, 35, 42, 47, 49, 9, 37, 50, 31, 6, 15, 9, 30, 35, 8, 29, 7, 0, 1, 45, 26, 49, 38, 30, 4, 26, 22, 14, 17, 44, 36, 20, 16, 28, 6, 20, 3, 28, 35, 6, 34, 48, 22, 44, 24, 30, 22, 39, 37, 50, 13, 25, 48, 35, 7, 49, 22, 48, 45, 10, 22, 19, 49, 26, 19, 39, 45, 31, 30, 39, 33, 0, 12, 21, 3, 13, 18, 29, 10, 47, 19, 3, 23, 0, 49, 44, 19, 21, 14, 19, 37, 5, 21, 44, 33, 7, 16, 29, 35, 6]
[21, 0, 43, 18, 49, 34, 38, 31, 40, 34, 28, 14, 8, 22, 17, 10, 48, 39, 13, 47, 31, 3, 15, 13, 30, 11, 9, 27, 18, 45, 44, 42, 30, 42, 40, 2, 46, 21, 5, 38, 13, 43, 13, 20, 35, 34, 41, 38, 8, 23, 10, 22, 37, 40, 35, 31, 1, 8, 46, 14, 24, 2, 10, 46, 44, 21, 28, 38, 40, 6, 10, 27, 17, 5, 36, 41, 40, 26, 12, 12, 38, 0, 16, 3, 30, 25, 30, 48, 39, 42, 36, 34, 2, 26, 1, 13, 8, 1, 29, 42, 20, 24, 26, 2, 29, 0, 3, 10, 42, 37, 45, 5, 32, 17, 44, 32, 26, 17, 15, 41, 16, 7, 29, 4, 40, 47, 7, 36, 49, 35, 32, 40, 26, 44, 22, 20, 29, 24, 30, 4, 34, 4, 12, 21, 4, 17, 37, 31, 11, 26, 44, 11, 43, 50, 40, 44, 0, 16, 15, 27, 19, 41, 7, 19, 20, 13, 43, 43, 26, 0, 24, 20, 5, 6, 49, 12, 24, 2, 25, 35, 13, 9, 41, 1, 37, 14, 30, 25, 48, 34, 26, 37, 28, 4]
[47, 43, 0, 39, 40, 38, 9, 28, 38, 24, 23, 45, 36, 4, 47, 28, 49, 18, 19, 4, 18, 37, 12, 29, 48, 15, 10, 34, 35, 2, 13, 45, 18, 49, 44, 18, 43, 1, 12, 42, 30, 36, 39, 14, 39, 22, 15, 37, 48, 8, 47, 21, 24, 46, 1, 9, 34, 17, 26, 3, 4, 50, 6, 15, 32, 21, 6, 29, 41, 17, 23, 18, 4, 29, 33, 34, 47, 14, 10, 34, 29, 17, 41, 31, 37, 46, 37, 50, 45, 27, 24, 2, 49, 28, 1, 38, 22, 22, 40, 26, 35, 16, 11, 26, 48, 32, 2, 21, 28, 15, 48, 5, 38, 28, 1, 49, 9, 36, 29, 27, 47, 13, 14, 36, 47, 34, 42, 20, 38, 2, 35, 12, 26, 2, 14, 28, 24, 23, 7, 45, 47, 24, 13, 24, 37, 0, 50, 47, 38, 26, 49, 0, 50, 5, 37, 0, 16, 4, 2, 34, 33, 31, 23, 43, 34, 0, 27, 3, 18, 14, 21, 15, 9, 48, 48, 16, 17, 30, 15, 16, 5, 28, 10, 19, 7, 39, 32, 31, 31, 20, 44, 7, 47, 23]
[41, 18, 39, 0, 1, 33, 21, 35, 9, 36, 13, 10, 36, 3, 25, 13, 0, 21, 20, 18, 36, 37, 1, 1, 29, 27, 14, 31, 18, 22, 17, 27, 47, 37, 40, 26, 42, 32, 18, 13, 15, 26, 32, 23, 36, 39, 29, 3, 5, 27, 9, 6, 16, 19, 42, 8, 19, 7, 12, 47, 34, 29, 44, 11, 15, 23, 32, 24, 14, 24, 34, 3, 16, 25, 13, 36, 36, 29, 31, 16, 37, 43, 21, 1, 43, 16, 32, 30, 13, 13, 2, 32, 25, 3, 42, 1, 4, 34, 13, 22, 15, 15, 43, 41, 36, 34, 34, 21, 15, 3, 32, 31, 15, 48, 5, 13, 12, 26, 8, 5, 49, 49, 45, 38, 5, 0, 3, 46, 43, 22, 5, 28, 7, 32, 31, 37, 29, 33, 15, 16, 36, 31, 6, 24, 50, 15, 50, 33, 46, 6, 41, 37, 32, 15, 13, 34, 31, 9, 44, 24, 4, 27, 24, 47, 42, 7, 36, 16, 7, 7, 33, 21, 8, 47, 29, 19, 7, 7, 46, 2, 1, 4, 31, 35, 45, 40, 45, 1, 26, 38, 48, 8, 23, 6]
[26, 49, 40, 1, 0, 35, 21, 33, 13, 20, 27, 35, 2, 5, 20, 39, 42, 9, 34, 46, 9, 15, 3, 22, 25, 40, 48, 27, 46, 21, 28, 14, 26, 45, 45, 36, 43, 6, 48, 43, 14, 45, 42, 45, 25, 48, 30, 14, 11, 10, 7, 44, 43, 10, 45, 4, 3, 23, 46, 19, 39, 45, 44, 42, 10, 34, 6, 37, 16, 9, 19, 48, 44, 8, 11, 35, 21, 37, 36, 47, 31, 32, 33, 40, 27, 16, 41, 29, 47, 27, 7, 36, 17, 40, 1, 32, 4, 35, 43, 49, 47, 7, 48, 28, 45, 3, 14, 6, 23, 6, 1, 0, 4, 49, 25, 31, 7, 44, 12, 26, 30, 12, 1, 36, 16, 14, 25, 26, 18, 31, 17, 30, 1, 16, 20, 22, 47, 27, 12, 37, 27, 8, 30, 39, 30, 2, 24, 43, 16, 10, 12, 12, 23, 23, 17, 37, 17, 16, 41, 39, 49, 50, 3, 48, 11, 7, 48, 28, 39, 27, 11, 22, 0, 33, 36, 5, 8, 49, 7, 32, 40, 44, 2, 29, 33, 32, 4, 31, 17, 5, 31, 33, 38, 40]
[5, 34, 38, 33, 35, 0, 12, 9, 43, 40, 49, 27, 28, 7, 50, 6, 21, 28, 39, 47, 5, 11, 16, 26, 44, 44, 20, 13, 9, 44, 20, 29, 23, 45, 43, 2, 13, 50, 16, 7, 27, 39, 31, 17, 23, 48, 42, 13, 42, 46, 0, 38, 41, 24, 43, 26, 42, 23, 3, 42, 40, 50, 32, 34, 15, 31, 32, 30, 29, 17, 23, 38, 19, 0, 8, 32, 21, 18, 24, 17, 20, 10, 0, 25, 41, 19, 20, 38, 1, 37, 40, 26, 3, 15, 7, 8, 18, 22, 1, 21, 25, 43, 14, 38, 18, 50, 19, 26, 34, 43, 21, 31, 12, 28, 48, 41, 44, 2, 1, 17, 11, 22, 18, 28, 30, 44, 42, 17, 44, 48, 46, 4, 48, 16, 7, 17, 23, 50, 16, 20, 43, 2, 32, 45, 19, 47, 10, 45, 49, 40, 34, 7, 12, 35, 7, 7, 44, 11, 1, 50, 12, 30, 26, 16, 6, 48, 28, 29, 43, 15, 21, 40, 17, 40, 29, 0, 37, 25, 48, 26, 20, 24, 25, 44, 12, 41, 19, 3, 4, 26, 46, 6, 10, 13]
[32, 38, 9, 21, 21, 12, 0, 31, 5, 39, 27, 29, 22, 44, 17, 30, 12, 12, 36, 47, 50, 6, 35, 12, 29, 5, 5, 48, 23, 48, 49, 24, 2, 31, 48, 48, 39, 8, 0, 40, 36, 20, 32, 11, 17, 34, 15, 35, 31, 13, 0, 4, 22, 47, 41, 4, 0, 29, 40, 26, 34, 45, 12, 43, 38, 1, 29, 37, 20, 42, 28, 29, 20, 28, 35, 15, 6, 13, 42, 38, 8, 23, 23, 3, 49, 32, 43, 40, 25, 24, 45, 16, 13, 35, 3, 36, 4, 3, 30, 6, 31, 10, 35, 0, 29, 10, 24, 11, 19, 30, 19, 26, 31, 18, 3, 32, 37, 10, 12, 22, 5, 8, 38, 2, 30, 13, 29, 29, 24, 27, 8, 31, 1, 49, 24, 23, 15, 14, 45, 48, 20, 36, 31, 15, 19, 48, 48, 26, 5, 31, 49, 12, 30, 32, 4, 36, 47, 31, 11, 43, 25, 9, 16, 0, 49, 10, 46, 26, 30, 31, 20, 4, 47, 22, 4, 33, 41, 40, 17, 0, 27, 11, 11, 46, 26, 30, 33, 38, 39, 1, 40, 11, 40, 29]
[50, 31, 28, 35, 33, 9, 31, 0, 14, 30, 29, 35, 27, 35, 30, 49, 38, 19, 44, 1, 15, 45, 44, 25, 12, 36, 12, 11, 30, 43, 41, 49, 0, 23, 33, 26, 0, 30, 2, 29, 45, 27, 43, 30, 30, 0, 27, 47, 48, 4, 16, 10, 38, 11, 26, 21, 32, 44, 15, 8, 50, 33, 18, 0, 45, 42, 47, 36, 4, 10, 43, 15, 38, 0, 18, 42, 14, 17, 32, 39, 7, 18, 43, 42, 25, 26, 48, 38, 45, 22, 11, 7, 50, 30, 26, 23, 9, 35, 15, 22, 17, 42, 1, 4, 33, 8, 8, 26, 13, 14, 15, 10, 29, 27, 29, 3, 29, 27, 48, 19, 37, 8, 0, 20, 19, 4, 24, 32, 50, 46, 45, 11, 0, 24, 26, 37, 28, 46, 39, 2, 23, 14, 50, 0, 35, 50, 4, 42, 15, 0, 32, 27, 3, 9, 38, 32, 41, 39, 16, 27, 17, 12, 36, 6, 36, 38, 41, 31, 7, 19, 15, 13, 37, 0, 34, 24, 20, 30, 36, 20, 49, 44, 18, 21, 41, 21, 1, 40, 36, 4, 25, 17, 29, 3]
[32, 40, 38, 9, 13, 43, 5, 14, 0, 44, 44, 14, 1, 17, 36, 38, 28, 35, 24, 21, 36, 29, 20, 4, 22, 3, 10, 0, 18, 49, 27, 45, 20, 7, 1, 50, 8, 6, 19, 7, 2, 36, 38, 42, 41, 11, 29, 8, 46, 31, 47, 24, 2, 48, 34, 4, 18, 20, 5, 11, 21, 2, 2, 40, 34, 7, 4, 50, 3, 31, 1, 11, 29, 20, 17, 46, 29, 2, 27, 35, 13, 37, 42, 45, 29, 9, 12, 44, 38, 8, 29, 35, 0, 49, 9, 24, 38, 23, 16, 8, 47, 27, 24, 28, 47, 3, 35, 35, 26, 25, 17, 47, 35, 6, 39, 30, 50, 23, 8, 43, 8, 11, 30, 17, 34, 28, 6, 30, 14, 44, 12, 21, 43, 46, 24, 22, 45, 40, 5, 2, 50, 3, 7, 36, 19, 3, 26, 44, 43, 28, 28, 16, 15, 19, 26, 9, 42, 22, 13, 5, 12, 41, 2, 17, 37, 42, 32, 18, 31, 28, 48, 31, 30, 12, 14, 46, 40, 46, 42, 0, 19, 40, 15, 31, 25, 1, 40, 32, 38, 26, 40, 4, 4, 3]
[32, 34, 24, 36, 20, 40, 39, 30, 44, 0, 16, 6, 3, 46, 39, 14, 0, 8, 13, 36, 38, 44, 29, 5, 28, 43, 2, 19, 39, 47, 49, 34, 18, 46, 33, 25, 36, 36, 10, 11, 5, 35, 17, 48, 36, 19, 5, 49, 37, 44, 38, 10, 11, 38, 30, 46, 16, 44, 36, 15, 31, 16, 27, 15, 38, 0, 5, 28, 10, 22, 22, 6, 12, 11, 46, 48, 40, 4, 28, 8, 41, 45, 44, 29, 43, 48, 21, 14, 37, 0, 15, 9, 46, 32, 5, 48, 25, 34, 20, 46, 6, 30, 20, 27, 49, 18, 5, 28, 27, 29, 24, 9, 14, 49, 21, 7, 45, 31, 39, 25, 16, 21, 42, 17, 9, 44, 26, 5, 42, 26, 21, 46, 46, 9, 30, 38, 10, 10, 18, 1, 37, 21, 17, 26, 2, 16, 47, 20, 15, 3, 7, 22, 7, 38, 9, 16, 43, 9, 10, 27, 8, 44, 30, 3, 45, 34, 39, 48, 0, 10, 29, 46, 50, 24, 13, 11, 40, 11, 25, 5, 31, 11, 1, 8, 35, 39, 1, 12, 48, 33, 50, 34, 40, 5]
