N1,N2,...,Nx
[0, 24, 14, 45, 34, 47, 44, 23, 31, 31, 0, 21, 29, 18, 3, 37, 18, 2, 8, 36, 42, 31, 2, 28, 22, 23, 9, 43, 45, 24, 48, 38, 14, 15, 9, 44, 46, 36, 25, 25, 46, 26, 15, 43, 46, 36, 8, 46, 46, 19, 50, 34, 1, 11, 45, 5, 43, 0, 15, 33, 7, 47, 49, 42, 32, 7, 25, 27, 48, 27, 30, 25, 5, 8, 26, 27, 41, 3, 6, 34, 24, 41, 50, 2, 1, 48, 14, 44, 8, 3, 35, 39, 25, 41, 17, 38, 49, 4, 14, 28, 39, 29, 40, 20, 14, 30, 32, 12, 3, 3, 17, 25, 2, 40, 29, 32, 0, 0, 41, 45, 49, 3, 24, 14, 49, 20, 20, 10, 24, 17, 40, 35, 28, 37, 40, 14, 11, 21, 42, 10, 12, 35, 6, 33, 34]
[24, 0, 12, 20, 47, 44, 2, 37, 3, 50, 40, 30, 46, 39, 49, 23, 48, 10, 37, 20, 14, 1, 31, 32, 14, 22, 48, 25, 31, 0, 0, 0, 10, 40, 24, 7, 32, 11, 47, 39, 0, 43, 20, 4, 29, 1, 22, 48, 0, 45, 12, 24, 46, 28, 35, 32, 38, 12, 36, 9, 30, 5, 40, 4, 18, 29, 16, 19, 21, 8, 0, 43, 1, 9, 26, 11, 38, 1, 41, 21, 25, 0, 37, 36, 35, 1, 31, 35, 31, 6, 2, 46, 45, 19, 16, 4, 11, 34, 18, 34, 46, 38, 24, 32, 43, 28, 0, 21, 12, 47, 33, 39, 21, 7, 45, 8, 23, 29, 39, 12, 0, 9, 12, 2, 21, 49, 12, 18, 41, 4, 19, 21, 28, 36, 7, 33, 0, 12, 34, 31, 31, 9, 20, 30, 36]
[14, 12, 0, 30, 37, 0, 18, 33, 3, 5, 35, 31, 31, 44, 1, 23, 4, 29, 46, 11, 48, 3, 2, 10, 28, 26, 16, 4, 39, 15, 22, 46, 41, 16, 39, 33, 36, 12, 45, 1, 41, 3, 4, 32, 17, 23, 10, 5, 3, 9, 5, 11, 12, 41, 37, 3, 47, 20, 29, 5, 25, 12, 8, 23, 50, 4, 21, 37, 30, 1, 2, 2, 6, 14, 10, 11, 21, 0, 49, 0, 37, 20, 12, 37, 0, 39, 19, 24, 14, 24, 50, 7, 20, 40, 3, 34, 0, 41, 31, 40, 46, 7, 13, 28, 12, 13, 33, 0, 16, 23, 26, 17, 21, 17, 25, 20, 0, 48, 40, 23, 27, 30, 13, 37, 44, 29, 12, 25, 42, 0, 24, 6, 20, 37, 0, 3, 33, 14, 28, 11, 10, 15, 16, 34, 42]
[45, 20, 30, 0, 23, 47, 38, 19, 28, 49, 38, 38, 14, 26, 0, 14, 46, 30, 16, 5, 44, 12, 46, 39, 34, 33, 29, 4, 32, 50, 33, 30, 18, 17, 39, 17, 26, 31, 3, 47, 21, 20, 41, 18, 47, 9, 35, 10, 0, 45, 49, 32, 17, 26, 19, 36, 50, 46, 11, 45, 7, 32, 48, 1, 17, 6, 50, 42, 28, 11, 40, 13, 43, 20, 25, 16, 36, 4, 29, 49, 32, 15, 27, 20, 39, 32, 13, 4, 40, 23, 19, 24, 8, 26, 45, 17, 19, 34, 7, 22, 43, 34, 28, 50, 37, 20, 10, 21, 26, 19, 14, 49, 42, 46, 19, 0, 14, 42, 35, 44, 5, 7, 47, 24, 0, 37, 46, 46, 19, 47, 3, 2, 2, 41, 27, 26, 7, 26, 46, 49, 14, 47, 5, 6, 29]
[34, 47, 37, 23, 0, 29, 23, 21, 49, 30, 1, 3, 33, 44, 20, 3, 21, 11, 18, 48, 33, 50, 7, 15, 34, 32, 31, 38, 16, 40, 20, 5, 41, 33, 47, 39, 44, 46, 41, 13, 20, 30, 0, 32, 43, 36, 10, 34, 24, 30, 19, 33, 25, 15, 9, 44, 32, 16, 9, 32, 25, 9, 18, 47, 30, 33, 11, 18, 11, 23, 46, 50, 35, 5, 10, 1, 14, 8, 26, 39, 23, 26, 50, 17, 23, 17, 24, 0, 34, 31, 28, 4, 12, 15, 30, 15, 33, 21, 6, 40, 23, 15, 15, 7, 25, 20, 44, 34, 18, 43, 50, 41, 16, 40, 4, 24, 10, 2, 14, 5, 50, 35, 23, 21, 37, 49, 45, 38, 7, 9, 14, 38, 5, 47, 50, 48, 31, 22, 35, 44, 30, 38, 48, 13, 48]
[47, 44, 0, 47, 29, 0, 42, 41, 43, 47, 48, 8, 44, 44, 15, 33, 10, 21, 25, 30, 27, 39, 14, 16, 50, 29, 37, 3, 41, 19, 12, 9, 34, 4, 40, 44, 22, 25, 7, 29, 11, 21, 42, 28, 49, 26, 39, 44, 50, 48, 6, 29, 30, 20, 11, 41, 36, 28, 40, 44, 46, 10, 42, 21, 22, 43, 37, 37, 4, 42, 32, 9, 30, 47, 30, 36, 9, 9, 44, 23, 24, 49, 34, 29, 41, 26, 44, 48, 29, 34, 5, 14, 18, 18, 48, 15, 29, 20, 46, 17, 15, 24, 29, 14, 11, 13, 24, 50, 33, 8, 19, 49, 5, 33, 40, 20, 23, 44, 45, 26, 0, 34, 42, 22, 43, 36, 12, 0, 45, 6, 2, 3, 21, 29, 47, 29, 43, 26, 34, 46, 44, 32, 48, 16, 25]
[44, 2, 18, 38, 23, 42, 0, 16, 8, 35, 36, 34, 28, 11, 22, 12, 15, 2, 25, 6, 39, 25, 3, 1, 39, 27, 42, 0, 30, 11, 44, 24, 33, 31, 2, 18, 32, 5, 27, 43, 28, 31, 1, 14, 7, 42, 50, 4, 33, 13, 38, 38, 22, 20, 43, 7, 8, 39, 38, 18, 22, 41, 9, 21, 24, 22, 12, 13, 14, 4, 47, 45, 4, 40, 18, 10, 7, 35, 27, 19, 12, 46, 43, 22, 22, 11, 6, 24, 16, 23, 8, 24, 17, 6, 8, 11, 7, 40, 7, 9, 47, 20, 26, 9, 42, 12, 32, 48, 0, 25, 10, 27, 43, 23, 39, 1, 8, 18, 28, 38, 6, 37, 39, 7, 28, 45, 32, 30, 12, 17, 36, 40, 8, 1, 39, 17, 24, 37, 33, 27, 21, 45, 46, 9, 8]
[23, 37, 33, 19, 21, 41, 16, 0, 25, 3, 6, 39, 11, 28, 9, 41, 4, 11, 27, 45, 27, 33, 0, 11, 6, 2, 4, 45, 4, 28, 0, 26, 47, 4, 9, 21, 12, 8, 26, 44, 27, 18, 32, 28, 20, 27, 41, 37, 16, 45, 32, 47, 6, 45, 16, 11, 1, 10, 5, 2, 44, 2, 14, 31, 40, 33, 6, 50, 21, 20, 31, 22, 43, 49, 10, 1, 48, 24, 49, 8, 45, 15, 35, 15, 44, 11, 29, 22, 32, 0, 25, 24, 14, 46, 32, 43, 40, 38, 22, 38, 50, 41, 44, 13, 42, 19, 13, 21, 4, 22, 28, 49, 27, 15, 24, 32, 28, 21, 2, 39, 10, 1, 24, 44, 38, 29, 2, 22, 49, 25, 34, 1, 13, 7, 42, 50, 17, 6, 17, 24, 33, 19, 32, 44, 26]
[31, 3, 3, 28, 49, 43, 8, 25, 0, 8, 20, 23, 22, 0, 11, 45, 44, 6, 9, 18, 10, 19, 34, 28, 28, 18, 3, 11, 9, 27, 41, 29, 22, 17, 26, 32, 11, 44, 6, 17, 37, 48, 17, 40, 26, 24, 27, 3, 4, 26, 22, 38, 36, 20, 28, 18, 3, 38, 3, 19, 12, 31, 33, 38, 41, 4, 24, 43, 9, 23, 39, 49, 13, 40, 27, 46, 20, 24, 47, 22, 14, 4, 28, 17, 7, 45, 45, 24, 18, 38, 35, 5, 11, 19, 13, 46, 17, 44, 27, 16, 35, 39, 2, 48, 7, 8, 28, 26, 47, 2, 20, 49, 4, 33, 32, 31, 40, 16, 25, 2, 7, 28, 25, 1, 13, 0, 49, 42, 5, 30, 33, 21, 26, 1, 20, 30, 35, 27, 44, 50, 47, 3, 12, 35, 20]
[31, 50, 5, 49, 30, 47, 35, 3, 8, 0, 47, 22, 45, 40, 16, 40, 7, 10, 20, 13, 10, 19, 13, 44, 30, 44, 42, 41, 19, 15, 45, 45, 24, 14, 15, 11, 1, 45, 44, 41, 25, 28, 13, 20, 11, 5, 16, 2, 22, 45, 49, 49, 41, 31, 18, 11, 42, 41, 15, 35, 24, 15, 3, 41, 16, 39, 39, 19, 41, 38, 49, 21, 43, 26, 29, 31, 19, 13, 18, 49, 45, 10, 27, 29, 45, 22, 16, 39, 48, 14, 14, 29, 4, 3, 14, 40, 15, 0, 12, 26, 30, 39, 6, 4, 4, 4, 38, 2, 9, 47, 11, 29, 28, 0, 49, 7, 40, 38, 28, 47, 15, 14, 1, 36, 38, 34, 32, 10, 37, 7, 3, 50, 49, 12, 47, 25, 49, 48, 15, 31, 38, 14, 19, 10, 36]
