N1,N2,...,Nx
[0, 27, 27, 28, 34, 35, 27, 49, 24, 43, 24, 45, 37, 21, 5, 38, 7, 47]
[27, 0, 50, 41, 14, 39, 20, 50, 24, 16, 25, 45, 31, 47, 29, 31, 15, 0]
[27, 50, 0, 35, 42, 3, 0, 45, 2, 49, 41, 16, 3, 14, 47, 47, 34, 36]
[28, 41, 35, 0, 40, 0, 40, 49, 19, 2, 4, 10, 36, 8, 8, 18, 35, 25]
[34, 14, 42, 40, 0, 3, 21, 32, 11, 34, 2, 29, 46, 1, 47, 0, 5, 23]
[35, 39, 3, 0, 3, 0, 37, 2, 7, 42, 48, 44, 13, 43, 49, 28, 50, 48]
[27, 20, 0, 40, 21, 37, 0, 1, 43, 1, 8, 33, 33, 33, 16, 34, 36, 7]
[49, 50, 45, 49, 32, 2, 1, 0, 42, 19, 20, 32, 39, 37, 47, 47, 21, 15]
[24, 24, 2, 19, 11, 7, 43, 42, 0, 50, 13, 27, 48, 2, 6, 19, 16, 27]
[43, 16, 49, 2, 34, 42, 1, 19, 50, 0, 16, 31, 6, 16, 31, 4, 32, 26]
[24, 25, 41, 4, 2, 48, 8, 20, 13, 16, 0, 34, 31, 34, 2, 34, 34, 36]
[45, 45, 16, 10, 29, 44, 33, 32, 27, 31, 34, 0, 25, 45, 46, 20, 11, 22]
[37, 31, 3, 36, 46, 13, 33, 39, 48, 6, 31, 25, 0, 1, 50, 13, 4, 45]
[21, 47, 14, 8, 1, 43, 33, 37, 2, 16, 34, 45, 1, 0, 48, 12, 1, 14]
[5, 29, 47, 8, 47, 49, 16, 47, 6, 31, 2, 46, 50, 48, 0, 8, 29, 38]
[38, 31, 47, 18, 0, 28, 34, 47, 19, 4, 34, 20, 13, 12, 8, 0, 27, 25]
[7, 15, 34, 35, 5, 50, 36, 21, 16, 32, 34, 11, 4, 1, 29, 27, 0, 32]
[47, 0, 36, 25, 23, 48, 7, 15, 27, 26, 36, 22, 45, 14, 38, 25, 32, 0]
