N1,N2,...,Nx
[0, 44, 45, 50, 10, 41, 21, 34, 4, 39, 23, 14, 37, 19, 16, 40, 0, 7, 30, 44, 8, 2, 35, 0, 2, 9, 11, 16, 42, 32, 2, 14, 30, 37, 44, 27, 18, 30, 44, 1, 17, 5, 23, 22, 4, 38, 29, 36, 10, 48, 12, 12, 34, 22, 32, 32, 31, 6, 16, 6, 10, 34, 49, 14, 38, 25]
[44, 0, 21, 23, 16, 26, 1, 6, 5, 38, 32, 6, 45, 10, 29, 7, 8, 4, 36, 38, 45, 17, 49, 25, 11, 23, 36, 47, 31, 50, 34, 24, 34, 14, 15, 36, 21, 44, 3, 41, 36, 2, 3, 13, 42, 30, 18, 40, 35, 16, 24, 0, 47, 25, 14, 17, 11, 38, 46, 32, 1, 13, 30, 48, 0, 14]
[45, 21, 0, 34, 20, 34, 47, 35, 33, 17, 23, 43, 32, 15, 30, 2, 17, 25, 47, 33, 32, 23, 36, 22, 43, 12, 3, 0, 3, 48, 29, 31, 24, 9, 44, 19, 32, 12, 23, 30, 9, 50, 11, 17, 18, 29, 49, 33, 28, 31, 9, 5, 36, 26, 32, 34, 0, 17, 14, 22, 24, 0, 47, 31, 44, 30]
[50, 23, 34, 0, 1, 1, 6, 38, 21, 22, 0, 3, 45, 41, 34, 37, 12, 21, 43, 49, 46, 13, 21, 50, 34, 34, 29, 18, 47, 2, 15, 33, 49, 16, 25, 14, 3, 48, 37, 27, 23, 21, 44, 14, 15, 28, 1, 42, 31, 4, 33, 8, 45, 13, 7, 13, 38, 7, 48, 23, 25, 20, 46, 6, 23, 34]
[10, 16, 20, 1, 0, 36, 17, 0, 20, 1, 47, 48, 35, 37, 32, 6, 37, 17, 35, 0, 39, 7, 50, 8, 18, 48, 39, 39, 39, 22, 18, 7, 41, 23, 41, 2, 8, 32, 24, 42, 28, 30, 26, 17, 40, 45, 41, 10, 7, 41, 30, 23, 29, 36, 46, 4, 31, 30, 9, 23, 30, 45, 30, 16, 5, 13]
[41, 26, 34, 1, 36, 0, 31, 35, 2, 23, 48, 26, 40, 19, 44, 20, 32, 14, 33, 11, 20, 30, 45, 2, 23, 6, 43, 19, 32, 46, 12, 47, 19, 43, 8, 14, 28, 30, 34, 31, 8, 17, 10, 6, 17, 34, 28, 3, 28, 10, 49, 45, 39, 50, 0, 22, 7, 46, 29, 28, 15, 44, 38, 33, 42, 16]
[21, 1, 47, 6, 17, 31, 0, 45, 44, 27, 36, 40, 49, 38, 38, 47, 32, 7, 16, 32, 37, 14, 34, 12, 11, 7, 49, 25, 42, 18, 2, 45, 36, 16, 18, 49, 37, 19, 21, 10, 10, 38, 22, 22, 5, 43, 22, 30, 6, 45, 23, 46, 46, 47, 18, 32, 49, 25, 6, 50, 32, 40, 5, 49, 19, 26]
[34, 6, 35, 38, 0, 35, 45, 0, 48, 0, 23, 9, 32, 25, 27, 37, 17, 6, 32, 24, 37, 17, 17, 36, 14, 41, 37, 12, 37, 38, 15, 50, 24, 23, 48, 21, 7, 7, 16, 18, 35, 43, 1, 23, 2, 17, 32, 50, 37, 30, 0, 22, 22, 35, 14, 7, 22, 33, 31, 33, 0, 33, 46, 32, 24, 30]
[4, 5, 33, 21, 20, 2, 44, 48, 0, 38, 49, 12, 28, 37, 14, 13, 35, 20, 10, 29, 36, 31, 44, 14, 35, 50, 13, 6, 29, 49, 48, 11, 34, 28, 27, 43, 3, 9, 47, 27, 35, 32, 3, 20, 30, 16, 40, 11, 23, 24, 5, 45, 35, 43, 44, 5, 6, 23, 1, 11, 45, 11, 45, 49, 7, 10]
[39, 38, 17, 22, 1, 23, 27, 0, 38, 0, 1, 10, 33, 17, 40, 40, 18, 44, 23, 42, 17, 44, 25, 10, 29, 39, 38, 45, 4, 13, 32, 17, 11, 46, 46, 24, 23, 28, 4, 30, 9, 28, 39, 4, 35, 5, 31, 26, 18, 3, 23, 20, 40, 50, 28, 41, 20, 6, 13, 29, 42, 28, 6, 29, 41, 36]
