N1,N2,...,Nx
[0, 17, 20, 14, 16, 13, 11, 17, 18, 28, 23, 34, 41, 36, 12, 49, 21, 29, 40, 14, 42, 23, 10, 48, 4, 19, 50, 50, 44, 42, 44, 42, 8, 3, 14, 16, 25, 47, 15, 21, 2, 22, 17, 11, 10, 4, 13, 32, 50, 31, 19, 30, 22, 35, 10, 18, 44, 23, 21, 42, 35, 21, 27, 22, 24, 13, 40, 10, 23, 41]
[17, 0, 41, 39, 30, 45, 47, 45, 39, 10, 17, 42, 18, 40, 27, 36, 15, 5, 34, 8, 5, 17, 48, 6, 13, 39, 15, 29, 41, 32, 45, 7, 12, 33, 15, 47, 28, 9, 12, 23, 15, 25, 20, 14, 6, 41, 13, 13, 45, 0, 44, 13, 10, 48, 6, 46, 1, 21, 48, 8, 30, 27, 48, 26, 12, 30, 28, 8, 49, 13]
[20, 41, 0, 29, 14, 5, 7, 9, 12, 10, 36, 15, 40, 50, 8, 12, 37, 43, 12, 14, 18, 0, 33, 38, 7, 49, 12, 41, 27, 26, 8, 13, 45, 41, 43, 10, 9, 19, 35, 16, 33, 14, 5, 12, 45, 15, 13, 24, 21, 2, 28, 8, 46, 1, 6, 2, 37, 19, 31, 37, 36, 2, 29, 42, 42, 8, 25, 42, 2, 30]
[14, 39, 29, 0, 50, 22, 35, 29, 20, 2, 27, 42, 27, 6, 11, 9, 41, 19, 38, 28, 23, 33, 33, 36, 14, 28, 7, 5, 34, 20, 27, 5, 47, 24, 44, 2, 22, 35, 39, 12, 37, 27, 31, 31, 15, 3, 6, 19, 1, 50, 14, 35, 35, 1, 46, 19, 21, 26, 18, 14, 13, 16, 46, 13, 35, 29, 40, 9, 15, 11]
[16, 30, 14, 50, 0, 50, 5, 48, 22, 36, 16, 20, 50, 24, 39, 33, 3, 43, 22, 36, 47, 45, 1, 24, 48, 25, 46, 38, 19, 0, 29, 9, 4, 22, 30, 37, 49, 28, 20, 20, 23, 48, 4, 16, 40, 1, 12, 30, 14, 43, 26, 35, 16, 17, 49, 3, 4, 0, 1, 13, 40, 50, 11, 36, 40, 9, 39, 23, 41, 13]
[13, 45, 5, 22, 50, 0, 22, 4, 27, 35, 0, 22, 50, 29, 1, 1, 17, 29, 21, 12, 30, 2, 2, 20, 8, 14, 22, 40, 43, 12, 11, 43, 29, 33, 12, 21, 1, 15, 7, 16, 9, 42, 29, 17, 36, 5, 47, 16, 46, 28, 35, 44, 39, 37, 32, 0, 24, 13, 35, 15, 25, 46, 6, 40, 23, 0, 6, 18, 42, 48]
[11, 47, 7, 35, 5, 22, 0, 0, 23, 49, 2, 39, 31, 22, 41, 43, 35, 21, 42, 6, 41, 43, 30, 44, 6, 39, 28, 40, 18, 26, 14, 16, 30, 23, 13, 30, 48, 4, 35, 46, 14, 11, 20, 26, 44, 24, 12, 18, 50, 48, 35, 6, 40, 33, 39, 0, 38, 1, 42, 21, 4, 10, 37, 50, 24, 7, 23, 43, 24, 48]
[17, 45, 9, 29, 48, 4, 0, 0, 18, 21, 45, 31, 36, 10, 22, 33, 7, 20, 0, 1, 3, 2, 40, 34, 40, 18, 24, 32, 21, 8, 12, 49, 16, 2, 39, 48, 11, 23, 8, 2, 4, 29, 43, 46, 2, 35, 24, 3, 1, 10, 26, 47, 14, 35, 40, 32, 2, 30, 32, 47, 17, 30, 6, 19, 12, 25, 36, 40, 22, 10]
[18, 39, 12, 20, 22, 27, 23, 18, 0, 22, 3, 6, 13, 29, 44, 6, 45, 48, 39, 44, 22, 48, 37, 48, 17, 35, 23, 37, 32, 29, 1, 15, 10, 10, 35, 18, 2, 50, 26, 16, 14, 43, 32, 35, 26, 35, 17, 29, 34, 46, 32, 5, 7, 35, 7, 14, 11, 32, 24, 5, 18, 47, 13, 38, 3, 14, 29, 34, 15, 12]
[28, 10, 10, 2, 36, 35, 49, 21, 22, 0, 5, 33, 50, 8, 17, 45, 38, 5, 22, 27, 13, 46, 8, 41, 22, 4, 10, 30, 30, 10, 3, 38, 41, 13, 20, 44, 38, 49, 10, 11, 11, 22, 44, 1, 7, 46, 46, 14, 23, 2, 19, 13, 13, 40, 47, 49, 33, 0, 32, 13, 9, 46, 21, 5, 23, 50, 5, 7, 45, 30]
[23, 17, 36, 27, 16, 0, 2, 45, 3, 5, 0, 45, 16, 42, 45, 11, 12, 48, 30, 25, 37, 29, 50, 20, 24, 18, 37, 4, 12, 25, 47, 48, 0, 33, 27, 24, 26, 28, 16, 28, 3, 33, 37, 36, 19, 1, 23, 26, 40, 35, 6, 10, 25, 43, 21, 25, 8, 16, 15, 44, 24, 1, 30, 28, 33, 34, 48, 21, 40, 38]
[34, 42, 15, 42, 20, 22, 39, 31, 6, 33, 45, 0, 46, 50, 45, 34, 48, 28, 8, 28, 2, 29, 31, 41, 1, 21, 16, 2, 45, 19, 41, 11, 44, 44, 4, 26, 30, 35, 6, 23, 23, 26, 17, 48, 17, 12, 27, 4, 1, 3, 5, 16, 50, 14, 4, 17, 13, 38, 46, 49, 26, 12, 45, 16, 49, 46, 37, 46, 18, 20]
[41, 18, 40, 27, 50, 50, 31, 36, 13, 50, 16, 46, 0, 41, 3, 37, 2, 6, 22, 17, 39, 47, 42, 0, 47, 20, 14, 48, 48, 19, 13, 3, 17, 35, 37, 28, 35, 33, 49, 35, 49, 3, 44, 13, 50, 26, 12, 45, 29, 28, 30, 17, 23, 34, 16, 24, 30, 3, 7, 19, 35, 17, 40, 49, 24, 45, 4, 10, 38, 29]
[36, 40, 50, 6, 24, 29, 22, 10, 29, 8, 42, 50, 41, 0, 13, 46, 0, 46, 34, 25, 39, 31, 48, 44, 9, 22, 39, 9, 2, 42, 38, 22, 35, 27, 35, 32, 24, 24, 35, 19, 16, 19, 26, 33, 12, 44, 14, 4, 32, 12, 11, 17, 1, 20, 20, 27, 35, 10, 9, 32, 39, 0, 30, 17, 14, 12, 27, 40, 31, 6]
[12, 27, 8, 11, 39, 1, 41, 22, 44, 17, 45, 45, 3, 13, 0, 19, 29, 40, 30, 38, 26, 28, 31, 17, 2, 50, 38, 36, 38, 30, 28, 2, 27, 48, 46, 35, 34, 47, 47, 40, 17, 1, 34, 35, 22, 36, 42, 29, 17, 38, 28, 41, 21, 23, 45, 23, 11, 6, 44, 43, 46, 38, 32, 22, 34, 23, 46, 49, 32, 17]
[49, 36, 12, 9, 33, 1, 43, 33, 6, 45, 11, 34, 37, 46, 19, 0, 41, 1, 32, 22, 20, 20, 35, 28, 24, 33, 26, 49, 27, 5, 13, 48, 50, 25, 24, 3, 23, 44, 44, 16, 22, 19, 21, 8, 41, 16, 15, 29, 21, 28, 13, 14, 9, 24, 34, 29, 23, 25, 17, 14, 9, 3, 44, 13, 41, 39, 0, 36, 33, 13]
[21, 15, 37, 41, 3, 17, 35, 7, 45, 38, 12, 48, 2, 0, 29, 41, 0, 29, 22, 1, 46, 6, 10, 47, 35, 29, 35, 40, 11, 40, 1, 28, 42, 26, 2, 42, 5, 29, 46, 23, 25, 22, 47, 25, 42, 37, 8, 49, 13, 29, 37, 5, 43, 29, 18, 28, 34, 20, 13, 21, 38, 44, 5, 30, 47, 18, 2, 7, 48, 29]
[29, 5, 43, 19, 43, 29, 21, 20, 48, 5, 48, 28, 6, 46, 40, 1, 29, 0, 41, 22, 9, 1, 7, 23, 5, 16, 38, 7, 42, 7, 16, 50, 30, 47, 36, 6, 35, 34, 1, 36, 11, 46, 19, 20, 18, 36, 5, 38, 34, 32, 50, 37, 34, 43, 20, 31, 28, 35, 16, 31, 22, 1, 19, 27, 10, 8, 29, 19, 45, 5]
[40, 34, 12, 38, 22, 21, 42, 0, 39, 22, 30, 8, 22, 34, 30, 32, 22, 41, 0, 36, 22, 44, 21, 2, 44, 47, 32, 16, 26, 49, 47, 41, 10, 12, 43, 42, 29, 21, 32, 38, 35, 28, 48, 9, 13, 44, 41, 41, 40, 41, 43, 45, 24, 7, 24, 46, 1, 31, 22, 49, 33, 7, 38, 22, 33, 12, 20, 49, 36, 19]
[14, 8, 14, 28, 36, 12, 6, 1, 44, 27, 25, 28, 17, 25, 38, 22, 1, 22, 36, 0, 17, 14, 33, 11, 24, 28, 50, 21, 46, 1, 39, 44, 0, 34, 2, 8, 9, 49, 0, 50, 23, 46, 7, 38, 33, 24, 4, 25, 2, 7, 9, 48, 30, 8, 27, 17, 40, 12, 31, 25, 37, 42, 5, 42, 29, 1, 35, 24, 43, 32]
[42, 5, 18, 23, 47, 30, 41, 3, 22, 13, 37, 2, 39, 39, 26, 20, 46, 9, 22, 17, 0, 34, 35, 46, 18, 16, 42, 6, 26, 35, 31, 50, 26, 6, 41, 19, 28, 17, 39, 34, 50, 31, 8, 33, 12, 41, 13, 23, 34, 11, 34, 20, 31, 27, 34, 22, 41, 25, 8, 20, 15, 48, 12, 20, 24, 15, 48, 29, 34, 2]
