N1,N2,...,Nx
[0, 20, 24, 19, 49, 13, 27, 2, 25, 15, 33, 26, 30, 7, 31, 23, 42, 15, 32, 26, 47, 24, 26, 25, 39, 0, 13, 3, 40, 19, 42, 14, 43, 2, 49, 7, 35, 14, 27, 15, 14, 29, 49, 42, 11, 18, 40, 22, 33, 38, 26, 28, 26, 26, 44, 29, 8, 37, 25, 27, 43, 49, 9, 47, 49, 13, 47, 49, 13, 3, 30, 49, 3, 35, 41, 46, 29, 7, 21, 37, 7, 50, 17, 48, 36, 45, 22, 34, 3, 13, 31, 45, 16, 36, 4, 4, 18, 42, 45, 39, 7, 45, 22, 24, 32, 31, 50]
[20, 0, 40, 23, 43, 33, 41, 46, 35, 12, 9, 17, 9, 17, 38, 14, 14, 20, 15, 14, 49, 17, 14, 42, 0, 31, 29, 20, 49, 3, 49, 33, 41, 34, 28, 3, 46, 33, 7, 43, 31, 32, 21, 2, 12, 22, 18, 8, 25, 35, 18, 38, 24, 34, 16, 24, 17, 11, 42, 10, 41, 22, 6, 13, 28, 11, 37, 34, 47, 23, 13, 20, 40, 5, 1, 33, 49, 10, 12, 32, 49, 20, 31, 12, 0, 17, 14, 20, 8, 44, 40, 36, 19, 47, 21, 14, 13, 25, 41, 14, 45, 30, 19, 32, 7, 46, 26]
[24, 40, 0, 38, 44, 41, 41, 23, 35, 22, 46, 41, 2, 20, 49, 20, 0, 12, 36, 34, 0, 12, 41, 28, 2, 13, 19, 1, 44, 49, 34, 27, 26, 36, 9, 0, 44, 33, 5, 15, 40, 34, 49, 45, 34, 0, 10, 41, 31, 24, 1, 49, 34, 41, 9, 14, 21, 50, 33, 10, 45, 40, 0, 28, 28, 27, 39, 28, 7, 28, 26, 42, 7, 25, 13, 1, 5, 40, 5, 41, 0, 44, 50, 30, 13, 24, 1, 38, 24, 23, 13, 19, 1, 14, 43, 11, 16, 39, 49, 40, 12, 29, 22, 13, 30, 2, 27]
[19, 23, 38, 0, 35, 35, 28, 43, 34, 23, 39, 27, 25, 8, 27, 10, 10, 3, 28, 11, 38, 44, 13, 50, 43, 2, 34, 38, 8, 35, 3, 4, 31, 32, 6, 5, 29, 22, 46, 17, 43, 27, 41, 44, 34, 19, 8, 38, 38, 1, 7, 17, 22, 32, 12, 14, 27, 47, 16, 34, 15, 41, 33, 49, 40, 41, 33, 48, 44, 33, 24, 46, 26, 48, 13, 6, 22, 24, 25, 16, 2, 2, 3, 4, 11, 42, 42, 33, 46, 32, 43, 7, 20, 10, 43, 0, 43, 10, 2, 46, 4, 37, 22, 34, 31, 22, 50]
[49, 43, 44, 35, 0, 10, 37, 48, 8, 0, 31, 35, 18, 46, 35, 25, 30, 50, 48, 14, 38, 25, 5, 11, 29, 20, 31, 2, 36, 24, 2, 48, 7, 1, 24, 35, 45, 27, 48, 10, 26, 2, 5, 9, 32, 33, 31, 50, 29, 0, 49, 21, 5, 22, 7, 37, 1, 48, 50, 29, 11, 1, 19, 41, 49, 11, 31, 43, 33, 1, 11, 24, 24, 15, 41, 49, 13, 3, 12, 37, 34, 0, 47, 7, 34, 38, 18, 46, 1, 31, 42, 49, 44, 34, 47, 38, 40, 17, 0, 38, 7, 50, 11, 6, 41, 2, 35]
[13, 33, 41, 35, 10, 0, 33, 21, 38, 21, 36, 31, 31, 27, 16, 27, 8, 44, 41, 36, 48, 31, 46, 37, 35, 40, 25, 29, 31, 26, 46, 48, 31, 40, 10, 46, 45, 14, 16, 15, 27, 11, 22, 1, 48, 2, 50, 46, 16, 38, 44, 44, 40, 5, 32, 15, 8, 31, 13, 38, 15, 46, 6, 0, 36, 11, 33, 20, 46, 37, 38, 17, 50, 35, 0, 26, 38, 34, 0, 33, 16, 21, 1, 17, 8, 8, 1, 25, 11, 50, 27, 22, 22, 30, 10, 38, 13, 5, 23, 37, 36, 36, 41, 26, 33, 11, 2]
[27, 41, 41, 28, 37, 33, 0, 15, 46, 36, 47, 14, 13, 46, 8, 34, 32, 13, 6, 29, 41, 8, 24, 49, 27, 44, 44, 47, 6, 32, 39, 10, 24, 27, 45, 49, 41, 27, 37, 30, 0, 26, 19, 14, 30, 11, 19, 24, 43, 11, 30, 22, 32, 38, 32, 17, 40, 12, 13, 22, 15, 42, 37, 23, 37, 7, 16, 18, 49, 5, 43, 42, 23, 17, 33, 13, 2, 39, 26, 23, 28, 34, 15, 13, 39, 48, 0, 49, 9, 25, 47, 22, 31, 34, 5, 14, 50, 31, 50, 21, 20, 43, 26, 33, 10, 18, 25]
[2, 46, 23, 43, 48, 21, 15, 0, 7, 44, 29, 48, 12, 45, 11, 7, 46, 5, 13, 46, 3, 11, 3, 9, 44, 30, 50, 34, 7, 8, 25, 32, 42, 29, 8, 18, 42, 6, 13, 50, 9, 35, 47, 40, 22, 13, 19, 9, 46, 26, 10, 18, 10, 50, 15, 1, 43, 34, 7, 45, 47, 40, 25, 50, 0, 0, 25, 29, 35, 19, 30, 27, 40, 9, 33, 39, 20, 20, 1, 36, 48, 2, 11, 28, 5, 20, 13, 30, 2, 29, 35, 14, 3, 30, 33, 1, 11, 32, 9, 2, 33, 47, 37, 49, 3, 7, 44]
[25, 35, 35, 34, 8, 38, 46, 7, 0, 48, 6, 1, 29, 0, 18, 24, 9, 35, 17, 30, 34, 50, 35, 18, 27, 1, 35, 15, 15, 47, 14, 0, 33, 24, 0, 27, 42, 18, 5, 20, 4, 11, 12, 2, 47, 23, 23, 50, 41, 30, 34, 15, 35, 28, 23, 25, 48, 26, 13, 4, 2, 42, 19, 46, 42, 12, 44, 49, 38, 32, 48, 41, 48, 35, 3, 32, 4, 0, 17, 42, 45, 38, 26, 40, 6, 1, 36, 38, 39, 37, 37, 38, 16, 50, 18, 46, 38, 26, 23, 9, 12, 50, 12, 47, 25, 10, 40]
[15, 12, 22, 23, 0, 21, 36, 44, 48, 0, 42, 21, 49, 29, 32, 24, 11, 27, 29, 0, 48, 29, 41, 4, 39, 23, 4, 35, 24, 42, 43, 49, 24, 29, 42, 50, 0, 7, 9, 40, 40, 10, 25, 14, 42, 29, 41, 34, 0, 8, 45, 2, 23, 11, 3, 17, 14, 32, 18, 48, 1, 13, 6, 18, 5, 4, 32, 5, 36, 44, 17, 2, 39, 0, 50, 21, 7, 2, 43, 29, 5, 33, 30, 8, 47, 21, 44, 25, 6, 22, 24, 2, 43, 40, 41, 18, 7, 35, 41, 10, 9, 18, 5, 7, 25, 30, 42]
