N1,N2,...,Nx
[0, 13, 5, 50, 10, 28, 12, 39, 39, 0, 47, 9, 33, 5, 27, 13, 44, 27, 15, 16, 30, 49, 15, 35, 29, 18, 30, 9, 6, 45, 10, 22, 33, 47, 12, 34, 49, 3, 5, 1, 42, 28, 0, 26, 8, 22, 33, 17, 27, 9, 40, 46, 13, 1, 31, 47, 48, 32, 38, 40, 49, 45, 45, 29, 6, 25, 1, 11, 46, 12, 26, 38, 0, 6, 43, 11, 1, 1, 24, 12, 18, 36, 7, 38, 28, 47, 25, 11, 6, 37, 3, 50, 9, 27, 4, 1, 8, 7, 30, 42, 3, 48, 21, 7, 6, 0, 19, 18]
[13, 0, 22, 31, 20, 30, 46, 18, 50, 5, 5, 22, 6, 49, 3, 19, 40, 37, 41, 5, 0, 5, 6, 40, 12, 41, 35, 3, 35, 32, 34, 16, 39, 29, 33, 19, 11, 31, 38, 41, 34, 43, 15, 25, 20, 18, 13, 8, 49, 33, 29, 20, 15, 9, 5, 6, 25, 5, 35, 36, 38, 15, 18, 3, 20, 23, 22, 2, 18, 36, 42, 18, 24, 2, 14, 8, 36, 40, 30, 50, 28, 9, 27, 13, 24, 32, 23, 29, 8, 8, 46, 20, 15, 29, 40, 14, 31, 45, 10, 44, 17, 44, 30, 47, 34, 48, 46, 30]
[5, 22, 0, 21, 8, 39, 0, 20, 14, 4, 25, 10, 37, 22, 40, 6, 12, 45, 7, 50, 17, 6, 22, 47, 1, 37, 15, 10, 30, 17, 2, 6, 44, 32, 1, 42, 15, 38, 39, 10, 10, 48, 32, 37, 37, 4, 21, 47, 31, 1, 40, 14, 5, 39, 0, 12, 49, 38, 39, 43, 44, 34, 32, 6, 45, 48, 7, 48, 11, 38, 22, 33, 49, 26, 31, 50, 46, 42, 10, 28, 25, 7, 36, 43, 48, 14, 37, 10, 21, 41, 21, 1, 25, 2, 6, 22, 9, 8, 44, 38, 17, 30, 1, 23, 27, 29, 43, 5]
[50, 31, 21, 0, 36, 9, 18, 14, 7, 50, 36, 35, 35, 21, 4, 20, 18, 14, 25, 36, 26, 33, 44, 2, 29, 33, 33, 33, 3, 33, 43, 18, 38, 16, 42, 31, 1, 47, 16, 44, 48, 42, 14, 0, 0, 48, 48, 2, 35, 40, 25, 5, 34, 48, 47, 34, 28, 25, 10, 18, 48, 48, 39, 33, 30, 38, 45, 37, 16, 12, 0, 45, 8, 14, 12, 34, 24, 38, 18, 12, 30, 0, 38, 42, 40, 16, 24, 25, 11, 13, 30, 49, 35, 27, 43, 6, 48, 46, 13, 42, 40, 47, 22, 3, 30, 15, 0, 32]
[10, 20, 8, 36, 0, 42, 32, 7, 2, 46, 5, 23, 46, 19, 50, 20, 8, 23, 47, 45, 48, 40, 30, 19, 45, 9, 37, 35, 7, 38, 35, 50, 19, 30, 35, 9, 3, 5, 4, 4, 49, 0, 20, 32, 18, 11, 8, 43, 29, 26, 46, 33, 41, 28, 31, 35, 34, 20, 23, 24, 3, 12, 3, 35, 47, 48, 48, 23, 46, 14, 14, 44, 1, 4, 2, 48, 46, 29, 18, 49, 4, 18, 13, 15, 26, 3, 27, 40, 12, 9, 48, 47, 18, 49, 26, 21, 8, 47, 3, 41, 47, 14, 42, 18, 8, 6, 46, 12]
[28, 30, 39, 9, 42, 0, 37, 47, 42, 24, 34, 10, 12, 31, 9, 0, 23, 40, 1, 25, 3, 43, 39, 41, 32, 9, 49, 2, 27, 50, 25, 46, 41, 13, 41, 39, 40, 26, 28, 12, 18, 34, 34, 35, 48, 0, 2, 33, 7, 21, 28, 39, 22, 14, 17, 21, 37, 42, 48, 13, 18, 4, 25, 13, 13, 41, 22, 37, 12, 45, 39, 13, 49, 42, 6, 13, 49, 23, 27, 4, 9, 16, 8, 35, 43, 40, 27, 28, 18, 41, 30, 38, 1, 39, 27, 9, 10, 47, 0, 11, 30, 49, 16, 5, 14, 0, 35, 34]
[12, 46, 0, 18, 32, 37, 0, 36, 33, 20, 17, 43, 40, 36, 16, 37, 8, 45, 40, 25, 45, 25, 10, 30, 14, 28, 1, 23, 48, 12, 17, 43, 43, 20, 35, 15, 14, 0, 0, 11, 21, 9, 7, 7, 30, 9, 12, 28, 35, 22, 38, 28, 3, 34, 18, 19, 43, 4, 5, 50, 47, 36, 9, 25, 35, 4, 2, 8, 45, 47, 2, 21, 45, 37, 42, 39, 3, 34, 33, 20, 3, 4, 15, 23, 5, 3, 14, 6, 31, 4, 38, 33, 31, 42, 37, 11, 37, 7, 21, 9, 32, 16, 49, 9, 42, 45, 50, 34]
[39, 18, 20, 14, 7, 47, 36, 0, 33, 13, 37, 42, 24, 38, 27, 25, 32, 30, 37, 22, 22, 41, 47, 41, 32, 1, 28, 27, 29, 34, 49, 25, 34, 4, 2, 34, 22, 46, 17, 35, 17, 26, 18, 26, 4, 14, 4, 37, 9, 44, 45, 31, 23, 31, 36, 40, 8, 47, 2, 10, 43, 32, 37, 7, 38, 14, 41, 21, 25, 40, 43, 46, 0, 12, 37, 50, 12, 32, 8, 29, 32, 27, 14, 12, 36, 31, 44, 43, 29, 24, 29, 20, 36, 49, 36, 28, 35, 47, 19, 6, 45, 0, 44, 3, 35, 46, 9, 7]
[39, 50, 14, 7, 2, 42, 33, 33, 0, 7, 16, 7, 34, 28, 23, 36, 3, 21, 5, 43, 29, 17, 50, 50, 36, 38, 46, 33, 3, 24, 16, 3, 7, 12, 43, 6, 18, 3, 1, 28, 25, 31, 49, 10, 5, 20, 30, 1, 5, 38, 46, 37, 24, 12, 18, 39, 42, 7, 36, 19, 11, 43, 39, 18, 17, 19, 44, 37, 39, 14, 18, 42, 47, 9, 35, 13, 11, 44, 13, 23, 31, 16, 50, 28, 26, 16, 36, 25, 29, 17, 26, 10, 19, 45, 42, 19, 36, 22, 26, 6, 21, 17, 28, 37, 45, 8, 2, 15]
[0, 5, 4, 50, 46, 24, 20, 13, 7, 0, 19, 26, 1, 46, 25, 35, 30, 47, 6, 23, 10, 37, 22, 10, 17, 15, 23, 38, 38, 4, 36, 32, 31, 24, 50, 5, 19, 33, 13, 43, 12, 37, 27, 4, 29, 15, 41, 28, 45, 36, 39, 48, 5, 9, 41, 28, 12, 24, 2, 6, 16, 31, 13, 31, 21, 29, 19, 18, 45, 5, 21, 5, 14, 41, 41, 43, 24, 5, 24, 28, 33, 12, 8, 28, 8, 36, 10, 22, 30, 19, 34, 36, 32, 39, 17, 49, 41, 36, 5, 44, 9, 32, 29, 1, 44, 5, 26, 47]
