N1,N2,...,Nx
[0, 8, 4, 22, 28, 32, 40, 35, 3, 38, 22, 37, 23, 2, 47, 13, 20, 50, 15, 8, 10, 39, 35, 33, 24, 46, 24, 26, 38, 36, 6, 31, 16, 25, 6, 37, 10, 45, 44, 8, 26, 11, 0, 7, 27, 23, 43, 50, 15, 23, 3, 1, 28, 11, 15, 5, 14, 5, 26, 35, 36, 2, 46, 27, 26, 27, 48, 39, 7, 37, 23, 8, 31, 14, 3, 30, 47, 18, 40, 27, 9, 38, 34, 0, 10, 23, 26, 44, 23, 36, 28, 47, 22, 40, 33, 33, 8, 29, 47, 25, 15, 26, 24, 34, 11, 23, 10, 12, 29, 14, 50, 17, 7, 9, 17, 37, 13, 31, 28, 44, 15, 4, 9, 28, 16, 27, 19, 38, 27, 48, 19, 30, 8, 9, 33, 0, 42, 10, 2, 43, 36, 37, 36, 14, 34, 6, 11, 12, 31, 40, 39, 18, 27]
[8, 0, 18, 10, 27, 16, 32, 4, 21, 30, 23, 32, 13, 4, 46, 24, 4, 12, 1, 1, 32, 18, 19, 2, 1, 21, 42, 10, 49, 20, 37, 6, 28, 50, 13, 30, 25, 43, 27, 38, 46, 37, 6, 12, 9, 48, 37, 6, 21, 20, 41, 3, 1, 23, 25, 10, 29, 6, 36, 19, 6, 36, 15, 24, 44, 17, 2, 8, 36, 30, 25, 23, 7, 41, 34, 31, 6, 38, 36, 0, 20, 43, 41, 47, 38, 16, 42, 33, 10, 1, 44, 14, 28, 18, 10, 19, 44, 24, 27, 33, 43, 5, 46, 22, 4, 40, 2, 21, 31, 4, 36, 42, 12, 31, 10, 46, 47, 21, 46, 8, 21, 33, 30, 9, 41, 45, 14, 17, 39, 26, 14, 5, 12, 20, 32, 50, 18, 40, 27, 10, 48, 32, 25, 39, 50, 23, 17, 34, 26, 8, 18, 33, 13]
[4, 18, 0, 27, 20, 7, 30, 37, 29, 31, 3, 12, 9, 28, 11, 41, 24, 23, 28, 44, 0, 4, 47, 3, 34, 24, 23, 36, 25, 35, 37, 38, 45, 29, 35, 46, 4, 31, 46, 38, 34, 11, 2, 22, 45, 2, 14, 38, 39, 33, 16, 3, 40, 30, 5, 9, 41, 15, 48, 13, 47, 16, 33, 32, 5, 44, 6, 34, 14, 47, 42, 45, 36, 21, 14, 45, 39, 8, 20, 39, 35, 11, 35, 39, 24, 31, 40, 35, 46, 33, 1, 46, 35, 40, 0, 25, 24, 46, 6, 46, 28, 32, 33, 10, 37, 14, 33, 18, 40, 2, 33, 49, 16, 30, 47, 22, 29, 19, 10, 50, 48, 45, 50, 13, 8, 39, 47, 22, 4, 15, 32, 18, 19, 0, 36, 28, 40, 29, 44, 16, 5, 5, 44, 17, 31, 20, 15, 29, 41, 47, 48, 16, 32]
[22, 10, 27, 0, 0, 20, 7, 29, 30, 19, 38, 2, 4, 38, 13, 7, 49, 10, 32, 19, 22, 0, 21, 48, 48, 45, 21, 12, 5, 43, 26, 19, 15, 9, 46, 3, 11, 42, 45, 48, 26, 16, 28, 37, 42, 11, 46, 49, 27, 35, 46, 17, 7, 36, 24, 47, 3, 43, 41, 2, 28, 50, 50, 12, 45, 15, 41, 46, 9, 0, 7, 0, 34, 25, 16, 18, 5, 31, 24, 42, 23, 45, 7, 15, 10, 23, 2, 29, 17, 13, 44, 39, 24, 24, 7, 41, 12, 46, 12, 40, 22, 26, 37, 21, 22, 42, 20, 17, 5, 40, 5, 33, 10, 3, 33, 11, 13, 33, 46, 15, 32, 23, 25, 33, 15, 43, 0, 3, 18, 11, 8, 37, 40, 15, 18, 5, 39, 6, 4, 23, 6, 14, 20, 0, 15, 49, 27, 19, 35, 10, 17, 5, 13]
[28, 27, 20, 0, 0, 7, 33, 44, 50, 29, 21, 3, 47, 39, 15, 26, 36, 22, 5, 32, 24, 6, 35, 12, 15, 3, 34, 25, 34, 36, 36, 8, 1, 7, 25, 32, 6, 22, 31, 35, 11, 38, 19, 26, 17, 47, 12, 23, 19, 28, 50, 40, 22, 8, 0, 28, 24, 6, 33, 36, 1, 17, 6, 3, 3, 24, 24, 5, 12, 6, 6, 39, 11, 45, 31, 34, 50, 5, 45, 16, 47, 6, 14, 48, 32, 8, 11, 43, 37, 4, 16, 14, 8, 0, 33, 17, 33, 11, 21, 21, 8, 22, 25, 39, 47, 45, 3, 41, 10, 7, 19, 25, 35, 31, 30, 9, 11, 13, 15, 41, 47, 6, 32, 5, 32, 7, 6, 14, 35, 9, 35, 38, 26, 37, 48, 7, 1, 39, 11, 36, 27, 9, 22, 41, 27, 16, 14, 4, 45, 39, 22, 26, 8]
[32, 16, 7, 20, 7, 0, 20, 44, 4, 13, 35, 37, 49, 39, 27, 18, 25, 45, 45, 39, 12, 14, 13, 0, 17, 31, 32, 45, 35, 38, 10, 21, 46, 33, 15, 9, 28, 8, 33, 21, 31, 13, 25, 22, 17, 22, 9, 15, 21, 24, 43, 44, 41, 4, 6, 12, 36, 37, 33, 8, 48, 21, 6, 46, 15, 5, 24, 36, 34, 45, 37, 9, 12, 23, 44, 10, 1, 28, 44, 26, 23, 29, 40, 22, 22, 39, 45, 38, 37, 39, 50, 19, 4, 36, 4, 4, 19, 13, 11, 38, 30, 47, 38, 21, 16, 14, 40, 38, 17, 20, 37, 4, 6, 19, 12, 43, 31, 31, 46, 8, 5, 19, 31, 47, 28, 12, 20, 9, 9, 18, 42, 38, 6, 0, 15, 2, 35, 30, 3, 35, 5, 12, 0, 15, 20, 1, 12, 23, 17, 19, 13, 18, 18]
[40, 32, 30, 7, 33, 20, 0, 14, 4, 32, 6, 0, 33, 21, 23, 43, 28, 12, 33, 27, 42, 9, 28, 22, 17, 0, 13, 17, 20, 4, 40, 19, 14, 25, 49, 23, 37, 4, 25, 13, 21, 35, 12, 38, 35, 47, 41, 16, 23, 9, 37, 1, 14, 9, 50, 3, 9, 50, 8, 27, 19, 5, 41, 46, 0, 48, 50, 47, 33, 8, 31, 20, 23, 43, 30, 31, 22, 22, 16, 27, 16, 17, 18, 13, 35, 20, 6, 22, 33, 5, 38, 33, 7, 29, 35, 44, 26, 15, 2, 29, 21, 9, 9, 10, 20, 44, 13, 22, 46, 45, 5, 37, 0, 3, 1, 22, 7, 19, 15, 20, 6, 2, 16, 17, 23, 17, 12, 12, 36, 2, 18, 25, 11, 49, 20, 21, 32, 18, 34, 33, 1, 14, 47, 31, 18, 41, 23, 42, 31, 7, 39, 20, 19]
[35, 4, 37, 29, 44, 44, 14, 0, 8, 32, 18, 36, 13, 38, 6, 13, 20, 4, 30, 9, 36, 35, 42, 14, 18, 31, 43, 43, 48, 9, 11, 18, 28, 15, 49, 23, 41, 25, 44, 19, 7, 18, 13, 48, 12, 13, 4, 27, 20, 47, 47, 33, 47, 6, 22, 29, 47, 23, 13, 39, 2, 2, 10, 14, 11, 25, 2, 47, 2, 48, 45, 29, 8, 1, 4, 28, 36, 34, 38, 4, 6, 48, 41, 18, 17, 33, 50, 2, 50, 19, 40, 35, 11, 42, 11, 9, 40, 48, 20, 34, 35, 11, 46, 12, 34, 25, 26, 39, 2, 29, 26, 39, 18, 16, 28, 22, 32, 50, 45, 30, 25, 39, 49, 34, 24, 10, 16, 36, 43, 45, 22, 29, 0, 14, 49, 5, 30, 36, 30, 14, 2, 18, 39, 35, 27, 31, 22, 18, 17, 5, 23, 31, 50]
[3, 21, 29, 30, 50, 4, 4, 8, 0, 45, 2, 42, 39, 30, 1, 8, 28, 38, 49, 31, 27, 42, 13, 48, 17, 29, 23, 16, 38, 13, 35, 44, 50, 17, 48, 15, 49, 43, 8, 0, 16, 9, 18, 27, 4, 26, 44, 9, 22, 16, 30, 18, 50, 8, 14, 34, 47, 26, 4, 29, 48, 16, 22, 17, 22, 15, 20, 3, 23, 35, 32, 1, 17, 34, 24, 38, 37, 35, 12, 46, 32, 20, 42, 48, 30, 45, 7, 16, 39, 9, 33, 2, 21, 31, 4, 6, 36, 28, 38, 25, 45, 34, 49, 30, 16, 23, 18, 30, 11, 42, 21, 42, 43, 20, 27, 30, 45, 23, 29, 5, 40, 10, 40, 35, 22, 8, 31, 47, 17, 23, 21, 42, 34, 17, 15, 17, 20, 44, 42, 19, 41, 44, 6, 19, 21, 22, 40, 7, 8, 6, 8, 6, 2]
[38, 30, 31, 19, 29, 13, 32, 32, 45, 0, 17, 14, 16, 11, 47, 40, 39, 48, 50, 28, 16, 1, 9, 44, 24, 27, 35, 17, 50, 16, 10, 39, 49, 36, 39, 48, 14, 30, 49, 20, 15, 5, 27, 7, 5, 20, 31, 25, 45, 32, 17, 12, 2, 4, 23, 25, 3, 14, 37, 39, 26, 37, 16, 5, 29, 2, 42, 14, 48, 47, 5, 28, 11, 16, 29, 28, 6, 11, 6, 8, 23, 47, 38, 15, 19, 33, 48, 19, 19, 21, 29, 27, 23, 16, 7, 5, 12, 13, 1, 28, 24, 4, 12, 32, 12, 9, 24, 44, 38, 14, 9, 44, 25, 42, 48, 41, 46, 1, 34, 4, 40, 41, 0, 38, 20, 35, 46, 49, 13, 18, 31, 23, 19, 47, 18, 16, 43, 50, 36, 7, 13, 36, 37, 25, 20, 32, 42, 31, 44, 20, 2, 20, 26]
