N1,N2,...,Nx
[0, 39, 14, 46, 12, 20, 18, 50, 9, 46, 40, 26, 6, 42, 3, 23, 43, 2, 32, 28, 21, 35, 28, 11, 16, 20, 45, 45, 50, 50, 45, 46, 22, 18, 11, 16, 5, 31, 38, 20, 28, 29, 50, 30, 15, 40, 23, 49, 8, 4, 49, 2, 25, 36, 49, 0, 1, 36, 43, 18, 12, 48, 8, 4, 23, 36, 34, 35, 28, 7, 40, 48, 24, 27, 38, 13, 8, 43, 0, 32, 24, 49, 48, 48, 38, 41, 16, 12, 4, 19, 40, 15, 27, 19, 1, 7, 27, 40, 40, 16, 11, 3, 9, 20, 22, 7, 38, 43, 12, 12, 9, 32, 5]
[39, 0, 50, 9, 35, 18, 42, 13, 42, 36, 13, 17, 3, 16, 15, 37, 17, 28, 30, 42, 5, 28, 11, 37, 21, 24, 47, 28, 49, 13, 33, 42, 24, 24, 14, 27, 16, 29, 7, 4, 26, 13, 23, 30, 47, 15, 14, 43, 14, 0, 39, 43, 43, 44, 26, 7, 27, 17, 34, 24, 20, 36, 7, 15, 27, 25, 22, 40, 48, 46, 5, 41, 5, 36, 4, 16, 36, 33, 46, 15, 50, 50, 47, 15, 25, 45, 9, 30, 20, 23, 45, 26, 41, 28, 18, 39, 45, 22, 25, 12, 2, 44, 31, 23, 45, 33, 7, 37, 41, 49, 29, 7, 16]
[14, 50, 0, 33, 38, 0, 14, 7, 5, 16, 21, 27, 3, 9, 2, 17, 20, 39, 11, 29, 1, 45, 7, 14, 17, 1, 37, 7, 42, 8, 44, 36, 2, 45, 28, 36, 40, 4, 8, 48, 28, 26, 26, 12, 23, 2, 35, 25, 45, 1, 45, 18, 40, 40, 18, 8, 13, 13, 11, 2, 15, 50, 23, 9, 23, 7, 23, 7, 17, 29, 43, 47, 20, 34, 3, 34, 17, 39, 0, 26, 27, 19, 19, 39, 18, 2, 49, 7, 13, 15, 45, 31, 49, 19, 44, 48, 4, 4, 0, 3, 28, 49, 25, 37, 29, 48, 3, 49, 17, 25, 7, 48, 49]
[46, 9, 33, 0, 7, 10, 35, 3, 48, 49, 45, 36, 36, 18, 41, 29, 43, 4, 2, 2, 46, 13, 32, 22, 34, 25, 34, 7, 47, 16, 12, 13, 23, 38, 2, 8, 41, 40, 17, 37, 20, 40, 19, 18, 29, 36, 49, 0, 26, 41, 50, 9, 15, 35, 50, 38, 34, 23, 35, 20, 11, 23, 21, 24, 2, 37, 29, 32, 47, 9, 30, 34, 31, 1, 39, 10, 12, 20, 21, 19, 44, 44, 37, 33, 3, 47, 37, 46, 26, 6, 49, 32, 9, 11, 27, 20, 48, 24, 31, 38, 26, 7, 39, 1, 32, 25, 38, 19, 10, 48, 26, 50, 17]
[12, 35, 38, 7, 0, 21, 0, 28, 3, 35, 0, 50, 8, 26, 42, 46, 20, 45, 43, 46, 35, 26, 36, 5, 9, 31, 6, 9, 39, 30, 20, 19, 45, 46, 0, 20, 26, 28, 18, 19, 23, 13, 37, 29, 15, 7, 33, 16, 29, 46, 13, 6, 18, 2, 29, 0, 22, 27, 18, 4, 22, 2, 33, 32, 16, 5, 48, 22, 3, 10, 40, 14, 44, 38, 4, 38, 27, 36, 24, 40, 12, 20, 9, 6, 10, 10, 44, 40, 28, 14, 4, 19, 47, 27, 17, 5, 24, 41, 16, 2, 11, 46, 7, 34, 13, 15, 7, 50, 15, 35, 3, 20, 45]
[20, 18, 0, 10, 21, 0, 4, 24, 31, 43, 31, 10, 50, 39, 50, 29, 18, 29, 16, 6, 44, 9, 41, 15, 24, 2, 29, 37, 43, 30, 33, 16, 23, 41, 29, 6, 23, 43, 9, 43, 11, 33, 26, 35, 35, 48, 37, 48, 34, 6, 44, 24, 36, 28, 19, 44, 3, 50, 46, 5, 27, 50, 32, 26, 38, 28, 48, 5, 23, 12, 18, 27, 38, 15, 42, 31, 20, 7, 43, 25, 19, 27, 35, 2, 6, 15, 50, 30, 35, 39, 8, 20, 4, 4, 7, 4, 9, 3, 25, 26, 17, 16, 39, 23, 40, 26, 36, 25, 15, 20, 30, 33, 31]
[18, 42, 14, 35, 0, 4, 0, 31, 35, 40, 45, 1, 2, 38, 49, 48, 30, 22, 49, 49, 7, 32, 7, 36, 28, 5, 49, 10, 26, 8, 49, 18, 5, 24, 31, 3, 6, 1, 49, 38, 41, 42, 47, 16, 35, 35, 39, 35, 9, 11, 50, 44, 34, 33, 14, 32, 49, 36, 7, 29, 38, 47, 27, 34, 17, 25, 25, 36, 49, 26, 17, 37, 31, 45, 13, 0, 0, 7, 27, 1, 29, 31, 0, 2, 36, 12, 29, 31, 8, 41, 24, 3, 3, 0, 8, 37, 21, 14, 25, 37, 41, 3, 23, 40, 19, 18, 33, 14, 13, 35, 49, 12, 26]
[50, 13, 7, 3, 28, 24, 31, 0, 12, 38, 15, 21, 4, 33, 27, 23, 44, 15, 46, 18, 13, 24, 37, 15, 4, 38, 17, 11, 24, 0, 7, 40, 36, 26, 3, 44, 33, 19, 31, 48, 23, 41, 37, 2, 50, 18, 36, 15, 32, 13, 36, 9, 37, 50, 50, 17, 26, 22, 34, 11, 33, 8, 13, 11, 0, 22, 3, 23, 48, 34, 41, 7, 5, 17, 33, 25, 14, 15, 33, 21, 1, 8, 11, 31, 25, 14, 28, 44, 14, 23, 11, 42, 40, 11, 25, 35, 8, 43, 39, 22, 28, 7, 12, 22, 23, 7, 17, 27, 37, 22, 32, 44, 43]
[9, 42, 5, 48, 3, 31, 35, 12, 0, 31, 42, 34, 48, 41, 29, 25, 5, 33, 43, 39, 17, 49, 17, 19, 36, 25, 4, 33, 42, 9, 12, 13, 33, 35, 25, 50, 44, 10, 25, 38, 1, 21, 39, 1, 15, 44, 43, 36, 9, 2, 35, 27, 2, 32, 33, 37, 47, 47, 34, 36, 48, 39, 41, 42, 14, 5, 38, 19, 27, 12, 28, 8, 2, 20, 35, 37, 32, 3, 41, 32, 30, 35, 49, 33, 46, 41, 2, 40, 47, 47, 44, 14, 41, 8, 38, 43, 31, 50, 29, 29, 46, 14, 38, 40, 3, 44, 7, 36, 6, 17, 34, 22, 2]
[46, 36, 16, 49, 35, 43, 40, 38, 31, 0, 3, 43, 14, 34, 15, 29, 1, 46, 28, 28, 13, 40, 13, 34, 6, 24, 22, 39, 39, 29, 19, 29, 43, 15, 3, 29, 42, 29, 37, 38, 23, 41, 19, 37, 4, 5, 29, 38, 1, 41, 16, 6, 14, 42, 23, 11, 14, 8, 15, 20, 23, 41, 44, 49, 25, 48, 18, 7, 45, 24, 46, 26, 16, 48, 33, 21, 4, 14, 8, 21, 10, 20, 36, 30, 50, 46, 37, 48, 18, 10, 29, 21, 1, 46, 28, 3, 16, 36, 15, 28, 37, 13, 5, 46, 27, 12, 32, 3, 30, 32, 1, 45, 41]
