N1,N2,...,Nx
[0, 40, 39, 40, 46, 35, 47, 6, 0, 46, 34, 3, 48, 40, 42, 46, 29, 14, 46, 27, 17, 20, 40, 7, 23, 38, 17, 30, 13, 19, 10, 5, 2, 1, 21, 20, 9, 17, 7, 17, 34, 8, 18, 12, 41, 31, 0, 26, 27, 13, 27, 21, 42, 3, 12, 8, 38, 34, 19, 19, 17, 40, 36, 2, 46, 3, 31, 23, 18, 37, 24, 23, 27, 44, 13, 33, 11, 11, 11, 10, 37, 44, 2, 11, 23, 31, 35, 32, 1, 34, 44, 26, 9, 45, 29, 13, 21, 48, 0, 28, 21, 39, 34, 12, 23, 28, 32, 10, 44, 31, 31, 15, 15, 32, 33, 2, 8, 34, 43, 21, 13, 3, 1, 34, 35, 13, 9, 31, 5, 29, 11, 41, 9, 45, 43, 24, 12, 30, 42, 24, 48, 16, 27, 14, 0, 28, 15, 45, 46, 6, 0, 38, 19, 46, 35, 35, 33]
[40, 0, 33, 50, 24, 30, 22, 4, 49, 17, 41, 19, 26, 5, 43, 31, 29, 5, 26, 46, 0, 4, 18, 12, 50, 4, 23, 20, 13, 35, 29, 2, 42, 37, 36, 17, 33, 4, 1, 46, 21, 5, 41, 10, 2, 28, 43, 42, 29, 2, 31, 2, 14, 29, 26, 26, 4, 28, 20, 31, 34, 41, 48, 15, 3, 12, 25, 0, 39, 7, 49, 22, 23, 2, 0, 43, 9, 15, 40, 39, 31, 45, 42, 11, 4, 19, 24, 11, 34, 47, 14, 0, 48, 32, 23, 24, 16, 37, 5, 48, 37, 12, 13, 21, 45, 27, 43, 27, 28, 9, 32, 21, 29, 12, 32, 35, 1, 38, 49, 16, 28, 30, 21, 30, 44, 8, 0, 35, 47, 1, 36, 36, 39, 39, 16, 34, 22, 45, 16, 33, 30, 11, 46, 23, 37, 20, 12, 16, 32, 40, 34, 5, 27, 9, 33, 38, 20]
[39, 33, 0, 27, 33, 11, 6, 24, 29, 1, 14, 13, 17, 31, 36, 29, 3, 30, 48, 19, 48, 5, 3, 24, 13, 35, 43, 49, 14, 23, 31, 37, 38, 6, 10, 38, 35, 30, 27, 19, 1, 3, 7, 22, 3, 45, 41, 46, 5, 5, 42, 18, 39, 37, 30, 49, 19, 38, 11, 42, 18, 22, 28, 43, 41, 22, 8, 47, 36, 38, 46, 14, 29, 49, 23, 17, 15, 10, 12, 36, 40, 22, 32, 49, 38, 3, 12, 20, 12, 43, 45, 18, 8, 14, 39, 22, 34, 16, 10, 25, 5, 44, 4, 29, 26, 27, 7, 22, 36, 41, 11, 35, 45, 37, 39, 39, 40, 50, 10, 17, 6, 1, 9, 41, 20, 38, 44, 18, 48, 40, 7, 29, 21, 47, 13, 48, 18, 41, 19, 16, 13, 46, 42, 15, 47, 20, 8, 44, 7, 24, 5, 3, 29, 21, 0, 22, 46]
[40, 50, 27, 0, 5, 33, 49, 39, 45, 23, 19, 30, 5, 18, 3, 3, 35, 49, 15, 31, 7, 10, 34, 50, 36, 22, 7, 25, 32, 38, 32, 24, 44, 40, 48, 0, 39, 44, 42, 34, 43, 41, 28, 4, 19, 25, 46, 43, 49, 45, 27, 33, 34, 18, 31, 25, 23, 18, 0, 48, 50, 46, 18, 24, 36, 33, 33, 23, 0, 8, 31, 2, 20, 44, 25, 28, 42, 29, 32, 38, 26, 12, 28, 47, 2, 30, 13, 33, 24, 2, 2, 15, 49, 11, 1, 1, 49, 28, 36, 1, 0, 21, 46, 28, 47, 16, 26, 19, 19, 25, 41, 3, 20, 4, 46, 4, 15, 45, 46, 42, 9, 49, 13, 20, 17, 49, 21, 19, 0, 48, 47, 2, 12, 28, 28, 21, 39, 39, 30, 43, 17, 47, 8, 14, 33, 4, 2, 50, 45, 49, 33, 36, 19, 38, 17, 31, 33]
[46, 24, 33, 5, 0, 49, 49, 24, 36, 36, 45, 50, 26, 15, 4, 24, 41, 32, 36, 27, 31, 0, 33, 18, 37, 16, 22, 16, 11, 4, 19, 18, 47, 18, 29, 31, 35, 26, 39, 39, 33, 44, 2, 35, 6, 34, 41, 48, 9, 2, 42, 32, 42, 33, 34, 35, 15, 28, 0, 48, 31, 38, 5, 25, 31, 11, 49, 16, 3, 5, 33, 9, 27, 7, 21, 14, 9, 26, 21, 19, 24, 27, 33, 43, 26, 3, 5, 3, 26, 47, 23, 44, 20, 44, 49, 9, 39, 23, 30, 46, 38, 42, 17, 20, 15, 11, 1, 0, 31, 23, 33, 10, 22, 31, 37, 46, 45, 15, 7, 25, 26, 24, 10, 22, 47, 29, 38, 48, 29, 2, 36, 25, 0, 37, 36, 19, 36, 34, 49, 1, 32, 26, 32, 5, 20, 38, 44, 33, 24, 31, 42, 24, 48, 44, 37, 35, 13]
[35, 30, 11, 33, 49, 0, 15, 0, 30, 47, 36, 26, 28, 45, 24, 40, 45, 20, 28, 41, 15, 27, 40, 28, 0, 31, 18, 31, 39, 48, 18, 5, 40, 30, 19, 43, 37, 32, 3, 31, 41, 23, 46, 43, 23, 35, 40, 32, 39, 9, 21, 6, 24, 38, 38, 20, 37, 6, 48, 34, 2, 45, 22, 14, 28, 26, 34, 20, 47, 29, 16, 5, 27, 35, 6, 30, 28, 2, 44, 18, 30, 43, 40, 38, 10, 15, 40, 18, 43, 36, 3, 43, 50, 7, 45, 25, 14, 19, 6, 18, 26, 19, 29, 50, 24, 30, 15, 36, 36, 12, 46, 16, 4, 31, 0, 31, 34, 15, 31, 3, 38, 41, 15, 1, 23, 27, 31, 41, 30, 4, 4, 25, 20, 48, 37, 43, 17, 27, 43, 45, 34, 0, 20, 44, 36, 38, 35, 6, 12, 23, 33, 16, 35, 27, 30, 24, 41]
[47, 22, 6, 49, 49, 15, 0, 37, 20, 12, 13, 20, 43, 0, 25, 44, 29, 31, 30, 46, 32, 45, 23, 29, 27, 11, 32, 24, 8, 10, 42, 9, 31, 2, 19, 46, 5, 26, 5, 34, 14, 0, 15, 38, 46, 18, 42, 10, 3, 44, 3, 2, 40, 42, 19, 21, 25, 7, 40, 8, 5, 35, 9, 40, 5, 0, 45, 24, 47, 14, 40, 16, 42, 41, 15, 17, 7, 21, 34, 46, 15, 10, 42, 20, 3, 47, 29, 41, 18, 41, 37, 3, 21, 2, 33, 40, 24, 31, 34, 13, 4, 8, 5, 46, 6, 44, 30, 35, 35, 47, 7, 41, 37, 12, 23, 40, 48, 49, 30, 20, 21, 42, 44, 3, 48, 36, 34, 38, 22, 37, 12, 7, 13, 21, 17, 36, 6, 31, 13, 50, 9, 5, 24, 32, 22, 46, 31, 39, 49, 28, 1, 4, 15, 3, 21, 42, 46]
[6, 4, 24, 39, 24, 0, 37, 0, 49, 23, 14, 27, 12, 8, 15, 32, 49, 21, 30, 33, 17, 12, 9, 8, 43, 45, 48, 25, 2, 19, 42, 31, 6, 34, 36, 47, 46, 23, 35, 25, 3, 11, 32, 12, 16, 44, 50, 5, 5, 14, 32, 5, 47, 13, 40, 14, 37, 37, 43, 7, 29, 6, 11, 21, 6, 34, 40, 21, 9, 24, 4, 38, 32, 23, 20, 31, 35, 3, 25, 35, 25, 2, 5, 0, 39, 9, 0, 6, 50, 15, 36, 8, 47, 26, 30, 34, 41, 12, 14, 25, 42, 27, 32, 20, 18, 33, 2, 5, 35, 37, 49, 25, 6, 5, 24, 22, 34, 50, 9, 40, 30, 7, 42, 37, 46, 43, 38, 48, 13, 21, 48, 13, 25, 7, 20, 47, 35, 46, 10, 0, 35, 18, 12, 13, 9, 47, 34, 50, 26, 21, 28, 40, 22, 47, 38, 0, 17]
[0, 49, 29, 45, 36, 30, 20, 49, 0, 11, 15, 8, 39, 9, 9, 39, 3, 33, 19, 36, 37, 40, 5, 22, 16, 13, 38, 43, 36, 15, 27, 12, 30, 45, 34, 21, 24, 46, 34, 24, 25, 0, 18, 43, 12, 43, 40, 2, 2, 1, 49, 38, 41, 9, 48, 42, 14, 33, 38, 37, 15, 1, 0, 37, 15, 46, 25, 7, 3, 8, 37, 3, 35, 33, 37, 36, 31, 8, 12, 18, 3, 40, 10, 10, 20, 37, 25, 31, 9, 44, 5, 40, 37, 46, 6, 49, 4, 5, 41, 32, 44, 35, 13, 24, 39, 40, 49, 27, 19, 15, 30, 16, 34, 37, 37, 7, 13, 25, 1, 43, 24, 10, 7, 30, 17, 18, 44, 12, 40, 39, 34, 42, 30, 42, 41, 16, 24, 36, 26, 24, 24, 26, 19, 44, 14, 38, 5, 1, 13, 24, 34, 15, 26, 13, 4, 26, 0]
[46, 17, 1, 23, 36, 47, 12, 23, 11, 0, 35, 24, 31, 12, 47, 35, 20, 23, 42, 31, 2, 15, 40, 3, 3, 4, 24, 50, 4, 17, 39, 44, 50, 39, 1, 26, 8, 17, 35, 16, 37, 6, 33, 44, 49, 27, 14, 23, 5, 10, 28, 33, 1, 38, 2, 49, 30, 1, 48, 39, 21, 50, 43, 23, 19, 18, 36, 45, 37, 27, 36, 48, 2, 49, 8, 29, 45, 27, 47, 45, 27, 48, 5, 3, 32, 39, 16, 3, 40, 31, 14, 13, 17, 15, 32, 28, 41, 49, 45, 42, 24, 34, 27, 39, 41, 8, 8, 24, 25, 20, 22, 12, 16, 19, 7, 11, 32, 19, 18, 15, 31, 9, 45, 41, 29, 4, 27, 32, 9, 48, 18, 13, 22, 3, 13, 21, 1, 11, 16, 41, 50, 43, 9, 44, 31, 32, 41, 39, 49, 14, 40, 21, 27, 48, 17, 9, 45]
