N1,N2,...,Nx
[0, 16, 40, 19, 41, 28, 43, 34, 25, 18, 14, 42, 0, 16, 34, 32, 21, 27, 42, 25, 47, 39, 36]
[16, 0, 18, 21, 46, 25, 36, 40, 18, 6, 34, 13, 5, 36, 4, 8, 45, 29, 50, 28, 4, 28, 47]
[40, 18, 0, 44, 3, 44, 4, 33, 46, 12, 30, 18, 43, 10, 9, 17, 32, 17, 47, 7, 24, 43, 10]
[19, 21, 44, 0, 25, 14, 38, 42, 8, 35, 7, 36, 6, 43, 46, 1, 15, 33, 25, 7, 41, 7, 45]
[41, 46, 3, 25, 0, 3, 16, 33, 15, 8, 32, 12, 17, 31, 6, 30, 3, 20, 5, 50, 18, 43, 23]
[28, 25, 44, 14, 3, 0, 16, 45, 42, 24, 45, 17, 12, 2, 5, 44, 34, 38, 10, 12, 36, 49, 18]
[43, 36, 4, 38, 16, 16, 0, 11, 7, 35, 47, 41, 11, 17, 11, 46, 28, 18, 41, 21, 44, 13, 4]
[34, 40, 33, 42, 33, 45, 11, 0, 38, 45, 49, 3, 13, 5, 25, 9, 4, 28, 41, 26, 40, 47, 33]
[25, 18, 46, 8, 15, 42, 7, 38, 0, 26, 16, 35, 30, 8, 2, 4, 23, 41, 2, 14, 9, 12, 18]
[18, 6, 12, 35, 8, 24, 35, 45, 26, 0, 3, 7, 45, 38, 14, 30, 26, 31, 7, 27, 25, 4, 19]
[14, 34, 30, 7, 32, 45, 47, 49, 16, 3, 0, 47, 27, 23, 44, 47, 0, 9, 10, 39, 24, 33, 46]
[42, 13, 18, 36, 12, 17, 41, 3, 35, 7, 47, 0, 12, 16, 50, 27, 44, 47, 40, 14, 12, 17, 1]
[0, 5, 43, 6, 17, 12, 11, 13, 30, 45, 27, 12, 0, 44, 34, 37, 36, 44, 21, 7, 0, 5, 32]
[16, 36, 10, 43, 31, 2, 17, 5, 8, 38, 23, 16, 44, 0, 12, 35, 29, 10, 28, 23, 30, 37, 16]
[34, 4, 9, 46, 6, 5, 11, 25, 2, 14, 44, 50, 34, 12, 0, 1, 50, 14, 0, 47, 28, 19, 25]
[32, 8, 17, 1, 30, 44, 46, 9, 4, 30, 47, 27, 37, 35, 1, 0, 32, 8, 29, 0, 8, 34, 5]
[21, 45, 32, 15, 3, 34, 28, 4, 23, 26, 0, 44, 36, 29, 50, 32, 0, 2, 1, 45, 43, 30, 18]
[27, 29, 17, 33, 20, 38, 18, 28, 41, 31, 9, 47, 44, 10, 14, 8, 2, 0, 49, 36, 37, 26, 22]
[42, 50, 47, 25, 5, 10, 41, 41, 2, 7, 10, 40, 21, 28, 0, 29, 1, 49, 0, 28, 2, 46, 17]
[25, 28, 7, 7, 50, 12, 21, 26, 14, 27, 39, 14, 7, 23, 47, 0, 45, 36, 28, 0, 32, 22, 37]
[47, 4, 24, 41, 18, 36, 44, 40, 9, 25, 24, 12, 0, 30, 28, 8, 43, 37, 2, 32, 0, 44, 40]
[39, 28, 43, 7, 43, 49, 13, 47, 12, 4, 33, 17, 5, 37, 19, 34, 30, 26, 46, 22, 44, 0, 7]
[36, 47, 10, 45, 23, 18, 4, 33, 18, 19, 46, 1, 32, 16, 25, 5, 18, 22, 17, 37, 40, 7, 0]
