N1,N2,...,Nx
[0, 21, 22, 49, 41, 26, 33, 35, 27, 19, 30, 45, 33, 35, 49, 5, 17, 40, 23, 44, 21, 47, 11, 39, 25, 46, 9, 42, 17, 7, 22, 12, 21, 16, 0, 39, 7, 29, 41, 42, 39, 34, 18, 12, 10, 48, 39, 25, 38, 2]
[21, 0, 20, 16, 42, 34, 2, 42, 6, 13, 15, 46, 40, 39, 9, 11, 50, 14, 10, 40, 19, 3, 14, 10, 37, 7, 3, 41, 4, 42, 14, 42, 20, 12, 20, 13, 35, 1, 45, 15, 29, 2, 43, 42, 17, 50, 49, 17, 30, 1]
[22, 20, 0, 20, 43, 6, 31, 38, 4, 27, 41, 18, 45, 9, 11, 30, 11, 43, 29, 44, 0, 50, 27, 36, 49, 47, 29, 16, 20, 21, 48, 45, 19, 19, 24, 27, 9, 36, 4, 7, 18, 32, 11, 27, 43, 32, 10, 41, 13, 37]
[49, 16, 20, 0, 43, 34, 43, 22, 36, 16, 20, 49, 25, 4, 32, 40, 45, 29, 34, 25, 29, 1, 48, 37, 37, 8, 6, 42, 17, 13, 40, 9, 3, 44, 49, 21, 14, 33, 3, 46, 30, 48, 19, 36, 10, 40, 39, 45, 27, 11]
[41, 42, 43, 43, 0, 46, 43, 48, 42, 19, 26, 6, 2, 35, 27, 38, 40, 43, 6, 4, 23, 22, 48, 33, 12, 18, 47, 7, 27, 12, 9, 5, 18, 43, 41, 43, 34, 5, 6, 9, 36, 25, 38, 31, 1, 6, 35, 32, 27, 36]
[26, 34, 6, 34, 46, 0, 39, 49, 10, 39, 49, 28, 2, 24, 47, 24, 31, 36, 28, 45, 38, 44, 41, 38, 0, 0, 14, 10, 40, 33, 26, 7, 35, 40, 6, 23, 19, 38, 4, 42, 10, 10, 21, 25, 4, 5, 47, 42, 16, 8]
[33, 2, 31, 43, 43, 39, 0, 4, 19, 33, 41, 39, 32, 22, 32, 25, 34, 42, 46, 4, 42, 24, 8, 37, 0, 15, 48, 18, 10, 0, 42, 49, 14, 10, 42, 3, 40, 23, 20, 15, 14, 6, 6, 1, 6, 43, 45, 17, 14, 20]
[35, 42, 38, 22, 48, 49, 4, 0, 16, 25, 33, 42, 40, 9, 3, 29, 28, 30, 19, 7, 32, 45, 31, 37, 19, 26, 41, 13, 38, 18, 3, 18, 37, 39, 42, 4, 26, 16, 29, 19, 40, 11, 17, 18, 10, 27, 15, 48, 4, 27]
[27, 6, 4, 36, 42, 10, 19, 16, 0, 48, 18, 30, 19, 32, 26, 38, 38, 14, 16, 3, 10, 30, 29, 9, 32, 11, 30, 29, 31, 32, 29, 4, 22, 31, 11, 9, 34, 33, 11, 24, 19, 42, 7, 39, 32, 28, 34, 25, 35, 17]
[19, 13, 27, 16, 19, 39, 33, 25, 48, 0, 15, 25, 31, 40, 39, 31, 7, 7, 11, 10, 39, 12, 37, 30, 20, 28, 1, 12, 25, 30, 38, 27, 33, 30, 13, 35, 41, 50, 37, 35, 32, 47, 26, 41, 43, 24, 10, 49, 17, 49]
[30, 15, 41, 20, 26, 49, 41, 33, 18, 15, 0, 49, 15, 12, 23, 17, 6, 37, 42, 30, 47, 23, 5, 1, 39, 33, 47, 4, 5, 38, 31, 5, 35, 49, 38, 12, 14, 4, 31, 25, 1, 19, 27, 15, 22, 45, 42, 45, 47, 5]
[45, 46, 18, 49, 6, 28, 39, 42, 30, 25, 49, 0, 5, 18, 13, 22, 46, 25, 30, 41, 26, 0, 17, 13, 40, 1, 23, 29, 23, 15, 10, 49, 23, 45, 8, 18, 6, 2, 47, 5, 13, 30, 21, 15, 48, 12, 33, 31, 2, 46]
[33, 40, 45, 25, 2, 2, 32, 40, 19, 31, 15, 5, 0, 31, 45, 29, 29, 27, 25, 15, 16, 22, 24, 14, 41, 30, 26, 45, 10, 50, 25, 19, 40, 23, 12, 15, 29, 46, 37, 40, 30, 27, 5, 12, 6, 8, 19, 40, 41, 37]
[35, 39, 9, 4, 35, 24, 22, 9, 32, 40, 12, 18, 31, 0, 28, 45, 43, 40, 44, 36, 25, 49, 28, 45, 40, 18, 24, 46, 29, 14, 49, 19, 26, 18, 2, 28, 46, 28, 5, 18, 25, 43, 11, 13, 29, 32, 49, 12, 16, 34]
[49, 9, 11, 32, 27, 47, 32, 3, 26, 39, 23, 13, 45, 28, 0, 50, 31, 6, 21, 12, 21, 10, 29, 30, 25, 27, 44, 20, 27, 6, 4, 3, 34, 50, 40, 12, 21, 42, 46, 25, 8, 22, 2, 2, 31, 29, 33, 26, 15, 33]
