N1,N2,...,Nx
[0, 20, 31, 43, 24, 27, 19, 6, 11, 42, 41, 27, 18, 32, 39, 1, 11, 31, 42, 32, 8, 30, 38, 9, 35, 7, 37, 3, 48, 6, 44, 36, 26, 36, 3, 43, 11, 22, 19, 44, 0, 19, 2, 43, 45, 3, 20, 11, 43, 49, 21, 48, 36, 25, 32, 23, 16, 37, 14, 19, 10, 22, 19, 32, 45, 6, 13, 1, 0, 1, 46, 17, 33, 41, 1, 18, 34, 42, 41, 19, 2, 1, 10, 48, 35, 11, 41]
[20, 0, 40, 39, 20, 9, 27, 38, 9, 17, 26, 19, 38, 19, 22, 1, 50, 48, 0, 43, 39, 41, 37, 34, 30, 25, 14, 17, 15, 29, 43, 8, 32, 13, 35, 35, 46, 33, 2, 6, 7, 48, 30, 18, 10, 49, 21, 30, 38, 27, 28, 31, 5, 20, 46, 32, 6, 6, 48, 24, 14, 27, 6, 44, 38, 5, 39, 23, 5, 15, 46, 2, 10, 30, 11, 45, 3, 45, 12, 11, 49, 41, 39, 28, 41, 25, 39]
[31, 40, 0, 14, 34, 13, 17, 45, 21, 37, 22, 3, 19, 19, 27, 16, 13, 35, 34, 7, 26, 40, 35, 35, 6, 10, 12, 18, 41, 45, 7, 0, 0, 40, 33, 47, 4, 14, 32, 9, 22, 22, 2, 25, 47, 45, 5, 19, 30, 25, 14, 30, 7, 27, 24, 8, 16, 37, 21, 26, 24, 27, 34, 42, 41, 39, 32, 7, 46, 16, 27, 20, 36, 30, 12, 45, 46, 29, 7, 0, 31, 7, 27, 43, 2, 39, 17]
[43, 39, 14, 0, 30, 20, 17, 3, 12, 40, 13, 6, 39, 25, 9, 40, 4, 39, 4, 5, 22, 26, 16, 24, 18, 3, 10, 37, 47, 13, 21, 34, 27, 14, 34, 36, 14, 6, 10, 36, 18, 35, 47, 18, 14, 38, 32, 13, 4, 39, 3, 30, 31, 24, 8, 50, 38, 0, 15, 27, 46, 10, 6, 29, 7, 26, 5, 2, 30, 5, 11, 27, 40, 31, 20, 44, 38, 46, 16, 28, 1, 19, 1, 12, 20, 45, 6]
[24, 20, 34, 30, 0, 14, 35, 22, 16, 46, 36, 8, 21, 6, 28, 24, 15, 33, 27, 2, 42, 27, 27, 28, 28, 37, 39, 24, 20, 1, 27, 23, 8, 11, 13, 28, 41, 16, 49, 5, 46, 21, 38, 19, 1, 48, 19, 13, 6, 14, 40, 32, 5, 3, 18, 34, 44, 12, 12, 28, 44, 24, 26, 4, 43, 17, 49, 9, 13, 21, 19, 33, 48, 25, 28, 28, 40, 5, 28, 36, 2, 22, 2, 33, 18, 18, 4]
[27, 9, 13, 20, 14, 0, 28, 23, 15, 7, 39, 23, 13, 17, 22, 3, 13, 34, 30, 29, 20, 1, 41, 19, 49, 38, 31, 34, 3, 27, 11, 9, 3, 38, 21, 30, 44, 31, 48, 9, 17, 41, 33, 3, 32, 32, 28, 13, 23, 11, 9, 14, 36, 4, 10, 6, 27, 3, 15, 28, 37, 47, 25, 0, 49, 6, 15, 20, 48, 7, 38, 2, 40, 12, 38, 3, 6, 32, 20, 20, 8, 15, 5, 21, 6, 17, 11]
[19, 27, 17, 17, 35, 28, 0, 13, 26, 31, 20, 18, 7, 37, 41, 22, 23, 46, 14, 46, 29, 44, 18, 2, 18, 15, 37, 47, 13, 40, 23, 19, 2, 36, 5, 16, 37, 42, 29, 9, 9, 36, 25, 5, 49, 43, 1, 31, 37, 46, 9, 25, 8, 25, 9, 1, 47, 10, 1, 9, 40, 7, 26, 40, 50, 12, 15, 20, 47, 2, 37, 28, 38, 36, 39, 49, 19, 23, 1, 49, 46, 40, 20, 18, 22, 30, 31]
[6, 38, 45, 3, 22, 23, 13, 0, 2, 23, 29, 22, 50, 46, 23, 12, 30, 48, 48, 6, 4, 33, 37, 29, 28, 46, 44, 43, 47, 29, 43, 36, 20, 43, 6, 7, 17, 15, 31, 26, 49, 9, 23, 12, 38, 39, 6, 33, 21, 41, 38, 38, 14, 8, 48, 0, 26, 47, 39, 28, 42, 33, 50, 8, 48, 2, 17, 14, 44, 19, 49, 26, 11, 19, 23, 35, 27, 7, 12, 9, 26, 25, 14, 30, 50, 49, 11]
[11, 9, 21, 12, 16, 15, 26, 2, 0, 34, 4, 8, 48, 0, 35, 42, 1, 28, 43, 17, 40, 24, 10, 32, 24, 1, 42, 5, 30, 15, 33, 33, 37, 0, 22, 32, 39, 28, 27, 27, 43, 45, 34, 29, 44, 16, 43, 14, 26, 4, 29, 39, 21, 6, 47, 22, 30, 18, 9, 14, 0, 48, 7, 16, 25, 20, 9, 39, 5, 23, 13, 28, 37, 6, 34, 22, 38, 33, 8, 37, 48, 22, 43, 3, 30, 48, 44]
[42, 17, 37, 40, 46, 7, 31, 23, 34, 0, 32, 5, 44, 23, 12, 9, 47, 32, 29, 2, 47, 8, 39, 3, 27, 4, 34, 10, 2, 16, 27, 13, 40, 45, 42, 40, 29, 5, 45, 28, 28, 46, 1, 19, 44, 25, 31, 24, 44, 5, 17, 20, 9, 5, 46, 4, 1, 43, 9, 27, 17, 6, 0, 46, 18, 34, 0, 19, 39, 37, 38, 24, 49, 9, 29, 43, 22, 35, 48, 38, 18, 7, 10, 37, 35, 9, 10]
[41, 26, 22, 13, 36, 39, 20, 29, 4, 32, 0, 27, 49, 24, 44, 29, 4, 19, 24, 46, 1, 34, 32, 9, 0, 6, 43, 13, 18, 25, 30, 42, 9, 44, 46, 28, 25, 41, 17, 9, 46, 45, 27, 6, 33, 40, 33, 21, 25, 4, 39, 34, 7, 2, 23, 7, 41, 20, 39, 43, 29, 46, 16, 28, 3, 37, 39, 28, 16, 27, 10, 20, 12, 44, 3, 11, 25, 50, 0, 12, 47, 8, 39, 8, 13, 23, 44]
[27, 19, 3, 6, 8, 23, 18, 22, 8, 5, 27, 0, 23, 21, 15, 41, 45, 23, 39, 27, 50, 44, 5, 32, 29, 25, 39, 44, 45, 15, 40, 28, 1, 7, 4, 49, 36, 1, 15, 33, 46, 19, 12, 19, 34, 13, 49, 15, 20, 41, 3, 20, 33, 13, 11, 16, 31, 39, 6, 32, 21, 36, 9, 32, 22, 22, 45, 38, 25, 20, 17, 43, 1, 50, 26, 9, 32, 16, 44, 30, 21, 1, 0, 47, 49, 49, 47]
