N1,N2,...,Nx
[0, 49, 47, 29, 50, 11, 35, 39, 48, 41, 39, 27, 38, 10, 24, 29, 16, 21, 1, 33, 48, 26, 38, 50, 43, 11, 36, 29, 10, 40, 26, 40, 10, 36, 31, 20, 37, 26, 15, 19, 15, 7, 37, 45, 14, 3, 21, 19, 39, 2, 15, 11, 17, 23, 49, 20, 21, 10, 11, 46, 3, 14, 31, 13, 23, 20, 1, 15, 35, 18, 43, 22, 32, 13, 35, 38, 9, 47, 2, 22, 13, 3, 39, 2, 4, 2, 41, 5, 45, 12, 41, 24, 20, 20, 16, 11, 27, 40, 4, 27, 50, 35, 11, 2, 8, 31, 34, 40, 32, 27, 31, 38, 12, 14, 46, 35, 50, 32, 5, 44, 22, 28, 50, 15, 0, 18, 1, 8, 45, 29, 20, 7, 1]
[49, 0, 45, 22, 14, 40, 6, 23, 18, 9, 42, 36, 23, 5, 12, 38, 18, 29, 1, 15, 6, 22, 44, 11, 50, 26, 30, 7, 45, 42, 9, 2, 22, 10, 1, 24, 18, 37, 36, 48, 47, 27, 30, 13, 1, 30, 39, 41, 37, 25, 29, 18, 22, 10, 30, 50, 15, 35, 42, 38, 39, 37, 16, 19, 16, 14, 18, 19, 1, 25, 0, 5, 45, 5, 37, 26, 39, 26, 20, 18, 47, 49, 30, 13, 39, 30, 32, 8, 17, 24, 14, 40, 48, 46, 27, 29, 40, 4, 29, 14, 5, 28, 3, 23, 43, 26, 21, 29, 36, 14, 16, 31, 26, 28, 7, 40, 30, 47, 15, 29, 13, 41, 23, 40, 40, 11, 14, 15, 9, 29, 18, 34, 44]
[47, 45, 0, 5, 47, 17, 5, 11, 41, 5, 45, 38, 25, 25, 20, 3, 2, 43, 13, 6, 48, 2, 7, 14, 6, 32, 19, 40, 4, 12, 21, 50, 41, 21, 6, 31, 6, 46, 36, 1, 46, 30, 5, 36, 19, 48, 18, 9, 20, 3, 3, 14, 19, 10, 30, 1, 40, 6, 16, 10, 15, 28, 8, 27, 39, 25, 4, 14, 9, 3, 11, 5, 41, 50, 17, 8, 23, 33, 18, 11, 8, 15, 7, 17, 42, 45, 12, 25, 24, 20, 43, 19, 4, 2, 8, 33, 23, 40, 8, 35, 9, 34, 33, 5, 44, 45, 39, 40, 1, 45, 14, 35, 22, 43, 50, 41, 40, 36, 32, 15, 24, 5, 31, 32, 43, 45, 11, 4, 40, 4, 12, 15, 9]
[29, 22, 5, 0, 33, 17, 27, 39, 27, 24, 17, 22, 22, 41, 48, 7, 6, 8, 20, 10, 12, 27, 16, 5, 45, 21, 32, 36, 5, 8, 29, 29, 9, 27, 24, 14, 15, 45, 25, 2, 4, 9, 44, 21, 50, 5, 10, 5, 37, 36, 29, 17, 15, 15, 4, 26, 40, 13, 4, 7, 15, 42, 48, 25, 50, 7, 32, 14, 44, 21, 19, 6, 13, 1, 17, 26, 25, 37, 35, 30, 32, 0, 49, 50, 30, 14, 19, 32, 42, 22, 15, 35, 17, 31, 38, 13, 13, 29, 8, 45, 6, 45, 38, 20, 32, 37, 50, 38, 26, 46, 34, 16, 33, 33, 16, 12, 3, 44, 3, 16, 2, 35, 32, 13, 4, 17, 50, 34, 11, 21, 9, 12, 30]
[50, 14, 47, 33, 0, 29, 39, 17, 34, 16, 11, 8, 44, 44, 27, 6, 34, 35, 36, 45, 17, 31, 49, 47, 32, 35, 46, 37, 33, 45, 6, 16, 35, 26, 23, 43, 13, 18, 23, 39, 49, 9, 29, 2, 28, 50, 4, 11, 27, 21, 8, 20, 40, 31, 4, 25, 40, 39, 12, 23, 16, 0, 46, 9, 25, 39, 47, 25, 33, 9, 0, 39, 28, 16, 7, 25, 37, 18, 25, 31, 48, 4, 1, 15, 23, 29, 42, 19, 16, 8, 19, 10, 25, 35, 46, 39, 43, 26, 16, 24, 38, 6, 13, 15, 6, 15, 20, 12, 47, 19, 29, 20, 39, 15, 31, 48, 0, 18, 10, 3, 12, 37, 36, 0, 9, 38, 44, 14, 2, 5, 6, 5, 27]
[11, 40, 17, 17, 29, 0, 20, 1, 14, 26, 48, 32, 7, 23, 35, 11, 6, 42, 45, 25, 40, 35, 38, 37, 24, 23, 4, 49, 40, 49, 25, 1, 27, 33, 32, 11, 47, 27, 32, 23, 27, 5, 9, 20, 6, 34, 50, 28, 49, 45, 10, 15, 25, 12, 31, 33, 21, 15, 14, 27, 40, 33, 16, 0, 16, 11, 44, 7, 25, 16, 30, 6, 10, 40, 9, 24, 22, 20, 6, 20, 49, 32, 44, 17, 26, 44, 35, 34, 31, 28, 24, 33, 34, 17, 49, 49, 45, 2, 34, 30, 31, 27, 30, 0, 36, 41, 29, 3, 27, 11, 47, 1, 18, 2, 27, 43, 30, 42, 25, 29, 28, 13, 17, 32, 47, 14, 6, 35, 32, 26, 33, 42, 21]
[35, 6, 5, 27, 39, 20, 0, 12, 19, 22, 6, 6, 47, 17, 21, 37, 13, 9, 46, 36, 12, 43, 8, 6, 30, 2, 5, 22, 24, 4, 19, 35, 16, 30, 17, 5, 11, 17, 13, 30, 37, 4, 45, 37, 13, 46, 16, 37, 43, 16, 44, 21, 13, 45, 34, 40, 46, 46, 30, 46, 3, 40, 22, 33, 1, 41, 11, 14, 3, 7, 49, 9, 20, 17, 26, 3, 15, 8, 28, 34, 28, 36, 33, 13, 33, 42, 41, 6, 16, 0, 24, 47, 43, 8, 9, 0, 31, 36, 23, 35, 25, 17, 16, 42, 23, 28, 45, 13, 23, 24, 43, 6, 4, 22, 50, 2, 25, 26, 41, 38, 21, 31, 28, 50, 4, 32, 2, 31, 6, 40, 33, 14, 1]
[39, 23, 11, 39, 17, 1, 12, 0, 45, 41, 19, 47, 24, 11, 12, 3, 4, 15, 17, 46, 1, 40, 13, 49, 42, 13, 49, 21, 1, 16, 21, 22, 26, 28, 33, 32, 42, 3, 46, 39, 35, 36, 48, 48, 28, 18, 34, 21, 20, 1, 46, 37, 36, 30, 30, 36, 11, 48, 28, 41, 46, 47, 12, 34, 33, 25, 12, 14, 39, 45, 14, 13, 24, 38, 16, 11, 33, 30, 50, 9, 14, 45, 6, 16, 22, 16, 36, 33, 29, 9, 4, 5, 27, 33, 6, 16, 49, 41, 7, 37, 9, 8, 12, 44, 30, 13, 42, 43, 42, 17, 34, 1, 24, 12, 17, 30, 36, 27, 6, 26, 10, 4, 17, 33, 23, 8, 40, 17, 11, 20, 34, 32, 7]
[48, 18, 41, 27, 34, 14, 19, 45, 0, 3, 7, 18, 19, 28, 18, 9, 34, 14, 8, 48, 8, 50, 43, 37, 20, 24, 25, 16, 9, 25, 17, 43, 12, 33, 25, 25, 6, 33, 43, 41, 6, 44, 20, 33, 8, 4, 48, 46, 34, 36, 2, 15, 38, 32, 36, 0, 6, 39, 19, 43, 9, 25, 50, 39, 38, 3, 4, 37, 25, 47, 50, 33, 35, 30, 46, 27, 20, 45, 45, 42, 40, 8, 12, 3, 50, 11, 4, 10, 49, 5, 10, 42, 48, 48, 35, 36, 28, 13, 9, 13, 36, 26, 22, 6, 40, 34, 35, 25, 28, 23, 3, 16, 43, 34, 0, 27, 23, 24, 13, 45, 3, 21, 47, 19, 35, 32, 50, 47, 50, 39, 38, 18, 11]
[41, 9, 5, 24, 16, 26, 22, 41, 3, 0, 44, 22, 38, 46, 36, 45, 46, 8, 21, 2, 18, 11, 32, 37, 3, 5, 3, 13, 36, 13, 8, 42, 45, 43, 40, 33, 48, 5, 46, 44, 11, 35, 7, 27, 0, 8, 28, 22, 49, 35, 21, 46, 44, 30, 10, 49, 16, 19, 7, 6, 7, 35, 25, 31, 25, 39, 19, 33, 5, 43, 6, 15, 2, 15, 4, 43, 34, 20, 7, 34, 3, 49, 34, 40, 9, 46, 41, 14, 14, 14, 47, 27, 25, 21, 25, 6, 24, 45, 37, 18, 44, 12, 9, 16, 36, 43, 2, 15, 28, 25, 22, 19, 31, 6, 15, 5, 45, 4, 44, 36, 38, 33, 25, 49, 4, 2, 9, 4, 6, 46, 37, 34, 9]
