N1,N2,...,Nx
[0, 8, 42, 47, 31, 14, 33, 23, 50, 36, 49, 48, 34, 50, 42, 5, 32, 47, 33, 33, 31, 13, 45, 18, 6, 29, 5, 31, 12]
[8, 0, 49, 25, 50, 36, 22, 6, 10, 19, 19, 5, 23, 12, 37, 30, 49, 36, 41, 6, 19, 22, 14, 39, 14, 7, 11, 1, 22]
[42, 49, 0, 27, 22, 31, 47, 5, 5, 42, 12, 13, 20, 12, 41, 42, 45, 44, 15, 25, 18, 24, 44, 12, 20, 16, 22, 33, 48]
[47, 25, 27, 0, 48, 35, 14, 26, 44, 49, 47, 14, 48, 16, 28, 12, 30, 30, 11, 6, 12, 27, 47, 24, 9, 43, 15, 49, 33]
[31, 50, 22, 48, 0, 25, 14, 26, 17, 7, 22, 4, 38, 18, 27, 0, 36, 29, 10, 28, 12, 17, 39, 22, 19, 38, 48, 22, 27]
[14, 36, 31, 35, 25, 0, 33, 11, 30, 26, 28, 35, 35, 7, 5, 26, 38, 37, 39, 6, 1, 50, 18, 40, 45, 15, 34, 21, 6]
[33, 22, 47, 14, 14, 33, 0, 7, 0, 32, 28, 8, 27, 1, 6, 26, 50, 47, 41, 29, 24, 8, 0, 34, 36, 26, 1, 21, 33]
[23, 6, 5, 26, 26, 11, 7, 0, 27, 1, 26, 28, 48, 0, 0, 45, 22, 16, 23, 5, 48, 7, 40, 46, 23, 31, 20, 18, 24]
[50, 10, 5, 44, 17, 30, 0, 27, 0, 48, 15, 24, 31, 42, 19, 21, 8, 37, 34, 48, 13, 0, 27, 9, 41, 9, 31, 43, 34]
[36, 19, 42, 49, 7, 26, 32, 1, 48, 0, 26, 22, 10, 12, 47, 34, 41, 15, 35, 50, 20, 9, 38, 13, 36, 48, 14, 15, 10]
[49, 19, 12, 47, 22, 28, 28, 26, 15, 26, 0, 44, 3, 37, 25, 37, 16, 31, 20, 20, 2, 47, 5, 27, 30, 29, 31, 20, 9]
[48, 5, 13, 14, 4, 35, 8, 28, 24, 22, 44, 0, 7, 11, 13, 15, 10, 34, 26, 39, 44, 7, 29, 26, 22, 17, 1, 5, 2]
[34, 23, 20, 48, 38, 35, 27, 48, 31, 10, 3, 7, 0, 25, 26, 43, 20, 34, 16, 14, 12, 10, 0, 29, 34, 39, 32, 39, 11]
[50, 12, 12, 16, 18, 7, 1, 0, 42, 12, 37, 11, 25, 0, 40, 2, 24, 18, 46, 43, 20, 20, 46, 40, 27, 16, 42, 31, 40]
[42, 37, 41, 28, 27, 5, 6, 0, 19, 47, 25, 13, 26, 40, 0, 0, 14, 27, 26, 37, 15, 8, 42, 46, 10, 29, 46, 49, 41]
[5, 30, 42, 12, 0, 26, 26, 45, 21, 34, 37, 15, 43, 2, 0, 0, 24, 43, 36, 22, 21, 46, 8, 0, 2, 11, 17, 28, 30]
[32, 49, 45, 30, 36, 38, 50, 22, 8, 41, 16, 10, 20, 24, 14, 24, 0, 31, 13, 15, 9, 12, 14, 34, 45, 1, 2, 48, 18]
[47, 36, 44, 30, 29, 37, 47, 16, 37, 15, 31, 34, 34, 18, 27, 43, 31, 0, 24, 39, 41, 31, 41, 4, 10, 14, 19, 37, 30]
[33, 41, 15, 11, 10, 39, 41, 23, 34, 35, 20, 26, 16, 46, 26, 36, 13, 24, 0, 28, 24, 23, 32, 28, 31, 42, 31, 50, 1]
[33, 6, 25, 6, 28, 6, 29, 5, 48, 50, 20, 39, 14, 43, 37, 22, 15, 39, 28, 0, 5, 4, 46, 14, 3, 48, 23, 6, 23]
[31, 19, 18, 12, 12, 1, 24, 48, 13, 20, 2, 44, 12, 20, 15, 21, 9, 41, 24, 5, 0, 10, 1, 42, 4, 32, 24, 40, 27]
[13, 22, 24, 27, 17, 50, 8, 7, 0, 9, 47, 7, 10, 20, 8, 46, 12, 31, 23, 4, 10, 0, 12, 44, 18, 36, 8, 30, 37]
[45, 14, 44, 47, 39, 18, 0, 40, 27, 38, 5, 29, 0, 46, 42, 8, 14, 41, 32, 46, 1, 12, 0, 4, 24, 14, 23, 17, 32]
[18, 39, 12, 24, 22, 40, 34, 46, 9, 13, 27, 26, 29, 40, 46, 0, 34, 4, 28, 14, 42, 44, 4, 0, 11, 19, 9, 30, 47]
[6, 14, 20, 9, 19, 45, 36, 23, 41, 36, 30, 22, 34, 27, 10, 2, 45, 10, 31, 3, 4, 18, 24, 11, 0, 50, 21, 26, 42]
[29, 7, 16, 43, 38, 15, 26, 31, 9, 48, 29, 17, 39, 16, 29, 11, 1, 14, 42, 48, 32, 36, 14, 19, 50, 0, 32, 22, 24]
[5, 11, 22, 15, 48, 34, 1, 20, 31, 14, 31, 1, 32, 42, 46, 17, 2, 19, 31, 23, 24, 8, 23, 9, 21, 32, 0, 49, 28]
[31, 1, 33, 49, 22, 21, 21, 18, 43, 15, 20, 5, 39, 31, 49, 28, 48, 37, 50, 6, 40, 30, 17, 30, 26, 22, 49, 0, 32]
[12, 22, 48, 33, 27, 6, 33, 24, 34, 10, 9, 2, 11, 40, 41, 30, 18, 30, 1, 23, 27, 37, 32, 47, 42, 24, 28, 32, 0]
