N1,N2,...,Nx
[0, 28, 19, 28, 25, 2, 47, 1, 44, 30, 48, 39, 45, 19, 33, 41, 48, 19, 43, 18, 45, 9, 5, 29, 20, 35, 36, 1, 50, 41, 21, 37]
[28, 0, 43, 16, 28, 34, 41, 22, 38, 11, 46, 1, 13, 25, 29, 39, 22, 4, 40, 15, 21, 35, 38, 20, 25, 49, 3, 26, 36, 28, 21, 14]
[19, 43, 0, 26, 7, 0, 22, 37, 25, 42, 12, 32, 45, 33, 27, 3, 33, 44, 19, 33, 1, 7, 7, 32, 16, 27, 40, 8, 29, 21, 40, 30]
[28, 16, 26, 0, 31, 17, 26, 38, 28, 5, 45, 39, 36, 23, 43, 33, 11, 49, 24, 21, 12, 11, 2, 6, 1, 4, 16, 29, 30, 30, 13, 46]
[25, 28, 7, 31, 0, 33, 48, 23, 29, 4, 34, 38, 46, 8, 23, 39, 2, 1, 15, 5, 49, 5, 14, 5, 26, 28, 12, 13, 15, 42, 26, 22]
[2, 34, 0, 17, 33, 0, 45, 30, 39, 37, 23, 21, 32, 32, 10, 49, 44, 44, 45, 1, 4, 26, 44, 4, 7, 19, 36, 46, 18, 11, 1, 10]
[47, 41, 22, 26, 48, 45, 0, 13, 46, 28, 9, 40, 36, 25, 1, 8, 3, 19, 36, 34, 7, 45, 18, 26, 20, 5, 19, 35, 8, 30, 37, 42]
[1, 22, 37, 38, 23, 30, 13, 0, 45, 26, 17, 14, 5, 8, 29, 40, 43, 32, 4, 1, 33, 43, 29, 23, 42, 15, 20, 13, 3, 9, 36, 23]
[44, 38, 25, 28, 29, 39, 46, 45, 0, 4, 21, 49, 25, 2, 34, 7, 34, 33, 14, 4, 42, 1, 45, 35, 25, 47, 14, 40, 27, 2, 21, 10]
[30, 11, 42, 5, 4, 37, 28, 26, 4, 0, 6, 11, 43, 19, 32, 23, 40, 3, 14, 39, 19, 23, 40, 13, 4, 1, 37, 25, 47, 14, 34, 39]
[48, 46, 12, 45, 34, 23, 9, 17, 21, 6, 0, 25, 25, 1, 15, 41, 50, 27, 44, 22, 4, 7, 34, 0, 17, 42, 34, 19, 16, 8, 49, 24]
[39, 1, 32, 39, 38, 21, 40, 14, 49, 11, 25, 0, 34, 35, 3, 27, 25, 44, 34, 28, 19, 47, 7, 0, 26, 21, 8, 35, 42, 34, 13, 30]
[45, 13, 45, 36, 46, 32, 36, 5, 25, 43, 25, 34, 0, 32, 21, 46, 32, 42, 46, 10, 50, 46, 28, 47, 8, 32, 31, 4, 8, 3, 25, 8]
[19, 25, 33, 23, 8, 32, 25, 8, 2, 19, 1, 35, 32, 0, 11, 39, 50, 30, 22, 32, 9, 6, 30, 18, 15, 44, 3, 7, 41, 38, 25, 34]
[33, 29, 27, 43, 23, 10, 1, 29, 34, 32, 15, 3, 21, 11, 0, 10, 30, 2, 28, 47, 41, 35, 31, 31, 8, 8, 42, 6, 17, 22, 11, 19]
[41, 39, 3, 33, 39, 49, 8, 40, 7, 23, 41, 27, 46, 39, 10, 0, 28, 27, 10, 48, 4, 14, 7, 15, 28, 21, 3, 49, 12, 45, 34, 40]
[48, 22, 33, 11, 2, 44, 3, 43, 34, 40, 50, 25, 32, 50, 30, 28, 0, 7, 35, 41, 1, 27, 23, 15, 35, 46, 11, 50, 18, 21, 10, 17]
[19, 4, 44, 49, 1, 44, 19, 32, 33, 3, 27, 44, 42, 30, 2, 27, 7, 0, 34, 23, 47, 0, 33, 14, 29, 49, 24, 23, 2, 34, 2, 3]
[43, 40, 19, 24, 15, 45, 36, 4, 14, 14, 44, 34, 46, 22, 28, 10, 35, 34, 0, 8, 47, 36, 7, 27, 10, 15, 12, 1, 17, 21, 45, 19]
[18, 15, 33, 21, 5, 1, 34, 1, 4, 39, 22, 28, 10, 32, 47, 48, 41, 23, 8, 0, 42, 40, 21, 29, 48, 21, 35, 10, 39, 1, 45, 35]
[45, 21, 1, 12, 49, 4, 7, 33, 42, 19, 4, 19, 50, 9, 41, 4, 1, 47, 47, 42, 0, 24, 28, 6, 35, 12, 39, 45, 36, 1, 15, 2]
[9, 35, 7, 11, 5, 26, 45, 43, 1, 23, 7, 47, 46, 6, 35, 14, 27, 0, 36, 40, 24, 0, 42, 10, 24, 44, 8, 21, 42, 11, 41, 2]
[5, 38, 7, 2, 14, 44, 18, 29, 45, 40, 34, 7, 28, 30, 31, 7, 23, 33, 7, 21, 28, 42, 0, 43, 34, 47, 43, 36, 49, 42, 9, 21]
[29, 20, 32, 6, 5, 4, 26, 23, 35, 13, 0, 0, 47, 18, 31, 15, 15, 14, 27, 29, 6, 10, 43, 0, 41, 38, 4, 34, 47, 28, 19, 21]
[20, 25, 16, 1, 26, 7, 20, 42, 25, 4, 17, 26, 8, 15, 8, 28, 35, 29, 10, 48, 35, 24, 34, 41, 0, 18, 45, 43, 9, 19, 50, 45]
[35, 49, 27, 4, 28, 19, 5, 15, 47, 1, 42, 21, 32, 44, 8, 21, 46, 49, 15, 21, 12, 44, 47, 38, 18, 0, 50, 28, 48, 13, 35, 26]
[36, 3, 40, 16, 12, 36, 19, 20, 14, 37, 34, 8, 31, 3, 42, 3, 11, 24, 12, 35, 39, 8, 43, 4, 45, 50, 0, 31, 0, 12, 28, 35]
[1, 26, 8, 29, 13, 46, 35, 13, 40, 25, 19, 35, 4, 7, 6, 49, 50, 23, 1, 10, 45, 21, 36, 34, 43, 28, 31, 0, 37, 42, 34, 44]
[50, 36, 29, 30, 15, 18, 8, 3, 27, 47, 16, 42, 8, 41, 17, 12, 18, 2, 17, 39, 36, 42, 49, 47, 9, 48, 0, 37, 0, 5, 16, 17]
[41, 28, 21, 30, 42, 11, 30, 9, 2, 14, 8, 34, 3, 38, 22, 45, 21, 34, 21, 1, 1, 11, 42, 28, 19, 13, 12, 42, 5, 0, 13, 44]
[21, 21, 40, 13, 26, 1, 37, 36, 21, 34, 49, 13, 25, 25, 11, 34, 10, 2, 45, 45, 15, 41, 9, 19, 50, 35, 28, 34, 16, 13, 0, 19]
[37, 14, 30, 46, 22, 10, 42, 23, 10, 39, 24, 30, 8, 34, 19, 40, 17, 3, 19, 35, 2, 2, 21, 21, 45, 26, 35, 44, 17, 44, 19, 0]
