N1,N2,...,Nx
[0, 15, 35, 48, 7, 18, 11, 40, 43, 12, 27, 16]
[15, 0, 17, 43, 32, 11, 32, 27, 18, 22, 41, 46]
[35, 17, 0, 13, 16, 39, 29, 29, 6, 15, 23, 28]
[48, 43, 13, 0, 47, 25, 1, 0, 22, 47, 31, 21]
[7, 32, 16, 47, 0, 50, 17, 32, 19, 47, 2, 42]
[18, 11, 39, 25, 50, 0, 22, 5, 48, 3, 17, 42]
[11, 32, 29, 1, 17, 22, 0, 6, 18, 16, 34, 7]
[40, 27, 29, 0, 32, 5, 6, 0, 43, 32, 41, 25]
[43, 18, 6, 22, 19, 48, 18, 43, 0, 42, 4, 26]
[12, 22, 15, 47, 47, 3, 16, 32, 42, 0, 44, 45]
[27, 41, 23, 31, 2, 17, 34, 41, 4, 44, 0, 19]
[16, 46, 28, 21, 42, 42, 7, 25, 26, 45, 19, 0]
