N1,N2,...,Nx
[0, 28, 15, 6, 5, 39, 4, 29, 43, 11, 15, 22, 1, 25, 34, 11, 41, 12, 34, 25, 12, 33, 10, 31, 9, 1, 1, 39, 12, 16, 45, 36, 30, 47, 24, 17, 12, 39, 45, 28, 47, 21, 1, 32, 25, 44, 3, 49, 31, 49, 43, 48, 49, 37]
[28, 0, 9, 49, 49, 47, 14, 21, 30, 27, 17, 15, 39, 27, 4, 11, 1, 41, 35, 48, 6, 35, 39, 25, 45, 48, 17, 20, 17, 0, 44, 8, 20, 50, 41, 43, 15, 48, 34, 26, 2, 12, 36, 2, 18, 33, 47, 16, 7, 1, 19, 47, 14, 11]
[15, 9, 0, 49, 23, 3, 43, 42, 4, 14, 29, 9, 1, 3, 42, 21, 8, 28, 33, 4, 48, 26, 16, 47, 42, 31, 16, 30, 15, 10, 18, 38, 42, 43, 42, 13, 26, 39, 8, 26, 4, 24, 30, 29, 36, 20, 27, 10, 8, 23, 16, 7, 50, 2]
[6, 49, 49, 0, 25, 37, 3, 46, 34, 2, 12, 21, 21, 18, 19, 32, 6, 43, 3, 14, 44, 30, 39, 0, 37, 16, 12, 6, 13, 49, 28, 4, 34, 45, 6, 14, 0, 16, 24, 7, 20, 15, 35, 15, 30, 19, 33, 50, 39, 5, 49, 6, 43, 0]
[5, 49, 23, 25, 0, 7, 36, 12, 4, 12, 45, 24, 47, 38, 17, 38, 1, 42, 17, 22, 47, 12, 30, 42, 2, 12, 47, 20, 42, 48, 28, 23, 38, 42, 18, 16, 28, 6, 3, 23, 27, 50, 0, 16, 12, 11, 34, 17, 23, 17, 9, 30, 15, 32]
[39, 47, 3, 37, 7, 0, 39, 7, 20, 16, 21, 42, 50, 49, 37, 50, 40, 48, 16, 43, 48, 42, 0, 39, 40, 44, 35, 9, 17, 37, 40, 43, 6, 2, 24, 27, 42, 34, 29, 28, 14, 18, 21, 18, 19, 7, 11, 36, 50, 38, 25, 7, 10, 42]
[4, 14, 43, 3, 36, 39, 0, 24, 38, 26, 14, 38, 4, 42, 1, 14, 16, 50, 2, 5, 50, 23, 18, 50, 35, 44, 4, 16, 3, 17, 47, 26, 8, 24, 32, 7, 10, 2, 46, 39, 50, 50, 0, 4, 26, 31, 20, 46, 30, 22, 37, 12, 9, 10]
[29, 21, 42, 46, 12, 7, 24, 0, 10, 11, 38, 14, 5, 4, 19, 31, 37, 17, 49, 38, 4, 39, 38, 47, 35, 32, 21, 50, 1, 34, 34, 41, 12, 18, 18, 5, 30, 37, 19, 0, 48, 42, 13, 2, 16, 2, 24, 14, 6, 46, 34, 5, 47, 16]
[43, 30, 4, 34, 4, 20, 38, 10, 0, 22, 27, 49, 48, 41, 46, 16, 35, 43, 41, 26, 3, 18, 4, 33, 37, 45, 37, 38, 34, 45, 9, 20, 31, 26, 44, 0, 44, 44, 14, 35, 37, 28, 28, 37, 3, 45, 27, 17, 30, 16, 3, 0, 15, 5]
[11, 27, 14, 2, 12, 16, 26, 11, 22, 0, 3, 10, 48, 46, 10, 41, 22, 46, 0, 31, 7, 40, 11, 16, 41, 43, 37, 20, 12, 47, 16, 17, 1, 43, 11, 20, 13, 29, 32, 42, 31, 1, 48, 48, 8, 25, 15, 13, 27, 14, 1, 33, 7, 1]
[15, 17, 29, 12, 45, 21, 14, 38, 27, 3, 0, 12, 1, 47, 30, 28, 10, 16, 18, 30, 45, 37, 41, 47, 49, 41, 27, 21, 9, 41, 1, 32, 35, 10, 26, 45, 10, 6, 38, 31, 26, 27, 3, 23, 21, 21, 3, 22, 14, 2, 43, 7, 20, 50]
[22, 15, 9, 21, 24, 42, 38, 14, 49, 10, 12, 0, 32, 41, 38, 47, 4, 6, 4, 47, 23, 32, 27, 24, 29, 35, 38, 43, 6, 49, 36, 16, 35, 38, 35, 47, 2, 3, 21, 27, 42, 38, 12, 9, 18, 2, 7, 28, 38, 20, 49, 7, 29, 19]
[1, 39, 1, 21, 47, 50, 4, 5, 48, 48, 1, 32, 0, 10, 40, 1, 36, 9, 39, 13, 11, 33, 37, 28, 7, 30, 3, 20, 25, 25, 0, 25, 19, 7, 17, 43, 34, 1, 42, 10, 10, 19, 3, 1, 32, 13, 17, 44, 5, 43, 23, 14, 22, 4]
[25, 27, 3, 18, 38, 49, 42, 4, 41, 46, 47, 41, 10, 0, 43, 5, 11, 39, 48, 38, 23, 11, 12, 4, 19, 49, 33, 7, 41, 4, 10, 47, 41, 31, 41, 27, 38, 25, 24, 48, 32, 43, 35, 10, 35, 37, 14, 15, 3, 11, 42, 15, 23, 19]
[34, 4, 42, 19, 17, 37, 1, 19, 46, 10, 30, 38, 40, 43, 0, 12, 50, 21, 32, 29, 22, 15, 47, 10, 42, 34, 2, 28, 14, 1, 2, 16, 33, 36, 32, 15, 42, 39, 17, 21, 28, 11, 29, 20, 12, 45, 0, 22, 10, 39, 46, 39, 21, 11]
[11, 11, 21, 32, 38, 50, 14, 31, 16, 41, 28, 47, 1, 5, 12, 0, 11, 28, 15, 3, 28, 1, 6, 38, 13, 44, 29, 37, 44, 21, 19, 28, 47, 35, 48, 36, 46, 16, 15, 1, 9, 27, 50, 25, 8, 22, 32, 44, 27, 25, 30, 14, 7, 10]
[41, 1, 8, 6, 1, 40, 16, 37, 35, 22, 10, 4, 36, 11, 50, 11, 0, 14, 48, 11, 8, 18, 23, 44, 21, 34, 8, 7, 17, 47, 49, 23, 47, 48, 41, 35, 29, 20, 7, 13, 48, 17, 45, 18, 14, 34, 23, 31, 2, 4, 13, 39, 5, 12]
