N1,N2,...,Nx
[0, 12, 1, 39, 39, 46, 37, 13, 27, 9, 9, 3, 24, 25, 26, 45, 36, 32, 11, 2, 41, 48, 3, 10, 9, 4, 18, 5, 17, 45, 3, 41, 44, 16, 50, 27, 47, 16, 32, 28, 0, 0, 8, 47, 23, 15, 0, 15, 31, 22, 23, 38, 38, 46, 26, 10, 17, 6, 49, 11, 32, 21, 37, 16, 31, 6, 30, 45, 38, 48, 40, 47, 34, 38, 27, 34, 44, 40, 15, 2, 32, 19, 8, 6, 13, 36, 37, 40, 33, 24, 30, 12]
[12, 0, 41, 26, 47, 6, 47, 4, 45, 28, 25, 10, 24, 25, 48, 5, 1, 31, 3, 23, 19, 28, 37, 10, 28, 37, 5, 44, 1, 22, 42, 29, 25, 35, 50, 5, 25, 27, 17, 12, 19, 37, 12, 11, 34, 38, 4, 25, 13, 46, 2, 43, 15, 45, 48, 7, 37, 35, 1, 25, 4, 35, 32, 21, 48, 40, 10, 21, 30, 38, 25, 42, 44, 12, 3, 7, 42, 11, 42, 31, 1, 4, 10, 29, 36, 27, 50, 8, 41, 49, 19, 47]
[1, 41, 0, 9, 22, 17, 4, 19, 9, 45, 41, 21, 14, 17, 50, 3, 38, 32, 31, 30, 39, 12, 12, 46, 6, 37, 44, 21, 9, 15, 16, 46, 38, 32, 3, 48, 45, 35, 7, 30, 35, 21, 44, 9, 47, 31, 23, 18, 41, 33, 28, 20, 2, 47, 23, 28, 16, 16, 38, 20, 1, 6, 18, 32, 43, 37, 5, 43, 34, 20, 17, 33, 36, 40, 41, 22, 31, 30, 25, 9, 50, 9, 45, 26, 5, 50, 31, 38, 24, 3, 34, 9]
[39, 26, 9, 0, 26, 34, 20, 27, 6, 12, 30, 19, 22, 37, 49, 23, 5, 47, 15, 16, 14, 0, 45, 40, 12, 40, 43, 10, 41, 19, 23, 20, 11, 49, 28, 6, 1, 12, 36, 46, 23, 25, 14, 29, 31, 16, 4, 45, 37, 28, 31, 35, 34, 47, 17, 22, 14, 8, 10, 34, 34, 11, 24, 16, 26, 34, 41, 30, 9, 2, 48, 27, 35, 46, 39, 0, 14, 4, 3, 5, 5, 3, 44, 37, 29, 29, 19, 14, 1, 33, 1, 13]
[39, 47, 22, 26, 0, 5, 4, 25, 27, 22, 17, 27, 17, 16, 26, 50, 3, 3, 12, 33, 35, 50, 24, 15, 11, 25, 15, 3, 42, 38, 30, 15, 15, 1, 23, 0, 20, 32, 12, 17, 36, 14, 3, 15, 30, 2, 39, 31, 40, 17, 18, 38, 47, 23, 8, 2, 49, 43, 1, 14, 20, 22, 42, 7, 47, 3, 37, 4, 9, 22, 20, 47, 20, 8, 11, 29, 39, 40, 1, 1, 10, 50, 35, 4, 10, 36, 17, 31, 46, 47, 38, 44]
[46, 6, 17, 34, 5, 0, 18, 47, 40, 17, 8, 50, 38, 36, 29, 37, 34, 22, 17, 44, 34, 6, 30, 44, 43, 24, 19, 26, 7, 42, 18, 9, 41, 23, 48, 2, 45, 39, 27, 50, 29, 28, 2, 18, 46, 41, 20, 15, 22, 24, 7, 45, 32, 4, 44, 4, 41, 37, 10, 16, 8, 7, 7, 26, 22, 40, 10, 8, 48, 26, 44, 12, 6, 15, 50, 9, 12, 5, 50, 41, 44, 21, 10, 24, 27, 37, 47, 22, 28, 29, 12, 13]
[37, 47, 4, 20, 4, 18, 0, 49, 20, 10, 47, 18, 38, 1, 23, 30, 7, 30, 5, 15, 45, 11, 38, 10, 24, 16, 6, 36, 30, 2, 11, 23, 9, 44, 8, 16, 31, 42, 12, 25, 6, 12, 39, 17, 12, 6, 46, 1, 22, 16, 31, 2, 11, 27, 41, 41, 33, 44, 45, 36, 32, 29, 43, 8, 22, 44, 18, 42, 15, 23, 12, 16, 6, 9, 42, 23, 49, 17, 5, 48, 11, 42, 26, 0, 36, 36, 22, 41, 40, 1, 42, 1]
[13, 4, 19, 27, 25, 47, 49, 0, 46, 25, 4, 41, 22, 0, 48, 14, 1, 29, 2, 2, 22, 28, 50, 44, 7, 31, 40, 48, 1, 44, 1, 32, 45, 27, 23, 30, 14, 7, 31, 7, 27, 14, 4, 30, 19, 14, 33, 13, 26, 25, 8, 47, 2, 21, 29, 27, 10, 11, 25, 14, 49, 7, 2, 40, 14, 36, 4, 35, 26, 21, 36, 21, 20, 0, 38, 33, 44, 20, 37, 34, 34, 32, 33, 28, 30, 25, 16, 25, 24, 27, 39, 21]
[27, 45, 9, 6, 27, 40, 20, 46, 0, 44, 9, 38, 31, 30, 13, 26, 25, 24, 9, 11, 9, 14, 50, 14, 43, 42, 47, 32, 41, 7, 20, 48, 11, 40, 11, 38, 24, 28, 37, 30, 24, 24, 3, 47, 5, 0, 30, 18, 28, 40, 18, 47, 9, 34, 1, 11, 36, 11, 49, 36, 2, 16, 9, 21, 42, 32, 8, 26, 44, 7, 6, 23, 47, 23, 12, 24, 26, 7, 41, 21, 22, 4, 11, 11, 4, 45, 14, 30, 6, 34, 26, 27]
[9, 28, 45, 12, 22, 17, 10, 25, 44, 0, 37, 42, 18, 20, 23, 32, 8, 17, 35, 0, 41, 45, 33, 28, 37, 20, 49, 30, 38, 16, 47, 3, 12, 15, 38, 31, 15, 9, 26, 9, 47, 38, 26, 37, 16, 14, 37, 17, 5, 13, 30, 23, 35, 18, 49, 7, 45, 26, 9, 14, 29, 46, 20, 0, 50, 7, 3, 34, 4, 30, 6, 27, 40, 37, 45, 25, 17, 17, 29, 1, 25, 48, 2, 39, 26, 37, 28, 7, 4, 41, 4, 15]
