N1,N2,...,Nx
[0, 1, 11, 2, 44, 37, 14, 15, 49, 7, 43, 7, 12, 32, 17, 31, 46, 38, 20, 32, 14, 0, 31, 49, 34, 48, 31, 35, 46, 8, 48, 12, 5, 14, 27, 6, 21, 39, 3, 16, 16, 14, 49, 50, 30, 47, 19, 2, 7, 21, 23, 26, 12, 30, 49, 3, 46, 25, 44, 19, 27, 18, 14, 7, 49]
[1, 0, 45, 17, 27, 30, 15, 49, 7, 23, 15, 37, 28, 41, 24, 5, 15, 31, 7, 18, 37, 26, 37, 33, 37, 48, 32, 23, 37, 5, 36, 31, 2, 50, 28, 11, 8, 44, 40, 27, 49, 0, 6, 15, 21, 13, 42, 10, 37, 31, 34, 27, 11, 45, 43, 6, 37, 21, 5, 9, 39, 43, 26, 2, 26]
[11, 45, 0, 30, 36, 10, 28, 13, 32, 29, 43, 16, 0, 50, 25, 13, 23, 48, 24, 50, 25, 1, 36, 34, 1, 14, 30, 39, 7, 42, 24, 18, 20, 3, 26, 34, 49, 40, 17, 46, 12, 19, 43, 16, 24, 32, 31, 7, 16, 18, 17, 21, 30, 0, 29, 32, 14, 2, 2, 24, 36, 10, 28, 20, 1]
[2, 17, 30, 0, 31, 31, 20, 2, 0, 15, 25, 50, 27, 0, 16, 1, 22, 18, 38, 34, 0, 4, 28, 0, 9, 3, 20, 22, 13, 45, 43, 40, 21, 13, 43, 19, 28, 23, 49, 2, 2, 9, 46, 35, 31, 28, 34, 49, 6, 7, 2, 36, 4, 5, 15, 16, 28, 45, 27, 16, 43, 1, 35, 15, 0]
[44, 27, 36, 31, 0, 50, 5, 15, 7, 40, 17, 29, 31, 6, 24, 4, 9, 35, 33, 14, 43, 20, 9, 14, 18, 43, 15, 34, 17, 37, 27, 43, 11, 4, 19, 45, 33, 43, 16, 25, 20, 0, 24, 46, 28, 46, 12, 1, 39, 23, 32, 19, 49, 44, 48, 2, 17, 9, 35, 31, 39, 46, 20, 39, 39]
[37, 30, 10, 31, 50, 0, 25, 9, 33, 47, 20, 38, 29, 42, 48, 38, 49, 19, 47, 37, 36, 6, 3, 1, 17, 37, 0, 24, 20, 10, 26, 15, 29, 9, 17, 24, 22, 6, 31, 0, 38, 43, 18, 46, 45, 46, 12, 15, 2, 5, 20, 44, 33, 2, 10, 17, 23, 29, 35, 12, 29, 49, 20, 4, 4]
[14, 15, 28, 20, 5, 25, 0, 34, 21, 11, 42, 39, 28, 31, 14, 33, 46, 17, 18, 7, 30, 6, 9, 4, 0, 8, 42, 40, 45, 47, 47, 10, 22, 14, 10, 9, 6, 40, 40, 42, 10, 45, 42, 1, 39, 11, 31, 26, 15, 4, 39, 37, 37, 45, 47, 19, 14, 9, 49, 22, 50, 37, 48, 6, 17]
[15, 49, 13, 2, 15, 9, 34, 0, 3, 48, 16, 48, 5, 42, 28, 22, 12, 29, 23, 32, 39, 38, 18, 31, 37, 23, 7, 40, 26, 39, 49, 15, 6, 38, 38, 18, 29, 37, 49, 3, 38, 37, 10, 26, 37, 37, 0, 45, 3, 43, 12, 20, 4, 23, 5, 48, 21, 22, 23, 3, 20, 14, 18, 27, 6]
[49, 7, 32, 0, 7, 33, 21, 3, 0, 11, 15, 26, 17, 27, 48, 37, 36, 46, 2, 17, 40, 48, 45, 15, 6, 14, 37, 31, 36, 45, 13, 47, 35, 2, 28, 43, 1, 19, 11, 7, 41, 38, 22, 7, 4, 47, 36, 12, 25, 12, 21, 29, 47, 17, 47, 44, 29, 39, 34, 46, 9, 15, 13, 5, 17]
[7, 23, 29, 15, 40, 47, 11, 48, 11, 0, 18, 7, 50, 11, 28, 6, 6, 6, 50, 32, 12, 34, 36, 37, 40, 42, 32, 26, 18, 20, 29, 6, 12, 27, 6, 9, 27, 33, 16, 8, 37, 3, 18, 21, 13, 44, 32, 23, 6, 14, 50, 5, 26, 35, 38, 17, 16, 19, 2, 19, 46, 4, 29, 18, 31]
