N1,N2,...,Nx
[0, 36, 41, 18, 24, 22, 39, 37, 39, 50, 34, 18, 5, 0, 45, 14, 34, 1, 25, 3, 36, 25, 22, 42, 12, 41, 12, 33, 25, 26, 17, 44, 25, 37, 18, 28, 10, 36, 11, 29, 1, 8, 47, 46, 35, 24, 34, 42, 36, 9, 5, 13, 31, 48, 31, 17, 13, 28, 22, 36, 11]
[36, 0, 4, 5, 7, 45, 21, 4, 44, 23, 7, 9, 22, 27, 19, 17, 25, 6, 35, 8, 19, 41, 4, 17, 43, 3, 23, 19, 29, 26, 4, 27, 28, 47, 34, 34, 24, 28, 48, 39, 10, 44, 15, 24, 50, 32, 12, 10, 24, 33, 20, 9, 50, 1, 9, 28, 19, 46, 42, 2, 9]
[41, 4, 0, 37, 42, 13, 33, 24, 41, 27, 45, 35, 33, 38, 15, 12, 18, 22, 23, 10, 36, 41, 4, 43, 30, 7, 50, 9, 23, 7, 3, 40, 14, 49, 11, 13, 38, 1, 24, 32, 11, 25, 1, 4, 37, 26, 42, 8, 31, 45, 8, 11, 34, 41, 26, 5, 31, 14, 9, 12, 24]
[18, 5, 37, 0, 31, 0, 48, 26, 4, 23, 19, 4, 25, 45, 32, 1, 47, 42, 39, 32, 28, 12, 39, 49, 3, 7, 27, 34, 38, 17, 36, 43, 1, 16, 37, 34, 41, 38, 12, 44, 13, 33, 18, 30, 45, 28, 38, 43, 35, 31, 46, 32, 23, 14, 48, 18, 5, 7, 27, 25, 26]
[24, 7, 42, 31, 0, 35, 37, 25, 49, 27, 25, 36, 1, 37, 2, 16, 28, 12, 36, 47, 41, 46, 13, 50, 8, 28, 4, 11, 20, 20, 13, 18, 9, 40, 20, 11, 13, 26, 16, 11, 46, 10, 1, 1, 35, 30, 34, 18, 28, 28, 45, 30, 30, 44, 47, 40, 45, 17, 45, 40, 14]
[22, 45, 13, 0, 35, 0, 19, 48, 8, 19, 31, 7, 20, 29, 14, 22, 3, 22, 44, 0, 15, 12, 12, 43, 11, 40, 40, 15, 46, 37, 31, 33, 30, 17, 45, 50, 17, 3, 17, 25, 50, 38, 0, 3, 37, 3, 35, 44, 25, 23, 41, 10, 19, 8, 28, 0, 45, 27, 33, 23, 32]
[39, 21, 33, 48, 37, 19, 0, 35, 36, 29, 19, 47, 37, 15, 35, 0, 24, 21, 42, 8, 46, 24, 8, 12, 34, 34, 13, 1, 5, 10, 42, 27, 39, 40, 49, 15, 39, 8, 35, 25, 18, 49, 19, 48, 8, 30, 15, 21, 3, 23, 11, 46, 20, 38, 27, 38, 16, 22, 18, 40, 37]
[37, 4, 24, 26, 25, 48, 35, 0, 30, 0, 50, 20, 16, 3, 27, 6, 31, 37, 12, 20, 20, 22, 24, 34, 13, 15, 32, 35, 30, 29, 17, 44, 45, 15, 27, 33, 14, 11, 42, 14, 14, 44, 1, 42, 23, 7, 12, 9, 45, 46, 47, 49, 32, 13, 40, 11, 11, 50, 40, 31, 11]
[39, 44, 41, 4, 49, 8, 36, 30, 0, 43, 0, 34, 28, 39, 28, 37, 31, 42, 2, 6, 28, 30, 21, 16, 2, 41, 41, 2, 43, 49, 42, 11, 22, 11, 6, 32, 15, 49, 46, 38, 25, 12, 41, 3, 36, 16, 14, 14, 21, 39, 2, 42, 24, 44, 24, 4, 49, 37, 20, 35, 27]
[50, 23, 27, 23, 27, 19, 29, 0, 43, 0, 16, 33, 37, 42, 41, 34, 7, 2, 4, 27, 33, 35, 28, 34, 12, 5, 23, 40, 33, 18, 31, 5, 21, 35, 27, 43, 12, 8, 3, 32, 37, 2, 30, 22, 12, 15, 35, 24, 16, 39, 37, 0, 19, 29, 28, 21, 2, 50, 23, 0, 13]
