N1,N2,...,Nx
[0, 7, 0, 11, 37, 20, 43, 46, 13, 8, 2, 45, 38, 45, 47, 16, 27, 50, 19, 49, 9, 24, 2, 47, 20, 11, 44, 4, 11, 16, 17, 5, 27, 3, 49, 45, 17, 17, 0, 20, 2, 48, 12, 4, 23, 0, 23, 50, 30, 26, 44, 31, 36, 24, 32, 8, 19, 39, 20, 39, 22, 15, 21, 43, 37, 37, 35, 12, 1, 48, 11, 24, 30]
[7, 0, 14, 3, 6, 26, 33, 13, 7, 47, 49, 42, 47, 2, 48, 26, 22, 20, 42, 19, 8, 21, 28, 50, 19, 1, 47, 22, 7, 49, 49, 47, 15, 20, 29, 31, 31, 39, 8, 27, 10, 37, 36, 50, 28, 24, 13, 3, 2, 25, 2, 14, 15, 37, 45, 46, 3, 33, 14, 11, 29, 46, 45, 43, 29, 35, 12, 2, 44, 41, 10, 30, 22]
[0, 14, 0, 8, 46, 10, 48, 47, 30, 41, 3, 27, 43, 18, 30, 36, 47, 28, 30, 18, 42, 23, 24, 44, 1, 49, 46, 34, 31, 17, 2, 5, 9, 5, 19, 18, 33, 8, 23, 47, 30, 9, 26, 23, 46, 8, 5, 4, 37, 49, 14, 18, 0, 39, 17, 22, 47, 34, 3, 14, 34, 32, 5, 14, 32, 34, 13, 2, 21, 18, 25, 30, 46]
[11, 3, 8, 0, 16, 12, 6, 32, 36, 6, 26, 14, 48, 6, 14, 36, 35, 13, 45, 48, 11, 46, 14, 37, 2, 24, 13, 34, 4, 7, 27, 34, 36, 46, 11, 43, 17, 23, 16, 16, 27, 14, 20, 47, 6, 24, 9, 6, 30, 4, 19, 40, 23, 2, 0, 17, 15, 40, 26, 8, 5, 9, 47, 29, 39, 39, 9, 16, 28, 42, 16, 17, 32]
[37, 6, 46, 16, 0, 6, 26, 17, 17, 35, 44, 38, 27, 16, 16, 46, 19, 18, 37, 28, 50, 41, 47, 23, 26, 40, 34, 10, 35, 23, 42, 4, 29, 7, 34, 41, 39, 24, 10, 42, 2, 40, 14, 0, 9, 21, 27, 15, 17, 32, 47, 20, 5, 2, 1, 15, 31, 46, 24, 8, 47, 47, 2, 11, 15, 33, 31, 41, 41, 7, 49, 19, 14]
[20, 26, 10, 12, 6, 0, 25, 19, 41, 26, 8, 20, 45, 43, 10, 33, 40, 33, 33, 9, 27, 6, 43, 37, 7, 13, 21, 48, 46, 33, 46, 6, 16, 16, 45, 5, 9, 36, 8, 49, 41, 48, 46, 12, 7, 21, 34, 4, 32, 26, 46, 15, 37, 8, 36, 6, 31, 6, 8, 47, 2, 2, 30, 4, 26, 14, 6, 32, 21, 47, 43, 50, 30]
[43, 33, 48, 6, 26, 25, 0, 4, 41, 13, 1, 35, 47, 43, 11, 27, 3, 8, 21, 44, 6, 26, 7, 17, 49, 50, 48, 14, 39, 50, 30, 0, 48, 49, 2, 41, 9, 5, 42, 18, 23, 49, 32, 37, 0, 1, 45, 36, 50, 6, 4, 21, 40, 9, 31, 41, 17, 12, 13, 49, 34, 49, 23, 10, 5, 49, 0, 44, 44, 38, 29, 45, 17]
[46, 13, 47, 32, 17, 19, 4, 0, 5, 22, 16, 5, 17, 18, 14, 44, 19, 39, 6, 38, 50, 38, 8, 18, 2, 40, 11, 50, 5, 0, 48, 0, 27, 48, 34, 4, 7, 17, 38, 27, 24, 6, 17, 32, 40, 28, 41, 26, 7, 24, 3, 8, 25, 23, 27, 6, 44, 27, 45, 48, 13, 46, 41, 22, 2, 48, 23, 20, 10, 10, 25, 28, 37]
[13, 7, 30, 36, 17, 41, 41, 5, 0, 35, 3, 16, 16, 2, 9, 45, 43, 20, 35, 34, 47, 49, 32, 49, 41, 10, 17, 17, 22, 42, 49, 46, 27, 24, 11, 47, 30, 2, 32, 36, 38, 31, 4, 34, 27, 46, 25, 5, 42, 3, 22, 3, 4, 12, 3, 11, 18, 17, 41, 28, 13, 7, 28, 7, 40, 25, 4, 20, 9, 40, 41, 20, 13]
[8, 47, 41, 6, 35, 26, 13, 22, 35, 0, 35, 17, 6, 29, 2, 43, 23, 8, 25, 8, 2, 11, 36, 27, 31, 46, 23, 5, 27, 0, 7, 10, 42, 20, 30, 31, 11, 37, 35, 38, 14, 26, 46, 35, 15, 7, 5, 23, 49, 48, 5, 19, 29, 36, 38, 14, 9, 11, 16, 7, 40, 25, 37, 25, 35, 13, 16, 29, 27, 21, 7, 31, 0]
