N1,N2,...,Nx
[0, 1, 50, 12, 3, 41, 8, 9, 10, 28, 20, 48, 25, 29, 34, 40, 37, 18, 50, 6, 12, 31, 4, 14, 11, 27, 26, 9, 50, 12, 28, 31, 48, 10, 44, 44, 1, 21, 27]
[1, 0, 12, 46, 11, 17, 11, 34, 48, 4, 6, 19, 5, 36, 5, 40, 48, 32, 36, 14, 21, 9, 30, 19, 2, 10, 16, 18, 9, 3, 49, 16, 2, 5, 45, 36, 27, 41, 33]
[50, 12, 0, 7, 21, 27, 11, 46, 16, 36, 28, 7, 22, 16, 49, 1, 12, 21, 32, 3, 49, 20, 24, 3, 50, 8, 48, 42, 46, 46, 7, 27, 23, 14, 50, 27, 4, 17, 41]
[12, 46, 7, 0, 1, 20, 17, 0, 7, 45, 28, 38, 7, 3, 41, 37, 50, 38, 34, 43, 10, 26, 36, 25, 8, 49, 48, 47, 15, 10, 19, 25, 35, 0, 41, 32, 10, 30, 28]
[3, 11, 21, 1, 0, 21, 47, 14, 15, 16, 43, 38, 1, 16, 15, 23, 43, 20, 39, 25, 44, 30, 25, 9, 5, 47, 3, 42, 21, 36, 0, 45, 1, 17, 7, 39, 0, 49, 0]
[41, 17, 27, 20, 21, 0, 10, 12, 46, 47, 11, 40, 49, 12, 31, 24, 24, 28, 12, 7, 48, 35, 27, 3, 32, 18, 36, 45, 20, 23, 6, 22, 28, 26, 12, 40, 29, 26, 48]
[8, 11, 11, 17, 47, 10, 0, 34, 5, 27, 6, 40, 37, 25, 45, 42, 42, 21, 49, 49, 25, 20, 25, 32, 24, 6, 47, 4, 45, 8, 4, 24, 20, 14, 37, 2, 48, 13, 46]
[9, 34, 46, 0, 14, 12, 34, 0, 13, 14, 38, 45, 41, 33, 23, 38, 50, 43, 39, 12, 43, 31, 10, 1, 2, 39, 32, 28, 34, 12, 44, 25, 31, 5, 28, 11, 32, 22, 46]
[10, 48, 16, 7, 15, 46, 5, 13, 0, 26, 8, 32, 46, 4, 36, 3, 41, 6, 2, 36, 50, 48, 33, 9, 32, 31, 18, 25, 2, 33, 13, 14, 8, 39, 44, 18, 14, 5, 41]
[28, 4, 36, 45, 16, 47, 27, 14, 26, 0, 9, 32, 9, 7, 35, 4, 16, 45, 9, 8, 36, 9, 28, 16, 26, 39, 32, 7, 19, 14, 47, 44, 8, 2, 34, 6, 43, 11, 36]
