N1,N2,...,Nx
[0, 44, 44, 8, 19, 13, 24, 37, 4, 42, 13, 20, 11, 18, 1, 2, 20, 26, 36, 41, 22, 30, 48, 42, 8, 41, 22, 48, 28, 47, 22, 38, 0, 48, 40, 8]
[44, 0, 10, 36, 16, 42, 8, 15, 13, 32, 29, 9, 20, 2, 48, 29, 46, 47, 47, 23, 33, 49, 1, 23, 10, 15, 19, 28, 18, 5, 9, 27, 29, 12, 20, 14]
[44, 10, 0, 34, 28, 12, 41, 35, 17, 9, 1, 3, 5, 20, 36, 40, 33, 5, 29, 5, 48, 29, 50, 49, 23, 8, 21, 8, 5, 32, 11, 43, 43, 38, 45, 3]
[8, 36, 34, 0, 1, 2, 17, 27, 6, 43, 41, 14, 25, 47, 2, 20, 1, 35, 41, 47, 49, 23, 14, 33, 16, 35, 8, 10, 8, 48, 5, 3, 8, 14, 46, 30]
[19, 16, 28, 1, 0, 41, 9, 44, 37, 20, 41, 28, 31, 34, 11, 44, 45, 25, 39, 23, 3, 30, 33, 26, 8, 40, 3, 29, 45, 43, 25, 47, 2, 49, 32, 38]
[13, 42, 12, 2, 41, 0, 5, 19, 3, 29, 45, 18, 50, 10, 26, 12, 17, 27, 29, 18, 18, 17, 14, 4, 47, 37, 39, 33, 6, 2, 10, 2, 27, 47, 15, 34]
[24, 8, 41, 17, 9, 5, 0, 26, 27, 38, 23, 9, 20, 39, 22, 35, 39, 34, 33, 7, 40, 13, 31, 7, 16, 31, 18, 16, 33, 1, 22, 36, 9, 12, 13, 0]
[37, 15, 35, 27, 44, 19, 26, 0, 38, 31, 9, 45, 39, 36, 50, 37, 29, 25, 21, 29, 23, 30, 41, 8, 4, 36, 41, 37, 7, 22, 25, 11, 33, 40, 30, 14]
[4, 13, 17, 6, 37, 3, 27, 38, 0, 40, 8, 28, 27, 15, 19, 46, 3, 1, 37, 36, 46, 31, 10, 22, 34, 6, 25, 35, 30, 27, 26, 15, 29, 32, 20, 22]
[42, 32, 9, 43, 20, 29, 38, 31, 40, 0, 31, 3, 14, 13, 11, 43, 2, 16, 49, 44, 2, 11, 15, 9, 34, 1, 9, 21, 46, 19, 21, 31, 10, 23, 39, 12]
[13, 29, 1, 41, 41, 45, 23, 9, 8, 31, 0, 29, 21, 39, 48, 48, 47, 1, 34, 39, 2, 1, 23, 44, 15, 39, 41, 50, 26, 36, 48, 11, 49, 17, 31, 6]
[20, 9, 3, 14, 28, 18, 9, 45, 28, 3, 29, 0, 47, 9, 18, 14, 5, 31, 24, 33, 3, 8, 41, 24, 24, 20, 35, 18, 22, 26, 34, 32, 17, 37, 4, 50]
[11, 20, 5, 25, 31, 50, 20, 39, 27, 14, 21, 47, 0, 15, 13, 44, 42, 16, 47, 27, 6, 31, 32, 15, 18, 26, 16, 25, 15, 34, 31, 27, 14, 10, 16, 35]
[18, 2, 20, 47, 34, 10, 39, 36, 15, 13, 39, 9, 15, 0, 40, 9, 40, 45, 26, 8, 42, 12, 3, 13, 45, 18, 0, 17, 16, 5, 5, 22, 43, 40, 41, 23]
