N1,N2,...,Nx
[0, 16, 50, 40, 37, 44, 38, 48, 22, 18, 16, 44, 6, 9, 47, 34, 24, 13, 37, 17, 29, 37, 49, 44, 41, 11, 29, 18, 21, 7, 31, 9, 3, 46, 27, 26, 36, 41, 7, 0, 48, 20, 22, 34, 17, 36, 17, 9, 45, 12, 16, 43, 0, 37, 31, 40, 25, 23, 8, 49, 31, 13, 1, 46, 47, 13, 38, 1, 17, 41, 45, 31, 27, 22, 5, 18, 37, 8, 10, 32, 30, 6, 10, 9, 42, 32, 44, 42, 40, 33, 12, 23, 42, 47, 13, 43]
[16, 0, 34, 8, 6, 9, 20, 10, 7, 30, 37, 34, 49, 17, 28, 17, 5, 45, 2, 16, 44, 21, 0, 48, 37, 24, 7, 21, 24, 13, 39, 26, 17, 30, 7, 26, 44, 31, 3, 47, 35, 39, 14, 36, 50, 16, 35, 31, 3, 46, 9, 29, 41, 19, 8, 1, 12, 19, 30, 2, 7, 46, 11, 19, 35, 48, 7, 5, 17, 13, 44, 3, 23, 9, 7, 35, 6, 9, 27, 15, 36, 26, 18, 11, 4, 33, 31, 41, 2, 6, 17, 7, 15, 0, 28, 27]
[50, 34, 0, 29, 19, 14, 37, 18, 3, 18, 39, 31, 0, 10, 50, 11, 40, 34, 10, 36, 27, 44, 38, 26, 21, 0, 23, 32, 49, 13, 32, 40, 22, 20, 28, 44, 33, 4, 8, 2, 31, 14, 1, 16, 48, 18, 36, 17, 18, 49, 3, 48, 8, 42, 37, 50, 31, 37, 34, 5, 36, 44, 37, 23, 19, 47, 27, 1, 24, 47, 29, 19, 45, 36, 22, 37, 30, 29, 39, 32, 38, 48, 29, 2, 24, 41, 20, 12, 11, 35, 2, 0, 7, 5, 46, 11]
[40, 8, 29, 0, 20, 8, 40, 49, 49, 10, 19, 11, 34, 33, 7, 24, 15, 17, 16, 29, 35, 20, 42, 19, 36, 11, 29, 3, 34, 0, 33, 47, 36, 21, 22, 16, 19, 13, 31, 31, 49, 14, 3, 6, 10, 0, 8, 34, 27, 9, 10, 20, 29, 12, 21, 8, 1, 17, 4, 20, 19, 44, 48, 7, 25, 35, 39, 22, 31, 47, 44, 27, 7, 25, 32, 32, 11, 10, 8, 19, 24, 42, 8, 25, 19, 43, 38, 16, 38, 34, 36, 20, 28, 30, 35, 48]
[37, 6, 19, 20, 0, 5, 3, 7, 11, 18, 46, 43, 8, 5, 31, 32, 28, 44, 7, 49, 38, 30, 9, 8, 37, 40, 25, 45, 23, 44, 50, 18, 25, 2, 37, 43, 45, 25, 13, 1, 26, 48, 11, 49, 30, 8, 25, 46, 19, 35, 7, 44, 13, 39, 43, 36, 0, 11, 37, 5, 39, 35, 42, 26, 31, 37, 7, 26, 48, 12, 11, 35, 38, 7, 44, 34, 46, 26, 4, 3, 48, 1, 46, 44, 13, 48, 48, 23, 37, 31, 34, 26, 2, 12, 39, 33]
[44, 9, 14, 8, 5, 0, 46, 31, 1, 28, 42, 27, 21, 27, 36, 22, 44, 45, 42, 45, 41, 37, 29, 21, 22, 5, 28, 38, 7, 48, 11, 18, 4, 21, 21, 33, 9, 11, 34, 11, 45, 26, 25, 11, 47, 22, 23, 15, 16, 2, 6, 16, 20, 17, 46, 41, 18, 3, 49, 17, 21, 33, 29, 38, 29, 26, 14, 46, 2, 36, 23, 14, 10, 3, 1, 5, 12, 18, 13, 38, 32, 43, 19, 23, 50, 14, 4, 42, 43, 21, 8, 13, 16, 29, 16, 27]
[38, 20, 37, 40, 3, 46, 0, 6, 44, 11, 38, 3, 46, 5, 49, 1, 38, 43, 20, 46, 44, 6, 5, 11, 27, 45, 17, 35, 29, 31, 0, 0, 13, 36, 22, 49, 50, 44, 50, 2, 36, 33, 18, 3, 18, 49, 11, 26, 3, 10, 44, 50, 23, 42, 3, 0, 1, 47, 40, 14, 14, 13, 9, 18, 34, 1, 12, 11, 26, 3, 19, 29, 45, 31, 6, 48, 1, 19, 40, 33, 7, 24, 45, 1, 31, 49, 45, 13, 17, 21, 6, 29, 14, 38, 40, 39]
[48, 10, 18, 49, 7, 31, 6, 0, 36, 32, 19, 3, 37, 39, 15, 45, 6, 48, 29, 33, 39, 40, 25, 13, 17, 29, 17, 32, 16, 24, 16, 12, 7, 16, 4, 31, 26, 4, 2, 38, 19, 13, 43, 50, 10, 10, 25, 2, 0, 16, 17, 32, 12, 23, 22, 10, 22, 27, 6, 21, 35, 29, 12, 20, 43, 47, 1, 12, 6, 41, 25, 16, 18, 27, 18, 24, 11, 47, 46, 26, 22, 19, 27, 4, 14, 50, 47, 18, 3, 19, 50, 17, 26, 29, 19, 41]
[22, 7, 3, 49, 11, 1, 44, 36, 0, 23, 16, 16, 24, 2, 6, 1, 24, 22, 15, 23, 15, 26, 43, 29, 14, 18, 32, 3, 39, 50, 8, 50, 6, 31, 47, 43, 13, 49, 33, 23, 23, 28, 3, 17, 13, 39, 44, 47, 12, 3, 32, 38, 21, 41, 11, 50, 33, 28, 15, 12, 36, 11, 15, 2, 17, 23, 4, 50, 45, 29, 50, 12, 7, 34, 50, 26, 7, 17, 15, 15, 39, 39, 21, 22, 30, 15, 41, 29, 1, 4, 8, 43, 3, 37, 29, 21]
[18, 30, 18, 10, 18, 28, 11, 32, 23, 0, 43, 3, 8, 5, 21, 21, 30, 19, 26, 17, 3, 13, 48, 15, 39, 8, 28, 9, 23, 20, 15, 26, 4, 10, 29, 38, 11, 4, 49, 36, 49, 17, 19, 36, 3, 46, 8, 49, 28, 25, 13, 46, 49, 21, 28, 13, 36, 7, 50, 30, 11, 0, 6, 37, 14, 33, 3, 45, 26, 16, 2, 49, 50, 36, 2, 42, 37, 15, 27, 5, 11, 28, 46, 32, 13, 4, 6, 7, 44, 44, 49, 31, 30, 39, 36, 25]
