N1,N2,...,Nx
[0, 7, 30, 3, 19, 36, 17, 22, 2, 27, 22, 13, 9, 33, 38, 43, 21, 43, 28, 39, 22, 8, 43, 16, 4, 22, 25, 14, 2, 24, 31, 34, 18, 0, 40, 45, 11, 42, 46, 22, 17, 29, 36, 4, 33, 22, 11, 32, 7, 35, 8, 8, 29, 41, 37, 24, 38, 38, 48, 9, 50, 7, 38, 11, 37, 16, 28, 6, 34, 21, 34, 38, 33, 42, 43, 17, 12, 16]
[7, 0, 24, 45, 49, 35, 40, 37, 24, 47, 26, 8, 0, 24, 39, 34, 16, 47, 27, 32, 22, 38, 49, 33, 46, 43, 13, 50, 4, 9, 25, 38, 25, 16, 31, 0, 3, 43, 40, 43, 13, 30, 10, 31, 50, 15, 48, 27, 26, 15, 17, 3, 31, 2, 30, 7, 41, 4, 7, 10, 23, 46, 11, 40, 46, 35, 21, 20, 10, 8, 8, 8, 9, 14, 26, 32, 27, 27]
[30, 24, 0, 18, 12, 10, 40, 14, 20, 31, 47, 23, 26, 22, 17, 34, 44, 40, 13, 10, 33, 40, 41, 12, 29, 29, 1, 19, 5, 4, 15, 35, 24, 12, 27, 17, 16, 13, 1, 3, 25, 45, 30, 9, 35, 18, 32, 42, 40, 1, 3, 40, 16, 11, 18, 22, 12, 12, 40, 1, 9, 36, 50, 29, 41, 34, 0, 5, 16, 37, 17, 8, 23, 11, 32, 50, 37, 9]
[3, 45, 18, 0, 41, 33, 39, 25, 2, 40, 40, 15, 47, 1, 12, 0, 36, 13, 28, 46, 28, 17, 12, 43, 3, 28, 36, 44, 18, 33, 44, 19, 47, 19, 38, 7, 32, 28, 31, 7, 10, 33, 12, 24, 25, 26, 2, 39, 34, 36, 30, 33, 32, 49, 25, 28, 24, 45, 28, 38, 48, 34, 31, 35, 5, 4, 16, 16, 31, 17, 26, 24, 46, 21, 28, 15, 47, 31]
[19, 49, 12, 41, 0, 12, 47, 20, 18, 24, 2, 49, 39, 40, 48, 42, 12, 31, 24, 33, 32, 18, 45, 26, 43, 44, 34, 8, 36, 17, 9, 12, 42, 15, 23, 38, 17, 15, 2, 8, 33, 17, 49, 42, 37, 45, 37, 46, 36, 26, 28, 41, 11, 36, 44, 9, 17, 20, 32, 28, 3, 36, 48, 30, 17, 23, 22, 47, 21, 45, 23, 50, 37, 41, 15, 27, 23, 46]
[36, 35, 10, 33, 12, 0, 41, 2, 37, 29, 25, 30, 9, 0, 48, 15, 49, 23, 40, 2, 45, 4, 8, 5, 0, 33, 24, 38, 33, 20, 15, 41, 35, 50, 13, 42, 22, 26, 2, 28, 49, 26, 19, 49, 47, 7, 7, 46, 16, 27, 11, 9, 36, 27, 38, 16, 13, 26, 50, 35, 17, 8, 38, 29, 24, 13, 12, 39, 28, 45, 35, 1, 35, 25, 9, 24, 30, 19]
[17, 40, 40, 39, 47, 41, 0, 10, 42, 1, 37, 44, 47, 18, 22, 10, 13, 9, 6, 12, 37, 6, 21, 49, 29, 36, 15, 7, 4, 4, 8, 15, 43, 17, 29, 31, 32, 17, 18, 14, 0, 13, 20, 41, 40, 24, 45, 17, 17, 5, 46, 7, 32, 27, 13, 22, 31, 37, 8, 30, 22, 1, 50, 37, 8, 34, 17, 23, 0, 0, 45, 34, 19, 3, 10, 40, 6, 31]
[22, 37, 14, 25, 20, 2, 10, 0, 21, 33, 21, 4, 0, 0, 33, 32, 35, 25, 24, 11, 33, 5, 50, 9, 35, 37, 18, 43, 25, 34, 28, 39, 40, 9, 19, 15, 48, 50, 49, 6, 18, 15, 48, 20, 19, 47, 10, 16, 27, 45, 29, 3, 1, 27, 47, 27, 5, 11, 32, 29, 10, 37, 16, 32, 41, 7, 15, 42, 23, 50, 33, 0, 36, 30, 13, 4, 0, 37]
[2, 24, 20, 2, 18, 37, 42, 21, 0, 5, 21, 18, 37, 28, 39, 37, 29, 5, 46, 18, 42, 49, 11, 17, 25, 48, 9, 50, 25, 31, 28, 48, 34, 23, 38, 38, 15, 12, 18, 30, 25, 5, 11, 0, 0, 50, 47, 26, 35, 40, 30, 15, 2, 25, 24, 27, 10, 13, 26, 35, 11, 39, 45, 34, 2, 32, 50, 30, 17, 25, 13, 13, 34, 24, 24, 47, 28, 48]
[27, 47, 31, 40, 24, 29, 1, 33, 5, 0, 49, 35, 41, 13, 35, 16, 13, 38, 27, 5, 37, 19, 35, 33, 30, 24, 50, 47, 0, 2, 40, 22, 42, 36, 12, 23, 39, 41, 46, 34, 16, 35, 45, 33, 23, 2, 31, 34, 30, 30, 15, 14, 16, 28, 1, 0, 4, 28, 32, 32, 2, 7, 47, 32, 30, 39, 13, 16, 34, 46, 33, 15, 16, 41, 25, 14, 35, 29]
