N1,N2,...,Nx
[0, 26, 35, 7, 43, 7, 44, 16, 45, 18, 34, 29, 0, 30, 19, 29]
[26, 0, 1, 45, 2, 6, 50, 22, 18, 22, 13, 11, 19, 47, 5, 6]
[35, 1, 0, 22, 35, 13, 12, 17, 11, 37, 20, 41, 45, 42, 26, 14]
[7, 45, 22, 0, 0, 22, 6, 31, 30, 0, 22, 30, 16, 46, 43, 46]
[43, 2, 35, 0, 0, 49, 13, 25, 22, 28, 19, 10, 25, 0, 22, 4]
[7, 6, 13, 22, 49, 0, 18, 3, 2, 15, 5, 4, 18, 19, 11, 11]
[44, 50, 12, 6, 13, 18, 0, 3, 25, 24, 19, 38, 3, 5, 2, 34]
[16, 22, 17, 31, 25, 3, 3, 0, 14, 29, 33, 25, 41, 39, 0, 17]
[45, 18, 11, 30, 22, 2, 25, 14, 0, 47, 47, 29, 9, 12, 32, 44]
[18, 22, 37, 0, 28, 15, 24, 29, 47, 0, 27, 43, 24, 17, 2, 39]
[34, 13, 20, 22, 19, 5, 19, 33, 47, 27, 0, 31, 45, 43, 43, 20]
[29, 11, 41, 30, 10, 4, 38, 25, 29, 43, 31, 0, 10, 16, 42, 15]
[0, 19, 45, 16, 25, 18, 3, 41, 9, 24, 45, 10, 0, 47, 12, 0]
[30, 47, 42, 46, 0, 19, 5, 39, 12, 17, 43, 16, 47, 0, 22, 11]
[19, 5, 26, 43, 22, 11, 2, 0, 32, 2, 43, 42, 12, 22, 0, 6]
[29, 6, 14, 46, 4, 11, 34, 17, 44, 39, 20, 15, 0, 11, 6, 0]
