N1,N2,...,Nx
[0, 19, 9, 9, 19, 43, 28, 16, 46, 8, 28, 27, 47, 11, 33, 49, 6, 3, 11, 29, 13, 19, 43, 4, 23, 40, 50, 8, 48, 47, 32, 19, 15, 42, 32]
[19, 0, 35, 22, 2, 20, 5, 0, 12, 0, 10, 4, 50, 6, 3, 35, 26, 22, 45, 1, 0, 44, 24, 23, 24, 47, 20, 4, 45, 39, 50, 24, 6, 42, 20]
[9, 35, 0, 22, 7, 2, 18, 44, 21, 12, 29, 18, 45, 16, 4, 13, 22, 8, 39, 32, 36, 17, 37, 1, 43, 36, 48, 15, 9, 18, 48, 19, 15, 5, 5]
[9, 22, 22, 0, 32, 48, 15, 27, 10, 38, 29, 32, 15, 14, 0, 27, 29, 28, 41, 31, 48, 17, 36, 49, 25, 47, 10, 34, 19, 34, 20, 0, 43, 8, 19]
[19, 2, 7, 32, 0, 16, 26, 0, 40, 11, 16, 32, 36, 8, 23, 10, 37, 47, 37, 34, 44, 20, 37, 45, 8, 20, 50, 22, 17, 31, 9, 44, 48, 40, 40]
[43, 20, 2, 48, 16, 0, 47, 17, 16, 6, 6, 27, 13, 43, 0, 21, 13, 7, 12, 30, 35, 26, 28, 23, 31, 28, 32, 16, 40, 40, 31, 6, 42, 45, 46]
[28, 5, 18, 15, 26, 47, 0, 27, 31, 36, 16, 29, 48, 1, 38, 39, 6, 50, 40, 48, 48, 33, 36, 21, 47, 16, 41, 23, 10, 15, 4, 14, 24, 32, 17]
[16, 0, 44, 27, 0, 17, 27, 0, 46, 34, 34, 17, 41, 10, 27, 5, 40, 27, 5, 27, 21, 12, 30, 40, 16, 48, 10, 5, 17, 20, 0, 15, 23, 14, 9]
[46, 12, 21, 10, 40, 16, 31, 46, 0, 14, 8, 40, 3, 34, 47, 39, 14, 24, 40, 28, 19, 23, 32, 16, 25, 10, 2, 42, 5, 2, 26, 35, 9, 6, 42]
[8, 0, 12, 38, 11, 6, 36, 34, 14, 0, 48, 4, 37, 30, 13, 5, 41, 2, 41, 40, 38, 45, 48, 46, 31, 8, 10, 41, 18, 19, 39, 26, 19, 19, 32]
[28, 10, 29, 29, 16, 6, 16, 34, 8, 48, 0, 23, 39, 4, 43, 6, 48, 24, 15, 19, 9, 44, 41, 8, 50, 1, 19, 49, 0, 31, 40, 34, 22, 14, 30]
[27, 4, 18, 32, 32, 27, 29, 17, 40, 4, 23, 0, 14, 40, 7, 42, 32, 47, 34, 40, 15, 23, 38, 5, 28, 41, 10, 42, 28, 12, 17, 35, 38, 11, 42]
[47, 50, 45, 15, 36, 13, 48, 41, 3, 37, 39, 14, 0, 25, 11, 1, 34, 29, 22, 7, 3, 10, 9, 42, 7, 25, 34, 1, 4, 15, 5, 1, 14, 5, 31]
[11, 6, 16, 14, 8, 43, 1, 10, 34, 30, 4, 40, 25, 0, 5, 38, 45, 46, 6, 46, 19, 10, 39, 42, 23, 27, 13, 36, 7, 4, 41, 5, 33, 46, 48]
[33, 3, 4, 0, 23, 0, 38, 27, 47, 13, 43, 7, 11, 5, 0, 23, 34, 42, 29, 21, 8, 24, 42, 50, 10, 0, 37, 36, 42, 29, 24, 7, 13, 26, 3]
[49, 35, 13, 27, 10, 21, 39, 5, 39, 5, 6, 42, 1, 38, 23, 0, 5, 11, 42, 19, 49, 46, 27, 33, 5, 22, 8, 5, 29, 28, 3, 32, 18, 16, 36]
[6, 26, 22, 29, 37, 13, 6, 40, 14, 41, 48, 32, 34, 45, 34, 5, 0, 40, 41, 39, 47, 50, 20, 22, 50, 23, 5, 46, 7, 3, 35, 2, 0, 18, 41]
[3, 22, 8, 28, 47, 7, 50, 27, 24, 2, 24, 47, 29, 46, 42, 11, 40, 0, 9, 27, 14, 38, 49, 37, 2, 40, 20, 21, 16, 2, 0, 15, 4, 5, 0]
[11, 45, 39, 41, 37, 12, 40, 5, 40, 41, 15, 34, 22, 6, 29, 42, 41, 9, 0, 32, 36, 22, 1, 29, 7, 38, 11, 4, 21, 25, 25, 18, 45, 46, 31]
[29, 1, 32, 31, 34, 30, 48, 27, 28, 40, 19, 40, 7, 46, 21, 19, 39, 27, 32, 0, 20, 3, 11, 42, 28, 9, 47, 21, 18, 12, 9, 11, 43, 10, 44]
[13, 0, 36, 48, 44, 35, 48, 21, 19, 38, 9, 15, 3, 19, 8, 49, 47, 14, 36, 20, 0, 29, 20, 45, 47, 45, 24, 34, 27, 36, 43, 24, 10, 9, 40]
[19, 44, 17, 17, 20, 26, 33, 12, 23, 45, 44, 23, 10, 10, 24, 46, 50, 38, 22, 3, 29, 0, 14, 41, 26, 9, 26, 28, 24, 29, 9, 30, 28, 25, 43]
[43, 24, 37, 36, 37, 28, 36, 30, 32, 48, 41, 38, 9, 39, 42, 27, 20, 49, 1, 11, 20, 14, 0, 18, 29, 1, 32, 20, 45, 8, 7, 0, 27, 3, 10]
[4, 23, 1, 49, 45, 23, 21, 40, 16, 46, 8, 5, 42, 42, 50, 33, 22, 37, 29, 42, 45, 41, 18, 0, 5, 27, 8, 13, 42, 18, 9, 17, 14, 19, 45]
[23, 24, 43, 25, 8, 31, 47, 16, 25, 31, 50, 28, 7, 23, 10, 5, 50, 2, 7, 28, 47, 26, 29, 5, 0, 4, 8, 12, 12, 36, 15, 17, 13, 29, 1]
[40, 47, 36, 47, 20, 28, 16, 48, 10, 8, 1, 41, 25, 27, 0, 22, 23, 40, 38, 9, 45, 9, 1, 27, 4, 0, 37, 21, 4, 0, 2, 33, 49, 41, 25]
[50, 20, 48, 10, 50, 32, 41, 10, 2, 10, 19, 10, 34, 13, 37, 8, 5, 20, 11, 47, 24, 26, 32, 8, 8, 37, 0, 22, 41, 28, 16, 28, 7, 17, 28]
[8, 4, 15, 34, 22, 16, 23, 5, 42, 41, 49, 42, 1, 36, 36, 5, 46, 21, 4, 21, 34, 28, 20, 13, 12, 21, 22, 0, 33, 24, 36, 40, 17, 40, 11]
[48, 45, 9, 19, 17, 40, 10, 17, 5, 18, 0, 28, 4, 7, 42, 29, 7, 16, 21, 18, 27, 24, 45, 42, 12, 4, 41, 33, 0, 28, 29, 32, 4, 9, 26]
[47, 39, 18, 34, 31, 40, 15, 20, 2, 19, 31, 12, 15, 4, 29, 28, 3, 2, 25, 12, 36, 29, 8, 18, 36, 0, 28, 24, 28, 0, 47, 49, 13, 7, 48]
[32, 50, 48, 20, 9, 31, 4, 0, 26, 39, 40, 17, 5, 41, 24, 3, 35, 0, 25, 9, 43, 9, 7, 9, 15, 2, 16, 36, 29, 47, 0, 2, 8, 5, 27]
[19, 24, 19, 0, 44, 6, 14, 15, 35, 26, 34, 35, 1, 5, 7, 32, 2, 15, 18, 11, 24, 30, 0, 17, 17, 33, 28, 40, 32, 49, 2, 0, 23, 50, 23]
[15, 6, 15, 43, 48, 42, 24, 23, 9, 19, 22, 38, 14, 33, 13, 18, 0, 4, 45, 43, 10, 28, 27, 14, 13, 49, 7, 17, 4, 13, 8, 23, 0, 9, 0]
[42, 42, 5, 8, 40, 45, 32, 14, 6, 19, 14, 11, 5, 46, 26, 16, 18, 5, 46, 10, 9, 25, 3, 19, 29, 41, 17, 40, 9, 7, 5, 50, 9, 0, 10]
[32, 20, 5, 19, 40, 46, 17, 9, 42, 32, 30, 42, 31, 48, 3, 36, 41, 0, 31, 44, 40, 43, 10, 45, 1, 25, 28, 11, 26, 48, 27, 23, 0, 10, 0]
