N1,N2,...,Nx
[0, 39, 22, 36, 44, 2, 4, 12, 25, 45, 50, 37, 37, 13, 26, 19, 23, 36, 12, 4, 28, 39, 49, 36, 15, 25, 6, 25, 4, 40, 28, 24, 41, 31, 31, 3, 21, 32, 40, 5, 6, 33, 6, 13, 49, 50, 34, 10, 34, 11, 35, 20, 3, 37, 18, 25, 17, 23, 28, 17, 44, 9, 1, 11, 11, 50, 33, 18, 22, 35, 33, 42, 48, 7, 10, 48, 17, 24, 8, 12, 20, 12, 34, 5, 41, 11, 35, 28, 26, 17, 38, 5, 24, 28, 2, 4, 11, 45, 10, 6, 35, 2, 6, 5, 22, 44, 47, 1, 37, 23, 5, 26, 41, 28, 17, 3, 19, 1, 43, 45, 14, 49]
[39, 0, 13, 46, 9, 23, 11, 21, 42, 45, 47, 32, 5, 6, 4, 34, 2, 27, 37, 44, 19, 18, 33, 19, 6, 14, 38, 47, 40, 48, 7, 21, 29, 28, 10, 31, 26, 19, 0, 50, 11, 31, 25, 50, 7, 1, 1, 6, 5, 23, 34, 13, 41, 40, 48, 13, 22, 1, 21, 29, 36, 8, 46, 50, 28, 4, 40, 2, 34, 17, 11, 4, 22, 13, 2, 39, 39, 18, 39, 19, 37, 1, 44, 28, 34, 25, 35, 29, 9, 46, 42, 45, 7, 50, 0, 24, 16, 14, 49, 5, 32, 47, 3, 45, 3, 31, 33, 16, 33, 46, 29, 43, 48, 18, 20, 1, 44, 23, 27, 42, 38, 37]
[22, 13, 0, 1, 29, 30, 3, 50, 45, 29, 9, 19, 31, 2, 23, 16, 43, 26, 10, 44, 37, 33, 17, 36, 43, 26, 36, 32, 30, 5, 20, 50, 49, 19, 30, 46, 2, 44, 13, 14, 33, 1, 29, 50, 8, 0, 39, 5, 34, 10, 1, 29, 21, 44, 14, 43, 14, 44, 30, 9, 1, 16, 0, 27, 27, 42, 15, 15, 9, 10, 7, 26, 44, 35, 38, 17, 0, 50, 50, 48, 45, 10, 4, 12, 7, 40, 21, 48, 29, 26, 25, 40, 33, 1, 26, 44, 16, 22, 32, 3, 31, 34, 11, 2, 48, 48, 32, 27, 39, 18, 13, 29, 31, 25, 5, 24, 38, 42, 36, 22, 28, 1]
[36, 46, 1, 0, 26, 35, 24, 18, 8, 28, 7, 8, 33, 10, 24, 19, 46, 27, 38, 4, 6, 33, 35, 41, 27, 43, 42, 1, 26, 13, 11, 5, 11, 45, 32, 44, 16, 27, 12, 5, 24, 34, 24, 25, 14, 49, 5, 39, 8, 21, 27, 30, 14, 33, 12, 26, 33, 5, 45, 40, 35, 9, 3, 34, 50, 39, 3, 25, 25, 3, 27, 35, 39, 46, 5, 14, 38, 13, 40, 13, 17, 3, 8, 22, 5, 39, 50, 22, 15, 0, 18, 44, 21, 34, 48, 25, 23, 42, 43, 20, 8, 41, 41, 47, 17, 38, 24, 28, 42, 21, 30, 39, 44, 34, 26, 32, 16, 3, 46, 48, 48, 50]
[44, 9, 29, 26, 0, 21, 36, 0, 36, 15, 1, 40, 35, 49, 25, 13, 16, 36, 39, 18, 7, 25, 6, 21, 48, 42, 14, 13, 15, 37, 31, 28, 43, 4, 6, 24, 19, 44, 37, 16, 40, 17, 30, 26, 32, 32, 9, 6, 34, 5, 24, 38, 37, 12, 45, 43, 6, 29, 41, 36, 4, 4, 16, 14, 50, 46, 19, 48, 13, 25, 14, 20, 13, 1, 15, 5, 25, 16, 45, 24, 1, 8, 12, 37, 42, 50, 49, 40, 11, 21, 32, 16, 26, 32, 11, 31, 1, 8, 13, 33, 42, 12, 40, 22, 0, 12, 31, 33, 41, 19, 2, 7, 7, 46, 2, 47, 43, 18, 1, 8, 23, 22]
[2, 23, 30, 35, 21, 0, 11, 23, 12, 6, 25, 15, 2, 13, 11, 8, 44, 14, 5, 50, 41, 5, 46, 12, 14, 49, 33, 41, 48, 16, 15, 47, 3, 43, 42, 29, 20, 18, 2, 45, 23, 25, 40, 14, 0, 42, 1, 18, 8, 44, 27, 40, 5, 17, 19, 42, 5, 37, 31, 20, 6, 17, 40, 11, 5, 50, 38, 42, 18, 24, 41, 50, 24, 2, 14, 30, 45, 50, 36, 50, 16, 34, 12, 18, 0, 10, 35, 34, 34, 43, 8, 44, 37, 0, 50, 30, 20, 34, 10, 6, 29, 15, 0, 48, 2, 25, 19, 39, 0, 2, 26, 46, 26, 45, 13, 14, 36, 40, 7, 23, 2, 44]
[4, 11, 3, 24, 36, 11, 0, 1, 14, 40, 18, 25, 47, 44, 43, 13, 9, 44, 6, 32, 49, 1, 22, 46, 16, 0, 7, 44, 15, 43, 13, 37, 28, 35, 28, 13, 45, 40, 8, 16, 12, 15, 10, 49, 1, 2, 17, 38, 35, 44, 0, 45, 28, 15, 48, 2, 11, 26, 39, 46, 12, 14, 47, 10, 20, 31, 34, 44, 48, 1, 3, 43, 12, 32, 3, 29, 27, 4, 0, 20, 27, 13, 30, 19, 40, 2, 39, 22, 23, 32, 11, 26, 17, 45, 11, 44, 43, 30, 38, 40, 11, 43, 49, 19, 25, 24, 49, 26, 23, 23, 40, 8, 45, 11, 26, 15, 33, 36, 17, 41, 7, 2]
[12, 21, 50, 18, 0, 23, 1, 0, 9, 2, 30, 9, 1, 32, 32, 29, 11, 44, 22, 28, 2, 7, 11, 10, 21, 29, 9, 44, 19, 9, 40, 28, 35, 40, 23, 43, 17, 15, 22, 26, 0, 20, 9, 15, 8, 1, 44, 15, 24, 42, 42, 2, 16, 3, 7, 34, 7, 23, 39, 6, 48, 7, 24, 34, 28, 19, 0, 28, 48, 20, 18, 11, 38, 22, 24, 31, 50, 29, 25, 33, 5, 45, 36, 35, 24, 48, 38, 15, 45, 19, 6, 39, 6, 30, 24, 19, 27, 50, 49, 50, 41, 31, 14, 21, 12, 31, 37, 3, 43, 30, 19, 15, 34, 49, 19, 45, 23, 41, 21, 21, 5, 47]
[25, 42, 45, 8, 36, 12, 14, 9, 0, 20, 4, 7, 36, 10, 19, 16, 13, 17, 36, 11, 47, 31, 33, 20, 27, 11, 43, 33, 22, 29, 0, 44, 16, 21, 27, 34, 47, 36, 3, 44, 1, 8, 8, 9, 26, 8, 39, 5, 41, 27, 3, 27, 31, 49, 38, 35, 39, 1, 28, 32, 41, 5, 32, 22, 7, 29, 16, 9, 49, 48, 33, 5, 23, 31, 32, 2, 34, 27, 36, 24, 14, 8, 0, 23, 16, 27, 13, 44, 41, 15, 28, 43, 20, 48, 3, 9, 3, 47, 38, 42, 32, 45, 47, 49, 37, 37, 26, 13, 25, 10, 31, 32, 3, 16, 24, 11, 9, 19, 34, 16, 24, 29]
[45, 45, 29, 28, 15, 6, 40, 2, 20, 0, 25, 40, 39, 26, 6, 24, 44, 16, 6, 17, 6, 32, 41, 30, 2, 19, 22, 16, 19, 49, 42, 22, 3, 25, 44, 23, 34, 27, 5, 47, 49, 22, 4, 25, 19, 39, 6, 48, 30, 19, 14, 3, 22, 19, 6, 12, 2, 40, 17, 5, 48, 28, 50, 33, 19, 21, 11, 28, 45, 14, 23, 32, 40, 48, 16, 27, 15, 24, 35, 39, 41, 45, 24, 0, 38, 35, 6, 46, 29, 4, 16, 38, 48, 23, 30, 9, 46, 8, 8, 39, 13, 26, 8, 41, 0, 30, 40, 49, 44, 37, 5, 19, 37, 48, 8, 16, 12, 43, 43, 28, 16, 5]
