N1,N2,...,Nx
[0, 33, 22, 39, 22, 4, 32, 19, 21, 43, 32, 50, 49, 19, 25, 43, 30, 16, 19, 46, 46, 50, 23, 22, 36, 0, 6, 2, 45, 36, 38, 48, 49, 45, 17, 13, 3, 46, 8, 50, 49, 1, 33, 30, 22, 45, 19, 14, 14, 25, 1, 25, 8, 8, 29, 50, 50, 45, 15, 36, 4, 26, 31, 36, 17, 47, 38, 48, 18, 12, 6, 22, 32, 5, 34, 11, 33, 1, 33, 29, 21, 3, 5, 22, 31, 10, 15, 32]
[33, 0, 13, 2, 4, 32, 29, 15, 14, 23, 6, 26, 25, 17, 27, 34, 30, 10, 36, 37, 23, 40, 28, 6, 20, 0, 50, 45, 9, 17, 44, 9, 33, 38, 7, 43, 19, 2, 37, 14, 43, 31, 22, 29, 20, 11, 50, 21, 8, 22, 9, 1, 31, 48, 15, 35, 0, 12, 45, 44, 6, 13, 16, 13, 2, 41, 19, 8, 13, 26, 24, 35, 27, 35, 8, 41, 40, 28, 41, 13, 33, 32, 42, 4, 17, 33, 18, 1]
[22, 13, 0, 35, 33, 30, 38, 43, 42, 24, 45, 29, 45, 24, 28, 19, 9, 19, 28, 5, 43, 40, 7, 22, 32, 13, 16, 25, 17, 48, 48, 17, 43, 36, 8, 14, 23, 16, 2, 17, 43, 9, 37, 30, 43, 49, 22, 8, 31, 17, 26, 2, 14, 48, 31, 9, 10, 26, 47, 29, 40, 32, 41, 42, 0, 9, 28, 38, 4, 12, 46, 45, 16, 44, 3, 17, 28, 7, 21, 28, 29, 40, 11, 38, 17, 50, 2, 34]
[39, 2, 35, 0, 8, 41, 43, 14, 50, 12, 23, 17, 24, 41, 24, 43, 33, 48, 26, 44, 11, 3, 21, 33, 48, 38, 29, 14, 44, 32, 14, 7, 21, 45, 14, 13, 32, 21, 0, 26, 46, 49, 0, 6, 34, 3, 43, 36, 45, 8, 50, 3, 22, 11, 16, 21, 22, 41, 41, 14, 43, 43, 14, 11, 0, 40, 39, 4, 14, 49, 32, 27, 2, 25, 45, 0, 36, 47, 37, 4, 0, 36, 12, 33, 28, 41, 46, 35]
[22, 4, 33, 8, 0, 7, 23, 6, 43, 0, 32, 2, 20, 5, 32, 21, 43, 41, 32, 17, 41, 30, 42, 28, 7, 23, 27, 36, 16, 23, 33, 6, 20, 47, 43, 45, 27, 46, 7, 42, 39, 30, 26, 26, 28, 35, 29, 39, 18, 34, 46, 7, 39, 18, 27, 15, 12, 2, 7, 37, 10, 19, 19, 46, 11, 1, 4, 0, 46, 3, 43, 28, 46, 43, 22, 8, 7, 42, 41, 14, 35, 4, 46, 38, 27, 15, 17, 30]
[4, 32, 30, 41, 7, 0, 25, 29, 30, 10, 13, 36, 48, 49, 35, 4, 48, 11, 46, 38, 35, 11, 9, 32, 11, 47, 38, 28, 1, 4, 27, 43, 14, 3, 38, 8, 44, 1, 2, 4, 49, 45, 34, 38, 27, 18, 29, 11, 26, 28, 5, 27, 1, 30, 35, 2, 8, 16, 33, 38, 31, 21, 24, 39, 0, 4, 36, 7, 40, 45, 5, 32, 46, 30, 29, 45, 37, 40, 14, 4, 23, 2, 47, 35, 42, 18, 11, 30]
[32, 29, 38, 43, 23, 25, 0, 33, 26, 47, 38, 10, 14, 11, 9, 8, 35, 24, 32, 40, 16, 45, 35, 29, 27, 47, 22, 4, 8, 16, 4, 40, 0, 31, 32, 35, 10, 43, 12, 47, 20, 0, 50, 47, 36, 45, 47, 44, 37, 19, 17, 28, 24, 14, 9, 43, 33, 47, 33, 37, 13, 22, 50, 8, 25, 37, 11, 35, 35, 31, 6, 32, 49, 21, 17, 33, 14, 16, 24, 2, 30, 28, 2, 49, 39, 6, 15, 44]
[19, 15, 43, 14, 6, 29, 33, 0, 7, 22, 39, 25, 38, 8, 14, 44, 34, 49, 4, 4, 9, 10, 50, 13, 0, 0, 47, 19, 43, 15, 2, 8, 37, 38, 18, 14, 45, 5, 6, 26, 22, 41, 16, 47, 22, 7, 0, 50, 34, 35, 15, 49, 27, 20, 17, 35, 13, 18, 48, 45, 30, 42, 42, 2, 7, 29, 47, 9, 50, 38, 35, 13, 11, 15, 16, 18, 38, 37, 11, 11, 45, 50, 31, 8, 27, 27, 2, 40]
[21, 14, 42, 50, 43, 30, 26, 7, 0, 21, 7, 38, 45, 8, 5, 35, 10, 14, 35, 2, 49, 36, 32, 32, 22, 42, 6, 2, 6, 39, 24, 21, 39, 5, 38, 45, 13, 21, 23, 48, 38, 34, 7, 30, 31, 36, 6, 38, 15, 6, 34, 11, 2, 31, 28, 11, 24, 19, 8, 33, 21, 18, 27, 44, 18, 50, 31, 16, 4, 17, 24, 40, 39, 3, 30, 22, 48, 26, 13, 25, 40, 21, 26, 39, 39, 49, 23, 47]
[43, 23, 24, 12, 0, 10, 47, 22, 21, 0, 49, 5, 16, 1, 44, 6, 27, 3, 20, 9, 7, 5, 41, 11, 23, 19, 18, 21, 7, 45, 15, 41, 19, 47, 21, 9, 47, 8, 7, 40, 46, 4, 14, 9, 49, 0, 13, 21, 9, 30, 39, 23, 29, 25, 6, 50, 47, 40, 14, 10, 30, 7, 40, 47, 46, 24, 6, 30, 12, 22, 49, 49, 15, 17, 3, 16, 39, 36, 9, 41, 50, 15, 31, 21, 22, 13, 39, 28]
[32, 6, 45, 23, 32, 13, 38, 39, 7, 49, 0, 6, 5, 12, 28, 47, 31, 19, 26, 2, 30, 37, 45, 22, 2, 23, 33, 7, 19, 7, 16, 47, 2, 33, 7, 7, 46, 23, 46, 25, 12, 40, 10, 6, 13, 16, 33, 19, 16, 38, 31, 18, 10, 5, 40, 15, 15, 45, 35, 12, 32, 25, 46, 43, 34, 37, 43, 33, 7, 22, 8, 6, 45, 7, 37, 3, 1, 28, 20, 2, 30, 0, 41, 15, 21, 13, 6, 47]
