N1,N2,...,Nx
[0, 42, 33, 41, 43, 43, 7, 44, 45, 7, 29, 40, 39, 15, 9, 45, 39, 25, 33, 45, 29, 30, 22, 24, 11, 47, 29, 39, 28, 8]
[42, 0, 31, 8, 30, 14, 45, 49, 14, 49, 5, 31, 20, 37, 12, 3, 15, 24, 26, 28, 49, 45, 39, 9, 49, 28, 27, 40, 46, 28]
[33, 31, 0, 17, 39, 38, 19, 10, 33, 3, 24, 5, 23, 48, 34, 36, 28, 27, 28, 7, 34, 15, 30, 44, 15, 18, 28, 50, 22, 29]
[41, 8, 17, 0, 21, 30, 31, 4, 25, 38, 40, 50, 18, 15, 15, 5, 6, 7, 3, 24, 48, 31, 49, 11, 22, 16, 4, 50, 10, 4]
[43, 30, 39, 21, 0, 37, 47, 7, 41, 2, 29, 28, 39, 27, 41, 14, 39, 34, 35, 4, 29, 30, 38, 9, 36, 42, 1, 48, 46, 18]
[43, 14, 38, 30, 37, 0, 5, 21, 28, 15, 37, 27, 27, 15, 19, 31, 4, 37, 43, 42, 46, 38, 44, 34, 5, 14, 33, 33, 48, 27]
[7, 45, 19, 31, 47, 5, 0, 39, 5, 47, 43, 1, 8, 44, 39, 32, 50, 4, 33, 49, 40, 8, 50, 47, 3, 27, 26, 16, 22, 23]
[44, 49, 10, 4, 7, 21, 39, 0, 2, 6, 1, 50, 7, 16, 20, 13, 49, 46, 26, 31, 0, 30, 27, 47, 23, 1, 33, 13, 23, 33]
[45, 14, 33, 25, 41, 28, 5, 2, 0, 29, 8, 18, 46, 10, 6, 6, 15, 16, 31, 22, 28, 22, 35, 9, 3, 43, 9, 31, 47, 1]
[7, 49, 3, 38, 2, 15, 47, 6, 29, 0, 41, 1, 33, 26, 19, 33, 27, 20, 40, 28, 34, 15, 25, 31, 6, 40, 23, 39, 16, 44]
[29, 5, 24, 40, 29, 37, 43, 1, 8, 41, 0, 10, 9, 47, 10, 6, 22, 26, 41, 16, 2, 36, 45, 3, 21, 45, 7, 49, 35, 0]
[40, 31, 5, 50, 28, 27, 1, 50, 18, 1, 10, 0, 6, 24, 44, 4, 39, 26, 48, 16, 15, 37, 34, 25, 0, 19, 46, 6, 15, 31]
[39, 20, 23, 18, 39, 27, 8, 7, 46, 33, 9, 6, 0, 41, 29, 38, 49, 13, 42, 12, 26, 25, 44, 34, 32, 7, 18, 11, 22, 12]
[15, 37, 48, 15, 27, 15, 44, 16, 10, 26, 47, 24, 41, 0, 26, 10, 50, 35, 41, 12, 3, 13, 41, 43, 34, 0, 31, 39, 17, 37]
[9, 12, 34, 15, 41, 19, 39, 20, 6, 19, 10, 44, 29, 26, 0, 7, 39, 3, 8, 23, 1, 17, 33, 47, 15, 27, 0, 5, 11, 5]
[45, 3, 36, 5, 14, 31, 32, 13, 6, 33, 6, 4, 38, 10, 7, 0, 36, 12, 16, 40, 17, 20, 9, 14, 7, 1, 1, 14, 32, 39]
[39, 15, 28, 6, 39, 4, 50, 49, 15, 27, 22, 39, 49, 50, 39, 36, 0, 8, 29, 16, 36, 21, 9, 6, 6, 25, 34, 46, 44, 36]
[25, 24, 27, 7, 34, 37, 4, 46, 16, 20, 26, 26, 13, 35, 3, 12, 8, 0, 38, 14, 23, 8, 39, 11, 2, 4, 22, 2, 48, 14]
[33, 26, 28, 3, 35, 43, 33, 26, 31, 40, 41, 48, 42, 41, 8, 16, 29, 38, 0, 42, 49, 9, 31, 36, 48, 26, 42, 42, 35, 10]
[45, 28, 7, 24, 4, 42, 49, 31, 22, 28, 16, 16, 12, 12, 23, 40, 16, 14, 42, 0, 22, 14, 29, 22, 14, 33, 9, 48, 21, 22]
[29, 49, 34, 48, 29, 46, 40, 0, 28, 34, 2, 15, 26, 3, 1, 17, 36, 23, 49, 22, 0, 5, 5, 14, 5, 16, 6, 41, 35, 30]
[30, 45, 15, 31, 30, 38, 8, 30, 22, 15, 36, 37, 25, 13, 17, 20, 21, 8, 9, 14, 5, 0, 7, 11, 5, 27, 5, 46, 12, 28]
[22, 39, 30, 49, 38, 44, 50, 27, 35, 25, 45, 34, 44, 41, 33, 9, 9, 39, 31, 29, 5, 7, 0, 4, 34, 1, 29, 32, 13, 41]
[24, 9, 44, 11, 9, 34, 47, 47, 9, 31, 3, 25, 34, 43, 47, 14, 6, 11, 36, 22, 14, 11, 4, 0, 2, 21, 16, 39, 8, 44]
[11, 49, 15, 22, 36, 5, 3, 23, 3, 6, 21, 0, 32, 34, 15, 7, 6, 2, 48, 14, 5, 5, 34, 2, 0, 28, 45, 0, 22, 17]
[47, 28, 18, 16, 42, 14, 27, 1, 43, 40, 45, 19, 7, 0, 27, 1, 25, 4, 26, 33, 16, 27, 1, 21, 28, 0, 6, 39, 36, 40]
[29, 27, 28, 4, 1, 33, 26, 33, 9, 23, 7, 46, 18, 31, 0, 1, 34, 22, 42, 9, 6, 5, 29, 16, 45, 6, 0, 45, 18, 21]
[39, 40, 50, 50, 48, 33, 16, 13, 31, 39, 49, 6, 11, 39, 5, 14, 46, 2, 42, 48, 41, 46, 32, 39, 0, 39, 45, 0, 44, 37]
[28, 46, 22, 10, 46, 48, 22, 23, 47, 16, 35, 15, 22, 17, 11, 32, 44, 48, 35, 21, 35, 12, 13, 8, 22, 36, 18, 44, 0, 42]
[8, 28, 29, 4, 18, 27, 23, 33, 1, 44, 0, 31, 12, 37, 5, 39, 36, 14, 10, 22, 30, 28, 41, 44, 17, 40, 21, 37, 42, 0]
