N1,N2,...,Nx
[0, 15, 33, 49, 44, 23, 1, 42, 47, 21, 46, 49, 9, 5, 10, 0, 11, 5, 45, 38, 46, 7, 45, 29, 10, 32, 23, 9, 15, 42, 46, 13, 44, 46, 13, 33, 29, 29, 30, 2, 50, 39, 8, 47, 36, 27, 9, 10, 35, 9, 9, 47, 25, 10, 0, 5, 39, 33, 5, 20, 5, 37, 47, 35, 8, 11, 21, 46, 21, 37, 42, 25, 34, 45, 1, 24, 44, 29, 24, 4, 16, 8, 12, 9, 8, 48, 46, 1, 18, 4, 13, 12, 5, 33, 3, 11, 6, 34, 7, 19, 50, 11, 16, 23, 34, 30, 2, 4, 25, 23, 34, 33, 32, 49, 30, 4, 13, 44, 10, 20, 24, 48, 34, 32, 17, 24, 16, 41, 23, 35, 46, 28, 2, 1, 21, 8, 33, 17, 25, 49, 22, 27, 7, 28, 31, 24, 44, 8, 47, 36, 39, 45, 31, 15, 37, 2, 38, 21, 41, 5, 2]
[15, 0, 50, 40, 7, 13, 27, 3, 26, 46, 1, 10, 9, 41, 34, 9, 18, 49, 44, 33, 42, 48, 47, 26, 11, 16, 17, 31, 15, 29, 2, 19, 35, 12, 28, 15, 32, 36, 3, 16, 49, 37, 18, 28, 35, 23, 13, 18, 43, 11, 2, 49, 48, 49, 40, 35, 6, 32, 1, 41, 49, 15, 48, 5, 41, 34, 40, 1, 13, 49, 34, 14, 27, 28, 35, 2, 32, 16, 44, 20, 2, 24, 0, 40, 38, 46, 40, 13, 1, 43, 48, 29, 11, 48, 26, 29, 46, 43, 20, 23, 24, 48, 25, 4, 17, 32, 38, 1, 5, 4, 42, 6, 35, 42, 4, 41, 22, 26, 3, 35, 46, 15, 8, 5, 17, 30, 24, 43, 16, 2, 9, 28, 45, 27, 38, 24, 11, 37, 15, 4, 25, 6, 38, 16, 16, 50, 1, 42, 50, 5, 38, 42, 43, 40, 17, 12, 18, 42, 31, 28, 3]
[33, 50, 0, 12, 49, 21, 46, 40, 35, 5, 39, 1, 5, 0, 11, 25, 6, 34, 25, 18, 20, 39, 34, 46, 36, 18, 1, 21, 29, 28, 30, 11, 9, 43, 23, 15, 14, 11, 47, 30, 29, 4, 22, 38, 48, 36, 18, 6, 0, 49, 45, 6, 27, 21, 33, 14, 9, 28, 49, 0, 9, 40, 38, 11, 38, 32, 24, 45, 0, 26, 48, 4, 40, 39, 8, 45, 9, 3, 32, 4, 34, 6, 14, 43, 10, 1, 7, 42, 45, 44, 43, 0, 20, 0, 36, 11, 29, 29, 9, 1, 27, 41, 10, 29, 19, 31, 19, 44, 16, 20, 45, 7, 44, 1, 44, 46, 4, 45, 24, 26, 26, 40, 33, 24, 15, 32, 27, 28, 1, 16, 10, 3, 14, 25, 39, 12, 1, 32, 5, 48, 27, 17, 38, 34, 12, 26, 26, 42, 25, 35, 11, 11, 48, 46, 10, 10, 15, 20, 47, 12, 14]
[49, 40, 12, 0, 39, 44, 9, 42, 36, 2, 47, 8, 46, 7, 1, 10, 45, 21, 10, 1, 12, 37, 4, 43, 33, 15, 44, 10, 31, 48, 43, 45, 0, 36, 32, 39, 46, 11, 21, 26, 12, 30, 47, 11, 37, 12, 49, 21, 15, 4, 35, 34, 16, 12, 26, 14, 4, 26, 24, 9, 0, 37, 32, 32, 34, 22, 47, 44, 11, 25, 47, 47, 21, 50, 0, 10, 48, 13, 5, 29, 8, 19, 34, 14, 43, 1, 36, 29, 40, 18, 41, 10, 0, 49, 47, 13, 6, 45, 1, 13, 38, 7, 43, 31, 16, 39, 50, 9, 5, 26, 22, 32, 33, 45, 14, 3, 9, 2, 33, 7, 25, 48, 30, 6, 19, 23, 31, 28, 34, 38, 38, 49, 47, 3, 14, 9, 34, 47, 12, 10, 32, 17, 6, 16, 5, 20, 3, 47, 42, 50, 40, 8, 48, 32, 24, 11, 45, 12, 2, 46, 5]
[44, 7, 49, 39, 0, 40, 17, 13, 29, 25, 8, 24, 25, 0, 5, 24, 11, 13, 4, 19, 45, 35, 20, 16, 38, 6, 24, 44, 19, 36, 23, 2, 6, 50, 17, 23, 3, 28, 10, 26, 7, 35, 27, 41, 6, 20, 6, 13, 42, 19, 1, 1, 10, 13, 16, 46, 23, 9, 45, 5, 10, 44, 26, 28, 25, 14, 38, 39, 45, 40, 47, 0, 38, 44, 0, 5, 6, 5, 19, 36, 32, 35, 34, 43, 35, 7, 28, 8, 15, 35, 42, 3, 10, 46, 21, 39, 9, 12, 34, 26, 17, 36, 49, 26, 37, 32, 2, 48, 19, 4, 25, 43, 16, 30, 50, 39, 26, 1, 28, 12, 25, 27, 39, 10, 5, 26, 13, 28, 24, 41, 22, 25, 34, 33, 38, 37, 43, 19, 39, 42, 28, 13, 22, 49, 2, 19, 33, 1, 15, 26, 17, 12, 27, 16, 0, 9, 5, 3, 1, 29, 9]
[23, 13, 21, 44, 40, 0, 30, 49, 6, 19, 4, 36, 29, 7, 48, 15, 9, 41, 34, 34, 3, 28, 42, 50, 36, 15, 1, 9, 16, 50, 31, 48, 16, 11, 3, 34, 18, 29, 48, 19, 4, 44, 17, 9, 35, 38, 42, 16, 4, 4, 28, 26, 42, 13, 8, 3, 12, 4, 38, 30, 24, 43, 30, 24, 8, 16, 35, 23, 39, 27, 35, 1, 37, 9, 0, 6, 43, 4, 15, 13, 32, 28, 11, 22, 34, 41, 1, 22, 33, 5, 13, 0, 11, 20, 11, 29, 32, 28, 41, 27, 39, 33, 2, 28, 2, 30, 49, 34, 15, 13, 19, 38, 39, 48, 33, 35, 25, 18, 11, 29, 43, 34, 16, 40, 19, 13, 39, 34, 41, 24, 40, 19, 20, 8, 29, 32, 47, 3, 22, 21, 32, 30, 0, 10, 32, 24, 39, 38, 6, 21, 39, 15, 29, 9, 18, 19, 26, 37, 40, 37, 48]
[1, 27, 46, 9, 17, 30, 0, 22, 14, 15, 36, 13, 44, 44, 29, 40, 12, 25, 4, 0, 42, 1, 15, 39, 31, 24, 22, 38, 27, 33, 13, 35, 37, 35, 18, 32, 13, 48, 36, 28, 17, 14, 47, 48, 6, 9, 10, 23, 20, 9, 17, 45, 15, 48, 48, 34, 38, 8, 1, 18, 2, 47, 47, 16, 31, 11, 42, 29, 30, 11, 11, 8, 8, 2, 11, 36, 37, 32, 24, 0, 10, 43, 1, 42, 45, 33, 37, 16, 33, 26, 47, 46, 48, 36, 24, 24, 23, 45, 1, 15, 30, 33, 10, 3, 38, 26, 23, 30, 12, 40, 32, 26, 2, 27, 27, 32, 16, 27, 34, 23, 8, 39, 35, 28, 24, 9, 9, 1, 49, 10, 42, 36, 10, 36, 41, 3, 26, 13, 29, 41, 5, 50, 50, 8, 33, 21, 10, 17, 20, 8, 17, 42, 12, 22, 28, 39, 10, 29, 29, 17, 21]
[42, 3, 40, 42, 13, 49, 22, 0, 12, 28, 9, 28, 34, 3, 26, 26, 31, 12, 42, 19, 18, 6, 7, 23, 7, 40, 40, 28, 46, 24, 26, 15, 21, 42, 48, 17, 20, 8, 20, 22, 26, 29, 31, 42, 7, 3, 28, 47, 19, 2, 25, 18, 22, 36, 13, 11, 31, 38, 30, 13, 39, 4, 43, 31, 27, 25, 28, 9, 45, 17, 37, 17, 38, 42, 10, 48, 31, 25, 50, 13, 50, 40, 15, 42, 17, 32, 29, 40, 30, 18, 10, 27, 21, 47, 3, 37, 3, 27, 12, 49, 3, 50, 2, 19, 22, 44, 8, 50, 13, 16, 23, 45, 43, 39, 27, 34, 3, 13, 42, 22, 49, 5, 42, 11, 15, 17, 49, 37, 12, 36, 8, 34, 25, 25, 26, 45, 38, 34, 13, 41, 24, 0, 16, 8, 5, 11, 29, 32, 21, 22, 28, 48, 2, 13, 48, 16, 7, 44, 18, 47, 31]
[47, 26, 35, 36, 29, 6, 14, 12, 0, 27, 15, 4, 33, 13, 27, 30, 11, 44, 21, 18, 20, 13, 50, 49, 38, 36, 42, 37, 25, 39, 48, 30, 33, 33, 24, 17, 1, 28, 14, 9, 49, 16, 15, 35, 30, 37, 46, 46, 24, 43, 42, 34, 9, 43, 13, 42, 21, 15, 0, 24, 22, 5, 19, 38, 6, 39, 44, 23, 6, 40, 13, 41, 20, 39, 7, 36, 1, 19, 22, 33, 28, 38, 20, 5, 13, 41, 11, 35, 6, 30, 34, 19, 39, 10, 19, 39, 47, 17, 40, 10, 12, 37, 41, 45, 20, 18, 42, 36, 38, 29, 6, 46, 37, 34, 10, 41, 9, 43, 34, 50, 28, 1, 3, 27, 40, 45, 34, 26, 11, 20, 6, 36, 48, 8, 43, 12, 4, 7, 38, 25, 10, 3, 42, 48, 7, 24, 15, 29, 25, 43, 35, 42, 47, 23, 37, 2, 4, 0, 15, 1, 36]
[21, 46, 5, 2, 25, 19, 15, 28, 27, 0, 34, 2, 4, 16, 41, 38, 42, 2, 43, 11, 47, 42, 12, 16, 4, 21, 43, 49, 33, 23, 47, 43, 2, 37, 14, 10, 8, 48, 20, 17, 40, 34, 13, 21, 27, 44, 45, 32, 15, 35, 8, 27, 39, 35, 33, 34, 45, 26, 6, 46, 46, 36, 21, 41, 45, 43, 23, 20, 6, 10, 17, 1, 46, 29, 48, 34, 15, 20, 17, 30, 16, 31, 0, 41, 40, 33, 25, 9, 33, 29, 17, 33, 15, 36, 37, 15, 48, 12, 34, 50, 2, 6, 50, 29, 14, 20, 50, 23, 2, 25, 33, 48, 39, 10, 39, 34, 15, 33, 42, 20, 41, 17, 7, 19, 37, 8, 47, 36, 33, 23, 17, 39, 31, 15, 30, 45, 35, 12, 24, 15, 16, 24, 4, 36, 27, 10, 29, 37, 13, 31, 15, 6, 40, 16, 29, 10, 19, 37, 28, 38, 17]
