N1,N2,...,Nx
[0, 31, 5, 40, 46, 25, 21, 47, 17, 6, 3, 49, 11, 38, 36, 4, 27, 50, 37, 21, 19, 19, 3, 14, 12, 39, 29, 25, 9, 16, 37, 32, 16, 38, 42, 30, 45, 23, 9, 15, 7, 49, 23, 24, 29, 5, 21, 49, 38, 2, 27, 2, 6, 9, 43, 39, 21, 19, 41, 9, 20, 45, 14, 16, 47, 41, 17, 41, 14, 2, 3, 27, 36, 35, 0, 7, 5, 43, 8, 36, 18, 7, 23, 32, 21, 33, 38, 49, 38, 44, 27, 34, 8, 11, 5, 8, 37, 50, 7, 40, 34, 33, 5]
[31, 0, 0, 12, 30, 35, 49, 23, 23, 14, 21, 44, 47, 19, 50, 24, 25, 36, 16, 33, 48, 29, 15, 26, 38, 34, 40, 5, 44, 23, 47, 37, 35, 13, 14, 8, 40, 5, 10, 10, 33, 19, 26, 0, 24, 41, 40, 21, 2, 44, 20, 10, 3, 24, 25, 32, 33, 2, 14, 18, 49, 3, 24, 27, 17, 21, 28, 6, 1, 22, 34, 12, 17, 6, 5, 37, 48, 22, 11, 7, 29, 25, 40, 22, 42, 16, 17, 8, 2, 37, 15, 2, 4, 5, 30, 6, 34, 41, 23, 42, 9, 39, 15]
[5, 0, 0, 17, 39, 39, 50, 39, 35, 38, 12, 21, 10, 1, 28, 1, 45, 12, 34, 2, 43, 31, 50, 29, 35, 12, 19, 35, 36, 42, 45, 15, 13, 46, 3, 20, 31, 12, 34, 38, 33, 22, 33, 26, 33, 38, 16, 3, 12, 21, 3, 19, 6, 14, 29, 32, 13, 47, 42, 23, 44, 37, 46, 4, 25, 34, 34, 32, 24, 16, 12, 11, 3, 20, 5, 37, 29, 34, 11, 27, 18, 38, 26, 42, 32, 24, 1, 43, 26, 10, 40, 42, 6, 18, 24, 9, 48, 7, 11, 49, 45, 17, 3]
[40, 12, 17, 0, 4, 45, 37, 17, 36, 21, 0, 27, 18, 39, 31, 22, 26, 35, 0, 15, 27, 5, 0, 5, 24, 19, 16, 0, 14, 16, 39, 32, 42, 14, 18, 20, 10, 20, 49, 13, 12, 13, 36, 41, 33, 34, 22, 14, 8, 3, 50, 30, 1, 35, 28, 39, 47, 35, 4, 37, 12, 39, 42, 33, 12, 40, 3, 22, 32, 44, 33, 33, 37, 43, 47, 17, 8, 11, 34, 3, 14, 45, 39, 36, 29, 24, 27, 8, 45, 20, 9, 48, 39, 44, 33, 47, 13, 47, 37, 33, 32, 44, 13]
[46, 30, 39, 4, 0, 44, 6, 18, 13, 39, 9, 4, 23, 5, 31, 0, 14, 47, 48, 25, 22, 30, 31, 4, 13, 10, 44, 38, 44, 13, 8, 31, 24, 30, 24, 34, 39, 17, 26, 37, 17, 25, 35, 30, 2, 48, 44, 25, 3, 22, 33, 6, 26, 46, 10, 50, 40, 43, 23, 13, 25, 31, 13, 9, 12, 21, 25, 29, 20, 40, 7, 34, 6, 4, 27, 30, 10, 20, 12, 41, 3, 4, 24, 18, 24, 35, 36, 16, 42, 50, 16, 38, 34, 39, 7, 15, 39, 16, 46, 44, 49, 38, 16]
[25, 35, 39, 45, 44, 0, 46, 9, 47, 40, 26, 0, 49, 19, 20, 21, 15, 10, 42, 34, 24, 47, 22, 4, 33, 45, 49, 25, 9, 43, 42, 3, 50, 49, 32, 30, 38, 35, 44, 35, 48, 14, 11, 9, 2, 13, 0, 7, 48, 24, 47, 10, 13, 25, 20, 12, 15, 2, 12, 43, 46, 3, 7, 14, 30, 30, 24, 35, 24, 32, 32, 28, 44, 43, 33, 18, 33, 1, 12, 7, 39, 27, 12, 26, 3, 1, 22, 7, 24, 15, 48, 24, 9, 6, 23, 47, 1, 24, 15, 18, 49, 30, 8]
[21, 49, 50, 37, 6, 46, 0, 46, 20, 4, 2, 50, 27, 48, 42, 36, 39, 3, 22, 47, 39, 49, 7, 22, 37, 24, 3, 15, 32, 12, 18, 24, 9, 28, 43, 33, 18, 12, 22, 45, 34, 0, 49, 3, 47, 35, 32, 16, 4, 32, 25, 22, 41, 4, 50, 34, 50, 6, 41, 32, 24, 15, 44, 25, 47, 21, 13, 44, 35, 21, 11, 25, 7, 18, 3, 8, 11, 8, 31, 10, 7, 45, 46, 23, 35, 43, 26, 22, 31, 12, 9, 28, 30, 33, 24, 2, 32, 21, 39, 47, 50, 22, 38]
[47, 23, 39, 17, 18, 9, 46, 0, 45, 19, 48, 17, 11, 33, 19, 8, 44, 38, 49, 5, 2, 14, 45, 23, 37, 4, 3, 1, 31, 5, 6, 22, 15, 39, 6, 4, 40, 34, 28, 13, 22, 44, 11, 20, 46, 4, 16, 15, 26, 20, 1, 6, 24, 16, 33, 38, 42, 39, 46, 20, 18, 1, 12, 47, 42, 35, 18, 17, 22, 31, 21, 19, 23, 26, 26, 2, 28, 19, 31, 28, 4, 47, 49, 41, 32, 8, 34, 26, 15, 2, 38, 29, 42, 49, 36, 4, 47, 41, 13, 24, 27, 26, 36]
[17, 23, 35, 36, 13, 47, 20, 45, 0, 26, 0, 8, 19, 50, 35, 25, 49, 38, 10, 33, 37, 30, 16, 39, 36, 42, 5, 40, 21, 37, 29, 20, 48, 0, 25, 48, 15, 44, 35, 32, 20, 41, 31, 46, 42, 42, 24, 20, 46, 6, 12, 16, 16, 45, 4, 37, 0, 15, 37, 11, 17, 19, 30, 27, 13, 43, 4, 18, 50, 13, 21, 41, 2, 43, 6, 4, 9, 36, 42, 29, 31, 2, 15, 50, 21, 29, 16, 12, 19, 50, 17, 42, 23, 23, 42, 49, 2, 21, 32, 7, 21, 39, 5]
[6, 14, 38, 21, 39, 40, 4, 19, 26, 0, 1, 27, 13, 9, 12, 16, 6, 10, 17, 42, 19, 41, 15, 47, 15, 15, 47, 41, 1, 48, 10, 35, 30, 17, 10, 32, 17, 15, 25, 27, 9, 27, 37, 16, 20, 28, 4, 30, 48, 25, 28, 29, 32, 15, 32, 28, 1, 50, 18, 44, 25, 3, 5, 41, 25, 28, 39, 17, 44, 42, 21, 46, 15, 37, 43, 1, 30, 14, 11, 39, 42, 36, 35, 26, 41, 36, 15, 28, 16, 31, 16, 42, 41, 45, 5, 44, 21, 11, 34, 21, 36, 42, 36]
