N1,N2,...,Nx
[0, 8, 0, 15, 31, 21, 28, 4, 44, 46, 14, 28, 21, 6, 20, 28, 24, 45, 25, 3, 14, 4, 17, 33, 3, 0, 41, 5, 35, 12, 31, 7, 3, 9, 45, 25, 49, 47, 30, 37, 40, 45, 27, 31, 50, 7, 49, 5, 2, 0, 15, 11, 3, 23, 18, 11, 10, 23, 3, 9, 23, 7, 13, 10, 40, 9, 13, 12, 4, 31, 21, 5, 15, 48, 7, 28, 34, 49, 18, 19, 30, 35, 50, 33, 8, 37, 9, 44, 37, 30, 0, 0, 35, 20, 45, 10, 11, 43, 32, 45, 43, 19, 8, 18, 33, 0, 31, 39, 17, 31, 48, 44, 42, 33, 19, 32, 6, 8, 33, 39, 18, 7, 11, 30, 22, 42, 40, 48, 47, 39, 24, 0, 23, 7, 0, 27, 29, 26, 19, 4, 41, 10, 49, 8, 24, 9, 16, 10, 26, 47, 45, 31]
[8, 0, 15, 43, 12, 19, 3, 9, 40, 4, 15, 47, 14, 0, 44, 6, 20, 34, 47, 39, 4, 6, 36, 2, 33, 37, 7, 7, 11, 42, 9, 39, 41, 47, 38, 40, 12, 16, 44, 3, 12, 44, 45, 17, 23, 50, 32, 7, 0, 44, 33, 50, 2, 39, 31, 1, 45, 14, 4, 21, 22, 36, 6, 32, 36, 30, 42, 36, 18, 40, 12, 20, 8, 8, 41, 22, 4, 15, 23, 38, 7, 28, 35, 47, 31, 35, 34, 12, 37, 15, 0, 23, 21, 7, 22, 23, 38, 8, 28, 29, 20, 46, 12, 44, 6, 15, 14, 14, 13, 2, 15, 35, 25, 23, 32, 20, 39, 25, 1, 11, 23, 38, 48, 21, 25, 23, 2, 11, 21, 13, 9, 12, 16, 38, 26, 2, 11, 0, 8, 34, 37, 40, 6, 24, 21, 36, 18, 13, 36, 36, 42, 0]
[0, 15, 0, 49, 36, 40, 42, 43, 33, 16, 41, 11, 31, 25, 37, 47, 36, 34, 28, 31, 4, 14, 13, 12, 19, 5, 45, 39, 40, 36, 44, 41, 43, 42, 49, 19, 35, 30, 10, 43, 1, 48, 27, 18, 3, 30, 46, 12, 25, 3, 29, 14, 48, 42, 49, 1, 43, 29, 8, 45, 44, 31, 40, 25, 50, 32, 6, 44, 31, 38, 47, 11, 49, 35, 32, 9, 35, 6, 9, 19, 22, 23, 49, 13, 43, 5, 10, 5, 25, 49, 44, 39, 1, 7, 0, 24, 40, 22, 8, 6, 49, 37, 43, 38, 31, 1, 12, 19, 48, 13, 39, 28, 36, 0, 13, 39, 36, 4, 25, 14, 14, 42, 42, 12, 3, 20, 39, 7, 22, 29, 28, 22, 19, 1, 12, 39, 10, 25, 1, 22, 19, 16, 33, 34, 6, 2, 27, 45, 8, 34, 7, 48]
[15, 43, 49, 0, 37, 11, 29, 27, 1, 23, 41, 26, 9, 21, 2, 38, 6, 37, 15, 31, 14, 37, 11, 8, 24, 32, 3, 30, 13, 29, 11, 2, 46, 19, 47, 47, 48, 35, 38, 27, 11, 43, 32, 48, 10, 21, 24, 1, 44, 40, 42, 23, 16, 6, 21, 25, 46, 16, 11, 37, 42, 38, 4, 14, 20, 36, 41, 1, 30, 0, 41, 35, 1, 39, 47, 44, 7, 18, 25, 36, 33, 13, 9, 17, 40, 4, 36, 15, 13, 9, 46, 38, 6, 12, 38, 38, 44, 43, 47, 47, 23, 13, 15, 50, 25, 43, 41, 8, 25, 47, 42, 0, 22, 21, 10, 11, 0, 9, 31, 24, 31, 27, 35, 2, 35, 33, 4, 50, 39, 33, 34, 21, 41, 32, 38, 28, 42, 49, 19, 36, 33, 47, 44, 47, 5, 31, 10, 1, 46, 37, 35, 2]
[31, 12, 36, 37, 0, 20, 8, 18, 22, 2, 7, 48, 10, 29, 10, 29, 21, 40, 31, 32, 11, 8, 24, 21, 42, 12, 33, 22, 13, 3, 14, 48, 11, 6, 22, 19, 44, 25, 35, 44, 48, 30, 28, 21, 35, 0, 11, 43, 4, 48, 9, 25, 2, 11, 32, 5, 10, 4, 18, 31, 34, 8, 26, 34, 11, 9, 39, 48, 10, 4, 41, 14, 26, 23, 37, 20, 19, 47, 0, 35, 18, 23, 16, 19, 5, 27, 40, 29, 7, 8, 16, 16, 36, 39, 5, 34, 9, 27, 18, 37, 50, 42, 22, 46, 37, 4, 37, 30, 3, 32, 32, 12, 23, 21, 41, 7, 38, 42, 32, 48, 45, 11, 50, 35, 34, 50, 33, 4, 30, 49, 3, 1, 15, 34, 39, 34, 2, 30, 26, 12, 43, 27, 33, 49, 36, 20, 4, 21, 33, 15, 9, 32]
[21, 19, 40, 11, 20, 0, 36, 41, 18, 20, 11, 50, 7, 2, 27, 47, 25, 41, 8, 22, 10, 35, 37, 45, 16, 16, 19, 15, 35, 4, 37, 35, 45, 21, 38, 34, 47, 25, 28, 29, 33, 9, 31, 34, 46, 6, 26, 1, 8, 45, 12, 24, 49, 41, 30, 5, 14, 41, 44, 11, 47, 9, 25, 46, 30, 10, 50, 37, 5, 23, 4, 31, 18, 5, 50, 15, 17, 19, 39, 32, 49, 3, 40, 49, 32, 17, 17, 33, 2, 33, 25, 26, 0, 46, 49, 21, 49, 30, 23, 41, 4, 19, 15, 22, 16, 26, 17, 40, 48, 50, 3, 32, 15, 36, 16, 15, 9, 29, 14, 47, 35, 8, 18, 7, 11, 41, 27, 0, 6, 26, 34, 20, 2, 15, 28, 41, 46, 42, 25, 15, 48, 13, 38, 46, 40, 21, 2, 49, 35, 17, 25, 4]
[28, 3, 42, 29, 8, 36, 0, 47, 24, 5, 26, 19, 50, 5, 48, 18, 0, 27, 1, 12, 49, 41, 15, 45, 39, 40, 44, 38, 42, 29, 43, 20, 24, 42, 26, 39, 1, 2, 36, 33, 9, 42, 1, 24, 9, 47, 35, 24, 35, 46, 31, 6, 16, 46, 45, 26, 7, 43, 14, 11, 32, 26, 25, 6, 22, 8, 34, 33, 32, 43, 36, 31, 27, 30, 32, 36, 26, 34, 14, 22, 31, 45, 37, 8, 46, 43, 49, 37, 17, 4, 49, 49, 39, 6, 11, 28, 23, 45, 35, 4, 14, 19, 4, 2, 29, 34, 2, 27, 13, 18, 45, 0, 8, 32, 5, 36, 36, 11, 48, 5, 4, 4, 45, 21, 31, 13, 22, 6, 29, 43, 7, 22, 27, 0, 15, 19, 13, 38, 34, 32, 41, 15, 5, 8, 32, 32, 36, 42, 31, 19, 23, 47]
[4, 9, 43, 27, 18, 41, 47, 0, 9, 4, 47, 31, 7, 48, 10, 15, 5, 5, 21, 44, 27, 17, 39, 32, 5, 22, 21, 14, 5, 26, 49, 12, 1, 22, 22, 31, 10, 46, 25, 50, 3, 18, 32, 37, 27, 3, 28, 36, 10, 15, 30, 19, 22, 41, 44, 33, 34, 19, 44, 24, 26, 36, 41, 28, 38, 50, 0, 8, 9, 27, 1, 32, 33, 50, 12, 25, 11, 23, 43, 18, 23, 41, 49, 18, 14, 39, 42, 4, 17, 21, 9, 1, 20, 4, 9, 6, 49, 21, 37, 7, 44, 46, 25, 22, 27, 3, 7, 45, 40, 12, 39, 34, 7, 4, 7, 0, 42, 22, 33, 39, 38, 11, 41, 11, 44, 2, 4, 44, 2, 49, 25, 3, 26, 22, 8, 39, 35, 34, 1, 3, 12, 47, 3, 19, 32, 21, 40, 28, 30, 43, 39, 31]
[44, 40, 33, 1, 22, 18, 24, 9, 0, 34, 22, 15, 41, 2, 3, 32, 50, 4, 36, 20, 8, 4, 26, 2, 10, 3, 30, 28, 23, 16, 29, 5, 17, 29, 37, 9, 31, 38, 31, 49, 49, 50, 45, 23, 11, 43, 11, 33, 21, 33, 9, 35, 14, 45, 22, 19, 11, 24, 12, 49, 7, 25, 4, 20, 29, 49, 35, 33, 41, 4, 33, 17, 39, 47, 5, 1, 0, 16, 46, 22, 16, 9, 39, 37, 13, 47, 37, 33, 45, 25, 28, 45, 15, 47, 44, 37, 27, 35, 11, 13, 49, 21, 16, 18, 18, 31, 24, 13, 37, 18, 6, 44, 11, 16, 36, 12, 4, 17, 8, 45, 37, 47, 37, 25, 44, 15, 8, 10, 41, 46, 9, 3, 21, 19, 37, 7, 4, 47, 25, 15, 3, 41, 50, 29, 21, 0, 29, 41, 38, 18, 38, 21]
[46, 4, 16, 23, 2, 20, 5, 4, 34, 0, 32, 42, 16, 11, 34, 33, 26, 3, 31, 8, 27, 1, 32, 50, 5, 0, 16, 35, 46, 6, 23, 1, 21, 14, 8, 11, 48, 13, 32, 18, 39, 10, 48, 1, 9, 49, 47, 40, 11, 38, 44, 10, 33, 22, 39, 45, 33, 21, 25, 16, 39, 1, 50, 34, 10, 49, 24, 39, 5, 21, 38, 11, 2, 23, 28, 32, 20, 27, 6, 13, 38, 38, 18, 39, 26, 1, 39, 26, 17, 29, 48, 22, 30, 0, 13, 22, 10, 39, 22, 11, 24, 9, 20, 33, 13, 20, 14, 42, 18, 48, 50, 37, 34, 31, 9, 15, 36, 25, 20, 20, 19, 15, 1, 8, 37, 43, 40, 32, 33, 8, 25, 36, 32, 47, 32, 22, 40, 11, 10, 33, 13, 14, 8, 38, 22, 19, 22, 50, 44, 26, 30, 33]
