N1,N2,...,Nx
[0, 40, 14, 41, 18, 12, 26, 36, 17, 49, 36, 3, 40, 29, 34, 33, 8, 16, 12, 30, 39, 18, 10, 28, 22, 33, 26, 12, 25, 20, 23, 45, 2, 14, 9, 41, 0, 16, 30, 5, 7, 9, 11, 13, 19, 3, 29, 39, 24, 37, 27, 34, 35, 47, 50, 32, 24, 41, 6, 31, 30, 18, 25, 37, 46, 33, 49, 39, 26, 16, 32, 15, 29, 33, 5, 2, 8, 3, 43]
[40, 0, 20, 47, 46, 4, 0, 49, 20, 10, 26, 11, 24, 16, 21, 22, 49, 13, 46, 0, 16, 8, 39, 7, 10, 14, 42, 18, 15, 42, 15, 45, 21, 39, 26, 37, 11, 21, 7, 15, 1, 6, 41, 49, 6, 37, 39, 0, 41, 50, 6, 4, 48, 11, 12, 29, 47, 9, 46, 9, 0, 28, 19, 7, 16, 6, 20, 3, 16, 35, 4, 25, 39, 35, 46, 23, 44, 20, 38]
[14, 20, 0, 8, 4, 29, 10, 2, 14, 8, 49, 12, 30, 19, 29, 5, 46, 8, 1, 9, 40, 24, 25, 36, 33, 24, 47, 21, 34, 17, 13, 14, 23, 14, 19, 3, 38, 38, 11, 49, 32, 18, 41, 2, 39, 25, 22, 19, 48, 12, 19, 19, 26, 37, 3, 14, 37, 46, 34, 49, 23, 20, 42, 2, 8, 14, 29, 24, 30, 32, 30, 30, 37, 23, 22, 9, 26, 50, 2]
[41, 47, 8, 0, 1, 40, 12, 17, 38, 30, 36, 9, 32, 26, 9, 1, 30, 13, 32, 9, 11, 33, 1, 36, 6, 11, 49, 20, 28, 21, 20, 16, 31, 11, 38, 6, 21, 35, 15, 49, 48, 34, 46, 19, 27, 28, 32, 39, 13, 27, 3, 45, 8, 18, 44, 44, 37, 0, 24, 8, 49, 50, 9, 31, 41, 35, 25, 40, 10, 3, 26, 13, 11, 11, 23, 42, 4, 19, 12]
[18, 46, 4, 1, 0, 13, 19, 29, 45, 25, 19, 15, 4, 36, 17, 50, 40, 13, 27, 24, 32, 23, 6, 42, 39, 38, 15, 24, 10, 13, 28, 28, 38, 32, 26, 21, 8, 50, 3, 3, 13, 23, 14, 46, 15, 48, 16, 34, 46, 5, 23, 11, 38, 23, 25, 6, 44, 15, 19, 0, 47, 31, 33, 47, 6, 1, 17, 8, 7, 36, 46, 1, 6, 42, 11, 24, 26, 49, 18]
[12, 4, 29, 40, 13, 0, 17, 37, 18, 39, 41, 43, 36, 21, 37, 36, 0, 46, 50, 45, 34, 33, 28, 15, 4, 30, 25, 21, 34, 26, 27, 31, 26, 7, 8, 7, 20, 26, 8, 19, 18, 41, 49, 39, 22, 29, 13, 7, 15, 43, 31, 34, 18, 19, 3, 50, 3, 48, 37, 19, 12, 22, 49, 46, 48, 34, 21, 49, 3, 9, 46, 31, 26, 18, 26, 45, 24, 13, 17]
[26, 0, 10, 12, 19, 17, 0, 15, 23, 45, 35, 22, 3, 12, 43, 39, 31, 18, 50, 4, 45, 24, 40, 0, 49, 4, 12, 37, 34, 20, 7, 49, 17, 36, 32, 4, 36, 49, 42, 0, 31, 39, 7, 46, 28, 34, 24, 9, 43, 3, 27, 4, 36, 20, 21, 20, 28, 33, 18, 37, 18, 11, 25, 9, 46, 33, 43, 18, 23, 18, 39, 22, 48, 30, 26, 19, 31, 33, 44]
[36, 49, 2, 17, 29, 37, 15, 0, 13, 32, 29, 0, 5, 11, 11, 17, 28, 2, 1, 50, 37, 32, 39, 6, 17, 49, 24, 38, 6, 9, 19, 50, 39, 45, 45, 8, 35, 7, 39, 6, 27, 42, 15, 15, 48, 35, 11, 9, 14, 50, 23, 40, 41, 14, 9, 38, 22, 38, 23, 2, 39, 3, 44, 41, 18, 6, 45, 12, 25, 49, 42, 18, 19, 48, 18, 30, 12, 9, 39]
[17, 20, 14, 38, 45, 18, 23, 13, 0, 3, 46, 10, 17, 49, 38, 13, 14, 23, 30, 40, 22, 49, 46, 18, 20, 19, 4, 37, 48, 31, 29, 10, 49, 2, 18, 48, 2, 10, 39, 24, 47, 14, 38, 28, 25, 18, 12, 44, 26, 37, 6, 22, 13, 16, 13, 8, 35, 16, 44, 4, 29, 47, 33, 21, 49, 20, 24, 48, 47, 0, 35, 16, 33, 25, 14, 36, 29, 27, 38]
[49, 10, 8, 30, 25, 39, 45, 32, 3, 0, 22, 12, 9, 10, 4, 14, 31, 43, 8, 7, 34, 5, 33, 27, 47, 42, 41, 41, 45, 23, 7, 6, 30, 46, 40, 40, 14, 37, 40, 22, 47, 27, 38, 38, 12, 15, 18, 29, 22, 49, 8, 9, 1, 39, 41, 7, 28, 31, 14, 46, 49, 1, 42, 20, 41, 10, 32, 31, 32, 10, 36, 11, 38, 31, 20, 42, 47, 3, 36]
