N1,N2,...,Nx
[0, 39, 14, 24, 2, 47, 26, 1, 14, 5, 16, 22, 21, 16, 40, 26, 11, 14, 1, 6, 45, 2, 19, 13, 50, 5, 15, 36, 21, 20, 11, 6, 21, 39, 3, 12, 7, 38, 1, 46, 0, 4, 12, 18, 48, 47, 27, 35, 13, 25, 41, 40, 33]
[39, 0, 48, 20, 20, 38, 36, 31, 41, 46, 19, 9, 32, 35, 27, 28, 3, 31, 8, 38, 9, 28, 16, 1, 24, 1, 49, 44, 7, 36, 25, 13, 43, 2, 26, 42, 42, 44, 37, 33, 40, 2, 26, 38, 21, 25, 21, 5, 22, 38, 2, 0, 31]
[14, 48, 0, 34, 16, 2, 22, 36, 29, 32, 24, 6, 11, 0, 28, 49, 49, 25, 40, 45, 30, 21, 44, 26, 47, 29, 33, 21, 46, 27, 5, 22, 30, 5, 8, 5, 49, 19, 33, 15, 1, 38, 2, 7, 48, 47, 26, 14, 42, 49, 30, 15, 9]
[24, 20, 34, 0, 42, 23, 39, 17, 16, 23, 30, 28, 13, 9, 13, 33, 16, 28, 14, 37, 2, 41, 41, 40, 8, 35, 2, 26, 35, 43, 9, 24, 25, 41, 23, 41, 15, 22, 0, 1, 7, 42, 34, 31, 19, 39, 44, 26, 18, 33, 37, 23, 29]
[2, 20, 16, 42, 0, 49, 10, 19, 8, 37, 48, 32, 42, 19, 41, 23, 24, 3, 7, 4, 43, 40, 34, 16, 26, 14, 15, 10, 28, 36, 36, 14, 26, 19, 27, 2, 4, 41, 41, 20, 41, 3, 12, 18, 42, 20, 48, 47, 25, 33, 44, 20, 7]
[47, 38, 2, 23, 49, 0, 47, 2, 35, 18, 19, 10, 18, 33, 12, 9, 27, 34, 30, 50, 43, 22, 26, 42, 40, 23, 43, 37, 23, 42, 0, 42, 37, 33, 33, 31, 47, 18, 12, 11, 49, 15, 42, 37, 37, 34, 1, 27, 7, 35, 39, 50, 48]
[26, 36, 22, 39, 10, 47, 0, 34, 11, 25, 39, 11, 20, 15, 43, 26, 14, 21, 0, 32, 9, 27, 43, 9, 37, 49, 24, 49, 15, 35, 25, 45, 46, 46, 26, 28, 28, 22, 37, 39, 29, 48, 2, 2, 29, 12, 21, 32, 9, 31, 27, 6, 39]
[1, 31, 36, 17, 19, 2, 34, 0, 36, 49, 48, 33, 8, 14, 23, 3, 7, 20, 41, 44, 4, 50, 6, 1, 22, 25, 12, 39, 46, 2, 22, 14, 27, 21, 15, 8, 18, 27, 38, 12, 15, 35, 40, 26, 19, 28, 47, 19, 43, 10, 14, 5, 30]
[14, 41, 29, 16, 8, 35, 11, 36, 0, 11, 29, 25, 45, 24, 4, 23, 41, 15, 39, 44, 6, 33, 5, 24, 23, 44, 31, 31, 3, 43, 4, 39, 5, 33, 21, 1, 6, 19, 48, 32, 32, 30, 16, 11, 27, 6, 5, 23, 34, 48, 41, 25, 12]
[5, 46, 32, 23, 37, 18, 25, 49, 11, 0, 11, 28, 38, 9, 45, 28, 13, 48, 11, 17, 6, 50, 14, 47, 33, 7, 38, 7, 23, 14, 14, 37, 33, 33, 10, 23, 30, 33, 7, 36, 46, 13, 31, 32, 22, 32, 21, 6, 2, 13, 24, 18, 46]
[16, 19, 24, 30, 48, 19, 39, 48, 29, 11, 0, 21, 33, 7, 50, 15, 38, 6, 49, 39, 25, 6, 34, 45, 12, 8, 4, 44, 18, 43, 44, 33, 40, 48, 36, 39, 25, 46, 7, 15, 9, 15, 18, 12, 22, 3, 35, 3, 1, 43, 16, 21, 35]
[22, 9, 6, 28, 32, 10, 11, 33, 25, 28, 21, 0, 18, 46, 24, 17, 43, 25, 7, 32, 15, 3, 9, 47, 20, 29, 31, 22, 28, 20, 36, 20, 30, 3, 50, 8, 0, 9, 39, 19, 39, 0, 27, 33, 45, 50, 21, 28, 26, 46, 43, 18, 17]
[21, 32, 11, 13, 42, 18, 20, 8, 45, 38, 33, 18, 0, 17, 28, 10, 15, 25, 26, 5, 12, 45, 26, 4, 6, 35, 1, 36, 38, 46, 39, 11, 42, 24, 19, 15, 20, 47, 11, 50, 10, 22, 10, 5, 23, 21, 47, 43, 35, 29, 1, 19, 0]
[16, 35, 0, 9, 19, 33, 15, 14, 24, 9, 7, 46, 17, 0, 40, 30, 39, 0, 48, 4, 30, 24, 10, 2, 37, 35, 25, 10, 45, 5, 6, 28, 19, 7, 49, 35, 46, 46, 43, 22, 47, 30, 2, 21, 41, 14, 25, 11, 8, 27, 18, 10, 18]
[40, 27, 28, 13, 41, 12, 43, 23, 4, 45, 50, 24, 28, 40, 0, 9, 5, 13, 26, 4, 19, 6, 2, 41, 15, 42, 22, 5, 2, 39, 32, 14, 12, 43, 38, 1, 5, 26, 46, 33, 19, 25, 22, 35, 39, 15, 20, 6, 24, 22, 23, 34, 12]
[26, 28, 49, 33, 23, 9, 26, 3, 23, 28, 15, 17, 10, 30, 9, 0, 34, 7, 10, 5, 22, 1, 47, 37, 14, 7, 1, 47, 2, 39, 10, 30, 39, 14, 5, 22, 7, 2, 29, 15, 5, 30, 46, 22, 22, 44, 37, 21, 27, 46, 15, 43, 39]
[11, 3, 49, 16, 24, 27, 14, 7, 41, 13, 38, 43, 15, 39, 5, 34, 0, 10, 46, 35, 23, 36, 33, 4, 9, 48, 16, 17, 23, 16, 3, 39, 35, 6, 9, 32, 17, 44, 39, 40, 42, 11, 13, 20, 26, 34, 32, 39, 22, 30, 40, 40, 25]
[14, 31, 25, 28, 3, 34, 21, 20, 15, 48, 6, 25, 25, 0, 13, 7, 10, 0, 19, 46, 45, 34, 47, 27, 4, 35, 32, 10, 14, 35, 12, 29, 33, 38, 48, 48, 46, 6, 29, 37, 24, 8, 19, 43, 5, 28, 22, 9, 26, 34, 39, 35, 17]
[1, 8, 40, 14, 7, 30, 0, 41, 39, 11, 49, 7, 26, 48, 26, 10, 46, 19, 0, 40, 3, 20, 13, 10, 9, 0, 37, 13, 30, 13, 5, 6, 47, 46, 48, 29, 4, 8, 28, 14, 6, 37, 49, 5, 4, 50, 48, 7, 43, 38, 14, 13, 3]
[6, 38, 45, 37, 4, 50, 32, 44, 44, 17, 39, 32, 5, 4, 4, 5, 35, 46, 40, 0, 23, 5, 42, 19, 1, 49, 44, 12, 36, 50, 32, 3, 5, 16, 41, 38, 5, 3, 7, 48, 32, 10, 22, 43, 34, 24, 40, 19, 4, 10, 13, 41, 37]
[45, 9, 30, 2, 43, 43, 9, 4, 6, 6, 25, 15, 12, 30, 19, 22, 23, 45, 3, 23, 0, 14, 5, 33, 30, 45, 38, 37, 43, 41, 46, 4, 18, 13, 48, 39, 17, 15, 30, 40, 6, 36, 46, 44, 30, 7, 4, 41, 46, 15, 43, 3, 19]
[2, 28, 21, 41, 40, 22, 27, 50, 33, 50, 6, 3, 45, 24, 6, 1, 36, 34, 20, 5, 14, 0, 19, 22, 24, 40, 32, 21, 49, 16, 23, 44, 32, 14, 20, 38, 31, 50, 31, 6, 42, 39, 28, 14, 11, 7, 15, 20, 23, 7, 11, 20, 12]
[19, 16, 44, 41, 34, 26, 43, 6, 5, 14, 34, 9, 26, 10, 2, 47, 33, 47, 13, 42, 5, 19, 0, 47, 36, 31, 20, 18, 50, 4, 29, 5, 25, 7, 50, 43, 28, 41, 37, 24, 31, 6, 5, 50, 24, 7, 4, 49, 22, 27, 15, 45, 3]
[13, 1, 26, 40, 16, 42, 9, 1, 24, 47, 45, 47, 4, 2, 41, 37, 4, 27, 10, 19, 33, 22, 47, 0, 3, 12, 15, 22, 44, 19, 40, 29, 44, 39, 8, 47, 32, 30, 18, 35, 42, 6, 12, 34, 45, 45, 0, 0, 13, 36, 31, 2, 44]
[50, 24, 47, 8, 26, 40, 37, 22, 23, 33, 12, 20, 6, 37, 15, 14, 9, 4, 9, 1, 30, 24, 36, 3, 0, 39, 36, 24, 44, 26, 32, 11, 2, 39, 29, 15, 6, 1, 7, 9, 21, 14, 34, 3, 13, 0, 9, 4, 9, 48, 6, 7, 12]
[5, 1, 29, 35, 14, 23, 49, 25, 44, 7, 8, 29, 35, 35, 42, 7, 48, 35, 0, 49, 45, 40, 31, 12, 39, 0, 48, 2, 45, 0, 2, 23, 22, 29, 41, 24, 0, 27, 32, 28, 23, 31, 48, 17, 21, 5, 32, 24, 18, 2, 15, 38, 47]
[15, 49, 33, 2, 15, 43, 24, 12, 31, 38, 4, 31, 1, 25, 22, 1, 16, 32, 37, 44, 38, 32, 20, 15, 36, 48, 0, 27, 1, 46, 31, 21, 43, 48, 20, 14, 45, 10, 49, 33, 23, 5, 18, 14, 34, 27, 1, 7, 49, 5, 33, 17, 16]
