N1,N2,...,Nx
[0, 28, 6, 22, 41, 33, 21, 9, 30, 13, 46, 48, 41, 27, 3, 23, 11, 36, 38, 39, 49, 6, 21, 36, 10, 5, 20, 43, 43, 48, 30, 37, 28, 19, 46, 41, 49, 14, 13, 24, 14, 40, 31, 5, 17, 4, 7, 29, 50, 48, 24, 9, 7, 22, 34, 31, 47, 48, 40, 32, 33, 46, 35, 18, 43, 38, 30, 22, 4, 30, 40, 22, 17, 48, 37, 28, 22, 47, 12, 37, 8, 47, 48, 31, 1, 0, 38, 48, 27, 16, 17, 44, 4, 45, 39, 45, 39, 50, 15, 30, 31, 47, 31, 45, 42, 32, 29, 47, 16, 43, 36, 47, 21, 28, 38, 33, 29, 44, 24, 6, 6, 41, 36, 5, 15, 10, 6, 30, 48, 42, 11, 22, 5, 27, 24, 19, 6, 34, 2, 25, 18, 12, 4, 7, 21, 27, 36, 47, 1, 40, 24, 31, 47, 13, 22, 29, 34, 47, 15, 40, 0, 14, 30, 42, 29, 2, 5, 28, 23, 13, 11, 19, 3, 27, 24, 41, 14, 13, 42, 46, 20]
[28, 0, 37, 32, 41, 23, 18, 38, 5, 29, 16, 35, 25, 33, 20, 17, 9, 13, 14, 17, 12, 38, 45, 1, 13, 30, 15, 38, 11, 41, 5, 24, 39, 25, 50, 34, 20, 12, 43, 45, 3, 18, 16, 18, 13, 43, 46, 9, 36, 39, 44, 3, 7, 12, 6, 1, 50, 8, 2, 35, 14, 47, 4, 47, 21, 3, 19, 34, 29, 6, 4, 17, 7, 25, 23, 38, 19, 13, 49, 40, 18, 4, 3, 43, 14, 8, 26, 21, 8, 18, 47, 46, 41, 35, 11, 35, 7, 28, 35, 34, 18, 6, 25, 7, 13, 40, 46, 22, 22, 45, 11, 9, 38, 31, 20, 5, 45, 6, 34, 2, 47, 16, 35, 12, 25, 16, 5, 16, 13, 16, 50, 29, 20, 27, 5, 2, 22, 41, 1, 3, 17, 12, 32, 37, 17, 39, 28, 47, 27, 12, 8, 27, 16, 44, 24, 31, 46, 6, 0, 4, 49, 0, 20, 32, 45, 12, 15, 13, 45, 4, 47, 30, 35, 29, 14, 13, 30, 25, 37, 8, 29]
[6, 37, 0, 12, 41, 32, 1, 42, 13, 12, 14, 37, 47, 2, 45, 11, 13, 22, 45, 16, 28, 41, 26, 5, 1, 26, 33, 1, 33, 4, 11, 14, 41, 48, 38, 40, 35, 20, 25, 35, 6, 12, 15, 33, 24, 11, 36, 32, 45, 39, 25, 5, 9, 23, 29, 29, 28, 27, 38, 28, 16, 44, 25, 39, 34, 30, 39, 12, 6, 2, 33, 3, 35, 37, 49, 38, 22, 32, 48, 35, 43, 26, 39, 37, 3, 37, 3, 42, 3, 16, 28, 7, 9, 46, 10, 4, 44, 38, 41, 0, 29, 13, 10, 9, 10, 45, 46, 27, 28, 38, 17, 25, 44, 28, 34, 46, 50, 41, 13, 14, 42, 37, 12, 30, 1, 42, 10, 10, 40, 22, 33, 43, 29, 13, 49, 25, 9, 14, 4, 8, 12, 39, 2, 45, 21, 44, 31, 30, 18, 33, 8, 29, 37, 19, 1, 17, 27, 13, 17, 29, 18, 11, 38, 33, 31, 6, 0, 11, 2, 24, 6, 47, 4, 40, 31, 36, 39, 27, 42, 23, 11]
[22, 32, 12, 0, 33, 12, 50, 47, 45, 25, 20, 39, 36, 41, 18, 47, 26, 43, 14, 4, 13, 49, 22, 34, 18, 6, 37, 18, 17, 14, 41, 50, 16, 35, 45, 14, 25, 40, 46, 3, 25, 40, 48, 5, 7, 38, 50, 19, 7, 24, 0, 23, 27, 44, 16, 17, 32, 16, 47, 7, 20, 39, 3, 42, 43, 38, 20, 13, 42, 22, 8, 20, 20, 15, 14, 8, 38, 1, 7, 22, 27, 43, 42, 1, 17, 42, 15, 39, 36, 50, 47, 39, 29, 41, 39, 19, 42, 20, 37, 20, 14, 27, 1, 50, 0, 5, 14, 50, 35, 41, 17, 50, 20, 46, 44, 8, 27, 0, 25, 19, 6, 9, 37, 1, 36, 48, 39, 7, 42, 27, 20, 15, 38, 27, 31, 45, 40, 46, 44, 45, 40, 15, 6, 28, 2, 30, 5, 31, 45, 27, 49, 34, 31, 34, 32, 2, 18, 49, 22, 17, 9, 36, 21, 1, 27, 28, 28, 2, 19, 15, 26, 48, 23, 39, 45, 31, 39, 13, 33, 6, 8]
[41, 41, 41, 33, 0, 23, 16, 41, 16, 35, 48, 4, 25, 15, 4, 39, 47, 42, 16, 3, 13, 7, 37, 13, 4, 23, 18, 1, 19, 45, 9, 12, 44, 24, 39, 25, 4, 13, 10, 47, 8, 35, 11, 18, 4, 1, 4, 0, 43, 37, 47, 18, 18, 32, 2, 36, 24, 50, 12, 13, 26, 46, 44, 17, 48, 20, 48, 2, 36, 15, 20, 13, 33, 12, 1, 13, 34, 16, 46, 16, 30, 46, 14, 21, 44, 36, 2, 30, 23, 35, 19, 1, 47, 48, 33, 40, 19, 48, 22, 37, 19, 26, 11, 5, 25, 11, 10, 19, 8, 8, 31, 36, 5, 33, 49, 18, 32, 39, 47, 28, 50, 35, 19, 41, 19, 29, 13, 37, 27, 19, 10, 39, 22, 24, 12, 26, 24, 16, 32, 42, 34, 46, 43, 0, 33, 30, 31, 38, 19, 13, 16, 42, 33, 21, 16, 42, 50, 23, 38, 30, 19, 31, 1, 15, 6, 7, 0, 8, 9, 12, 28, 18, 24, 20, 37, 17, 41, 33, 19, 37, 42]
[33, 23, 32, 12, 23, 0, 11, 5, 13, 33, 49, 19, 0, 8, 17, 4, 19, 8, 21, 35, 32, 5, 48, 24, 2, 50, 31, 40, 14, 25, 12, 47, 24, 45, 45, 24, 19, 41, 39, 43, 49, 12, 41, 38, 26, 39, 23, 31, 45, 19, 50, 6, 44, 33, 46, 14, 42, 17, 18, 42, 34, 33, 33, 5, 7, 2, 15, 7, 13, 26, 4, 4, 24, 43, 19, 10, 11, 4, 24, 22, 4, 41, 32, 1, 34, 14, 37, 40, 34, 2, 25, 5, 14, 45, 50, 41, 24, 44, 23, 43, 13, 48, 7, 34, 29, 23, 28, 3, 31, 3, 32, 38, 2, 34, 4, 7, 7, 1, 13, 17, 48, 12, 4, 48, 37, 12, 5, 49, 2, 40, 30, 27, 21, 9, 23, 50, 47, 48, 9, 5, 0, 13, 21, 20, 30, 46, 3, 8, 46, 13, 35, 27, 24, 19, 13, 17, 10, 15, 0, 32, 21, 11, 1, 21, 25, 14, 24, 31, 0, 28, 34, 29, 23, 2, 17, 46, 10, 35, 41, 11, 0]
[21, 18, 1, 50, 16, 11, 0, 45, 41, 4, 18, 2, 34, 33, 49, 24, 19, 43, 1, 0, 8, 49, 20, 28, 27, 13, 20, 28, 26, 40, 8, 42, 43, 31, 2, 32, 17, 32, 24, 48, 41, 21, 45, 32, 31, 3, 22, 31, 45, 35, 40, 17, 14, 5, 12, 14, 4, 12, 15, 15, 19, 14, 28, 28, 9, 0, 19, 9, 33, 47, 46, 28, 31, 24, 42, 29, 50, 13, 39, 49, 2, 40, 26, 47, 34, 1, 11, 8, 0, 10, 50, 37, 23, 38, 26, 13, 7, 36, 30, 4, 18, 42, 31, 42, 7, 32, 36, 30, 12, 40, 40, 9, 39, 48, 0, 13, 2, 22, 14, 27, 3, 47, 36, 40, 12, 20, 31, 50, 7, 8, 2, 34, 36, 28, 10, 27, 32, 48, 40, 31, 33, 25, 13, 0, 44, 28, 9, 27, 17, 34, 45, 48, 43, 30, 12, 43, 39, 26, 1, 4, 46, 36, 15, 21, 5, 16, 48, 42, 39, 26, 18, 24, 10, 22, 44, 19, 1, 5, 17, 32, 43]
[9, 38, 42, 47, 41, 5, 45, 0, 22, 49, 13, 19, 36, 33, 42, 29, 23, 35, 26, 20, 47, 8, 7, 3, 29, 15, 44, 8, 20, 18, 14, 44, 39, 5, 45, 41, 11, 5, 4, 14, 15, 46, 18, 35, 33, 24, 30, 2, 42, 47, 50, 50, 14, 21, 17, 31, 22, 45, 28, 39, 4, 49, 41, 9, 5, 16, 44, 33, 20, 16, 18, 11, 15, 16, 29, 26, 4, 41, 2, 31, 41, 30, 38, 14, 7, 17, 33, 0, 16, 14, 21, 9, 42, 50, 20, 30, 3, 35, 47, 21, 18, 6, 46, 11, 50, 8, 34, 48, 15, 49, 12, 49, 8, 4, 31, 33, 45, 9, 3, 18, 42, 41, 47, 28, 45, 10, 18, 4, 34, 36, 40, 23, 12, 49, 42, 34, 2, 34, 36, 41, 22, 10, 45, 39, 1, 2, 9, 45, 16, 22, 18, 17, 8, 49, 48, 37, 33, 25, 40, 7, 13, 15, 4, 26, 40, 28, 21, 29, 18, 35, 42, 2, 42, 28, 24, 27, 9, 6, 14, 46, 9]
[30, 5, 13, 45, 16, 13, 41, 22, 0, 47, 14, 48, 6, 19, 8, 22, 18, 46, 13, 23, 6, 34, 5, 23, 13, 49, 10, 24, 43, 24, 44, 9, 3, 28, 23, 13, 21, 19, 12, 42, 15, 10, 35, 11, 37, 7, 9, 9, 49, 6, 50, 33, 31, 16, 2, 41, 10, 15, 22, 48, 11, 17, 27, 24, 15, 31, 46, 39, 13, 9, 32, 44, 8, 21, 35, 6, 12, 24, 31, 37, 9, 2, 20, 49, 25, 46, 47, 39, 19, 26, 36, 46, 5, 26, 44, 2, 41, 37, 25, 17, 39, 9, 20, 21, 5, 45, 17, 38, 1, 4, 33, 49, 18, 11, 8, 11, 6, 10, 39, 14, 17, 22, 32, 40, 6, 37, 25, 18, 9, 15, 25, 31, 34, 22, 15, 20, 50, 13, 15, 15, 31, 2, 15, 24, 25, 6, 1, 28, 7, 21, 1, 37, 19, 3, 48, 12, 12, 20, 2, 28, 37, 17, 44, 6, 13, 46, 38, 41, 50, 19, 5, 25, 36, 20, 18, 47, 29, 2, 39, 27, 49]
[13, 29, 12, 25, 35, 33, 4, 49, 47, 0, 43, 9, 38, 5, 1, 13, 30, 39, 0, 6, 33, 26, 48, 45, 36, 42, 48, 44, 8, 20, 10, 50, 40, 34, 39, 10, 41, 23, 9, 8, 33, 49, 45, 27, 17, 46, 7, 5, 40, 33, 8, 41, 23, 16, 26, 13, 28, 43, 34, 45, 18, 15, 13, 47, 34, 18, 39, 16, 29, 35, 39, 18, 36, 49, 41, 20, 19, 19, 0, 34, 13, 0, 46, 40, 5, 15, 44, 44, 47, 42, 39, 6, 19, 30, 21, 2, 37, 1, 49, 9, 30, 15, 32, 38, 27, 34, 38, 50, 3, 37, 26, 10, 5, 18, 32, 37, 46, 26, 13, 48, 30, 13, 9, 4, 45, 14, 25, 36, 28, 49, 45, 29, 0, 16, 18, 47, 28, 41, 5, 38, 28, 34, 24, 39, 30, 22, 22, 43, 9, 45, 29, 4, 13, 0, 46, 48, 11, 7, 28, 31, 24, 16, 32, 6, 50, 32, 28, 2, 8, 43, 8, 44, 44, 45, 38, 34, 14, 25, 29, 15, 30]
