N1,N2,...,Nx
[0, 45, 15, 20, 23, 9, 20, 39, 25, 2, 38, 39, 12, 28, 26, 8, 9, 35, 43, 25, 1, 31, 24, 6, 31, 19, 40, 25, 25, 16, 19, 1, 27, 0, 17, 44, 3, 11, 36, 38, 47, 5, 28, 6, 46, 26, 45, 36, 9, 22, 42, 16, 24, 27, 5, 47, 47, 50, 17, 12, 49, 22, 49, 49, 50, 7, 4, 39, 21, 17, 8, 41, 12, 36, 5, 5, 6, 5, 21, 23, 42, 18, 28, 17, 33, 8, 12, 13, 4, 8, 23, 25, 22, 37, 11, 17, 3, 36, 38, 29, 27, 30, 42, 32, 1, 50, 39, 17, 35, 45, 4]
[45, 0, 3, 24, 13, 22, 17, 46, 26, 24, 24, 1, 9, 27, 13, 15, 2, 16, 6, 38, 40, 34, 38, 24, 5, 12, 28, 21, 24, 41, 11, 30, 39, 31, 9, 26, 39, 11, 47, 24, 7, 9, 6, 34, 47, 43, 25, 26, 39, 46, 17, 26, 28, 35, 13, 0, 27, 24, 9, 4, 6, 7, 49, 38, 46, 10, 15, 24, 30, 33, 29, 36, 11, 29, 8, 12, 48, 38, 17, 39, 4, 11, 10, 47, 39, 42, 18, 47, 1, 34, 38, 21, 24, 6, 16, 5, 43, 23, 48, 43, 31, 28, 49, 7, 11, 3, 8, 41, 18, 15, 19]
[15, 3, 0, 18, 9, 23, 12, 13, 9, 32, 10, 47, 4, 10, 24, 22, 9, 23, 27, 44, 6, 17, 45, 44, 3, 13, 41, 49, 25, 40, 33, 11, 15, 47, 46, 9, 22, 23, 10, 11, 2, 1, 35, 50, 42, 38, 25, 3, 5, 46, 25, 20, 21, 46, 3, 27, 13, 45, 11, 5, 41, 3, 17, 15, 25, 31, 3, 43, 39, 40, 43, 39, 17, 19, 12, 4, 23, 11, 42, 29, 21, 32, 17, 44, 27, 38, 30, 21, 40, 36, 47, 19, 26, 14, 38, 2, 31, 36, 50, 21, 23, 28, 32, 2, 38, 50, 35, 27, 14, 50, 3]
[20, 24, 18, 0, 26, 39, 39, 49, 24, 27, 6, 37, 20, 19, 36, 1, 26, 5, 13, 36, 30, 32, 1, 14, 31, 38, 46, 49, 28, 1, 6, 18, 45, 6, 30, 27, 12, 36, 49, 48, 32, 10, 7, 48, 33, 14, 42, 18, 22, 33, 18, 4, 28, 18, 24, 46, 39, 50, 40, 4, 39, 11, 13, 14, 1, 30, 33, 46, 35, 13, 26, 30, 25, 19, 3, 7, 41, 19, 48, 30, 36, 14, 50, 37, 26, 0, 32, 43, 26, 44, 25, 35, 24, 2, 29, 46, 10, 47, 5, 16, 46, 19, 30, 49, 1, 12, 41, 9, 5, 34, 36]
[23, 13, 9, 26, 0, 2, 41, 45, 48, 23, 49, 24, 37, 15, 23, 42, 50, 18, 32, 42, 34, 11, 1, 33, 38, 5, 2, 28, 48, 8, 19, 18, 13, 30, 43, 30, 36, 46, 3, 29, 30, 47, 10, 47, 14, 1, 38, 14, 32, 12, 48, 46, 25, 14, 9, 6, 0, 39, 18, 16, 28, 36, 17, 27, 35, 23, 44, 24, 6, 45, 41, 2, 31, 13, 34, 29, 17, 32, 42, 13, 31, 0, 6, 3, 1, 0, 49, 14, 13, 30, 43, 29, 12, 21, 19, 46, 46, 21, 38, 28, 7, 47, 34, 24, 13, 28, 5, 2, 19, 26, 3]
[9, 22, 23, 39, 2, 0, 2, 27, 21, 15, 6, 44, 37, 26, 11, 42, 22, 18, 31, 20, 22, 4, 20, 4, 23, 34, 10, 21, 16, 9, 20, 16, 18, 25, 9, 48, 33, 2, 0, 19, 49, 9, 25, 36, 16, 3, 48, 27, 48, 20, 10, 26, 23, 9, 30, 17, 22, 47, 25, 19, 11, 23, 49, 46, 24, 47, 5, 6, 12, 28, 30, 41, 35, 2, 31, 8, 43, 0, 28, 17, 33, 15, 27, 19, 26, 8, 22, 37, 22, 31, 5, 0, 22, 35, 18, 13, 18, 48, 30, 40, 4, 21, 32, 28, 24, 3, 20, 12, 33, 44, 21]
[20, 17, 12, 39, 41, 2, 0, 9, 40, 43, 14, 9, 16, 3, 38, 24, 49, 25, 50, 13, 42, 20, 13, 37, 31, 8, 47, 1, 27, 23, 1, 13, 44, 43, 20, 38, 6, 36, 5, 3, 22, 6, 20, 21, 4, 6, 34, 30, 45, 25, 11, 49, 20, 37, 40, 36, 13, 36, 30, 14, 34, 39, 48, 14, 36, 21, 5, 30, 22, 25, 43, 35, 36, 49, 49, 4, 20, 41, 26, 31, 5, 0, 13, 10, 42, 42, 35, 7, 0, 18, 24, 31, 22, 5, 6, 50, 36, 47, 7, 35, 33, 33, 46, 9, 10, 7, 39, 18, 8, 22, 16]
[39, 46, 13, 49, 45, 27, 9, 0, 44, 48, 47, 37, 40, 18, 31, 26, 42, 14, 46, 5, 8, 6, 20, 1, 13, 17, 37, 5, 44, 8, 26, 25, 24, 30, 48, 18, 33, 10, 14, 19, 3, 36, 44, 22, 17, 46, 25, 12, 4, 29, 22, 5, 5, 41, 4, 31, 26, 27, 37, 46, 20, 47, 6, 28, 45, 14, 40, 8, 35, 42, 24, 3, 22, 32, 21, 46, 17, 0, 38, 14, 24, 16, 9, 32, 20, 4, 30, 29, 43, 42, 32, 27, 23, 42, 12, 25, 50, 3, 19, 23, 17, 44, 45, 1, 2, 21, 7, 15, 40, 48, 24]
[25, 26, 9, 24, 48, 21, 40, 44, 0, 6, 5, 50, 19, 16, 23, 34, 8, 11, 20, 46, 9, 35, 34, 14, 45, 17, 13, 25, 9, 40, 16, 19, 9, 0, 30, 46, 35, 33, 36, 44, 38, 32, 16, 10, 36, 12, 40, 1, 40, 2, 41, 40, 37, 38, 5, 39, 36, 3, 20, 28, 3, 40, 36, 8, 7, 0, 20, 20, 0, 29, 22, 35, 46, 0, 17, 8, 39, 5, 31, 39, 49, 17, 41, 23, 43, 49, 10, 11, 39, 49, 48, 32, 5, 50, 2, 43, 36, 21, 5, 44, 5, 17, 27, 50, 29, 21, 25, 6, 49, 39, 50]
[2, 24, 32, 27, 23, 15, 43, 48, 6, 0, 33, 4, 24, 44, 42, 9, 46, 0, 6, 37, 45, 14, 12, 36, 18, 4, 17, 19, 9, 46, 46, 41, 32, 0, 12, 42, 43, 43, 38, 9, 6, 0, 3, 46, 18, 41, 27, 22, 14, 2, 22, 1, 28, 28, 42, 12, 9, 24, 45, 14, 45, 30, 42, 13, 3, 43, 29, 39, 13, 36, 42, 13, 45, 46, 42, 35, 0, 36, 8, 45, 23, 19, 3, 32, 32, 1, 33, 27, 3, 48, 32, 5, 44, 28, 10, 47, 28, 46, 47, 30, 22, 16, 9, 49, 46, 43, 35, 6, 46, 44, 2]
