N1,N2,...,Nx
[0, 17, 15, 8, 14, 40, 44, 47, 16, 4, 29, 5, 35, 37, 13, 42, 19, 4, 31, 44, 21, 43, 46, 24, 32, 19, 32, 49, 49, 47, 41, 41, 9, 15, 46, 17, 44, 30, 15, 31, 29, 1]
[17, 0, 22, 7, 24, 7, 14, 5, 22, 14, 21, 16, 27, 24, 33, 46, 23, 30, 16, 38, 13, 20, 31, 34, 46, 25, 15, 21, 4, 0, 30, 16, 1, 6, 34, 13, 3, 1, 5, 14, 46, 47]
[15, 22, 0, 21, 32, 33, 16, 11, 25, 9, 25, 38, 39, 40, 44, 39, 23, 39, 24, 3, 9, 15, 21, 46, 17, 18, 29, 21, 9, 38, 1, 38, 22, 22, 8, 3, 19, 25, 40, 9, 39, 10]
[8, 7, 21, 0, 12, 0, 21, 47, 6, 28, 4, 27, 30, 15, 37, 33, 18, 5, 8, 35, 33, 7, 6, 48, 25, 48, 34, 17, 31, 46, 17, 2, 24, 27, 13, 12, 29, 36, 37, 37, 35, 19]
[14, 24, 32, 12, 0, 14, 37, 6, 10, 39, 46, 26, 25, 27, 44, 28, 8, 38, 40, 49, 20, 4, 18, 29, 47, 10, 10, 32, 32, 31, 45, 36, 6, 40, 4, 26, 34, 21, 13, 48, 4, 40]
[40, 7, 33, 0, 14, 0, 40, 34, 14, 36, 24, 34, 44, 9, 19, 9, 2, 0, 8, 24, 12, 25, 42, 5, 15, 46, 34, 23, 24, 34, 38, 21, 14, 42, 30, 20, 36, 7, 35, 33, 30, 7]
[44, 14, 16, 21, 37, 40, 0, 13, 37, 30, 23, 30, 46, 0, 2, 49, 19, 35, 2, 37, 34, 20, 9, 28, 9, 28, 26, 42, 23, 46, 6, 6, 2, 18, 33, 18, 1, 28, 30, 49, 31, 41]
[47, 5, 11, 47, 6, 34, 13, 0, 36, 14, 30, 16, 35, 43, 19, 24, 19, 38, 20, 32, 46, 45, 36, 3, 1, 39, 23, 2, 47, 17, 13, 18, 3, 22, 36, 30, 6, 3, 47, 43, 26, 48]
[16, 22, 25, 6, 10, 14, 37, 36, 0, 38, 17, 45, 6, 18, 46, 36, 33, 16, 12, 2, 49, 27, 18, 12, 34, 48, 4, 22, 40, 50, 12, 28, 8, 6, 6, 47, 37, 12, 15, 27, 2, 23]
[4, 14, 9, 28, 39, 36, 30, 14, 38, 0, 37, 41, 42, 20, 25, 7, 42, 14, 13, 25, 14, 4, 11, 12, 6, 2, 49, 5, 9, 2, 25, 11, 9, 1, 10, 37, 37, 41, 35, 7, 25, 30]
[29, 21, 25, 4, 46, 24, 23, 30, 17, 37, 0, 31, 6, 8, 8, 0, 36, 30, 35, 45, 48, 1, 9, 23, 4, 49, 16, 14, 8, 49, 31, 49, 38, 33, 40, 26, 34, 50, 40, 43, 45, 19]
[5, 16, 38, 27, 26, 34, 30, 16, 45, 41, 31, 0, 9, 1, 1, 14, 27, 15, 28, 35, 39, 23, 12, 3, 7, 25, 9, 10, 44, 46, 9, 49, 16, 14, 33, 3, 19, 40, 20, 47, 11, 25]
[35, 27, 39, 30, 25, 44, 46, 35, 6, 42, 6, 9, 0, 26, 35, 39, 20, 21, 48, 8, 24, 37, 28, 33, 39, 20, 29, 19, 7, 30, 38, 36, 15, 28, 38, 17, 17, 10, 15, 48, 15, 29]
[37, 24, 40, 15, 27, 9, 0, 43, 18, 20, 8, 1, 26, 0, 16, 22, 17, 24, 36, 50, 11, 20, 37, 36, 36, 36, 35, 4, 3, 46, 32, 41, 48, 1, 29, 28, 37, 50, 13, 38, 17, 11]
[13, 33, 44, 37, 44, 19, 2, 19, 46, 25, 8, 1, 35, 16, 0, 22, 40, 11, 14, 50, 36, 26, 37, 34, 47, 22, 39, 15, 29, 46, 43, 47, 23, 25, 46, 34, 20, 37, 1, 48, 39, 9]
[42, 46, 39, 33, 28, 9, 49, 24, 36, 7, 0, 14, 39, 22, 22, 0, 18, 10, 48, 48, 5, 6, 11, 23, 3, 5, 11, 32, 9, 35, 37, 45, 5, 22, 8, 25, 43, 39, 16, 2, 39, 32]
[19, 23, 23, 18, 8, 2, 19, 19, 33, 42, 36, 27, 20, 17, 40, 18, 0, 23, 11, 22, 5, 49, 6, 32, 37, 49, 12, 40, 1, 0, 47, 28, 32, 7, 50, 31, 28, 45, 18, 42, 22, 8]
[4, 30, 39, 5, 38, 0, 35, 38, 16, 14, 30, 15, 21, 24, 11, 10, 23, 0, 5, 34, 11, 35, 7, 12, 26, 23, 33, 18, 39, 12, 37, 42, 20, 37, 19, 43, 46, 39, 7, 26, 12, 36]
[31, 16, 24, 8, 40, 8, 2, 20, 12, 13, 35, 28, 48, 36, 14, 48, 11, 5, 0, 25, 21, 3, 22, 33, 50, 27, 11, 28, 5, 44, 47, 19, 13, 38, 20, 17, 49, 30, 31, 20, 39, 46]
[44, 38, 3, 35, 49, 24, 37, 32, 2, 25, 45, 35, 8, 50, 50, 48, 22, 34, 25, 0, 50, 14, 8, 23, 50, 20, 25, 33, 26, 2, 44, 50, 50, 50, 1, 34, 31, 7, 43, 50, 35, 41]
[21, 13, 9, 33, 20, 12, 34, 46, 49, 14, 48, 39, 24, 11, 36, 5, 5, 11, 21, 50, 0, 22, 17, 19, 19, 36, 4, 40, 38, 28, 37, 49, 6, 1, 14, 39, 5, 9, 14, 29, 18, 33]
[43, 20, 15, 7, 4, 25, 20, 45, 27, 4, 1, 23, 37, 20, 26, 6, 49, 35, 3, 14, 22, 0, 45, 11, 17, 38, 27, 28, 13, 12, 8, 1, 38, 0, 36, 48, 29, 49, 0, 28, 46, 35]
