N1,N2,...,Nx
[0, 42, 26, 48, 1, 29, 34, 16, 14, 1, 16, 17, 13, 36, 18, 16, 41, 14, 25, 6, 17, 44, 6, 14, 40, 29, 25, 43, 36, 39, 28, 24, 3, 29, 28, 45, 37, 40, 37, 14, 32, 10, 18, 3, 29, 33, 1, 26, 21, 50, 14, 38, 0, 50, 27, 13, 6, 30, 42, 23, 4, 36, 43, 3, 12, 15, 36, 2, 41, 16, 41, 1, 50, 42, 13, 30, 45, 40, 50, 13, 27, 37, 46, 8, 23, 49, 43, 17, 46, 43, 1, 20, 36, 8, 39, 5, 30, 17, 19, 29, 42, 2, 10, 24, 14, 48, 37, 43, 3, 8, 27, 19, 8, 13, 29, 6, 42, 30, 7, 0, 37, 25, 7, 47, 39, 20, 47, 23, 36, 48, 28, 49, 12, 14, 36, 46, 22, 21, 48]
[42, 0, 50, 9, 0, 47, 26, 17, 39, 43, 33, 40, 50, 28, 35, 42, 12, 7, 35, 36, 34, 25, 22, 48, 2, 34, 25, 47, 47, 6, 4, 6, 14, 25, 50, 8, 27, 39, 18, 31, 9, 30, 43, 49, 41, 24, 27, 18, 33, 45, 16, 22, 12, 36, 0, 49, 18, 13, 33, 10, 16, 17, 15, 21, 1, 41, 37, 10, 43, 22, 37, 22, 14, 6, 46, 14, 40, 30, 40, 17, 32, 16, 23, 40, 24, 19, 20, 37, 45, 7, 50, 49, 31, 30, 26, 1, 20, 2, 42, 42, 35, 11, 37, 33, 31, 31, 37, 47, 14, 9, 40, 22, 37, 34, 36, 39, 29, 8, 39, 24, 45, 6, 16, 4, 7, 28, 43, 15, 33, 11, 9, 42, 9, 23, 39, 4, 49, 33, 37]
[26, 50, 0, 38, 10, 4, 38, 12, 27, 0, 6, 48, 8, 25, 22, 20, 42, 3, 7, 14, 0, 37, 29, 5, 48, 18, 36, 21, 23, 15, 36, 37, 19, 2, 48, 50, 19, 8, 47, 8, 19, 22, 14, 33, 16, 12, 25, 23, 10, 31, 43, 33, 7, 19, 26, 40, 31, 46, 4, 23, 22, 22, 43, 2, 43, 24, 31, 38, 36, 41, 8, 23, 15, 50, 39, 28, 9, 30, 20, 39, 22, 26, 49, 31, 31, 26, 27, 4, 3, 22, 4, 17, 4, 17, 29, 22, 46, 18, 48, 46, 13, 21, 45, 14, 13, 15, 18, 22, 39, 15, 40, 46, 21, 25, 29, 38, 0, 11, 25, 15, 45, 1, 28, 23, 40, 37, 35, 46, 41, 14, 13, 45, 37, 48, 0, 13, 42, 16, 6]
[48, 9, 38, 0, 29, 17, 18, 47, 39, 12, 8, 50, 49, 35, 11, 43, 40, 14, 49, 27, 1, 3, 49, 2, 28, 41, 13, 35, 43, 45, 6, 46, 16, 25, 40, 21, 17, 0, 28, 45, 15, 6, 31, 9, 38, 49, 43, 4, 48, 2, 16, 26, 33, 25, 8, 26, 29, 13, 44, 29, 25, 23, 26, 31, 43, 8, 27, 48, 24, 27, 49, 38, 27, 43, 29, 6, 27, 6, 42, 2, 0, 12, 43, 40, 30, 4, 6, 41, 18, 10, 3, 13, 17, 3, 49, 2, 6, 3, 6, 10, 33, 9, 25, 25, 18, 32, 2, 36, 11, 8, 27, 26, 20, 40, 18, 14, 26, 35, 24, 5, 1, 29, 43, 13, 43, 26, 23, 11, 6, 39, 48, 17, 6, 29, 36, 1, 36, 47, 35]
[1, 0, 10, 29, 0, 7, 43, 18, 36, 16, 1, 50, 13, 50, 45, 2, 20, 24, 39, 10, 30, 23, 23, 3, 49, 37, 4, 28, 34, 50, 49, 3, 8, 26, 17, 31, 2, 26, 13, 19, 12, 35, 21, 15, 20, 22, 31, 26, 8, 19, 49, 45, 37, 3, 2, 48, 12, 20, 8, 22, 14, 16, 11, 31, 20, 18, 36, 50, 18, 26, 8, 44, 12, 12, 16, 49, 5, 47, 11, 35, 35, 5, 28, 36, 45, 29, 12, 22, 46, 15, 28, 38, 3, 0, 21, 1, 0, 3, 30, 43, 31, 39, 40, 24, 3, 8, 26, 43, 34, 17, 47, 29, 37, 3, 15, 37, 39, 11, 39, 16, 23, 42, 50, 13, 21, 34, 45, 14, 40, 32, 31, 46, 45, 25, 30, 26, 44, 30, 32]
[29, 47, 4, 17, 7, 0, 15, 1, 16, 37, 24, 5, 4, 15, 47, 24, 5, 3, 23, 36, 5, 8, 47, 29, 42, 11, 1, 35, 47, 36, 16, 34, 20, 35, 47, 1, 24, 45, 20, 36, 20, 48, 24, 50, 23, 11, 44, 18, 38, 49, 27, 46, 21, 7, 6, 42, 39, 46, 21, 4, 45, 28, 36, 34, 31, 42, 23, 50, 13, 29, 46, 31, 31, 17, 32, 19, 40, 43, 29, 38, 38, 14, 35, 34, 40, 39, 6, 11, 24, 23, 23, 19, 23, 35, 48, 10, 50, 28, 24, 10, 28, 23, 4, 33, 3, 13, 13, 49, 33, 26, 10, 5, 29, 2, 44, 28, 50, 48, 26, 44, 13, 47, 50, 7, 26, 35, 6, 25, 50, 30, 22, 30, 23, 18, 45, 48, 5, 28, 29]
[34, 26, 38, 18, 43, 15, 0, 50, 14, 2, 22, 8, 18, 8, 43, 41, 6, 0, 42, 41, 44, 25, 47, 16, 20, 18, 6, 14, 38, 30, 43, 34, 28, 24, 7, 34, 34, 3, 12, 16, 8, 10, 44, 3, 27, 36, 10, 11, 39, 42, 34, 37, 39, 36, 35, 49, 27, 9, 42, 2, 21, 29, 2, 12, 41, 21, 11, 21, 12, 25, 16, 15, 46, 3, 29, 37, 44, 34, 18, 50, 43, 19, 12, 40, 13, 24, 22, 1, 25, 14, 14, 22, 44, 30, 21, 25, 37, 7, 33, 15, 19, 30, 29, 50, 0, 19, 49, 48, 7, 17, 44, 18, 34, 20, 33, 45, 5, 13, 10, 5, 28, 41, 24, 43, 34, 49, 38, 16, 15, 31, 39, 22, 15, 15, 15, 15, 0, 26, 0]
[16, 17, 12, 47, 18, 1, 50, 0, 32, 48, 35, 24, 22, 17, 41, 27, 29, 34, 5, 14, 4, 36, 13, 0, 5, 39, 50, 30, 29, 27, 7, 6, 3, 20, 39, 27, 7, 13, 42, 39, 46, 0, 1, 34, 10, 6, 42, 16, 15, 21, 13, 39, 47, 19, 45, 21, 48, 18, 34, 4, 30, 48, 13, 8, 6, 0, 42, 30, 26, 11, 47, 6, 16, 23, 4, 16, 27, 47, 29, 44, 40, 9, 30, 17, 32, 21, 16, 50, 41, 38, 28, 0, 41, 17, 4, 19, 14, 8, 45, 3, 42, 5, 41, 2, 12, 39, 0, 20, 10, 12, 17, 1, 21, 19, 2, 26, 21, 25, 26, 25, 29, 3, 37, 49, 46, 49, 11, 17, 47, 45, 27, 50, 10, 43, 38, 2, 17, 35, 14]
[14, 39, 27, 39, 36, 16, 14, 32, 0, 6, 14, 43, 27, 40, 49, 32, 42, 31, 41, 0, 13, 50, 19, 48, 47, 35, 10, 28, 3, 4, 12, 38, 24, 4, 48, 7, 37, 9, 19, 40, 49, 36, 44, 34, 30, 23, 28, 32, 13, 42, 19, 4, 38, 25, 40, 12, 26, 50, 24, 27, 18, 17, 44, 5, 33, 39, 10, 34, 18, 5, 28, 12, 13, 10, 32, 17, 8, 28, 4, 21, 12, 10, 1, 44, 31, 10, 47, 46, 22, 21, 32, 27, 43, 10, 14, 12, 33, 14, 25, 32, 25, 14, 16, 43, 22, 42, 18, 23, 15, 27, 45, 38, 7, 14, 26, 44, 38, 40, 38, 19, 47, 14, 24, 40, 44, 33, 41, 20, 41, 30, 46, 25, 6, 44, 23, 9, 35, 2, 42]
[1, 43, 0, 12, 16, 37, 2, 48, 6, 0, 37, 33, 44, 33, 34, 25, 16, 44, 29, 42, 19, 27, 6, 14, 20, 17, 41, 20, 20, 39, 9, 9, 17, 21, 31, 27, 24, 43, 13, 3, 13, 40, 37, 48, 7, 10, 24, 33, 9, 22, 50, 14, 34, 6, 48, 12, 48, 13, 33, 18, 28, 6, 45, 33, 5, 2, 32, 40, 46, 16, 25, 21, 18, 44, 31, 11, 3, 41, 15, 24, 4, 20, 49, 12, 22, 4, 12, 34, 11, 32, 43, 4, 0, 17, 22, 6, 18, 50, 18, 6, 49, 12, 40, 20, 38, 49, 13, 47, 47, 34, 37, 36, 16, 27, 33, 0, 15, 8, 39, 15, 4, 20, 10, 46, 20, 0, 29, 40, 37, 22, 37, 41, 3, 44, 40, 5, 48, 17, 24]
