N1,N2,...,Nx
[0, 41, 2, 28, 9, 29, 28, 25, 44, 32, 0, 33, 14, 20, 15, 28, 28, 1, 39, 37, 32, 8, 38, 10, 19, 38, 1, 2, 42, 26, 49, 29, 42, 6, 12, 46, 32, 31, 31, 8, 16, 23, 24, 39, 25, 19, 40, 25, 5, 24, 25, 7, 25, 8, 38, 35, 29, 38, 37, 47, 27, 9, 41, 13, 19, 5, 7, 5, 28, 24, 34, 2, 10, 18, 38, 12, 23, 17, 48, 20, 40, 7, 7, 33, 31, 38, 49, 19, 20, 36, 12, 39, 47, 44, 44, 38, 32, 3, 29, 47, 14, 40, 22, 48, 3, 49, 18, 24, 22, 48, 33, 38, 27, 30, 40, 29, 19, 6, 11, 9, 24, 17, 1, 43, 39, 47, 50, 38, 41, 3, 42, 3, 21, 7, 2]
[41, 0, 2, 46, 25, 49, 46, 29, 10, 28, 45, 50, 48, 26, 44, 20, 43, 15, 2, 39, 30, 17, 40, 32, 1, 11, 15, 35, 34, 6, 8, 23, 47, 14, 21, 12, 29, 23, 24, 43, 45, 26, 10, 20, 33, 17, 28, 42, 49, 49, 38, 0, 26, 1, 41, 32, 4, 49, 0, 6, 6, 38, 35, 32, 41, 7, 9, 5, 8, 13, 24, 40, 38, 0, 32, 1, 47, 49, 28, 33, 7, 16, 38, 30, 48, 14, 10, 36, 31, 48, 17, 48, 48, 21, 38, 22, 44, 49, 5, 0, 47, 13, 25, 33, 0, 43, 40, 45, 2, 31, 50, 47, 41, 42, 9, 10, 49, 17, 35, 1, 11, 48, 34, 16, 36, 44, 0, 27, 8, 26, 29, 44, 6, 40, 20]
[2, 2, 0, 33, 5, 27, 45, 27, 5, 26, 22, 22, 25, 22, 22, 25, 24, 1, 18, 16, 31, 13, 47, 5, 28, 14, 34, 47, 3, 48, 3, 38, 35, 30, 37, 21, 8, 3, 20, 5, 41, 40, 2, 9, 46, 23, 12, 3, 33, 44, 43, 41, 21, 30, 26, 26, 10, 3, 41, 49, 47, 9, 24, 27, 24, 18, 37, 42, 42, 16, 36, 17, 40, 20, 41, 1, 35, 49, 31, 46, 43, 42, 29, 27, 8, 33, 35, 25, 3, 0, 24, 37, 28, 27, 13, 43, 25, 7, 45, 43, 4, 1, 14, 20, 34, 41, 19, 50, 0, 6, 42, 10, 38, 8, 45, 3, 25, 37, 25, 44, 20, 2, 39, 38, 25, 0, 16, 40, 1, 42, 33, 7, 9, 15, 47]
[28, 46, 33, 0, 34, 50, 3, 34, 37, 23, 0, 39, 39, 0, 37, 2, 29, 3, 20, 25, 29, 11, 15, 28, 48, 11, 38, 31, 47, 43, 1, 44, 15, 34, 26, 50, 30, 10, 23, 15, 46, 43, 10, 44, 44, 8, 10, 29, 28, 44, 20, 20, 40, 18, 11, 34, 46, 2, 35, 30, 40, 11, 42, 39, 21, 4, 31, 11, 41, 36, 27, 1, 7, 21, 7, 33, 18, 42, 0, 19, 35, 25, 19, 21, 49, 8, 37, 47, 48, 22, 42, 33, 10, 9, 29, 42, 26, 2, 37, 12, 15, 3, 20, 21, 42, 34, 9, 36, 4, 33, 22, 23, 11, 47, 26, 45, 42, 41, 30, 29, 25, 36, 44, 28, 50, 16, 45, 36, 0, 15, 13, 8, 2, 29, 24]
[9, 25, 5, 34, 0, 35, 4, 0, 31, 8, 27, 17, 45, 6, 23, 28, 2, 16, 24, 12, 7, 47, 45, 47, 8, 34, 14, 29, 8, 2, 49, 42, 35, 23, 1, 39, 37, 0, 36, 7, 15, 16, 25, 24, 21, 45, 14, 31, 41, 15, 20, 12, 31, 1, 25, 14, 42, 50, 23, 49, 43, 7, 33, 31, 17, 7, 5, 12, 5, 25, 33, 41, 13, 43, 23, 29, 11, 31, 3, 50, 28, 27, 21, 30, 26, 48, 7, 43, 44, 42, 18, 3, 7, 25, 21, 6, 26, 15, 33, 7, 34, 35, 37, 25, 48, 16, 38, 35, 47, 19, 31, 25, 43, 31, 47, 48, 11, 25, 14, 6, 15, 21, 24, 6, 2, 50, 18, 43, 28, 49, 13, 48, 38, 40, 16]
[29, 49, 27, 50, 35, 0, 27, 22, 8, 14, 14, 3, 17, 38, 38, 21, 24, 30, 8, 29, 29, 10, 11, 14, 28, 19, 2, 7, 44, 20, 16, 25, 29, 20, 40, 5, 32, 38, 28, 27, 35, 49, 45, 5, 37, 50, 16, 7, 25, 0, 17, 23, 36, 35, 22, 46, 34, 7, 18, 46, 40, 49, 50, 40, 1, 17, 16, 36, 40, 36, 33, 24, 26, 50, 34, 36, 16, 24, 10, 34, 10, 30, 10, 4, 9, 24, 50, 18, 48, 48, 30, 29, 43, 48, 16, 42, 27, 40, 26, 6, 19, 25, 24, 29, 20, 34, 42, 47, 15, 39, 12, 38, 40, 18, 42, 14, 32, 31, 27, 6, 24, 6, 10, 31, 30, 18, 13, 31, 38, 36, 25, 33, 36, 0, 40]
[28, 46, 45, 3, 4, 27, 0, 2, 43, 2, 0, 47, 24, 33, 35, 4, 34, 18, 31, 20, 33, 27, 44, 28, 35, 24, 7, 50, 41, 48, 38, 43, 12, 49, 32, 19, 8, 21, 38, 44, 39, 14, 4, 38, 14, 27, 3, 40, 11, 44, 44, 9, 10, 48, 2, 20, 15, 32, 21, 45, 42, 47, 3, 8, 30, 15, 0, 5, 46, 7, 42, 39, 45, 42, 16, 29, 0, 49, 28, 47, 47, 46, 1, 41, 50, 5, 26, 16, 31, 30, 49, 9, 15, 12, 7, 39, 9, 48, 9, 42, 7, 16, 30, 7, 9, 1, 39, 27, 31, 48, 38, 46, 33, 31, 2, 16, 45, 8, 48, 37, 4, 4, 11, 3, 39, 7, 28, 28, 39, 34, 43, 11, 8, 16, 44]
[25, 29, 27, 34, 0, 22, 2, 0, 7, 39, 31, 22, 19, 7, 13, 44, 18, 44, 19, 19, 48, 21, 30, 48, 43, 1, 13, 17, 3, 26, 38, 9, 2, 8, 15, 46, 44, 0, 6, 9, 32, 31, 4, 18, 47, 25, 50, 2, 18, 50, 1, 2, 39, 12, 37, 15, 1, 41, 46, 50, 50, 1, 26, 26, 28, 1, 1, 28, 46, 22, 43, 39, 38, 49, 11, 15, 33, 0, 35, 50, 16, 32, 0, 7, 33, 37, 25, 15, 20, 10, 35, 20, 21, 11, 46, 22, 21, 5, 12, 12, 40, 49, 31, 10, 50, 18, 16, 43, 12, 42, 11, 2, 45, 6, 34, 42, 21, 20, 15, 5, 43, 24, 17, 23, 32, 20, 28, 45, 33, 6, 22, 5, 39, 36, 41]
[44, 10, 5, 37, 31, 8, 43, 7, 0, 16, 30, 41, 34, 0, 10, 45, 22, 31, 11, 37, 30, 1, 13, 8, 40, 36, 9, 40, 4, 35, 39, 10, 32, 16, 36, 11, 39, 21, 45, 22, 32, 2, 42, 43, 31, 3, 48, 20, 35, 43, 45, 49, 40, 5, 13, 45, 40, 34, 48, 25, 4, 38, 35, 42, 23, 27, 36, 14, 33, 50, 39, 21, 40, 11, 5, 36, 27, 22, 20, 13, 2, 1, 11, 19, 28, 14, 15, 19, 25, 14, 40, 17, 30, 0, 46, 30, 37, 34, 30, 42, 47, 31, 49, 2, 31, 3, 17, 28, 3, 35, 2, 20, 0, 31, 45, 47, 27, 14, 29, 11, 3, 34, 12, 15, 9, 15, 29, 36, 43, 33, 39, 1, 10, 27, 43]
[32, 28, 26, 23, 8, 14, 2, 39, 16, 0, 14, 28, 13, 3, 47, 0, 23, 7, 10, 46, 39, 7, 4, 45, 4, 16, 7, 37, 34, 28, 22, 43, 14, 14, 34, 11, 49, 13, 3, 47, 24, 16, 6, 1, 1, 29, 24, 35, 8, 17, 28, 33, 45, 13, 38, 24, 50, 28, 0, 39, 44, 3, 19, 18, 50, 4, 6, 37, 41, 12, 19, 22, 20, 15, 20, 11, 24, 29, 32, 5, 30, 6, 22, 39, 37, 9, 42, 25, 3, 11, 42, 11, 3, 21, 37, 0, 35, 44, 47, 39, 24, 38, 15, 34, 1, 27, 32, 49, 46, 1, 35, 31, 25, 30, 28, 26, 6, 0, 36, 46, 4, 34, 18, 31, 18, 50, 47, 18, 11, 50, 47, 0, 35, 21, 3]
