N1,N2,...,Nx
[0, 0, 19, 3, 18, 36, 24, 9, 7, 7, 42, 50, 33, 42, 40, 43, 7, 8, 34, 19, 24, 37, 27, 50, 24, 33, 5, 21, 32, 15, 49, 46, 16, 25, 25, 14, 36, 17, 16, 24, 37, 5, 3, 7, 7, 50, 12, 45, 2, 9, 44, 14, 11, 9, 31, 20, 39, 27, 42, 10, 33, 31, 1, 49, 36, 21, 3, 1, 14, 50, 6, 43, 49, 50, 48, 30, 7, 20, 47, 9, 46, 4, 32, 11, 43, 4, 28, 36, 50, 14, 10, 8, 17, 5, 24, 35, 9, 12, 6, 33, 5, 4, 8, 6, 37, 47, 30, 15, 44, 0, 50, 17, 22, 45, 33, 33, 47, 46, 2, 50, 49, 48, 47, 29, 40, 47, 1, 14, 5, 31, 18, 38, 38, 29, 22, 16, 38, 6, 9, 44, 41, 31, 12, 45, 41, 12, 37, 20, 32, 34, 26, 15, 11, 38, 31, 11, 5, 1, 22, 49, 29, 17, 7, 48, 0, 36, 50, 15, 44, 37, 36, 50, 47, 16, 24, 37, 19, 36, 23, 23, 48, 14, 47, 36, 32, 21, 36]
[0, 0, 49, 17, 13, 40, 48, 34, 38, 11, 3, 0, 29, 7, 6, 22, 20, 46, 31, 3, 27, 28, 26, 2, 20, 40, 23, 16, 0, 47, 47, 50, 17, 37, 30, 31, 9, 8, 19, 31, 9, 43, 26, 14, 29, 1, 13, 39, 45, 39, 0, 2, 0, 20, 39, 48, 38, 9, 41, 32, 38, 30, 50, 32, 9, 7, 29, 21, 43, 30, 31, 16, 27, 40, 19, 48, 30, 13, 40, 5, 3, 42, 45, 8, 1, 48, 20, 21, 20, 40, 42, 4, 6, 25, 34, 13, 42, 12, 1, 48, 3, 35, 28, 41, 13, 7, 18, 5, 9, 28, 1, 4, 6, 36, 25, 16, 0, 39, 46, 34, 45, 31, 41, 23, 11, 28, 41, 37, 35, 37, 20, 2, 22, 13, 0, 20, 6, 40, 45, 37, 21, 5, 7, 33, 23, 49, 39, 7, 47, 35, 4, 17, 41, 28, 17, 22, 36, 6, 37, 24, 8, 45, 28, 7, 39, 17, 35, 36, 11, 11, 16, 26, 23, 30, 3, 30, 42, 41, 28, 30, 9, 9, 7, 24, 29, 17, 9]
[19, 49, 0, 49, 36, 18, 0, 23, 17, 18, 14, 19, 47, 43, 43, 33, 47, 14, 3, 27, 29, 31, 44, 32, 26, 50, 6, 43, 2, 41, 24, 49, 50, 8, 31, 39, 3, 42, 18, 15, 21, 9, 45, 38, 1, 28, 1, 34, 7, 10, 13, 19, 4, 2, 32, 8, 34, 1, 26, 18, 0, 7, 11, 21, 39, 24, 42, 1, 19, 22, 28, 4, 22, 22, 12, 50, 25, 10, 36, 39, 43, 33, 49, 19, 38, 41, 42, 49, 32, 38, 27, 21, 2, 14, 26, 11, 20, 18, 38, 33, 21, 25, 21, 31, 43, 45, 30, 29, 29, 37, 24, 49, 44, 33, 6, 15, 35, 0, 43, 24, 49, 5, 25, 8, 35, 3, 16, 3, 40, 48, 17, 31, 33, 35, 31, 6, 39, 11, 1, 35, 48, 27, 4, 22, 28, 19, 37, 19, 35, 42, 46, 30, 49, 27, 19, 35, 4, 28, 17, 14, 43, 47, 29, 34, 24, 23, 46, 47, 34, 6, 15, 2, 26, 35, 39, 12, 11, 15, 34, 45, 17, 18, 47, 48, 20, 25, 14]
[3, 17, 49, 0, 9, 22, 0, 22, 34, 16, 36, 29, 38, 38, 7, 45, 34, 32, 1, 8, 30, 50, 40, 46, 36, 50, 10, 39, 4, 36, 38, 13, 24, 21, 39, 23, 21, 22, 28, 34, 24, 40, 10, 27, 32, 9, 15, 19, 41, 35, 39, 37, 44, 46, 23, 24, 42, 39, 10, 14, 37, 49, 22, 24, 32, 36, 44, 37, 37, 6, 0, 36, 33, 21, 25, 44, 41, 8, 6, 10, 13, 28, 14, 19, 20, 29, 20, 19, 23, 46, 1, 4, 7, 19, 30, 13, 45, 4, 30, 39, 34, 47, 46, 5, 47, 8, 27, 23, 5, 34, 49, 43, 45, 31, 0, 2, 28, 7, 36, 46, 33, 1, 38, 1, 3, 46, 22, 8, 40, 12, 13, 37, 6, 12, 36, 5, 40, 50, 14, 10, 44, 11, 41, 48, 4, 3, 36, 45, 50, 33, 18, 32, 49, 0, 2, 8, 37, 2, 45, 20, 12, 29, 48, 46, 19, 4, 46, 40, 35, 25, 17, 29, 36, 40, 7, 2, 44, 46, 6, 6, 2, 9, 22, 15, 46, 8, 16]
[18, 13, 36, 9, 0, 43, 44, 50, 22, 25, 36, 44, 4, 30, 36, 22, 39, 47, 1, 41, 49, 21, 22, 8, 0, 15, 16, 49, 3, 1, 11, 31, 16, 50, 43, 17, 13, 10, 23, 44, 19, 14, 11, 15, 29, 41, 32, 1, 30, 29, 46, 7, 36, 38, 15, 4, 24, 15, 7, 19, 12, 30, 29, 48, 38, 14, 21, 1, 37, 10, 49, 3, 33, 42, 29, 18, 31, 29, 17, 4, 10, 12, 22, 33, 23, 45, 44, 23, 42, 34, 11, 23, 23, 32, 43, 37, 1, 20, 4, 47, 35, 2, 32, 44, 38, 43, 47, 0, 37, 32, 31, 50, 8, 10, 33, 32, 3, 38, 34, 32, 10, 21, 0, 26, 38, 48, 36, 35, 3, 34, 15, 14, 49, 30, 45, 39, 37, 31, 41, 3, 27, 37, 26, 34, 25, 44, 35, 35, 36, 6, 31, 30, 40, 18, 22, 6, 32, 50, 27, 9, 31, 27, 45, 44, 16, 11, 6, 31, 10, 46, 13, 9, 1, 4, 13, 27, 10, 9, 29, 32, 42, 3, 48, 31, 31, 30, 8]
[36, 40, 18, 22, 43, 0, 22, 16, 32, 37, 36, 32, 7, 30, 20, 21, 36, 16, 49, 28, 11, 47, 40, 6, 0, 10, 32, 16, 19, 35, 31, 16, 32, 17, 36, 18, 3, 43, 1, 6, 23, 45, 12, 12, 38, 34, 17, 14, 32, 22, 47, 36, 29, 22, 23, 6, 37, 8, 2, 12, 26, 17, 38, 15, 44, 46, 33, 44, 34, 39, 40, 17, 3, 40, 14, 10, 11, 41, 22, 29, 42, 8, 25, 22, 2, 21, 48, 26, 12, 22, 10, 46, 13, 14, 35, 8, 1, 26, 41, 10, 1, 22, 23, 5, 18, 8, 5, 22, 1, 13, 8, 20, 39, 27, 33, 44, 31, 33, 24, 39, 27, 24, 10, 11, 42, 30, 20, 0, 40, 41, 19, 44, 0, 14, 15, 39, 18, 8, 31, 17, 23, 47, 4, 2, 10, 17, 21, 31, 16, 33, 28, 12, 5, 29, 22, 19, 16, 14, 7, 20, 23, 13, 40, 33, 24, 45, 5, 12, 48, 45, 13, 7, 43, 29, 34, 26, 4, 2, 42, 23, 6, 8, 0, 47, 2, 27, 49]
[24, 48, 0, 0, 44, 22, 0, 47, 21, 47, 42, 21, 42, 27, 25, 26, 47, 32, 48, 12, 3, 44, 47, 31, 48, 11, 3, 30, 31, 49, 20, 1, 25, 11, 33, 31, 46, 44, 29, 30, 6, 32, 11, 50, 4, 34, 22, 38, 27, 49, 20, 28, 13, 50, 12, 49, 44, 6, 24, 33, 14, 48, 42, 37, 27, 8, 15, 28, 9, 25, 44, 39, 7, 16, 32, 42, 5, 37, 17, 15, 18, 7, 5, 22, 40, 40, 44, 50, 9, 36, 30, 23, 10, 26, 15, 40, 31, 8, 33, 23, 15, 5, 10, 7, 35, 8, 39, 8, 40, 5, 44, 44, 30, 8, 22, 18, 25, 31, 4, 50, 1, 35, 7, 13, 2, 46, 22, 4, 24, 44, 11, 36, 21, 37, 46, 28, 6, 13, 18, 13, 46, 9, 20, 7, 20, 23, 5, 22, 8, 46, 26, 33, 13, 15, 0, 19, 22, 28, 0, 42, 37, 2, 49, 47, 33, 35, 16, 6, 38, 1, 37, 25, 23, 44, 36, 32, 50, 13, 4, 17, 43, 50, 20, 46, 41, 50, 40]
[9, 34, 23, 22, 50, 16, 47, 0, 45, 37, 42, 40, 34, 19, 10, 10, 41, 2, 42, 31, 45, 12, 7, 1, 11, 22, 3, 40, 34, 12, 2, 33, 37, 8, 17, 41, 40, 37, 47, 30, 40, 29, 50, 2, 11, 29, 8, 40, 1, 0, 11, 50, 47, 48, 46, 22, 8, 39, 15, 10, 26, 49, 39, 28, 38, 47, 31, 45, 37, 5, 35, 49, 5, 45, 40, 22, 43, 38, 27, 31, 23, 23, 29, 39, 9, 19, 13, 43, 39, 10, 18, 22, 50, 40, 9, 24, 38, 22, 26, 4, 3, 7, 6, 42, 0, 33, 7, 39, 19, 29, 37, 1, 26, 14, 11, 46, 50, 22, 45, 33, 11, 37, 30, 39, 32, 43, 1, 48, 50, 32, 19, 11, 20, 49, 22, 10, 40, 1, 27, 9, 5, 39, 32, 0, 22, 27, 36, 0, 20, 21, 26, 2, 21, 31, 0, 2, 21, 6, 30, 45, 5, 29, 37, 33, 35, 45, 19, 11, 7, 23, 34, 23, 43, 18, 13, 5, 42, 24, 31, 19, 17, 46, 14, 30, 3, 0, 46]
[7, 38, 17, 34, 22, 32, 21, 45, 0, 8, 25, 23, 13, 7, 36, 4, 11, 32, 15, 38, 12, 16, 41, 21, 40, 39, 25, 6, 42, 35, 35, 41, 20, 10, 16, 26, 2, 19, 36, 18, 29, 40, 4, 30, 26, 49, 40, 15, 33, 37, 38, 24, 15, 29, 16, 18, 2, 48, 35, 7, 28, 8, 24, 39, 8, 34, 26, 11, 28, 26, 8, 36, 43, 4, 40, 45, 41, 14, 29, 29, 4, 32, 48, 27, 6, 11, 24, 4, 4, 14, 3, 2, 42, 45, 19, 50, 32, 45, 8, 41, 22, 42, 20, 38, 41, 25, 1, 24, 44, 19, 14, 8, 47, 3, 33, 37, 42, 44, 14, 16, 30, 11, 16, 36, 16, 26, 2, 18, 16, 45, 27, 1, 20, 15, 0, 2, 0, 18, 32, 22, 26, 6, 31, 36, 32, 43, 43, 24, 37, 15, 34, 47, 45, 5, 13, 12, 32, 46, 2, 28, 50, 36, 41, 23, 3, 45, 43, 46, 4, 17, 31, 45, 40, 15, 32, 1, 20, 40, 2, 30, 28, 12, 29, 3, 23, 11, 8]
[7, 11, 18, 16, 25, 37, 47, 37, 8, 0, 34, 37, 44, 32, 14, 3, 34, 40, 9, 45, 21, 29, 8, 16, 40, 32, 21, 19, 31, 35, 48, 44, 28, 18, 29, 47, 44, 49, 9, 28, 26, 25, 44, 19, 34, 13, 39, 16, 2, 23, 44, 14, 19, 35, 8, 5, 29, 48, 17, 4, 3, 27, 4, 14, 24, 43, 6, 8, 5, 45, 33, 31, 24, 16, 28, 31, 42, 31, 36, 11, 0, 27, 39, 40, 13, 14, 6, 35, 44, 32, 28, 35, 47, 26, 47, 7, 26, 42, 29, 8, 38, 25, 6, 37, 47, 43, 8, 47, 39, 39, 8, 3, 45, 26, 10, 7, 42, 13, 46, 20, 28, 28, 15, 34, 4, 48, 2, 26, 3, 46, 9, 19, 21, 43, 9, 22, 29, 16, 26, 24, 19, 25, 3, 34, 47, 25, 39, 20, 48, 49, 17, 1, 5, 22, 29, 38, 48, 20, 17, 49, 27, 49, 16, 12, 11, 20, 21, 29, 41, 8, 50, 31, 32, 22, 48, 15, 8, 10, 1, 37, 40, 49, 21, 45, 31, 31, 1]
