N1,N2,...,Nx
[0, 43, 42, 43, 2, 31, 38, 44, 41, 50, 19, 32, 20, 29, 3, 15, 22, 18, 40, 50, 22, 19, 27, 45, 7, 35, 39]
[43, 0, 44, 0, 46, 27, 36, 6, 20, 7, 5, 35, 35, 3, 12, 24, 30, 34, 26, 14, 48, 10, 27, 20, 17, 3, 48]
[42, 44, 0, 12, 12, 18, 44, 37, 33, 2, 45, 10, 6, 49, 24, 20, 49, 0, 45, 6, 29, 15, 38, 35, 20, 40, 35]
[43, 0, 12, 0, 45, 4, 40, 46, 32, 31, 35, 41, 37, 9, 36, 42, 13, 0, 50, 38, 45, 39, 50, 27, 4, 31, 39]
[2, 46, 12, 45, 0, 21, 46, 21, 42, 2, 50, 0, 12, 23, 33, 10, 43, 31, 35, 48, 9, 45, 5, 41, 37, 42, 18]
[31, 27, 18, 4, 21, 0, 21, 34, 50, 32, 46, 41, 34, 13, 30, 24, 35, 32, 14, 2, 31, 21, 6, 46, 16, 10, 0]
[38, 36, 44, 40, 46, 21, 0, 18, 42, 23, 47, 7, 23, 23, 8, 7, 45, 21, 46, 46, 30, 31, 2, 11, 23, 35, 0]
[44, 6, 37, 46, 21, 34, 18, 0, 2, 13, 8, 30, 42, 29, 45, 39, 34, 26, 0, 49, 5, 43, 28, 19, 0, 25, 13]
[41, 20, 33, 32, 42, 50, 42, 2, 0, 6, 47, 26, 28, 17, 27, 1, 37, 37, 5, 16, 35, 35, 9, 8, 1, 1, 35]
[50, 7, 2, 31, 2, 32, 23, 13, 6, 0, 8, 31, 30, 34, 7, 38, 16, 29, 50, 42, 27, 24, 34, 45, 25, 46, 17]
[19, 5, 45, 35, 50, 46, 47, 8, 47, 8, 0, 30, 30, 48, 5, 12, 47, 44, 20, 14, 28, 34, 19, 22, 3, 41, 19]
[32, 35, 10, 41, 0, 41, 7, 30, 26, 31, 30, 0, 46, 41, 26, 26, 34, 4, 34, 8, 26, 7, 46, 27, 35, 44, 46]
[20, 35, 6, 37, 12, 34, 23, 42, 28, 30, 30, 46, 0, 27, 6, 48, 35, 43, 7, 7, 21, 18, 3, 10, 36, 10, 32]
[29, 3, 49, 9, 23, 13, 23, 29, 17, 34, 48, 41, 27, 0, 30, 45, 12, 27, 38, 16, 41, 24, 2, 14, 45, 35, 50]
[3, 12, 24, 36, 33, 30, 8, 45, 27, 7, 5, 26, 6, 30, 0, 42, 40, 32, 20, 1, 6, 18, 30, 19, 32, 6, 6]
[15, 24, 20, 42, 10, 24, 7, 39, 1, 38, 12, 26, 48, 45, 42, 0, 16, 43, 46, 42, 25, 16, 19, 24, 19, 5, 10]
[22, 30, 49, 13, 43, 35, 45, 34, 37, 16, 47, 34, 35, 12, 40, 16, 0, 9, 25, 14, 8, 26, 10, 27, 13, 42, 18]
[18, 34, 0, 0, 31, 32, 21, 26, 37, 29, 44, 4, 43, 27, 32, 43, 9, 0, 32, 36, 13, 5, 49, 22, 26, 43, 39]
[40, 26, 45, 50, 35, 14, 46, 0, 5, 50, 20, 34, 7, 38, 20, 46, 25, 32, 0, 7, 8, 16, 30, 38, 33, 4, 33]
[50, 14, 6, 38, 48, 2, 46, 49, 16, 42, 14, 8, 7, 16, 1, 42, 14, 36, 7, 0, 43, 37, 38, 26, 19, 8, 8]
[22, 48, 29, 45, 9, 31, 30, 5, 35, 27, 28, 26, 21, 41, 6, 25, 8, 13, 8, 43, 0, 6, 31, 43, 48, 24, 21]
[19, 10, 15, 39, 45, 21, 31, 43, 35, 24, 34, 7, 18, 24, 18, 16, 26, 5, 16, 37, 6, 0, 41, 45, 34, 7, 28]
[27, 27, 38, 50, 5, 6, 2, 28, 9, 34, 19, 46, 3, 2, 30, 19, 10, 49, 30, 38, 31, 41, 0, 6, 22, 32, 15]
[45, 20, 35, 27, 41, 46, 11, 19, 8, 45, 22, 27, 10, 14, 19, 24, 27, 22, 38, 26, 43, 45, 6, 0, 34, 35, 49]
[7, 17, 20, 4, 37, 16, 23, 0, 1, 25, 3, 35, 36, 45, 32, 19, 13, 26, 33, 19, 48, 34, 22, 34, 0, 22, 2]
[35, 3, 40, 31, 42, 10, 35, 25, 1, 46, 41, 44, 10, 35, 6, 5, 42, 43, 4, 8, 24, 7, 32, 35, 22, 0, 35]
[39, 48, 35, 39, 18, 0, 0, 13, 35, 17, 19, 46, 32, 50, 6, 10, 18, 39, 33, 8, 21, 28, 15, 49, 2, 35, 0]
