N1,N2,...,Nx
[0, 45, 38, 7, 46, 42, 25, 35, 3, 34, 26, 36, 13, 22, 27, 32, 25, 40, 1, 17, 35, 37, 25, 7, 29, 31, 49, 15, 30, 5, 37, 36, 8, 48, 42, 34, 43, 25, 29, 41, 48, 8, 45, 47, 35, 22, 42, 0]
[45, 0, 27, 37, 13, 1, 12, 9, 40, 0, 12, 10, 26, 16, 28, 35, 27, 37, 8, 32, 48, 44, 0, 15, 15, 45, 4, 26, 38, 3, 22, 11, 17, 16, 38, 14, 25, 50, 2, 43, 12, 47, 22, 1, 16, 24, 42, 23]
[38, 27, 0, 6, 28, 3, 29, 20, 39, 6, 14, 30, 33, 8, 5, 24, 36, 2, 30, 2, 35, 32, 1, 35, 47, 37, 36, 5, 20, 2, 48, 12, 13, 41, 46, 20, 15, 34, 30, 33, 3, 48, 3, 39, 2, 26, 5, 6]
[7, 37, 6, 0, 45, 14, 27, 24, 7, 41, 34, 44, 10, 39, 12, 44, 21, 34, 47, 28, 28, 21, 29, 17, 33, 14, 30, 48, 18, 41, 44, 2, 14, 13, 1, 15, 30, 24, 46, 43, 18, 12, 28, 47, 50, 36, 35, 11]
[46, 13, 28, 45, 0, 25, 32, 8, 35, 2, 20, 24, 32, 10, 40, 17, 5, 50, 48, 14, 25, 50, 33, 42, 45, 45, 45, 46, 42, 22, 47, 27, 4, 27, 27, 29, 2, 2, 28, 1, 21, 4, 24, 4, 34, 24, 36, 39]
[42, 1, 3, 14, 25, 0, 41, 17, 49, 16, 49, 25, 23, 24, 31, 36, 39, 8, 37, 30, 49, 2, 40, 14, 46, 2, 37, 36, 31, 43, 11, 10, 43, 46, 17, 4, 31, 48, 7, 40, 41, 35, 39, 25, 41, 23, 0, 48]
[25, 12, 29, 27, 32, 41, 0, 49, 42, 19, 30, 3, 13, 14, 27, 5, 2, 36, 6, 48, 29, 8, 22, 28, 42, 36, 8, 48, 48, 50, 46, 31, 28, 6, 4, 23, 23, 38, 40, 15, 22, 23, 1, 12, 25, 37, 22, 12]
[35, 9, 20, 24, 8, 17, 49, 0, 23, 1, 16, 37, 43, 0, 0, 20, 9, 14, 47, 20, 45, 27, 11, 18, 25, 41, 42, 38, 1, 43, 3, 31, 40, 29, 40, 30, 13, 18, 7, 0, 36, 26, 2, 27, 30, 14, 48, 8]
[3, 40, 39, 7, 35, 49, 42, 23, 0, 40, 36, 17, 4, 25, 38, 36, 13, 22, 45, 31, 9, 24, 26, 9, 28, 6, 31, 11, 19, 40, 3, 28, 37, 19, 1, 37, 17, 27, 50, 46, 45, 14, 36, 16, 42, 32, 0, 11]
[34, 0, 6, 41, 2, 16, 19, 1, 40, 0, 31, 45, 12, 9, 18, 35, 48, 49, 10, 5, 27, 33, 42, 45, 35, 15, 1, 22, 36, 13, 40, 49, 34, 23, 49, 28, 44, 0, 31, 4, 38, 20, 27, 15, 44, 48, 6, 48]
[26, 12, 14, 34, 20, 49, 30, 16, 36, 31, 0, 2, 12, 10, 0, 4, 37, 28, 19, 20, 3, 6, 15, 34, 36, 8, 39, 36, 35, 41, 9, 19, 40, 35, 10, 0, 26, 47, 48, 12, 33, 31, 22, 0, 11, 15, 13, 43]
[36, 10, 30, 44, 24, 25, 3, 37, 17, 45, 2, 0, 46, 46, 10, 48, 9, 12, 43, 19, 46, 27, 3, 11, 12, 35, 22, 44, 35, 19, 25, 22, 21, 16, 11, 12, 14, 43, 42, 1, 25, 10, 33, 26, 39, 2, 46, 18]
[13, 26, 33, 10, 32, 23, 13, 43, 4, 12, 12, 46, 0, 21, 21, 2, 37, 23, 14, 8, 2, 33, 37, 32, 14, 15, 31, 16, 17, 43, 1, 0, 5, 3, 17, 23, 34, 4, 8, 35, 36, 9, 45, 22, 5, 49, 33, 46]
[22, 16, 8, 39, 10, 24, 14, 0, 25, 9, 10, 46, 21, 0, 9, 33, 17, 41, 45, 17, 20, 15, 12, 40, 9, 24, 23, 39, 2, 33, 42, 31, 40, 50, 27, 14, 27, 50, 41, 4, 45, 0, 9, 11, 36, 32, 43, 42]
[27, 28, 5, 12, 40, 31, 27, 0, 38, 18, 0, 10, 21, 9, 0, 24, 21, 34, 15, 40, 31, 12, 38, 48, 9, 26, 1, 8, 31, 41, 14, 12, 8, 42, 33, 43, 23, 30, 27, 25, 4, 33, 15, 6, 29, 21, 22, 12]
[32, 35, 24, 44, 17, 36, 5, 20, 36, 35, 4, 48, 2, 33, 24, 0, 6, 25, 3, 2, 31, 8, 20, 47, 43, 2, 29, 35, 34, 29, 38, 32, 44, 41, 8, 3, 11, 25, 50, 39, 33, 1, 46, 16, 24, 18, 4, 36]
[25, 27, 36, 21, 5, 39, 2, 9, 13, 48, 37, 9, 37, 17, 21, 6, 0, 17, 38, 15, 48, 50, 42, 19, 50, 19, 27, 46, 42, 33, 34, 19, 35, 8, 9, 44, 23, 10, 46, 40, 4, 6, 17, 12, 4, 32, 32, 28]
[40, 37, 2, 34, 50, 8, 36, 14, 22, 49, 28, 12, 23, 41, 34, 25, 17, 0, 20, 47, 44, 39, 40, 7, 30, 29, 16, 23, 33, 50, 23, 18, 24, 24, 37, 4, 43, 6, 31, 49, 37, 24, 29, 23, 28, 28, 46, 20]
[1, 8, 30, 47, 48, 37, 6, 47, 45, 10, 19, 43, 14, 45, 15, 3, 38, 20, 0, 9, 9, 47, 0, 27, 17, 24, 27, 42, 4, 43, 49, 2, 42, 19, 4, 26, 24, 27, 33, 11, 32, 18, 32, 10, 41, 6, 29, 27]
[17, 32, 2, 28, 14, 30, 48, 20, 31, 5, 20, 19, 8, 17, 40, 2, 15, 47, 9, 0, 19, 48, 16, 48, 45, 1, 0, 24, 30, 27, 38, 41, 9, 2, 32, 18, 37, 48, 2, 10, 49, 32, 40, 0, 41, 38, 43, 10]
[35, 48, 35, 28, 25, 49, 29, 45, 9, 27, 3, 46, 2, 20, 31, 31, 48, 44, 9, 19, 0, 22, 42, 48, 5, 25, 36, 12, 49, 30, 47, 31, 16, 21, 5, 38, 15, 21, 14, 42, 9, 5, 17, 10, 39, 9, 31, 36]
[37, 44, 32, 21, 50, 2, 8, 27, 24, 33, 6, 27, 33, 15, 12, 8, 50, 39, 47, 48, 22, 0, 11, 36, 39, 19, 36, 48, 1, 22, 26, 40, 46, 21, 3, 41, 9, 38, 5, 15, 35, 11, 22, 31, 27, 48, 26, 35]
[25, 0, 1, 29, 33, 40, 22, 11, 26, 42, 15, 3, 37, 12, 38, 20, 42, 40, 0, 16, 42, 11, 0, 27, 33, 46, 38, 7, 26, 12, 2, 10, 17, 24, 3, 12, 29, 26, 42, 26, 19, 48, 30, 36, 22, 32, 38, 7]
[7, 15, 35, 17, 42, 14, 28, 18, 9, 45, 34, 11, 32, 40, 48, 47, 19, 7, 27, 48, 48, 36, 27, 0, 41, 8, 28, 37, 31, 23, 41, 11, 16, 6, 1, 22, 10, 20, 20, 36, 17, 45, 16, 23, 28, 0, 6, 10]
[29, 15, 47, 33, 45, 46, 42, 25, 28, 35, 36, 12, 14, 9, 9, 43, 50, 30, 17, 45, 5, 39, 33, 41, 0, 19, 14, 21, 48, 28, 19, 27, 23, 8, 41, 45, 20, 31, 1, 49, 40, 44, 4, 14, 28, 47, 35, 10]
[31, 45, 37, 14, 45, 2, 36, 41, 6, 15, 8, 35, 15, 24, 26, 2, 19, 29, 24, 1, 25, 19, 46, 8, 19, 0, 26, 19, 29, 24, 2, 41, 6, 33, 43, 28, 50, 34, 37, 6, 28, 11, 22, 8, 32, 17, 8, 47]
[49, 4, 36, 30, 45, 37, 8, 42, 31, 1, 39, 22, 31, 23, 1, 29, 27, 16, 27, 0, 36, 36, 38, 28, 14, 26, 0, 22, 32, 2, 32, 36, 49, 13, 7, 19, 12, 12, 48, 8, 26, 34, 13, 29, 36, 43, 1, 49]
[15, 26, 5, 48, 46, 36, 48, 38, 11, 22, 36, 44, 16, 39, 8, 35, 46, 23, 42, 24, 12, 48, 7, 37, 21, 19, 22, 0, 18, 19, 35, 2, 17, 42, 14, 21, 31, 0, 39, 13, 22, 43, 24, 42, 23, 33, 12, 24]
