N1,N2,...,Nx
[0, 3, 20, 17, 0, 40, 36, 41, 17, 25, 46, 44, 11, 34, 13, 25, 14, 0, 49, 29, 19, 14, 20, 17, 16, 7, 14, 10, 21, 25, 43, 28, 9, 20, 46, 32, 3, 40, 20, 5, 20, 16, 45, 24, 7, 6, 38, 33, 1, 11, 27, 36, 35, 9, 25, 22, 27, 49, 8, 34, 5, 25, 5, 7, 16, 41, 10, 49, 28, 24, 27, 7, 15, 1, 29, 0, 27, 21, 40, 24, 38, 45, 50, 34, 20, 30, 25, 3, 41, 20, 19, 25, 13, 24, 2, 35, 15, 42, 27, 6, 41, 14, 7, 3, 25, 47, 41, 9, 29, 34, 22, 7, 39, 46]
[3, 0, 27, 6, 2, 31, 11, 16, 18, 6, 23, 29, 43, 34, 2, 7, 14, 22, 43, 1, 26, 7, 36, 46, 25, 4, 7, 49, 43, 10, 49, 34, 18, 24, 49, 45, 36, 30, 2, 16, 39, 20, 0, 50, 12, 18, 27, 35, 11, 29, 37, 50, 15, 4, 28, 43, 35, 28, 42, 37, 42, 44, 16, 12, 34, 40, 34, 17, 28, 49, 3, 23, 33, 22, 27, 7, 15, 17, 12, 44, 13, 3, 31, 15, 47, 10, 44, 49, 2, 16, 46, 18, 21, 25, 3, 1, 46, 24, 45, 48, 4, 15, 37, 6, 28, 39, 27, 17, 42, 31, 14, 17, 24, 45]
[20, 27, 0, 19, 39, 48, 46, 36, 8, 18, 8, 9, 10, 41, 28, 6, 38, 26, 29, 24, 48, 16, 4, 5, 50, 11, 41, 13, 5, 3, 4, 8, 19, 25, 28, 1, 15, 14, 40, 43, 24, 34, 18, 27, 5, 9, 42, 39, 33, 49, 36, 2, 17, 38, 31, 32, 44, 38, 4, 27, 48, 19, 14, 13, 25, 36, 34, 33, 32, 48, 26, 46, 13, 24, 4, 0, 47, 37, 13, 3, 42, 12, 10, 30, 3, 37, 15, 41, 32, 34, 22, 49, 21, 3, 20, 31, 32, 28, 15, 12, 42, 26, 12, 7, 46, 41, 31, 20, 4, 21, 44, 1, 10, 17]
[17, 6, 19, 0, 45, 44, 7, 44, 2, 49, 47, 2, 35, 14, 23, 26, 32, 19, 12, 46, 45, 11, 49, 5, 11, 6, 31, 19, 18, 17, 37, 0, 49, 35, 22, 41, 17, 39, 18, 11, 34, 34, 34, 49, 14, 6, 2, 22, 9, 12, 47, 8, 18, 41, 28, 42, 35, 22, 40, 45, 26, 46, 0, 33, 19, 26, 17, 14, 17, 17, 21, 35, 40, 16, 15, 9, 42, 15, 27, 25, 42, 45, 29, 25, 31, 17, 35, 14, 26, 13, 10, 38, 10, 41, 29, 41, 32, 27, 15, 3, 29, 39, 46, 2, 5, 18, 12, 35, 22, 6, 33, 23, 41, 15]
[0, 2, 39, 45, 0, 15, 28, 43, 10, 8, 44, 29, 37, 42, 14, 6, 44, 23, 26, 12, 42, 8, 19, 25, 23, 7, 47, 49, 42, 38, 50, 4, 24, 48, 6, 17, 37, 26, 15, 29, 3, 1, 46, 7, 18, 15, 12, 34, 30, 41, 16, 17, 5, 21, 32, 38, 17, 20, 43, 39, 42, 43, 9, 17, 42, 41, 10, 41, 19, 19, 48, 30, 37, 2, 21, 41, 10, 28, 27, 33, 15, 39, 27, 42, 41, 30, 35, 2, 17, 37, 13, 5, 38, 39, 32, 0, 38, 47, 37, 18, 14, 16, 2, 18, 8, 19, 37, 33, 7, 28, 19, 16, 20, 15]
[40, 31, 48, 44, 15, 0, 14, 14, 41, 10, 26, 41, 46, 20, 28, 48, 8, 44, 8, 5, 6, 45, 11, 23, 18, 29, 30, 45, 43, 37, 8, 32, 49, 45, 19, 26, 27, 20, 48, 43, 19, 34, 21, 20, 6, 10, 33, 5, 28, 38, 7, 35, 17, 37, 14, 45, 11, 8, 38, 35, 43, 11, 7, 10, 45, 26, 12, 27, 35, 23, 48, 7, 17, 45, 48, 50, 50, 23, 33, 5, 37, 4, 41, 31, 49, 20, 44, 15, 33, 22, 12, 29, 23, 42, 19, 29, 0, 8, 26, 36, 17, 21, 26, 41, 31, 33, 45, 47, 23, 25, 6, 34, 37, 8]
[36, 11, 46, 7, 28, 14, 0, 44, 0, 46, 30, 38, 25, 19, 0, 17, 0, 5, 5, 12, 47, 33, 47, 20, 8, 15, 29, 35, 22, 1, 34, 20, 11, 29, 15, 49, 23, 10, 5, 17, 1, 25, 46, 41, 13, 33, 18, 29, 42, 42, 41, 20, 0, 2, 15, 1, 12, 35, 22, 34, 20, 17, 19, 18, 44, 1, 10, 38, 38, 25, 30, 6, 34, 11, 45, 34, 41, 12, 43, 13, 45, 8, 45, 34, 46, 17, 33, 39, 38, 38, 33, 13, 39, 24, 7, 48, 25, 26, 39, 48, 42, 2, 44, 41, 41, 40, 50, 33, 2, 12, 32, 23, 14, 39]
[41, 16, 36, 44, 43, 14, 44, 0, 25, 42, 32, 22, 7, 13, 42, 14, 4, 7, 23, 15, 16, 3, 13, 38, 33, 10, 40, 16, 27, 13, 2, 28, 6, 40, 43, 35, 32, 38, 49, 42, 40, 28, 12, 34, 17, 14, 18, 30, 0, 45, 8, 19, 22, 26, 15, 39, 39, 26, 12, 2, 45, 42, 43, 44, 24, 32, 48, 0, 21, 0, 10, 28, 10, 28, 24, 25, 48, 36, 27, 24, 48, 6, 22, 33, 18, 42, 36, 44, 0, 28, 46, 39, 32, 46, 37, 0, 10, 31, 27, 11, 28, 15, 35, 1, 49, 41, 31, 41, 30, 16, 34, 30, 1, 11]
[17, 18, 8, 2, 10, 41, 0, 25, 0, 23, 0, 20, 42, 41, 2, 46, 13, 38, 7, 11, 45, 4, 9, 19, 14, 14, 8, 34, 7, 12, 29, 46, 24, 50, 38, 38, 17, 23, 40, 39, 4, 50, 32, 7, 7, 43, 30, 45, 3, 22, 18, 18, 6, 37, 4, 14, 37, 40, 26, 4, 43, 27, 1, 36, 19, 40, 18, 26, 21, 48, 4, 41, 8, 40, 21, 8, 23, 19, 46, 38, 46, 14, 13, 3, 30, 29, 33, 6, 21, 5, 33, 37, 1, 40, 12, 29, 34, 25, 35, 41, 6, 26, 35, 28, 32, 42, 16, 6, 5, 8, 29, 13, 12, 23]
[25, 6, 18, 49, 8, 10, 46, 42, 23, 0, 7, 42, 16, 45, 35, 50, 38, 13, 7, 26, 47, 43, 34, 34, 49, 24, 26, 22, 47, 24, 37, 10, 29, 13, 3, 33, 21, 28, 6, 9, 47, 41, 28, 25, 44, 43, 27, 14, 8, 14, 6, 17, 21, 2, 24, 19, 34, 9, 24, 14, 21, 37, 17, 45, 6, 37, 3, 25, 14, 37, 27, 28, 10, 21, 20, 13, 15, 35, 44, 42, 0, 7, 24, 7, 10, 0, 27, 48, 40, 12, 34, 10, 31, 49, 26, 19, 34, 47, 4, 17, 25, 8, 44, 8, 30, 3, 32, 17, 28, 2, 43, 22, 17, 43]
