N1,N2,...,Nx
[0, 36, 6, 24, 10, 4, 28, 35, 17, 13, 46, 0, 14, 50, 1, 8, 17, 18, 46, 50, 43, 40, 41, 39, 2, 20, 8, 22, 1, 5, 9, 9, 1, 18, 19, 6, 7, 3, 18, 20, 4, 1, 23, 19, 32, 18, 31, 16, 3, 45, 49, 22, 31, 37, 0, 31, 48, 33, 42, 30, 19, 8, 46, 7, 16, 40, 30, 20, 39, 9, 24, 35, 13, 14, 40, 28, 21, 18, 11, 45, 18, 45, 49, 0, 37, 30, 7, 10, 36, 28, 6, 48, 39, 7, 44, 36, 33, 39, 24, 24, 26, 31, 19, 3, 5, 50, 41, 37, 4, 25, 24, 39, 4, 25, 41, 36, 12, 25, 17, 15, 11, 9, 44, 33, 34, 46, 33, 3, 33, 24, 43, 30, 31, 25, 7, 29, 47, 4, 25, 46, 32, 34, 35, 10]
[36, 0, 17, 0, 43, 5, 15, 11, 33, 39, 17, 15, 1, 43, 29, 8, 25, 41, 19, 35, 38, 32, 48, 10, 7, 34, 48, 42, 34, 34, 37, 8, 9, 14, 43, 17, 1, 32, 11, 12, 47, 49, 47, 22, 9, 12, 0, 5, 27, 38, 17, 40, 44, 23, 9, 13, 45, 16, 46, 28, 34, 1, 21, 25, 38, 21, 13, 14, 48, 16, 18, 38, 9, 48, 24, 17, 22, 44, 8, 17, 32, 24, 36, 14, 33, 4, 17, 17, 7, 50, 3, 29, 26, 20, 3, 24, 15, 13, 12, 22, 5, 22, 40, 14, 26, 3, 0, 41, 14, 7, 48, 10, 1, 50, 38, 7, 17, 5, 7, 11, 20, 15, 16, 37, 41, 25, 31, 24, 29, 20, 29, 22, 13, 44, 9, 36, 40, 11, 30, 43, 38, 41, 1, 44]
[6, 17, 0, 7, 44, 17, 24, 24, 17, 34, 29, 11, 12, 15, 4, 29, 40, 24, 8, 13, 14, 17, 4, 0, 5, 45, 10, 29, 38, 2, 32, 43, 49, 13, 9, 38, 23, 34, 28, 26, 38, 37, 35, 16, 41, 8, 12, 9, 49, 18, 14, 18, 6, 26, 20, 43, 14, 34, 4, 10, 12, 25, 21, 5, 39, 43, 39, 28, 39, 22, 27, 13, 26, 47, 29, 18, 6, 25, 39, 11, 12, 24, 36, 5, 36, 43, 30, 47, 31, 39, 14, 27, 32, 34, 28, 41, 47, 27, 10, 20, 9, 19, 13, 34, 13, 45, 49, 6, 12, 28, 17, 45, 39, 48, 14, 33, 5, 39, 5, 45, 2, 18, 49, 2, 0, 26, 32, 4, 5, 27, 26, 48, 46, 24, 49, 50, 47, 4, 17, 41, 38, 38, 8, 42]
[24, 0, 7, 0, 22, 31, 27, 14, 39, 26, 48, 41, 38, 35, 3, 40, 29, 33, 19, 37, 34, 15, 40, 5, 1, 8, 24, 38, 10, 5, 28, 8, 39, 12, 4, 50, 26, 10, 14, 27, 32, 9, 30, 30, 24, 19, 32, 39, 32, 37, 7, 49, 8, 0, 47, 18, 33, 13, 19, 6, 19, 47, 32, 50, 40, 3, 13, 3, 25, 30, 35, 31, 44, 8, 36, 46, 3, 0, 3, 41, 40, 33, 11, 17, 22, 4, 22, 15, 29, 27, 2, 22, 30, 6, 38, 43, 19, 38, 26, 34, 46, 32, 21, 48, 2, 15, 15, 11, 0, 43, 35, 38, 6, 37, 3, 28, 8, 5, 0, 2, 45, 4, 20, 31, 4, 42, 40, 28, 30, 32, 20, 12, 44, 17, 31, 4, 38, 16, 46, 16, 41, 37, 35, 44]
[10, 43, 44, 22, 0, 31, 15, 30, 6, 20, 24, 5, 4, 31, 9, 7, 40, 44, 49, 1, 3, 26, 42, 30, 31, 44, 26, 22, 2, 28, 44, 2, 49, 17, 47, 50, 14, 22, 4, 2, 38, 14, 20, 49, 17, 44, 15, 29, 17, 16, 0, 27, 45, 48, 31, 30, 19, 16, 37, 18, 32, 28, 48, 6, 22, 48, 30, 13, 18, 29, 39, 27, 18, 10, 4, 22, 0, 28, 8, 5, 0, 50, 17, 1, 46, 28, 14, 1, 17, 9, 33, 37, 32, 25, 11, 15, 22, 12, 22, 34, 9, 20, 19, 41, 46, 8, 7, 1, 10, 9, 28, 6, 10, 2, 22, 19, 15, 44, 23, 32, 7, 26, 30, 44, 1, 45, 26, 39, 21, 34, 47, 50, 6, 4, 3, 36, 43, 16, 22, 45, 13, 22, 18, 21]
[4, 5, 17, 31, 31, 0, 19, 6, 15, 47, 5, 9, 31, 26, 1, 23, 30, 11, 35, 19, 32, 4, 12, 22, 25, 32, 34, 14, 32, 6, 26, 41, 25, 16, 13, 24, 39, 11, 14, 38, 14, 29, 46, 40, 22, 45, 43, 38, 29, 2, 34, 50, 12, 7, 17, 25, 37, 8, 28, 20, 32, 47, 2, 33, 20, 40, 44, 36, 50, 37, 10, 3, 35, 17, 16, 38, 47, 20, 5, 15, 10, 38, 39, 44, 14, 8, 44, 24, 10, 42, 17, 43, 9, 35, 43, 42, 40, 19, 6, 2, 36, 31, 18, 25, 16, 50, 7, 49, 44, 14, 29, 50, 14, 21, 41, 44, 4, 40, 46, 8, 21, 25, 39, 45, 30, 18, 39, 31, 35, 40, 37, 1, 44, 42, 12, 36, 29, 5, 48, 0, 37, 43, 0, 21]
[28, 15, 24, 27, 15, 19, 0, 41, 25, 33, 47, 34, 16, 14, 22, 38, 6, 46, 0, 21, 6, 5, 32, 50, 2, 48, 48, 15, 9, 40, 33, 45, 37, 15, 27, 35, 21, 1, 38, 49, 21, 0, 26, 43, 42, 49, 11, 19, 31, 29, 36, 22, 31, 26, 14, 42, 26, 10, 11, 18, 26, 31, 11, 42, 22, 1, 48, 48, 16, 42, 43, 37, 39, 4, 23, 1, 31, 22, 0, 14, 27, 23, 45, 20, 39, 5, 35, 39, 41, 7, 27, 33, 37, 5, 27, 45, 10, 36, 37, 50, 29, 46, 45, 33, 9, 39, 4, 17, 8, 9, 22, 13, 9, 9, 25, 18, 42, 18, 13, 4, 17, 42, 0, 9, 27, 6, 42, 8, 42, 16, 25, 24, 15, 21, 30, 11, 4, 25, 29, 22, 3, 24, 27, 15]
[35, 11, 24, 14, 30, 6, 41, 0, 38, 45, 50, 19, 23, 3, 0, 40, 39, 38, 44, 26, 43, 45, 9, 45, 38, 44, 41, 36, 11, 32, 18, 18, 31, 11, 10, 5, 5, 44, 3, 39, 30, 19, 43, 29, 39, 30, 3, 48, 25, 39, 35, 30, 40, 0, 21, 8, 4, 20, 14, 38, 32, 46, 1, 46, 6, 22, 50, 27, 18, 47, 29, 33, 25, 19, 45, 47, 11, 9, 20, 11, 29, 28, 33, 15, 17, 37, 11, 43, 26, 2, 23, 17, 49, 8, 4, 18, 11, 10, 27, 46, 23, 40, 44, 29, 6, 15, 33, 45, 46, 21, 24, 45, 14, 26, 32, 40, 24, 37, 0, 29, 43, 25, 14, 20, 6, 11, 34, 32, 1, 29, 32, 33, 38, 1, 39, 49, 18, 7, 17, 35, 43, 6, 3, 42]
[17, 33, 17, 39, 6, 15, 25, 38, 0, 6, 11, 29, 15, 24, 13, 50, 33, 44, 18, 48, 19, 50, 43, 46, 10, 11, 44, 8, 18, 15, 34, 5, 13, 14, 48, 14, 50, 23, 17, 4, 49, 9, 11, 27, 47, 9, 42, 38, 1, 38, 30, 42, 3, 7, 42, 28, 29, 49, 19, 21, 4, 14, 45, 47, 42, 24, 21, 27, 2, 21, 45, 43, 5, 8, 27, 40, 35, 35, 45, 8, 42, 41, 16, 28, 13, 15, 8, 41, 38, 45, 50, 40, 21, 9, 40, 35, 18, 48, 46, 5, 13, 42, 10, 14, 14, 49, 43, 7, 39, 23, 18, 34, 1, 38, 18, 35, 15, 20, 4, 4, 42, 46, 49, 12, 11, 14, 3, 31, 44, 26, 44, 25, 4, 3, 46, 0, 29, 12, 43, 6, 36, 3, 27, 2]
[13, 39, 34, 26, 20, 47, 33, 45, 6, 0, 26, 50, 4, 13, 27, 13, 47, 23, 37, 25, 33, 18, 33, 7, 2, 50, 45, 5, 3, 44, 24, 24, 7, 26, 46, 10, 38, 45, 36, 32, 48, 47, 39, 35, 35, 2, 37, 30, 43, 2, 49, 39, 39, 16, 8, 32, 33, 32, 2, 47, 9, 11, 19, 2, 17, 1, 36, 24, 23, 14, 31, 50, 40, 12, 38, 9, 38, 21, 21, 26, 2, 31, 40, 37, 0, 15, 4, 25, 49, 1, 0, 7, 30, 27, 46, 45, 24, 23, 3, 48, 49, 3, 36, 31, 14, 18, 0, 47, 50, 27, 28, 32, 12, 9, 18, 15, 49, 30, 27, 15, 12, 1, 9, 8, 12, 0, 11, 30, 0, 26, 14, 1, 38, 18, 9, 0, 9, 46, 22, 46, 42, 32, 41, 8]
