N1,N2,...,Nx
[0, 9, 3, 14, 48, 39, 9, 16, 30, 0, 40, 10, 42, 3, 29, 42, 48, 32, 31, 48, 34, 24, 23, 24, 10, 16, 30, 7, 1, 16, 30, 14, 22, 12, 3, 15, 42, 32, 19, 15, 28, 4, 1, 1, 19, 14, 9, 1, 19, 3, 33, 8, 19, 23, 28, 31, 34, 50, 29, 47, 36, 34, 28, 50, 12, 28, 49, 1, 13, 1, 2, 21, 29, 16, 29, 3, 38, 12, 21, 48, 49, 25, 19, 38, 5, 41, 31, 38, 37, 14, 19, 44, 34, 36, 25, 40, 42, 41, 19, 9, 48, 31, 32, 45, 0, 21, 22, 0, 24, 11, 32, 4, 16, 26, 28, 32, 44, 49, 43, 12, 23, 15, 34, 40, 2, 2, 1, 6, 20, 49, 50, 26]
[9, 0, 9, 44, 33, 42, 27, 17, 25, 50, 25, 32, 32, 29, 38, 15, 10, 21, 17, 36, 17, 12, 46, 4, 46, 20, 20, 0, 25, 25, 10, 29, 48, 47, 33, 48, 15, 48, 13, 17, 20, 48, 28, 50, 49, 13, 49, 46, 20, 32, 50, 1, 7, 3, 7, 23, 20, 43, 35, 23, 6, 1, 6, 28, 29, 49, 40, 31, 37, 37, 10, 47, 49, 37, 21, 7, 34, 3, 12, 41, 24, 9, 14, 35, 21, 8, 24, 25, 14, 44, 10, 8, 40, 12, 20, 21, 27, 37, 17, 3, 50, 24, 20, 13, 40, 20, 21, 49, 8, 41, 2, 35, 22, 38, 5, 50, 10, 39, 33, 23, 35, 43, 43, 48, 1, 30, 21, 18, 45, 44, 43, 2]
[3, 9, 0, 45, 43, 11, 50, 19, 20, 13, 19, 13, 25, 47, 42, 46, 22, 4, 0, 3, 43, 13, 42, 40, 17, 41, 21, 21, 50, 2, 42, 50, 37, 11, 45, 49, 27, 40, 27, 46, 34, 26, 29, 29, 3, 7, 13, 31, 32, 37, 27, 17, 45, 29, 2, 32, 45, 25, 17, 21, 0, 41, 20, 49, 45, 39, 13, 45, 30, 33, 2, 14, 10, 21, 47, 26, 12, 48, 17, 40, 50, 38, 18, 40, 47, 21, 41, 2, 40, 49, 30, 43, 47, 29, 3, 43, 8, 31, 9, 32, 0, 12, 42, 30, 45, 42, 30, 34, 17, 13, 38, 16, 12, 21, 30, 37, 43, 22, 15, 50, 21, 33, 24, 24, 17, 22, 2, 32, 34, 24, 24, 23]
[14, 44, 45, 0, 17, 45, 17, 44, 22, 16, 13, 0, 50, 3, 25, 33, 8, 17, 12, 29, 13, 21, 49, 23, 12, 6, 22, 25, 12, 41, 41, 50, 27, 23, 46, 30, 20, 39, 43, 49, 40, 46, 11, 33, 10, 28, 0, 48, 6, 2, 31, 40, 31, 0, 15, 50, 15, 42, 34, 44, 48, 35, 21, 5, 30, 25, 38, 38, 48, 46, 9, 23, 10, 29, 19, 5, 18, 37, 14, 33, 16, 11, 24, 22, 36, 20, 24, 48, 24, 14, 29, 39, 48, 28, 25, 45, 42, 37, 37, 16, 20, 15, 22, 43, 10, 15, 44, 44, 24, 26, 26, 31, 35, 27, 0, 16, 4, 42, 23, 4, 46, 3, 45, 44, 29, 36, 16, 16, 19, 49, 27, 48]
[48, 33, 43, 17, 0, 10, 16, 21, 15, 30, 45, 48, 36, 44, 10, 42, 5, 12, 48, 32, 41, 6, 40, 48, 24, 5, 43, 27, 30, 31, 19, 24, 12, 35, 0, 49, 32, 49, 34, 34, 49, 9, 50, 21, 23, 20, 18, 17, 48, 38, 47, 0, 26, 50, 16, 19, 33, 33, 4, 12, 37, 18, 49, 37, 49, 24, 35, 5, 8, 7, 6, 7, 43, 30, 31, 11, 29, 40, 18, 11, 36, 35, 13, 11, 18, 42, 47, 19, 16, 22, 25, 11, 32, 35, 48, 42, 19, 42, 13, 17, 18, 32, 5, 4, 11, 1, 14, 45, 15, 27, 32, 10, 14, 50, 12, 17, 15, 14, 18, 33, 48, 47, 39, 40, 1, 4, 13, 5, 6, 11, 28, 13]
[39, 42, 11, 45, 10, 0, 42, 39, 10, 35, 32, 4, 50, 8, 42, 38, 13, 48, 24, 18, 23, 40, 18, 29, 4, 15, 10, 11, 19, 49, 21, 33, 24, 27, 46, 4, 31, 35, 14, 23, 11, 33, 23, 14, 1, 50, 13, 39, 25, 1, 38, 33, 2, 41, 24, 16, 32, 2, 47, 44, 21, 45, 45, 3, 28, 40, 15, 32, 16, 6, 33, 5, 20, 9, 20, 33, 23, 44, 7, 6, 48, 37, 35, 32, 2, 11, 43, 17, 50, 4, 7, 24, 37, 37, 17, 20, 14, 9, 26, 43, 40, 20, 37, 29, 11, 39, 27, 30, 43, 21, 43, 9, 46, 13, 41, 31, 13, 40, 42, 7, 44, 40, 36, 30, 8, 36, 24, 31, 7, 39, 34, 4]
[9, 27, 50, 17, 16, 42, 0, 5, 45, 20, 26, 28, 21, 25, 41, 37, 11, 33, 12, 23, 16, 29, 28, 43, 37, 4, 27, 22, 18, 29, 38, 0, 50, 50, 49, 15, 8, 25, 39, 42, 16, 12, 28, 46, 13, 3, 15, 21, 26, 13, 16, 2, 37, 0, 19, 40, 38, 17, 8, 4, 28, 25, 31, 20, 2, 15, 3, 46, 26, 2, 13, 8, 19, 48, 49, 20, 5, 34, 14, 50, 12, 14, 14, 35, 15, 5, 19, 23, 24, 18, 49, 20, 33, 3, 45, 6, 48, 40, 17, 31, 6, 22, 9, 16, 10, 8, 39, 40, 35, 34, 38, 41, 42, 34, 46, 24, 45, 41, 42, 13, 37, 39, 48, 45, 35, 27, 24, 46, 22, 16, 4, 13]
[16, 17, 19, 44, 21, 39, 5, 0, 18, 22, 10, 47, 17, 39, 40, 31, 25, 3, 11, 5, 50, 0, 41, 37, 5, 37, 4, 45, 42, 7, 12, 39, 40, 23, 8, 20, 14, 45, 25, 24, 12, 24, 42, 30, 24, 30, 47, 16, 9, 41, 3, 37, 8, 3, 37, 34, 14, 50, 5, 9, 18, 1, 20, 38, 39, 30, 50, 14, 38, 7, 2, 12, 38, 18, 47, 37, 50, 19, 15, 38, 48, 21, 41, 30, 9, 2, 33, 40, 15, 4, 1, 6, 2, 38, 2, 17, 48, 2, 48, 10, 35, 34, 5, 21, 27, 44, 31, 31, 23, 35, 30, 30, 45, 19, 23, 19, 38, 15, 47, 5, 40, 10, 2, 49, 22, 24, 11, 40, 36, 37, 25, 25]
[30, 25, 20, 22, 15, 10, 45, 18, 0, 22, 34, 24, 25, 47, 16, 14, 40, 21, 12, 2, 26, 1, 31, 14, 7, 19, 38, 3, 15, 50, 7, 28, 23, 29, 0, 22, 2, 42, 7, 12, 35, 39, 5, 11, 30, 15, 35, 46, 21, 3, 26, 22, 0, 46, 16, 37, 10, 12, 40, 29, 5, 47, 8, 9, 37, 27, 18, 48, 50, 12, 35, 38, 39, 37, 10, 6, 50, 1, 6, 32, 34, 4, 11, 36, 45, 3, 11, 29, 14, 6, 5, 49, 32, 6, 36, 46, 50, 47, 6, 27, 2, 32, 24, 10, 23, 46, 28, 20, 31, 6, 35, 45, 39, 46, 45, 24, 8, 44, 21, 32, 47, 41, 1, 48, 39, 23, 49, 40, 48, 24, 15, 50]
[0, 50, 13, 16, 30, 35, 20, 22, 22, 0, 40, 41, 33, 47, 2, 45, 38, 31, 22, 23, 26, 5, 31, 20, 27, 50, 4, 6, 48, 27, 15, 6, 37, 0, 8, 46, 49, 43, 27, 44, 5, 0, 39, 17, 41, 44, 37, 9, 47, 25, 1, 42, 3, 49, 33, 34, 11, 9, 19, 6, 42, 13, 30, 4, 6, 15, 15, 42, 42, 23, 40, 43, 8, 24, 15, 33, 32, 30, 24, 35, 26, 48, 37, 27, 37, 42, 45, 4, 8, 22, 29, 17, 38, 1, 43, 5, 25, 24, 44, 10, 23, 41, 49, 22, 30, 2, 12, 42, 40, 13, 36, 2, 36, 31, 2, 43, 35, 28, 17, 42, 3, 1, 40, 26, 10, 42, 50, 49, 38, 7, 4, 27]
