N1,N2,...,Nx
[0, 21, 4, 47, 30, 3, 39, 19, 14, 37, 4, 36, 11, 29, 1, 1, 20, 22, 43, 25, 31, 15, 27, 1, 18, 21, 12, 34, 34, 39, 40, 7, 39, 28, 20, 38, 26, 38, 25, 23, 36, 13, 35, 30, 42, 20, 45, 8, 27, 37, 8, 41]
[21, 0, 21, 23, 41, 35, 31, 17, 24, 41, 22, 47, 21, 0, 35, 12, 18, 50, 39, 49, 50, 36, 39, 47, 33, 24, 32, 46, 21, 28, 39, 36, 19, 27, 44, 37, 16, 15, 29, 8, 32, 24, 19, 9, 19, 50, 0, 1, 42, 49, 33, 50]
[4, 21, 0, 9, 6, 50, 26, 26, 30, 2, 43, 2, 2, 25, 31, 2, 19, 36, 27, 5, 30, 15, 50, 25, 37, 24, 34, 31, 28, 47, 20, 35, 28, 25, 28, 0, 19, 21, 28, 50, 7, 28, 29, 23, 37, 43, 38, 28, 14, 2, 8, 42]
[47, 23, 9, 0, 47, 11, 48, 12, 35, 39, 18, 46, 40, 29, 34, 36, 36, 36, 30, 39, 19, 40, 11, 7, 38, 27, 12, 13, 43, 21, 27, 9, 39, 12, 35, 43, 44, 17, 31, 36, 8, 17, 2, 1, 22, 4, 45, 44, 48, 23, 30, 43]
[30, 41, 6, 47, 0, 12, 30, 28, 19, 47, 0, 14, 33, 12, 30, 33, 11, 9, 37, 10, 20, 39, 6, 13, 25, 33, 26, 46, 17, 22, 47, 15, 18, 36, 0, 24, 15, 7, 33, 45, 31, 2, 36, 22, 43, 14, 43, 40, 0, 37, 38, 26]
[3, 35, 50, 11, 12, 0, 23, 20, 26, 44, 5, 21, 18, 24, 35, 6, 15, 21, 11, 6, 33, 18, 19, 19, 25, 46, 37, 45, 1, 43, 47, 38, 34, 45, 9, 13, 13, 1, 9, 14, 34, 2, 21, 16, 34, 7, 30, 1, 23, 2, 45, 18]
[39, 31, 26, 48, 30, 23, 0, 40, 6, 36, 20, 20, 21, 5, 13, 39, 37, 33, 25, 22, 5, 24, 18, 2, 15, 4, 43, 7, 17, 15, 9, 1, 8, 18, 42, 5, 36, 7, 4, 36, 30, 19, 14, 6, 9, 40, 29, 28, 24, 29, 7, 1]
[19, 17, 26, 12, 28, 20, 40, 0, 14, 0, 41, 23, 49, 27, 27, 22, 17, 47, 3, 23, 33, 27, 25, 16, 49, 3, 35, 6, 31, 46, 37, 27, 27, 20, 13, 18, 46, 10, 33, 39, 14, 27, 29, 39, 0, 18, 26, 19, 28, 40, 14, 1]
[14, 24, 30, 35, 19, 26, 6, 14, 0, 29, 29, 22, 7, 7, 27, 45, 8, 49, 28, 23, 12, 1, 28, 7, 17, 11, 6, 8, 26, 32, 21, 37, 48, 35, 33, 38, 46, 44, 2, 41, 1, 7, 25, 1, 40, 23, 32, 35, 47, 5, 39, 24]
[37, 41, 2, 39, 47, 44, 36, 0, 29, 0, 17, 38, 38, 41, 17, 18, 0, 15, 31, 46, 2, 42, 42, 1, 33, 19, 19, 47, 29, 13, 26, 40, 18, 9, 30, 38, 48, 40, 14, 24, 14, 33, 27, 28, 36, 29, 14, 9, 43, 3, 18, 20]
[4, 22, 43, 18, 0, 5, 20, 41, 29, 17, 0, 16, 41, 15, 8, 1, 47, 30, 40, 48, 40, 34, 2, 27, 27, 18, 28, 16, 48, 16, 39, 2, 4, 33, 44, 35, 48, 8, 36, 11, 1, 40, 2, 22, 50, 7, 36, 24, 23, 5, 6, 21]
[36, 47, 2, 46, 14, 21, 20, 23, 22, 38, 16, 0, 34, 30, 20, 41, 3, 23, 9, 15, 42, 7, 39, 48, 44, 40, 14, 22, 40, 37, 6, 1, 42, 49, 15, 2, 26, 1, 35, 8, 29, 45, 0, 23, 29, 30, 26, 8, 22, 41, 11, 49]
[11, 21, 2, 40, 33, 18, 21, 49, 7, 38, 41, 34, 0, 1, 33, 34, 41, 34, 2, 25, 32, 16, 46, 50, 24, 45, 6, 25, 25, 6, 45, 17, 42, 50, 13, 30, 25, 46, 32, 8, 31, 9, 24, 3, 30, 9, 13, 2, 0, 23, 40, 39]
[29, 0, 25, 29, 12, 24, 5, 27, 7, 41, 15, 30, 1, 0, 44, 5, 17, 32, 25, 26, 47, 27, 42, 50, 40, 2, 23, 33, 36, 39, 2, 7, 34, 32, 39, 34, 19, 15, 33, 37, 35, 28, 6, 36, 19, 31, 43, 35, 45, 23, 25, 39]
[1, 35, 31, 34, 30, 35, 13, 27, 27, 17, 8, 20, 33, 44, 0, 4, 46, 41, 38, 8, 47, 15, 12, 26, 26, 50, 31, 3, 0, 17, 29, 22, 42, 28, 31, 19, 0, 37, 34, 30, 47, 27, 21, 38, 4, 23, 22, 33, 40, 43, 36, 15]
[1, 12, 2, 36, 33, 6, 39, 22, 45, 18, 1, 41, 34, 5, 4, 0, 3, 21, 33, 6, 35, 15, 14, 24, 48, 24, 33, 38, 9, 37, 34, 7, 23, 35, 24, 46, 41, 28, 34, 39, 17, 26, 12, 31, 44, 15, 39, 9, 7, 31, 40, 15]
[20, 18, 19, 36, 11, 15, 37, 17, 8, 0, 47, 3, 41, 17, 46, 3, 0, 35, 13, 31, 31, 49, 24, 24, 42, 27, 23, 49, 38, 42, 38, 11, 21, 45, 50, 5, 47, 30, 3, 29, 8, 5, 15, 38, 20, 44, 4, 23, 41, 43, 45, 8]
[22, 50, 36, 36, 9, 21, 33, 47, 49, 15, 30, 23, 34, 32, 41, 21, 35, 0, 24, 48, 42, 1, 5, 7, 23, 45, 15, 42, 21, 12, 14, 21, 39, 29, 39, 23, 24, 41, 33, 30, 38, 45, 10, 33, 31, 43, 27, 9, 41, 19, 35, 10]
[43, 39, 27, 30, 37, 11, 25, 3, 28, 31, 40, 9, 2, 25, 38, 33, 13, 24, 0, 19, 50, 6, 3, 37, 30, 24, 38, 30, 30, 36, 43, 19, 5, 25, 25, 27, 34, 39, 28, 45, 1, 23, 12, 24, 15, 48, 0, 44, 24, 35, 32, 13]
[25, 49, 5, 39, 10, 6, 22, 23, 23, 46, 48, 15, 25, 26, 8, 6, 31, 48, 19, 0, 44, 42, 46, 35, 1, 33, 5, 25, 17, 42, 40, 17, 31, 31, 22, 47, 9, 38, 14, 18, 32, 16, 25, 21, 44, 40, 24, 25, 41, 42, 39, 42]
