N1,N2,...,Nx
[0, 33, 26, 30, 46, 8, 48, 3, 31, 28, 15, 47, 20, 2, 49, 18, 2, 21, 8, 3, 24, 1, 4, 30, 10]
[33, 0, 32, 14, 1, 10, 19, 8, 19, 30, 13, 38, 2, 30, 31, 14, 39, 8, 40, 40, 24, 27, 9, 32, 49]
[26, 32, 0, 5, 32, 2, 48, 23, 48, 13, 33, 38, 8, 8, 20, 13, 40, 5, 7, 46, 42, 26, 16, 49, 21]
[30, 14, 5, 0, 46, 17, 15, 1, 40, 16, 48, 9, 8, 24, 21, 37, 0, 32, 25, 35, 38, 25, 2, 11, 32]
[46, 1, 32, 46, 0, 4, 18, 17, 6, 12, 21, 42, 34, 32, 25, 22, 20, 13, 12, 20, 43, 11, 42, 17, 19]
[8, 10, 2, 17, 4, 0, 27, 39, 0, 37, 8, 24, 37, 4, 13, 22, 21, 39, 47, 49, 25, 49, 3, 7, 4]
[48, 19, 48, 15, 18, 27, 0, 28, 0, 50, 7, 36, 16, 4, 34, 48, 33, 28, 35, 11, 16, 28, 40, 48, 4]
[3, 8, 23, 1, 17, 39, 28, 0, 27, 24, 16, 28, 16, 41, 37, 33, 31, 15, 23, 45, 44, 24, 35, 16, 8]
[31, 19, 48, 40, 6, 0, 0, 27, 0, 13, 5, 41, 8, 6, 11, 34, 5, 37, 19, 19, 40, 50, 0, 47, 50]
[28, 30, 13, 16, 12, 37, 50, 24, 13, 0, 45, 13, 49, 27, 21, 49, 1, 50, 29, 24, 38, 24, 42, 23, 7]
[15, 13, 33, 48, 21, 8, 7, 16, 5, 45, 0, 3, 42, 17, 8, 26, 15, 14, 21, 42, 4, 38, 43, 32, 12]
[47, 38, 38, 9, 42, 24, 36, 28, 41, 13, 3, 0, 6, 36, 35, 18, 29, 19, 36, 5, 10, 19, 48, 8, 48]
[20, 2, 8, 8, 34, 37, 16, 16, 8, 49, 42, 6, 0, 8, 12, 38, 25, 21, 27, 40, 26, 29, 33, 28, 26]
[2, 30, 8, 24, 32, 4, 4, 41, 6, 27, 17, 36, 8, 0, 48, 17, 12, 50, 17, 33, 42, 27, 8, 36, 5]
[49, 31, 20, 21, 25, 13, 34, 37, 11, 21, 8, 35, 12, 48, 0, 27, 39, 29, 37, 3, 29, 33, 35, 45, 46]
[18, 14, 13, 37, 22, 22, 48, 33, 34, 49, 26, 18, 38, 17, 27, 0, 38, 8, 46, 22, 22, 35, 10, 6, 47]
[2, 39, 40, 0, 20, 21, 33, 31, 5, 1, 15, 29, 25, 12, 39, 38, 0, 22, 36, 1, 1, 31, 15, 49, 49]
[21, 8, 5, 32, 13, 39, 28, 15, 37, 50, 14, 19, 21, 50, 29, 8, 22, 0, 36, 25, 43, 43, 15, 41, 21]
[8, 40, 7, 25, 12, 47, 35, 23, 19, 29, 21, 36, 27, 17, 37, 46, 36, 36, 0, 20, 23, 41, 32, 49, 47]
[3, 40, 46, 35, 20, 49, 11, 45, 19, 24, 42, 5, 40, 33, 3, 22, 1, 25, 20, 0, 10, 6, 37, 5, 24]
[24, 24, 42, 38, 43, 25, 16, 44, 40, 38, 4, 10, 26, 42, 29, 22, 1, 43, 23, 10, 0, 34, 42, 10, 19]
[1, 27, 26, 25, 11, 49, 28, 24, 50, 24, 38, 19, 29, 27, 33, 35, 31, 43, 41, 6, 34, 0, 6, 32, 3]
[4, 9, 16, 2, 42, 3, 40, 35, 0, 42, 43, 48, 33, 8, 35, 10, 15, 15, 32, 37, 42, 6, 0, 38, 10]
[30, 32, 49, 11, 17, 7, 48, 16, 47, 23, 32, 8, 28, 36, 45, 6, 49, 41, 49, 5, 10, 32, 38, 0, 42]
[10, 49, 21, 32, 19, 4, 4, 8, 50, 7, 12, 48, 26, 5, 46, 47, 49, 21, 47, 24, 19, 3, 10, 42, 0]
