N1,N2,...,Nx
[0, 45, 42, 26, 39, 36, 0, 31, 2, 19, 3, 6, 37, 32, 35, 44, 1, 43, 4, 37]
[45, 0, 40, 7, 5, 10, 14, 20, 37, 42, 40, 2, 50, 47, 9, 24, 11, 27, 46, 47]
[42, 40, 0, 50, 46, 2, 38, 32, 4, 42, 15, 43, 18, 35, 2, 15, 24, 1, 33, 14]
[26, 7, 50, 0, 11, 42, 44, 18, 45, 26, 29, 33, 29, 38, 14, 0, 39, 32, 28, 2]
[39, 5, 46, 11, 0, 49, 43, 19, 13, 16, 39, 29, 1, 38, 7, 3, 50, 30, 3, 46]
[36, 10, 2, 42, 49, 0, 32, 37, 45, 39, 46, 7, 43, 36, 15, 42, 48, 28, 14, 46]
[0, 14, 38, 44, 43, 32, 0, 33, 25, 15, 45, 35, 39, 10, 44, 42, 21, 22, 42, 44]
[31, 20, 32, 18, 19, 37, 33, 0, 27, 30, 48, 15, 0, 37, 31, 4, 42, 26, 7, 21]
[2, 37, 4, 45, 13, 45, 25, 27, 0, 25, 21, 31, 48, 39, 37, 3, 5, 39, 27, 28]
[19, 42, 42, 26, 16, 39, 15, 30, 25, 0, 6, 2, 39, 36, 26, 17, 14, 44, 17, 35]
[3, 40, 15, 29, 39, 46, 45, 48, 21, 6, 0, 49, 24, 9, 15, 48, 47, 16, 0, 41]
[6, 2, 43, 33, 29, 7, 35, 15, 31, 2, 49, 0, 29, 23, 22, 33, 3, 22, 5, 50]
[37, 50, 18, 29, 1, 43, 39, 0, 48, 39, 24, 29, 0, 35, 42, 12, 41, 22, 48, 34]
[32, 47, 35, 38, 38, 36, 10, 37, 39, 36, 9, 23, 35, 0, 42, 31, 29, 20, 27, 43]
[35, 9, 2, 14, 7, 15, 44, 31, 37, 26, 15, 22, 42, 42, 0, 9, 47, 23, 11, 6]
[44, 24, 15, 0, 3, 42, 42, 4, 3, 17, 48, 33, 12, 31, 9, 0, 46, 39, 31, 2]
[1, 11, 24, 39, 50, 48, 21, 42, 5, 14, 47, 3, 41, 29, 47, 46, 0, 2, 16, 50]
[43, 27, 1, 32, 30, 28, 22, 26, 39, 44, 16, 22, 22, 20, 23, 39, 2, 0, 27, 25]
[4, 46, 33, 28, 3, 14, 42, 7, 27, 17, 0, 5, 48, 27, 11, 31, 16, 27, 0, 21]
[37, 47, 14, 2, 46, 46, 44, 21, 28, 35, 41, 50, 34, 43, 6, 2, 50, 25, 21, 0]
