N1,N2,...,Nx
[0, 20, 21, 38, 31, 50, 35, 48, 23, 42, 48, 7, 30, 16, 18, 49, 8, 34, 22, 24, 17, 25, 35, 13, 44, 28, 31, 30, 29, 1, 30, 23, 37, 4, 32, 23, 29, 48, 2, 17, 15, 35, 34, 36, 35, 6, 33, 11, 28, 42, 31, 26, 48, 38, 40, 25, 16, 44, 37, 19, 36, 41, 11, 31, 18, 28, 7, 45, 32, 25, 22, 42, 20, 20, 5, 9, 27, 0, 24, 23, 39, 9, 35, 38, 5, 13, 30, 7, 24, 24, 0, 50, 2, 0, 18, 9, 26, 2, 17, 20, 36, 38, 38, 20, 27, 19, 41, 47, 0, 14, 0, 34, 17, 31, 7, 38, 12, 18, 45, 14, 12, 33, 25, 26, 38, 7, 10, 36, 6, 19, 17, 14, 40, 36, 5, 18, 18, 16, 40, 16, 12, 8, 7, 4, 31, 4, 20, 1, 6, 24, 4, 23, 17, 7, 43, 7, 47, 30, 48, 32, 5, 36, 19, 25, 13, 7, 4, 28, 49, 34, 0, 41]
[20, 0, 21, 9, 13, 7, 14, 39, 46, 11, 0, 13, 28, 9, 20, 24, 39, 13, 32, 38, 22, 23, 18, 34, 39, 11, 45, 29, 34, 27, 35, 9, 43, 0, 3, 6, 6, 11, 38, 46, 19, 10, 1, 31, 23, 7, 17, 34, 3, 12, 46, 35, 18, 25, 32, 25, 47, 18, 37, 22, 28, 30, 3, 38, 26, 32, 43, 3, 28, 34, 12, 50, 11, 8, 16, 40, 31, 11, 29, 15, 21, 35, 46, 31, 4, 0, 39, 23, 21, 2, 44, 11, 28, 3, 50, 5, 18, 46, 46, 43, 45, 48, 35, 10, 31, 29, 17, 8, 36, 34, 37, 5, 48, 36, 7, 26, 10, 3, 0, 11, 13, 19, 8, 30, 14, 41, 23, 39, 25, 17, 21, 3, 34, 32, 17, 21, 33, 25, 3, 41, 16, 20, 18, 16, 23, 21, 30, 34, 14, 4, 12, 32, 11, 24, 45, 31, 16, 6, 26, 9, 24, 48, 26, 7, 18, 4, 9, 16, 43, 29, 18, 18]
[21, 21, 0, 5, 10, 19, 2, 9, 25, 30, 14, 41, 37, 17, 7, 10, 32, 2, 11, 46, 17, 3, 35, 32, 32, 5, 49, 4, 48, 11, 38, 34, 23, 32, 1, 27, 25, 11, 33, 41, 38, 17, 31, 44, 9, 21, 16, 44, 15, 19, 5, 32, 10, 43, 28, 23, 6, 44, 39, 32, 19, 24, 9, 20, 44, 43, 37, 30, 47, 44, 8, 21, 38, 43, 18, 7, 0, 26, 7, 35, 44, 39, 40, 50, 26, 44, 29, 20, 19, 18, 19, 42, 28, 43, 30, 11, 5, 28, 42, 37, 11, 44, 38, 43, 29, 35, 2, 11, 17, 16, 40, 27, 20, 34, 30, 19, 47, 9, 29, 48, 10, 50, 7, 22, 7, 7, 13, 48, 28, 26, 18, 11, 12, 24, 40, 34, 18, 0, 21, 16, 49, 5, 11, 6, 5, 13, 39, 3, 2, 42, 6, 49, 46, 18, 10, 32, 27, 16, 22, 9, 26, 29, 43, 25, 15, 5, 40, 29, 46, 12, 15, 31]
[38, 9, 5, 0, 42, 8, 32, 18, 6, 8, 50, 27, 7, 15, 40, 5, 44, 49, 44, 1, 9, 47, 11, 8, 32, 16, 41, 0, 18, 28, 22, 39, 32, 18, 22, 12, 17, 39, 44, 9, 37, 8, 37, 32, 6, 5, 21, 42, 18, 45, 20, 23, 31, 5, 41, 14, 9, 28, 21, 8, 34, 33, 24, 11, 49, 40, 5, 38, 17, 47, 25, 43, 24, 40, 18, 39, 46, 32, 25, 0, 3, 11, 18, 8, 36, 35, 27, 20, 45, 21, 44, 17, 18, 46, 30, 10, 46, 34, 1, 39, 33, 31, 36, 27, 18, 18, 26, 17, 6, 29, 25, 38, 28, 5, 39, 21, 38, 29, 38, 3, 0, 36, 5, 49, 25, 6, 5, 49, 26, 40, 31, 35, 20, 13, 36, 20, 22, 6, 43, 37, 34, 6, 17, 40, 36, 6, 39, 2, 22, 17, 8, 6, 7, 26, 14, 42, 13, 45, 47, 16, 48, 43, 3, 45, 38, 44, 39, 45, 29, 30, 38, 29]
[31, 13, 10, 42, 0, 9, 21, 45, 9, 7, 47, 29, 42, 35, 21, 42, 35, 18, 19, 27, 49, 36, 25, 31, 30, 42, 43, 32, 12, 27, 37, 10, 32, 14, 45, 14, 1, 50, 20, 13, 32, 12, 1, 36, 43, 46, 45, 48, 16, 45, 15, 35, 18, 20, 46, 21, 14, 0, 26, 22, 11, 15, 38, 18, 44, 27, 5, 2, 19, 43, 24, 12, 19, 35, 8, 23, 43, 17, 43, 33, 26, 14, 6, 35, 9, 1, 26, 34, 2, 37, 15, 5, 7, 39, 39, 3, 22, 48, 17, 50, 48, 2, 6, 23, 16, 18, 11, 38, 31, 30, 21, 38, 19, 14, 0, 11, 36, 27, 30, 17, 32, 27, 33, 22, 33, 28, 18, 23, 26, 9, 41, 6, 49, 25, 11, 4, 16, 38, 42, 26, 10, 44, 10, 0, 22, 9, 11, 27, 43, 48, 34, 38, 38, 39, 20, 13, 7, 43, 44, 33, 39, 36, 24, 1, 1, 13, 26, 37, 9, 10, 24, 17]
[50, 7, 19, 8, 9, 0, 19, 47, 4, 49, 11, 20, 31, 5, 33, 7, 42, 45, 0, 33, 16, 24, 36, 24, 21, 32, 5, 37, 34, 46, 29, 47, 32, 17, 36, 43, 4, 4, 33, 27, 27, 34, 47, 7, 42, 25, 15, 28, 12, 13, 7, 28, 10, 8, 2, 43, 27, 45, 43, 36, 49, 20, 29, 4, 8, 13, 32, 46, 48, 23, 8, 24, 43, 41, 34, 50, 6, 5, 24, 23, 3, 4, 1, 6, 45, 29, 14, 32, 5, 43, 45, 48, 25, 35, 4, 32, 23, 17, 41, 50, 47, 29, 19, 33, 9, 43, 24, 8, 10, 39, 46, 31, 42, 27, 2, 4, 1, 14, 48, 38, 16, 21, 8, 2, 15, 34, 2, 26, 32, 19, 30, 32, 40, 5, 13, 50, 20, 33, 1, 1, 47, 8, 50, 7, 15, 2, 48, 3, 6, 22, 5, 26, 0, 38, 30, 28, 32, 29, 4, 8, 17, 5, 24, 4, 18, 40, 9, 1, 18, 28, 33, 19]
[35, 14, 2, 32, 21, 19, 0, 0, 22, 16, 24, 5, 2, 21, 28, 13, 1, 8, 32, 49, 14, 36, 19, 15, 18, 3, 37, 23, 42, 4, 5, 17, 12, 26, 19, 5, 5, 38, 2, 9, 10, 40, 34, 27, 45, 48, 1, 7, 44, 36, 42, 0, 13, 41, 8, 23, 1, 23, 27, 28, 14, 23, 21, 11, 44, 26, 30, 27, 44, 10, 11, 27, 40, 16, 17, 1, 16, 28, 39, 21, 23, 18, 22, 43, 17, 9, 34, 11, 21, 26, 20, 31, 20, 12, 24, 32, 30, 4, 11, 3, 20, 45, 25, 48, 38, 20, 8, 43, 48, 38, 4, 34, 29, 2, 10, 1, 31, 16, 32, 31, 30, 21, 8, 38, 19, 37, 1, 41, 32, 2, 49, 27, 13, 24, 40, 42, 45, 43, 48, 19, 50, 28, 2, 13, 18, 37, 26, 10, 7, 19, 39, 8, 38, 36, 12, 28, 46, 47, 17, 37, 11, 50, 44, 14, 5, 20, 9, 8, 1, 18, 47, 21]
[48, 39, 9, 18, 45, 47, 0, 0, 6, 26, 45, 3, 40, 47, 11, 28, 4, 22, 13, 27, 21, 35, 20, 25, 49, 31, 21, 0, 35, 50, 49, 3, 33, 33, 22, 31, 32, 5, 35, 48, 11, 27, 38, 48, 23, 18, 20, 17, 12, 3, 5, 42, 47, 50, 19, 17, 16, 22, 45, 4, 8, 34, 25, 28, 9, 4, 24, 20, 39, 18, 30, 6, 40, 20, 23, 14, 42, 19, 47, 9, 7, 39, 32, 15, 13, 17, 16, 2, 15, 19, 19, 41, 10, 36, 14, 23, 0, 17, 30, 45, 12, 23, 50, 25, 44, 20, 18, 6, 4, 14, 1, 17, 13, 48, 19, 45, 25, 5, 21, 36, 50, 2, 21, 18, 32, 9, 44, 28, 21, 17, 37, 50, 14, 35, 16, 11, 4, 6, 10, 29, 28, 11, 24, 10, 17, 21, 7, 9, 40, 12, 30, 29, 23, 1, 32, 40, 5, 43, 3, 45, 24, 13, 30, 50, 44, 38, 9, 15, 5, 33, 22, 3]
[23, 46, 25, 6, 9, 4, 22, 6, 0, 39, 28, 1, 14, 35, 16, 8, 10, 42, 37, 39, 9, 20, 18, 10, 31, 18, 5, 36, 17, 19, 42, 45, 44, 47, 18, 38, 26, 29, 47, 46, 28, 22, 40, 38, 16, 34, 39, 4, 15, 21, 5, 2, 33, 25, 22, 36, 15, 4, 15, 12, 6, 8, 0, 20, 43, 24, 17, 19, 4, 33, 14, 26, 4, 49, 29, 4, 30, 37, 25, 49, 22, 14, 6, 11, 18, 30, 44, 48, 11, 25, 12, 18, 0, 47, 2, 23, 48, 24, 36, 49, 5, 49, 11, 22, 39, 24, 34, 5, 10, 11, 22, 33, 4, 19, 45, 49, 29, 40, 17, 2, 0, 31, 2, 26, 4, 15, 39, 6, 49, 16, 14, 12, 36, 6, 25, 15, 9, 32, 21, 39, 18, 37, 2, 10, 33, 16, 40, 29, 13, 47, 42, 42, 37, 6, 47, 12, 35, 3, 3, 20, 0, 21, 27, 8, 28, 45, 18, 44, 44, 28, 35, 36]
[42, 11, 30, 8, 7, 49, 16, 26, 39, 0, 37, 14, 3, 44, 15, 4, 33, 12, 38, 50, 9, 2, 26, 24, 2, 19, 48, 7, 32, 19, 18, 24, 36, 34, 18, 24, 42, 6, 12, 34, 31, 36, 30, 32, 37, 50, 38, 8, 11, 22, 25, 42, 41, 49, 47, 45, 27, 19, 31, 26, 6, 41, 47, 46, 34, 13, 21, 32, 25, 49, 49, 1, 31, 32, 24, 8, 17, 35, 25, 3, 3, 13, 22, 49, 4, 25, 46, 41, 6, 43, 44, 40, 17, 34, 44, 23, 33, 25, 18, 50, 28, 0, 3, 42, 28, 49, 0, 19, 35, 40, 4, 22, 42, 49, 40, 45, 36, 17, 15, 27, 48, 31, 27, 17, 46, 9, 46, 47, 35, 0, 40, 11, 30, 4, 22, 24, 4, 8, 10, 5, 0, 1, 8, 42, 46, 33, 42, 9, 20, 4, 21, 19, 24, 9, 40, 0, 25, 36, 46, 7, 37, 1, 40, 16, 13, 5, 33, 10, 23, 33, 36, 3]
