N1,N2,...,Nx
[0, 26, 21, 47, 41, 43, 41, 4, 16, 24, 21, 14, 24, 29, 24, 47, 17, 11, 19, 40, 9, 14, 42, 11, 48, 35, 13, 13, 18, 44, 45, 1, 32, 18, 26, 43, 0, 33, 38, 40, 12, 27, 13, 11, 23, 33, 32, 31, 38, 29, 6, 30, 20, 14, 17, 50, 8, 4, 11, 36, 35, 30, 4, 29, 21, 22, 45]
[26, 0, 26, 10, 9, 25, 31, 5, 26, 41, 43, 34, 13, 30, 47, 34, 7, 7, 47, 41, 24, 3, 36, 23, 1, 30, 25, 34, 32, 29, 17, 46, 46, 50, 20, 39, 27, 28, 11, 49, 36, 27, 4, 28, 23, 41, 26, 38, 21, 8, 19, 23, 38, 17, 30, 16, 35, 16, 47, 46, 42, 18, 35, 10, 30, 15, 3]
[21, 26, 0, 30, 0, 6, 41, 5, 2, 39, 34, 29, 28, 44, 5, 46, 8, 20, 44, 34, 0, 37, 24, 46, 44, 25, 16, 9, 49, 14, 46, 45, 20, 40, 34, 46, 50, 39, 36, 33, 14, 39, 17, 9, 33, 44, 45, 36, 0, 50, 10, 26, 46, 38, 1, 17, 30, 16, 5, 5, 24, 4, 39, 23, 47, 48, 49]
[47, 10, 30, 0, 44, 10, 30, 18, 25, 48, 15, 17, 3, 8, 32, 17, 16, 11, 16, 21, 24, 29, 33, 36, 1, 47, 39, 35, 46, 11, 44, 47, 5, 36, 7, 14, 22, 29, 14, 12, 31, 43, 35, 45, 2, 14, 4, 4, 2, 21, 27, 5, 38, 34, 17, 22, 50, 0, 2, 9, 35, 21, 44, 42, 26, 31, 32]
[41, 9, 0, 44, 0, 27, 44, 38, 8, 5, 47, 35, 23, 45, 31, 8, 18, 41, 9, 18, 40, 27, 28, 43, 47, 48, 6, 36, 32, 4, 1, 10, 42, 45, 15, 21, 37, 46, 10, 22, 38, 46, 5, 25, 22, 0, 40, 31, 3, 43, 31, 38, 35, 14, 46, 5, 30, 17, 41, 15, 13, 35, 48, 39, 44, 18, 2]
[43, 25, 6, 10, 27, 0, 8, 7, 17, 14, 46, 44, 28, 49, 30, 34, 21, 40, 46, 13, 38, 3, 12, 11, 24, 20, 18, 29, 31, 33, 34, 34, 10, 46, 29, 16, 22, 0, 15, 12, 50, 39, 29, 31, 49, 14, 47, 4, 38, 10, 32, 48, 40, 26, 28, 40, 37, 18, 31, 47, 38, 16, 4, 12, 15, 41, 5]
[41, 31, 41, 30, 44, 8, 0, 7, 19, 15, 20, 10, 37, 49, 28, 46, 39, 24, 12, 40, 49, 12, 5, 34, 43, 23, 26, 18, 49, 25, 35, 14, 48, 0, 32, 25, 24, 33, 34, 47, 37, 9, 3, 44, 5, 42, 36, 2, 35, 1, 36, 49, 34, 34, 39, 21, 49, 0, 49, 23, 12, 48, 23, 42, 42, 16, 20]
[4, 5, 5, 18, 38, 7, 7, 0, 43, 24, 38, 4, 48, 9, 8, 35, 49, 3, 27, 25, 8, 7, 50, 45, 23, 32, 7, 14, 26, 16, 5, 33, 48, 30, 44, 30, 46, 6, 43, 35, 27, 44, 11, 33, 31, 48, 41, 48, 24, 40, 18, 37, 12, 3, 25, 49, 16, 42, 6, 37, 15, 44, 11, 45, 46, 25, 14]
[16, 26, 2, 25, 8, 17, 19, 43, 0, 8, 47, 35, 2, 14, 7, 27, 35, 6, 38, 22, 44, 21, 38, 46, 27, 13, 21, 37, 14, 23, 39, 32, 42, 27, 9, 45, 45, 13, 8, 13, 11, 44, 49, 48, 40, 3, 39, 32, 33, 38, 50, 35, 41, 49, 11, 1, 38, 36, 9, 22, 37, 16, 0, 38, 25, 5, 37]
[24, 41, 39, 48, 5, 14, 15, 24, 8, 0, 30, 42, 15, 12, 24, 13, 33, 38, 27, 40, 18, 4, 14, 0, 48, 4, 8, 13, 37, 14, 39, 1, 49, 23, 1, 46, 26, 41, 43, 37, 46, 37, 43, 43, 38, 41, 25, 38, 25, 9, 13, 10, 5, 8, 12, 15, 28, 13, 2, 12, 4, 42, 48, 18, 50, 41, 45]
