N1,N2,...,Nx
[0, 0, 38, 34, 21, 34, 42, 44, 4, 2, 48, 9, 14, 5, 10, 29, 48, 30, 23, 8, 3, 21, 16, 17, 26, 31, 10, 26, 15, 39, 47, 46, 34, 40, 12, 10, 15, 14, 41, 33, 21, 39, 46, 22, 10, 48, 50, 33, 20, 31, 4, 12, 4, 7, 45, 6, 20, 41, 32, 28, 27, 12, 27, 44, 1, 3, 18, 49, 38, 44, 31, 39, 2, 15, 18, 31, 9, 49, 22, 32, 24, 39, 25, 14, 41, 39, 13, 23, 12, 42, 40, 42, 47, 19, 19, 10, 20, 10, 10, 5, 8, 38, 48, 25, 33, 24, 6, 11, 33, 25, 4, 36, 41, 28, 25]
[0, 0, 3, 17, 21, 7, 48, 43, 24, 14, 4, 40, 42, 39, 1, 15, 28, 30, 48, 28, 12, 9, 26, 46, 37, 47, 6, 0, 11, 6, 23, 31, 30, 9, 14, 43, 26, 48, 35, 48, 19, 7, 20, 39, 40, 14, 50, 46, 30, 19, 32, 29, 42, 42, 38, 16, 7, 28, 42, 0, 22, 9, 6, 5, 47, 50, 31, 47, 11, 5, 50, 7, 19, 43, 6, 2, 15, 48, 26, 36, 1, 11, 20, 46, 11, 31, 31, 0, 13, 50, 48, 2, 14, 3, 15, 40, 43, 48, 6, 6, 30, 19, 12, 33, 48, 15, 41, 29, 35, 32, 44, 40, 7, 2, 9]
[38, 3, 0, 11, 18, 28, 20, 29, 15, 5, 22, 7, 45, 22, 36, 6, 37, 25, 30, 42, 31, 37, 17, 21, 35, 45, 1, 34, 34, 10, 45, 25, 32, 11, 25, 25, 11, 48, 10, 35, 24, 50, 48, 47, 33, 15, 7, 44, 33, 28, 36, 11, 37, 17, 33, 50, 16, 49, 49, 6, 14, 12, 41, 10, 38, 50, 34, 31, 27, 15, 37, 40, 30, 29, 39, 33, 27, 6, 26, 17, 3, 1, 39, 16, 9, 4, 20, 23, 44, 33, 38, 42, 35, 42, 43, 27, 37, 1, 14, 1, 19, 14, 27, 24, 42, 29, 43, 44, 8, 2, 30, 43, 34, 36, 1]
[34, 17, 11, 0, 15, 28, 6, 18, 10, 29, 43, 21, 35, 15, 35, 0, 40, 35, 31, 2, 43, 8, 28, 10, 27, 26, 43, 4, 50, 21, 43, 20, 16, 30, 4, 29, 16, 9, 30, 5, 33, 42, 22, 14, 38, 6, 32, 0, 15, 25, 1, 29, 5, 9, 9, 40, 6, 40, 32, 39, 9, 13, 3, 20, 20, 2, 24, 3, 6, 40, 3, 4, 33, 37, 35, 13, 37, 31, 1, 35, 4, 45, 26, 25, 5, 42, 37, 5, 37, 37, 29, 17, 17, 10, 43, 49, 9, 41, 38, 0, 43, 1, 41, 32, 6, 29, 40, 10, 9, 42, 26, 21, 23, 5, 11]
[21, 21, 18, 15, 0, 47, 0, 5, 33, 0, 22, 39, 33, 6, 37, 30, 41, 41, 36, 8, 19, 39, 36, 15, 1, 37, 31, 22, 30, 5, 17, 21, 11, 42, 11, 3, 21, 3, 45, 35, 18, 4, 23, 1, 6, 23, 29, 14, 33, 25, 24, 6, 23, 48, 50, 8, 4, 45, 22, 35, 10, 40, 7, 18, 23, 8, 20, 31, 42, 23, 12, 11, 16, 3, 48, 3, 28, 46, 25, 38, 34, 17, 38, 24, 43, 38, 48, 22, 35, 40, 21, 33, 7, 14, 41, 40, 24, 31, 12, 28, 5, 15, 15, 9, 31, 3, 32, 40, 14, 32, 26, 23, 2, 20, 11]
[34, 7, 28, 28, 47, 0, 5, 30, 13, 50, 50, 2, 46, 5, 45, 25, 39, 23, 3, 46, 47, 7, 30, 40, 24, 27, 24, 22, 47, 18, 47, 45, 2, 28, 40, 20, 13, 37, 37, 24, 7, 42, 45, 47, 20, 45, 22, 2, 9, 37, 47, 48, 8, 28, 4, 24, 12, 25, 47, 14, 43, 10, 2, 27, 46, 32, 30, 6, 2, 37, 6, 15, 0, 27, 11, 2, 30, 40, 15, 19, 10, 19, 48, 48, 50, 10, 18, 44, 20, 48, 15, 12, 23, 4, 14, 33, 47, 10, 13, 20, 0, 40, 5, 21, 0, 50, 41, 40, 44, 0, 18, 20, 26, 44, 47]
[42, 48, 20, 6, 0, 5, 0, 32, 37, 3, 38, 31, 39, 50, 5, 45, 29, 12, 2, 25, 4, 20, 21, 35, 3, 1, 47, 39, 5, 26, 3, 2, 2, 32, 46, 38, 14, 29, 5, 24, 31, 10, 13, 11, 18, 7, 0, 19, 6, 37, 44, 22, 11, 12, 14, 9, 15, 49, 18, 8, 13, 14, 21, 31, 36, 49, 28, 33, 6, 39, 6, 40, 7, 1, 25, 28, 39, 2, 2, 39, 43, 34, 46, 49, 40, 14, 5, 38, 8, 36, 16, 37, 21, 23, 2, 35, 5, 26, 2, 20, 19, 10, 7, 42, 29, 5, 48, 26, 33, 37, 39, 38, 30, 11, 13]
[44, 43, 29, 18, 5, 30, 32, 0, 23, 14, 46, 32, 34, 48, 19, 25, 42, 5, 30, 38, 9, 2, 41, 26, 16, 7, 27, 37, 44, 23, 16, 47, 13, 14, 39, 13, 9, 32, 36, 1, 29, 17, 33, 44, 12, 1, 13, 39, 9, 42, 13, 3, 5, 46, 48, 18, 43, 44, 22, 5, 0, 35, 45, 15, 49, 12, 7, 49, 50, 9, 33, 23, 25, 10, 29, 2, 3, 39, 46, 1, 47, 7, 13, 48, 38, 23, 28, 29, 8, 7, 35, 13, 20, 41, 42, 4, 41, 13, 48, 4, 19, 42, 6, 26, 9, 0, 30, 37, 9, 36, 50, 7, 15, 41, 23]
[4, 24, 15, 10, 33, 13, 37, 23, 0, 25, 22, 3, 31, 18, 28, 42, 23, 18, 49, 48, 9, 48, 3, 19, 1, 17, 29, 36, 42, 11, 34, 26, 33, 9, 50, 30, 11, 3, 5, 4, 43, 31, 47, 24, 13, 25, 49, 49, 45, 47, 49, 24, 22, 20, 48, 7, 49, 39, 9, 30, 46, 13, 17, 37, 2, 16, 19, 9, 25, 7, 36, 2, 23, 48, 5, 32, 33, 27, 9, 31, 44, 5, 50, 50, 34, 33, 45, 46, 12, 19, 38, 5, 37, 36, 35, 22, 13, 47, 31, 5, 35, 48, 34, 49, 12, 2, 5, 17, 38, 26, 42, 50, 47, 38, 39]
[2, 14, 5, 29, 0, 50, 3, 14, 25, 0, 32, 14, 27, 4, 12, 20, 19, 31, 6, 12, 35, 15, 12, 2, 4, 48, 7, 14, 30, 9, 36, 41, 41, 9, 9, 37, 42, 36, 22, 50, 27, 12, 25, 12, 2, 47, 42, 44, 36, 18, 20, 25, 47, 4, 48, 6, 24, 2, 30, 29, 7, 4, 35, 4, 13, 39, 26, 16, 44, 28, 21, 7, 24, 40, 39, 20, 50, 26, 20, 41, 3, 4, 1, 45, 37, 47, 6, 21, 45, 26, 29, 23, 2, 26, 9, 18, 35, 42, 6, 33, 5, 22, 17, 6, 38, 25, 42, 14, 21, 28, 15, 29, 24, 24, 9]
