N1,N2,...,Nx
[0, 40, 41, 7, 50, 31, 21, 42, 38, 46, 20, 35, 27, 15, 6, 45, 13, 27, 40, 16, 6, 14, 19, 14, 9, 14, 1, 6, 24, 42, 40, 37, 33, 13, 41, 17, 38, 25, 16, 32, 22, 21, 14, 7, 35, 48, 34]
[40, 0, 18, 30, 30, 1, 41, 5, 3, 38, 11, 32, 48, 27, 47, 38, 35, 43, 7, 22, 47, 24, 27, 7, 7, 14, 44, 14, 28, 40, 21, 23, 42, 33, 4, 12, 5, 45, 18, 6, 3, 11, 24, 45, 44, 13, 13]
[41, 18, 0, 45, 15, 48, 40, 25, 40, 32, 1, 6, 34, 15, 1, 18, 42, 0, 49, 4, 8, 46, 48, 39, 41, 47, 40, 37, 18, 49, 20, 8, 39, 8, 26, 46, 41, 6, 31, 41, 47, 15, 21, 41, 19, 19, 8]
[7, 30, 45, 0, 35, 26, 2, 40, 44, 22, 49, 15, 44, 30, 35, 39, 7, 36, 18, 14, 46, 24, 18, 35, 0, 32, 28, 40, 4, 46, 2, 23, 36, 29, 20, 15, 0, 22, 5, 33, 35, 10, 36, 46, 34, 28, 46]
[50, 30, 15, 35, 0, 6, 19, 46, 5, 15, 27, 5, 44, 25, 3, 37, 36, 16, 43, 38, 50, 30, 25, 43, 34, 21, 29, 22, 29, 23, 46, 11, 32, 40, 22, 26, 9, 26, 41, 30, 21, 29, 49, 20, 4, 26, 35]
[31, 1, 48, 26, 6, 0, 0, 17, 21, 10, 44, 47, 29, 28, 19, 4, 47, 36, 20, 36, 6, 47, 44, 7, 43, 30, 5, 40, 21, 7, 33, 46, 7, 11, 14, 25, 41, 19, 38, 42, 46, 16, 13, 46, 17, 40, 35]
[21, 41, 40, 2, 19, 0, 0, 16, 18, 37, 2, 5, 39, 22, 4, 48, 2, 32, 38, 15, 27, 37, 43, 45, 9, 10, 20, 50, 28, 43, 31, 9, 10, 8, 0, 9, 15, 4, 33, 31, 13, 28, 45, 2, 50, 26, 9]
[42, 5, 25, 40, 46, 17, 16, 0, 26, 8, 6, 12, 35, 46, 2, 34, 12, 8, 44, 3, 17, 12, 20, 2, 34, 16, 0, 47, 7, 20, 49, 19, 14, 20, 2, 33, 39, 31, 18, 32, 6, 20, 10, 49, 13, 36, 37]
[38, 3, 40, 44, 5, 21, 18, 26, 0, 25, 41, 28, 24, 29, 12, 44, 31, 34, 24, 24, 50, 20, 36, 38, 1, 36, 27, 3, 48, 7, 37, 41, 29, 43, 11, 6, 3, 43, 9, 4, 27, 9, 10, 43, 10, 20, 18]
[46, 38, 32, 22, 15, 10, 37, 8, 25, 0, 6, 20, 40, 15, 6, 41, 7, 44, 33, 31, 7, 21, 27, 25, 15, 44, 12, 5, 19, 42, 31, 5, 45, 37, 41, 31, 28, 33, 31, 19, 35, 24, 39, 35, 5, 23, 23]
