N1,N2,...,Nx
[0, 19, 12, 6, 20, 34, 16, 47, 0, 35, 49, 28, 17, 35, 47, 5, 44, 29, 50, 36, 48, 36, 11, 42, 27, 18, 33, 13, 11, 2, 32, 16, 29, 20, 50, 1, 16, 22, 33, 46, 15, 23, 7, 30, 40, 37, 28, 45, 19, 4, 44, 28, 28, 30, 24, 41, 10, 37, 47, 31]
[19, 0, 3, 14, 3, 23, 2, 39, 36, 33, 14, 29, 17, 24, 15, 20, 30, 28, 24, 1, 37, 23, 36, 40, 37, 40, 45, 17, 29, 18, 30, 48, 49, 46, 41, 28, 3, 14, 43, 1, 4, 14, 2, 47, 46, 5, 23, 0, 47, 16, 50, 13, 21, 38, 2, 38, 35, 21, 10, 19]
[12, 3, 0, 32, 39, 47, 9, 18, 37, 34, 21, 40, 5, 10, 35, 30, 14, 36, 48, 27, 31, 47, 16, 11, 16, 38, 45, 5, 10, 4, 7, 50, 44, 5, 2, 4, 42, 24, 6, 29, 29, 29, 48, 44, 5, 48, 35, 32, 3, 17, 15, 35, 32, 8, 23, 49, 23, 40, 1, 44]
[6, 14, 32, 0, 11, 33, 8, 3, 13, 18, 40, 34, 2, 10, 26, 24, 0, 21, 27, 23, 50, 7, 48, 3, 6, 41, 5, 27, 24, 20, 32, 41, 24, 15, 20, 26, 0, 47, 48, 25, 23, 27, 24, 5, 43, 31, 13, 37, 50, 30, 49, 39, 38, 50, 5, 26, 3, 6, 16, 36]
[20, 3, 39, 11, 0, 21, 36, 34, 10, 30, 26, 32, 34, 48, 39, 13, 35, 0, 24, 42, 33, 17, 8, 49, 32, 26, 15, 46, 4, 10, 23, 12, 33, 35, 41, 36, 18, 26, 22, 20, 35, 49, 15, 33, 1, 19, 47, 2, 28, 32, 15, 42, 6, 38, 6, 25, 45, 42, 42, 36]
[34, 23, 47, 33, 21, 0, 23, 4, 28, 48, 3, 33, 28, 7, 5, 12, 22, 40, 50, 3, 42, 29, 13, 9, 12, 41, 41, 11, 41, 49, 6, 18, 8, 6, 4, 21, 6, 14, 34, 43, 4, 29, 10, 12, 6, 13, 46, 26, 32, 7, 48, 8, 27, 23, 29, 35, 36, 45, 27, 22]
[16, 2, 9, 8, 36, 23, 0, 16, 3, 14, 23, 22, 23, 40, 10, 24, 27, 46, 41, 18, 21, 48, 41, 22, 32, 23, 13, 19, 6, 28, 31, 38, 43, 27, 26, 33, 38, 48, 40, 48, 33, 22, 37, 5, 11, 33, 2, 45, 33, 35, 12, 30, 35, 39, 4, 17, 37, 23, 1, 18]
[47, 39, 18, 3, 34, 4, 16, 0, 45, 0, 26, 4, 33, 48, 45, 37, 8, 21, 15, 29, 10, 13, 20, 0, 6, 37, 40, 12, 25, 28, 32, 36, 14, 28, 4, 19, 17, 37, 15, 17, 42, 49, 40, 49, 24, 35, 0, 14, 18, 46, 4, 47, 2, 25, 42, 13, 17, 12, 42, 7]
[0, 36, 37, 13, 10, 28, 3, 45, 0, 28, 32, 15, 28, 18, 28, 27, 14, 37, 40, 40, 47, 42, 39, 21, 38, 39, 4, 7, 5, 20, 18, 3, 26, 39, 19, 14, 30, 33, 46, 12, 45, 7, 47, 10, 49, 9, 40, 44, 37, 40, 50, 48, 3, 30, 25, 42, 29, 10, 1, 36]
[35, 33, 34, 18, 30, 48, 14, 0, 28, 0, 19, 23, 50, 16, 17, 5, 31, 11, 5, 10, 19, 36, 37, 34, 23, 44, 27, 49, 29, 15, 14, 1, 3, 37, 16, 22, 4, 32, 10, 15, 47, 30, 15, 3, 27, 49, 7, 50, 48, 45, 24, 4, 19, 15, 16, 39, 47, 42, 35, 8]
[49, 14, 21, 40, 26, 3, 23, 26, 32, 19, 0, 25, 3, 45, 30, 45, 25, 49, 6, 18, 45, 38, 32, 3, 30, 29, 1, 21, 47, 37, 10, 6, 34, 22, 3, 50, 22, 3, 31, 1, 50, 1, 4, 32, 30, 50, 18, 33, 46, 8, 19, 38, 2, 10, 25, 50, 29, 35, 3, 44]
[28, 29, 40, 34, 32, 33, 22, 4, 15, 23, 25, 0, 26, 29, 11, 42, 50, 27, 36, 15, 13, 37, 35, 19, 25, 33, 8, 9, 2, 26, 39, 25, 14, 6, 13, 23, 32, 2, 26, 22, 10, 24, 11, 22, 30, 23, 11, 11, 17, 25, 40, 33, 0, 12, 24, 8, 3, 26, 27, 41]
[17, 17, 5, 2, 34, 28, 23, 33, 28, 50, 3, 26, 0, 29, 24, 33, 15, 37, 6, 6, 17, 16, 22, 49, 31, 0, 24, 48, 20, 48, 26, 7, 2, 39, 23, 5, 13, 44, 6, 24, 21, 22, 25, 17, 26, 38, 50, 14, 32, 10, 36, 25, 1, 37, 36, 38, 40, 5, 50, 29]
