N1,N2,...,Nx
[0, 19, 36, 22, 14, 10, 20, 4, 4, 40, 39, 21, 39, 17, 14, 47, 18, 31, 25, 8, 39, 28, 25, 22, 32, 35, 0, 5, 28, 15, 47, 20, 10, 10, 2, 26, 15, 23, 1, 25, 24, 30, 33, 47, 50, 33, 5, 19, 5, 3, 11, 0, 10, 26, 21, 27, 45, 36, 20, 5, 30, 11, 3, 9, 26, 37, 38, 44, 8, 18, 29, 17, 6, 29, 27, 46, 19, 18, 15, 12, 38, 36, 21, 15, 37, 42, 43, 46, 15, 9, 15, 4, 17, 19, 10, 5, 19, 20, 9, 43, 26, 36, 45, 37, 3, 8, 23, 42, 12, 27, 23, 9, 33, 12, 11, 18, 34, 40, 18, 0, 2, 12, 48, 48, 8, 29, 24, 21, 4, 37, 28, 22, 5, 43, 25, 39, 36, 20, 27, 14, 35, 22, 3, 13, 47, 16, 6, 31, 12, 48, 30]
[19, 0, 22, 25, 32, 43, 31, 22, 37, 42, 4, 44, 45, 3, 17, 42, 2, 35, 21, 38, 3, 25, 25, 16, 33, 35, 34, 4, 34, 47, 18, 0, 0, 24, 36, 25, 33, 4, 10, 12, 6, 12, 20, 44, 0, 23, 12, 18, 29, 47, 31, 2, 10, 29, 14, 38, 29, 5, 11, 6, 49, 0, 13, 10, 36, 11, 36, 19, 41, 44, 46, 0, 49, 25, 23, 31, 25, 39, 22, 15, 15, 41, 27, 39, 0, 40, 29, 33, 10, 5, 23, 44, 6, 20, 18, 20, 3, 10, 42, 46, 47, 28, 33, 12, 44, 11, 21, 41, 50, 31, 14, 31, 12, 38, 34, 45, 41, 50, 1, 5, 42, 13, 17, 11, 6, 3, 29, 0, 16, 19, 48, 43, 47, 27, 44, 10, 35, 42, 7, 42, 7, 45, 12, 37, 22, 42, 28, 24, 5, 15, 35]
[36, 22, 0, 8, 25, 3, 29, 4, 42, 27, 13, 48, 15, 15, 24, 32, 29, 30, 11, 7, 26, 26, 48, 29, 27, 7, 39, 33, 33, 11, 4, 8, 4, 40, 6, 18, 19, 39, 24, 1, 0, 34, 2, 34, 25, 38, 35, 37, 23, 3, 15, 5, 42, 12, 45, 32, 29, 14, 0, 50, 28, 10, 9, 13, 45, 41, 27, 8, 24, 41, 24, 48, 11, 34, 15, 35, 20, 50, 7, 10, 34, 48, 11, 34, 37, 41, 4, 23, 39, 19, 37, 28, 45, 30, 45, 16, 16, 7, 12, 35, 31, 9, 8, 0, 25, 16, 43, 46, 15, 20, 4, 30, 10, 15, 15, 49, 8, 15, 19, 42, 27, 44, 31, 16, 30, 33, 49, 4, 39, 44, 27, 37, 4, 4, 36, 27, 21, 48, 47, 34, 44, 11, 46, 19, 11, 3, 0, 26, 23, 30, 16]
[22, 25, 8, 0, 20, 10, 36, 20, 2, 6, 50, 19, 5, 35, 31, 41, 37, 17, 16, 32, 21, 22, 17, 24, 0, 50, 40, 6, 15, 41, 48, 26, 17, 43, 6, 18, 33, 38, 19, 49, 36, 39, 14, 42, 43, 29, 17, 9, 7, 19, 46, 50, 2, 13, 12, 44, 15, 32, 21, 15, 15, 3, 3, 34, 31, 19, 4, 0, 3, 22, 6, 4, 41, 50, 43, 48, 8, 46, 47, 7, 50, 49, 36, 30, 26, 1, 48, 17, 22, 35, 12, 24, 48, 26, 50, 18, 21, 34, 42, 15, 16, 42, 7, 45, 41, 28, 39, 4, 44, 23, 20, 11, 38, 8, 35, 44, 43, 48, 28, 30, 21, 32, 29, 9, 9, 24, 24, 14, 11, 49, 4, 36, 5, 15, 13, 19, 34, 8, 17, 5, 35, 17, 42, 50, 27, 38, 42, 50, 37, 39, 11]
[14, 32, 25, 20, 0, 5, 2, 0, 24, 27, 41, 49, 18, 25, 31, 26, 43, 15, 45, 5, 27, 9, 35, 37, 8, 43, 21, 18, 43, 35, 1, 23, 10, 41, 45, 42, 10, 35, 19, 1, 42, 42, 13, 45, 44, 10, 30, 26, 9, 40, 25, 18, 44, 41, 0, 7, 1, 8, 47, 13, 33, 38, 14, 27, 7, 28, 33, 40, 6, 13, 47, 24, 29, 29, 49, 31, 42, 35, 44, 13, 0, 1, 23, 25, 24, 38, 37, 17, 50, 41, 18, 31, 25, 6, 37, 14, 38, 23, 49, 44, 43, 28, 43, 34, 32, 36, 43, 13, 11, 19, 20, 12, 2, 31, 12, 13, 6, 43, 46, 18, 41, 49, 22, 19, 38, 48, 45, 1, 34, 14, 6, 35, 21, 48, 37, 47, 11, 10, 46, 40, 0, 24, 6, 42, 12, 5, 2, 46, 49, 41, 3]
[10, 43, 3, 10, 5, 0, 31, 7, 24, 26, 5, 42, 16, 3, 16, 44, 38, 41, 44, 43, 17, 3, 47, 2, 30, 5, 11, 26, 40, 32, 41, 32, 23, 39, 47, 25, 2, 23, 9, 13, 28, 20, 37, 4, 41, 8, 25, 7, 45, 10, 1, 49, 32, 19, 5, 27, 49, 41, 15, 48, 17, 11, 13, 43, 43, 42, 9, 46, 28, 31, 26, 15, 9, 2, 28, 30, 1, 9, 29, 44, 24, 1, 22, 11, 24, 38, 0, 15, 50, 44, 45, 16, 1, 24, 34, 19, 45, 29, 45, 30, 38, 42, 2, 8, 37, 15, 31, 19, 37, 43, 17, 22, 17, 28, 26, 48, 7, 28, 5, 9, 8, 19, 18, 22, 7, 46, 31, 28, 38, 26, 8, 4, 47, 43, 24, 18, 34, 15, 4, 0, 43, 16, 33, 22, 8, 2, 27, 26, 31, 20, 21]
[20, 31, 29, 36, 2, 31, 0, 5, 23, 6, 30, 28, 44, 40, 46, 41, 10, 6, 14, 28, 14, 49, 7, 14, 35, 3, 8, 42, 23, 30, 49, 23, 25, 47, 43, 12, 49, 42, 14, 1, 34, 44, 6, 5, 13, 10, 46, 39, 31, 21, 30, 38, 42, 14, 18, 28, 23, 38, 23, 35, 1, 2, 30, 36, 46, 15, 48, 26, 4, 20, 3, 12, 26, 28, 23, 34, 31, 13, 7, 47, 7, 47, 9, 7, 0, 4, 22, 23, 20, 30, 38, 26, 41, 6, 45, 19, 30, 13, 35, 31, 12, 3, 6, 32, 16, 4, 48, 42, 1, 16, 22, 50, 31, 33, 41, 39, 44, 23, 35, 22, 7, 48, 44, 3, 12, 20, 38, 24, 44, 17, 38, 42, 47, 5, 25, 12, 13, 3, 22, 25, 22, 12, 50, 0, 49, 0, 39, 48, 39, 2, 23]
[4, 22, 4, 20, 0, 7, 5, 0, 28, 8, 40, 46, 34, 32, 9, 26, 7, 40, 31, 47, 15, 36, 18, 22, 47, 5, 41, 33, 31, 27, 14, 46, 32, 31, 49, 16, 7, 7, 30, 2, 10, 2, 45, 11, 45, 21, 38, 29, 23, 41, 34, 9, 23, 9, 44, 15, 18, 25, 19, 23, 8, 11, 8, 32, 37, 21, 19, 40, 50, 21, 13, 48, 6, 47, 4, 3, 49, 30, 1, 41, 27, 47, 2, 5, 23, 23, 22, 48, 25, 7, 6, 42, 39, 32, 43, 34, 14, 25, 7, 32, 19, 7, 46, 27, 13, 46, 11, 5, 49, 16, 45, 5, 3, 1, 9, 20, 36, 3, 27, 29, 19, 39, 50, 33, 34, 9, 45, 14, 26, 40, 32, 47, 11, 3, 12, 5, 28, 10, 20, 36, 17, 18, 25, 42, 20, 34, 3, 17, 26, 40, 39]
[4, 37, 42, 2, 24, 24, 23, 28, 0, 45, 11, 22, 8, 45, 44, 23, 8, 4, 36, 37, 4, 30, 50, 40, 9, 32, 48, 29, 28, 13, 5, 28, 0, 33, 20, 50, 41, 39, 26, 13, 33, 42, 43, 26, 4, 33, 21, 41, 8, 1, 29, 40, 25, 19, 1, 3, 38, 35, 4, 41, 39, 31, 1, 26, 23, 46, 38, 34, 41, 24, 1, 38, 47, 22, 2, 19, 43, 5, 44, 14, 26, 1, 45, 45, 3, 36, 21, 17, 41, 46, 16, 1, 13, 10, 16, 49, 39, 46, 25, 2, 50, 15, 22, 8, 21, 17, 5, 4, 0, 50, 35, 0, 43, 42, 32, 15, 37, 36, 45, 30, 26, 12, 30, 22, 11, 22, 44, 37, 14, 45, 30, 42, 19, 33, 29, 50, 39, 12, 33, 34, 6, 37, 40, 25, 37, 28, 34, 47, 32, 24, 26]
[40, 42, 27, 6, 27, 26, 6, 8, 45, 0, 39, 6, 28, 5, 34, 44, 39, 11, 7, 26, 15, 23, 27, 8, 32, 30, 50, 31, 28, 18, 18, 1, 0, 24, 5, 39, 13, 22, 44, 33, 14, 35, 48, 28, 45, 4, 6, 17, 26, 48, 35, 14, 44, 39, 32, 6, 13, 36, 18, 46, 46, 29, 17, 39, 34, 10, 16, 0, 24, 1, 44, 6, 2, 19, 1, 35, 14, 19, 37, 17, 49, 20, 20, 34, 28, 18, 38, 24, 38, 27, 40, 29, 16, 31, 24, 14, 19, 7, 4, 29, 15, 16, 23, 2, 45, 29, 22, 24, 16, 18, 20, 15, 21, 25, 7, 37, 48, 24, 36, 50, 4, 10, 33, 4, 42, 15, 30, 5, 20, 31, 2, 9, 27, 26, 4, 26, 2, 36, 34, 28, 31, 38, 16, 16, 15, 41, 3, 22, 19, 44, 16]
