N1,N2,...,Nx
[0, 37, 8, 17, 11, 43, 31, 2, 30, 30, 2, 50, 50, 5, 37, 8, 15, 5, 0, 21, 3, 21, 32, 49, 24, 44, 50, 26, 9, 31, 44, 8, 8, 26, 8, 12, 16, 45, 36, 24, 43, 2, 44, 26, 10, 0, 29, 6, 46, 42, 7, 32, 1, 12, 29, 24, 27, 9, 6, 49, 3, 30, 37, 35, 38, 46, 17, 10, 34, 27, 48, 7, 50, 6, 6, 16, 38, 42, 27, 17, 43, 10, 23, 15, 27, 42, 12, 29, 41]
[37, 0, 41, 24, 23, 47, 26, 20, 40, 32, 0, 19, 0, 5, 39, 45, 42, 8, 39, 29, 14, 22, 50, 24, 19, 14, 4, 34, 31, 44, 16, 9, 22, 34, 31, 33, 45, 11, 40, 21, 16, 29, 46, 31, 33, 15, 9, 3, 31, 33, 37, 17, 26, 8, 3, 44, 35, 26, 17, 26, 41, 7, 37, 29, 45, 31, 43, 15, 30, 48, 33, 18, 18, 2, 33, 25, 0, 46, 40, 17, 46, 31, 42, 23, 30, 17, 11, 40, 35]
[8, 41, 0, 12, 23, 30, 16, 22, 24, 10, 2, 31, 39, 10, 17, 33, 8, 10, 27, 40, 11, 17, 28, 11, 37, 39, 35, 23, 47, 33, 29, 40, 28, 23, 24, 17, 10, 49, 16, 44, 3, 45, 35, 48, 49, 37, 22, 45, 7, 39, 30, 41, 46, 27, 6, 27, 46, 17, 32, 6, 32, 2, 14, 21, 47, 17, 20, 38, 4, 29, 32, 48, 30, 13, 6, 34, 0, 3, 0, 3, 34, 43, 24, 4, 9, 38, 45, 6, 3]
[17, 24, 12, 0, 43, 29, 2, 0, 47, 16, 37, 9, 38, 31, 45, 16, 3, 21, 9, 39, 10, 2, 10, 1, 1, 41, 15, 3, 18, 41, 23, 8, 26, 14, 5, 5, 50, 33, 6, 8, 3, 9, 31, 3, 45, 25, 8, 32, 35, 17, 49, 35, 40, 5, 9, 39, 43, 47, 8, 14, 9, 13, 33, 8, 43, 36, 22, 5, 4, 50, 42, 46, 26, 36, 39, 4, 29, 2, 21, 1, 37, 14, 31, 24, 39, 31, 39, 33, 31]
[11, 23, 23, 43, 0, 12, 3, 14, 29, 17, 22, 21, 27, 4, 28, 19, 21, 38, 18, 27, 27, 42, 22, 48, 8, 10, 42, 21, 9, 32, 29, 11, 25, 32, 0, 13, 24, 3, 20, 7, 36, 28, 5, 6, 45, 37, 18, 37, 44, 44, 47, 4, 43, 20, 40, 8, 50, 1, 40, 49, 35, 24, 42, 11, 21, 26, 41, 31, 50, 16, 27, 0, 25, 1, 14, 20, 4, 23, 10, 19, 12, 45, 22, 35, 7, 46, 41, 32, 46]
[43, 47, 30, 29, 12, 0, 24, 36, 33, 8, 26, 22, 39, 10, 42, 39, 21, 42, 37, 8, 24, 10, 11, 38, 28, 6, 4, 19, 32, 0, 1, 47, 45, 14, 9, 26, 30, 22, 16, 26, 3, 2, 42, 6, 10, 49, 9, 17, 2, 7, 13, 32, 14, 12, 2, 4, 19, 24, 4, 3, 39, 38, 40, 30, 1, 30, 19, 50, 47, 0, 29, 43, 49, 35, 7, 9, 7, 48, 11, 14, 14, 21, 43, 32, 41, 48, 46, 25, 35]
[31, 26, 16, 2, 3, 24, 0, 35, 34, 6, 8, 3, 34, 33, 38, 38, 15, 34, 38, 46, 38, 44, 22, 28, 29, 25, 50, 5, 22, 28, 50, 22, 50, 16, 45, 42, 25, 10, 6, 15, 49, 34, 32, 30, 27, 12, 6, 17, 17, 27, 33, 27, 34, 26, 30, 14, 41, 8, 47, 5, 10, 48, 3, 33, 3, 3, 1, 1, 49, 32, 40, 45, 41, 45, 8, 22, 7, 42, 36, 39, 48, 28, 47, 41, 4, 33, 6, 19, 21]
[2, 20, 22, 0, 14, 36, 35, 0, 33, 29, 27, 2, 17, 14, 18, 25, 45, 41, 43, 9, 14, 41, 40, 22, 29, 14, 31, 40, 48, 13, 40, 13, 2, 19, 15, 50, 16, 3, 32, 49, 16, 2, 17, 47, 45, 17, 20, 38, 0, 16, 31, 30, 10, 40, 28, 33, 0, 45, 2, 46, 10, 13, 39, 50, 29, 0, 44, 35, 5, 20, 11, 45, 43, 28, 40, 38, 25, 29, 35, 16, 46, 22, 0, 18, 35, 19, 18, 32, 13]
[30, 40, 24, 47, 29, 33, 34, 33, 0, 44, 6, 31, 37, 46, 24, 30, 5, 40, 15, 47, 40, 28, 14, 18, 50, 45, 42, 16, 34, 7, 21, 7, 49, 33, 47, 26, 41, 8, 0, 42, 0, 28, 48, 0, 17, 43, 43, 37, 8, 13, 43, 49, 9, 36, 40, 7, 27, 46, 28, 19, 50, 44, 35, 24, 16, 48, 36, 33, 43, 23, 40, 36, 13, 23, 31, 7, 33, 0, 3, 2, 48, 45, 26, 15, 23, 13, 12, 16, 23]
[30, 32, 10, 16, 17, 8, 6, 29, 44, 0, 10, 13, 1, 24, 19, 49, 29, 0, 27, 1, 7, 3, 34, 41, 4, 12, 23, 14, 11, 41, 23, 4, 24, 43, 35, 49, 34, 15, 41, 7, 1, 29, 36, 47, 13, 26, 46, 5, 43, 26, 22, 40, 37, 48, 6, 23, 34, 1, 19, 22, 42, 17, 30, 50, 45, 29, 15, 42, 30, 10, 31, 5, 8, 10, 33, 9, 28, 1, 22, 43, 0, 26, 3, 34, 18, 5, 34, 1, 17]
