N1,N2,...,Nx
[0, 13, 33, 3, 41, 11, 40, 10, 13, 19, 24, 26, 0, 0, 21, 15, 42, 35, 8, 41, 48, 13, 0, 13, 22, 49, 42, 41, 26, 34, 10, 21, 6, 36, 29, 37, 8, 2, 25, 22, 5, 7, 26, 9, 33, 14]
[13, 0, 48, 16, 6, 50, 9, 4, 3, 17, 34, 12, 33, 7, 46, 45, 16, 50, 49, 15, 9, 5, 34, 16, 10, 3, 5, 21, 5, 36, 47, 46, 45, 47, 28, 3, 49, 19, 29, 44, 50, 42, 46, 6, 1, 16]
[33, 48, 0, 27, 28, 31, 3, 24, 25, 19, 9, 7, 42, 2, 49, 42, 50, 28, 4, 31, 46, 33, 50, 7, 28, 1, 23, 20, 12, 25, 6, 26, 36, 0, 45, 35, 4, 24, 43, 21, 19, 42, 46, 10, 23, 30]
[3, 16, 27, 0, 42, 45, 29, 37, 21, 44, 31, 49, 15, 8, 12, 14, 3, 48, 32, 49, 50, 1, 10, 31, 28, 25, 29, 17, 34, 10, 47, 39, 17, 3, 8, 30, 19, 45, 43, 25, 20, 28, 5, 6, 30, 43]
[41, 6, 28, 42, 0, 15, 6, 25, 19, 1, 11, 17, 31, 21, 1, 47, 29, 16, 35, 34, 1, 26, 37, 35, 31, 29, 45, 5, 5, 42, 21, 39, 5, 5, 19, 26, 41, 17, 40, 13, 7, 15, 11, 47, 41, 16]
[11, 50, 31, 45, 15, 0, 22, 49, 21, 6, 6, 13, 22, 42, 15, 21, 48, 34, 22, 37, 13, 37, 28, 34, 27, 15, 46, 33, 19, 13, 14, 16, 20, 23, 7, 0, 27, 2, 0, 12, 38, 8, 6, 12, 1, 50]
[40, 9, 3, 29, 6, 22, 0, 3, 19, 50, 36, 10, 33, 31, 3, 7, 6, 42, 31, 36, 48, 6, 11, 50, 42, 7, 3, 39, 32, 23, 5, 32, 36, 28, 34, 29, 33, 19, 34, 40, 11, 4, 30, 25, 0, 34]
[10, 4, 24, 37, 25, 49, 3, 0, 28, 44, 39, 13, 3, 17, 31, 11, 16, 45, 46, 26, 48, 41, 26, 14, 15, 19, 39, 34, 48, 43, 0, 21, 34, 34, 33, 2, 22, 0, 4, 39, 40, 24, 4, 43, 48, 9]
[13, 3, 25, 21, 19, 21, 19, 28, 0, 10, 2, 8, 21, 30, 36, 39, 11, 38, 9, 29, 44, 8, 23, 19, 20, 26, 43, 40, 39, 5, 17, 7, 29, 46, 37, 4, 25, 2, 50, 32, 20, 34, 16, 10, 39, 6]
[19, 17, 19, 44, 1, 6, 50, 44, 10, 0, 16, 49, 7, 12, 35, 9, 43, 12, 31, 13, 17, 3, 4, 9, 16, 2, 37, 8, 38, 15, 40, 2, 2, 27, 7, 29, 29, 22, 33, 18, 48, 32, 20, 22, 17, 26]
