N1,N2,...,Nx
[0, 33, 13, 48, 42, 24, 38, 4, 22, 10, 21, 3, 0, 3, 40, 19, 22, 12, 16, 32, 13, 30, 15, 35, 39, 2, 7, 37, 8, 25, 12, 29, 47, 25, 34, 29, 15, 1, 43, 7, 26, 12, 2, 4, 10, 24, 5, 18, 43, 10, 9]
[33, 0, 28, 17, 27, 23, 31, 43, 35, 11, 42, 36, 28, 29, 21, 50, 16, 44, 3, 25, 33, 5, 49, 34, 1, 48, 6, 11, 12, 47, 28, 29, 29, 14, 4, 40, 24, 15, 46, 13, 13, 23, 43, 19, 37, 20, 29, 40, 11, 42, 32]
[13, 28, 0, 33, 27, 12, 15, 44, 50, 30, 6, 9, 5, 40, 35, 44, 21, 47, 11, 33, 30, 4, 22, 47, 41, 25, 0, 19, 10, 8, 32, 49, 15, 31, 48, 46, 20, 2, 36, 29, 12, 31, 0, 14, 24, 0, 16, 46, 38, 35, 9]
[48, 17, 33, 0, 43, 25, 36, 21, 50, 38, 9, 19, 36, 23, 13, 11, 11, 23, 41, 43, 38, 42, 41, 27, 26, 8, 40, 7, 32, 16, 47, 42, 45, 29, 12, 30, 19, 26, 29, 29, 6, 25, 17, 34, 25, 43, 41, 30, 39, 17, 9]
[42, 27, 27, 43, 0, 40, 41, 48, 39, 40, 27, 32, 16, 45, 16, 26, 46, 0, 4, 10, 33, 19, 5, 17, 26, 16, 44, 35, 36, 49, 28, 38, 42, 28, 11, 37, 47, 43, 4, 37, 38, 50, 17, 31, 10, 41, 37, 7, 37, 10, 46]
[24, 23, 12, 25, 40, 0, 20, 33, 6, 36, 29, 9, 48, 28, 42, 19, 15, 48, 21, 44, 22, 18, 8, 29, 6, 47, 41, 8, 13, 43, 15, 36, 8, 25, 22, 30, 41, 11, 25, 4, 16, 7, 45, 3, 50, 30, 31, 22, 7, 3, 26]
[38, 31, 15, 36, 41, 20, 0, 40, 49, 14, 38, 15, 39, 6, 22, 14, 43, 38, 46, 22, 9, 33, 9, 14, 44, 29, 31, 3, 38, 32, 5, 3, 23, 13, 4, 19, 18, 43, 34, 28, 16, 2, 26, 42, 40, 20, 47, 1, 0, 6, 20]
[4, 43, 44, 21, 48, 33, 40, 0, 2, 37, 8, 40, 18, 46, 17, 42, 13, 13, 28, 18, 1, 24, 22, 1, 23, 34, 25, 26, 3, 5, 32, 30, 17, 29, 44, 4, 37, 39, 42, 17, 42, 45, 7, 0, 43, 32, 22, 15, 18, 20, 3]
[22, 35, 50, 50, 39, 6, 49, 2, 0, 48, 27, 45, 13, 14, 46, 46, 6, 39, 39, 37, 44, 48, 8, 35, 0, 29, 36, 23, 18, 27, 24, 43, 44, 36, 33, 43, 21, 39, 28, 9, 20, 45, 23, 48, 1, 4, 12, 25, 19, 0, 8]
[10, 11, 30, 38, 40, 36, 14, 37, 48, 0, 44, 41, 5, 39, 19, 17, 34, 8, 6, 36, 47, 9, 42, 40, 13, 46, 3, 33, 3, 45, 5, 46, 47, 23, 49, 22, 8, 14, 25, 20, 16, 9, 35, 18, 46, 49, 35, 27, 5, 50, 39]
[21, 42, 6, 9, 27, 29, 38, 8, 27, 44, 0, 42, 28, 41, 0, 42, 18, 35, 45, 6, 8, 33, 19, 38, 32, 48, 33, 49, 26, 2, 10, 28, 5, 15, 30, 28, 30, 3, 31, 11, 14, 35, 5, 0, 44, 41, 38, 22, 23, 9, 17]
[3, 36, 9, 19, 32, 9, 15, 40, 45, 41, 42, 0, 11, 32, 25, 37, 13, 37, 33, 33, 17, 30, 4, 24, 17, 22, 30, 36, 11, 9, 29, 33, 12, 4, 49, 32, 0, 8, 5, 30, 44, 15, 22, 9, 7, 48, 34, 13, 14, 16, 8]
[0, 28, 5, 36, 16, 48, 39, 18, 13, 5, 28, 11, 0, 21, 47, 5, 0, 39, 3, 8, 19, 41, 21, 47, 36, 4, 1, 33, 28, 48, 34, 39, 0, 5, 42, 48, 18, 14, 32, 10, 1, 11, 26, 7, 43, 31, 50, 48, 6, 8, 37]
[3, 29, 40, 23, 45, 28, 6, 46, 14, 39, 41, 32, 21, 0, 22, 50, 31, 17, 17, 49, 15, 15, 23, 37, 43, 5, 15, 50, 9, 2, 29, 5, 8, 10, 48, 36, 12, 36, 8, 50, 6, 11, 47, 47, 36, 6, 20, 46, 13, 25, 23]
[40, 21, 35, 13, 16, 42, 22, 17, 46, 19, 0, 25, 47, 22, 0, 20, 25, 45, 12, 0, 33, 38, 37, 19, 6, 9, 7, 40, 9, 15, 48, 8, 44, 14, 33, 35, 11, 23, 3, 20, 2, 37, 42, 11, 44, 42, 16, 0, 30, 7, 37]
[19, 50, 44, 11, 26, 19, 14, 42, 46, 17, 42, 37, 5, 50, 20, 0, 33, 1, 8, 3, 17, 7, 25, 32, 4, 7, 34, 35, 0, 26, 34, 21, 14, 39, 27, 33, 10, 11, 37, 37, 14, 11, 40, 20, 36, 5, 40, 25, 3, 36, 0]
