N1,N2,...,Nx
[0, 34, 7, 24, 20, 39, 31, 34, 13, 45, 40, 34, 38, 10, 41, 27, 37, 16, 50, 10, 42, 15, 10, 23, 40, 7, 11, 11, 12, 35, 2, 22, 40, 3, 40, 2, 3, 33, 9, 30, 43, 16, 0, 0, 19, 21, 24, 28, 6, 20, 36, 4, 31, 46, 40, 9, 38, 20, 5, 28, 18, 31, 2, 12, 34, 37, 49, 48, 33, 8, 28, 13, 19, 7, 13, 0, 41, 34, 4, 4, 25, 12, 21, 32, 29, 40, 37, 12, 50, 36, 37, 43, 35, 6, 46, 35, 39, 0, 3, 16, 25, 18, 18, 33, 42, 37, 15, 43, 50, 20, 29, 50, 34, 10, 12, 27, 1, 27, 44, 25, 27, 45, 17, 4, 50, 44, 0, 19, 42, 5, 8, 25, 40, 5, 21, 46, 22, 7, 39, 7, 42, 25, 12, 36, 14, 27, 13, 5, 39, 49, 28, 46, 36, 22, 18, 26, 38, 17, 20, 22, 24, 45, 38, 21]
[34, 0, 10, 43, 15, 50, 35, 4, 29, 28, 4, 43, 26, 27, 10, 27, 4, 47, 14, 7, 31, 6, 39, 33, 9, 25, 8, 48, 3, 49, 28, 35, 4, 14, 19, 23, 23, 33, 15, 46, 44, 26, 37, 2, 32, 46, 48, 5, 46, 8, 30, 25, 13, 27, 43, 42, 35, 1, 21, 14, 49, 45, 19, 34, 3, 44, 12, 9, 47, 0, 43, 31, 20, 11, 29, 4, 34, 12, 30, 19, 0, 10, 50, 47, 31, 17, 5, 8, 25, 9, 9, 44, 35, 43, 30, 8, 37, 10, 13, 15, 49, 7, 8, 29, 24, 12, 8, 38, 46, 22, 3, 49, 33, 32, 36, 25, 19, 3, 14, 5, 14, 32, 1, 48, 18, 36, 37, 6, 35, 43, 3, 38, 28, 17, 41, 50, 9, 11, 19, 35, 37, 30, 49, 45, 47, 14, 43, 41, 9, 9, 40, 36, 34, 9, 21, 13, 7, 0, 43, 20, 38, 26, 18, 0]
[7, 10, 0, 35, 9, 30, 5, 5, 32, 16, 2, 42, 44, 13, 4, 29, 29, 47, 50, 8, 15, 41, 50, 0, 23, 12, 2, 21, 47, 16, 8, 48, 5, 30, 9, 9, 26, 27, 21, 3, 25, 41, 9, 5, 8, 12, 42, 5, 4, 50, 34, 1, 8, 8, 22, 0, 16, 35, 27, 37, 4, 6, 39, 5, 16, 25, 48, 36, 22, 25, 32, 31, 25, 7, 19, 30, 31, 50, 34, 29, 3, 28, 14, 49, 40, 15, 32, 42, 15, 26, 16, 37, 35, 28, 29, 26, 2, 19, 10, 22, 33, 29, 15, 18, 40, 44, 17, 39, 42, 46, 4, 31, 48, 39, 13, 5, 33, 43, 40, 14, 7, 29, 5, 30, 26, 24, 2, 34, 7, 43, 2, 47, 43, 6, 49, 8, 21, 31, 40, 15, 46, 15, 46, 23, 45, 25, 39, 13, 47, 47, 6, 38, 37, 18, 32, 26, 26, 39, 17, 26, 47, 4, 47, 2]
[24, 43, 35, 0, 26, 50, 46, 3, 2, 36, 15, 32, 36, 29, 40, 23, 8, 31, 24, 30, 45, 17, 28, 30, 38, 45, 48, 11, 3, 24, 5, 12, 12, 32, 17, 33, 12, 42, 38, 16, 36, 1, 16, 18, 39, 25, 23, 11, 38, 27, 45, 5, 49, 15, 8, 2, 36, 18, 34, 11, 27, 49, 19, 30, 15, 43, 29, 22, 29, 8, 13, 29, 14, 33, 8, 49, 35, 32, 37, 19, 20, 36, 10, 35, 48, 3, 49, 27, 14, 28, 37, 3, 22, 41, 40, 42, 42, 19, 24, 34, 22, 28, 6, 44, 19, 11, 15, 0, 9, 39, 11, 44, 26, 43, 43, 22, 31, 41, 8, 5, 7, 30, 24, 48, 30, 23, 10, 17, 13, 48, 17, 23, 23, 31, 30, 45, 45, 37, 47, 1, 7, 23, 9, 35, 33, 1, 42, 26, 19, 19, 8, 2, 22, 35, 8, 6, 23, 18, 8, 39, 25, 16, 38, 41]
[20, 15, 9, 26, 0, 24, 47, 39, 37, 46, 42, 35, 45, 16, 23, 4, 47, 43, 16, 44, 29, 11, 48, 27, 13, 37, 22, 20, 42, 5, 22, 44, 37, 2, 2, 36, 43, 42, 7, 25, 11, 33, 41, 50, 36, 25, 32, 35, 29, 30, 30, 24, 9, 10, 33, 26, 20, 46, 45, 28, 33, 7, 20, 9, 21, 26, 13, 35, 3, 9, 3, 24, 34, 26, 11, 12, 24, 3, 48, 9, 25, 5, 4, 28, 0, 19, 7, 28, 11, 19, 32, 46, 31, 49, 24, 32, 13, 49, 33, 9, 47, 15, 49, 10, 2, 32, 22, 48, 18, 11, 34, 34, 13, 4, 19, 6, 4, 46, 17, 9, 11, 5, 24, 48, 46, 49, 13, 6, 46, 49, 10, 3, 31, 45, 39, 14, 12, 47, 36, 23, 7, 43, 4, 31, 16, 36, 47, 26, 27, 27, 13, 8, 35, 48, 4, 13, 47, 22, 6, 14, 33, 48, 2, 49]
[39, 50, 30, 50, 24, 0, 22, 13, 17, 49, 17, 39, 27, 36, 34, 47, 2, 41, 34, 40, 21, 47, 42, 38, 47, 40, 10, 42, 27, 37, 23, 28, 27, 4, 42, 4, 8, 49, 30, 28, 45, 24, 25, 43, 29, 36, 8, 28, 27, 2, 29, 15, 1, 38, 10, 34, 38, 26, 0, 3, 44, 18, 19, 44, 3, 43, 40, 46, 6, 46, 1, 32, 39, 24, 33, 35, 9, 27, 21, 33, 21, 21, 48, 34, 37, 40, 39, 38, 18, 41, 12, 9, 12, 21, 2, 32, 33, 2, 39, 50, 9, 16, 38, 47, 7, 26, 13, 13, 17, 9, 50, 37, 46, 20, 49, 18, 37, 47, 37, 27, 26, 26, 27, 32, 49, 39, 6, 10, 24, 7, 23, 36, 47, 22, 28, 48, 46, 45, 15, 41, 14, 26, 26, 17, 39, 11, 25, 32, 24, 45, 19, 42, 27, 47, 0, 7, 16, 20, 27, 1, 7, 33, 36, 29]
[31, 35, 5, 46, 47, 22, 0, 19, 43, 39, 5, 42, 0, 11, 9, 8, 18, 25, 18, 1, 24, 2, 28, 22, 39, 31, 13, 15, 25, 35, 13, 22, 26, 11, 28, 3, 5, 21, 19, 13, 28, 41, 35, 3, 8, 0, 32, 10, 2, 44, 14, 12, 6, 27, 4, 24, 26, 39, 2, 3, 22, 31, 3, 12, 43, 23, 44, 4, 30, 10, 22, 32, 0, 11, 29, 33, 28, 35, 10, 7, 14, 17, 50, 22, 34, 1, 49, 40, 24, 44, 50, 11, 50, 48, 3, 36, 0, 43, 20, 47, 36, 47, 19, 43, 5, 50, 42, 35, 16, 23, 2, 24, 4, 35, 12, 35, 12, 21, 44, 25, 36, 3, 44, 42, 37, 11, 41, 8, 20, 16, 27, 32, 23, 28, 15, 14, 48, 41, 42, 28, 4, 36, 38, 32, 18, 11, 11, 34, 19, 42, 0, 47, 28, 26, 32, 34, 10, 47, 11, 32, 4, 18, 3, 9]
[34, 4, 5, 3, 39, 13, 19, 0, 16, 9, 10, 3, 41, 28, 50, 47, 30, 38, 17, 13, 11, 31, 41, 50, 10, 13, 30, 13, 42, 41, 28, 16, 21, 39, 33, 42, 10, 18, 13, 25, 30, 31, 41, 42, 23, 9, 27, 8, 17, 35, 15, 18, 20, 8, 33, 29, 23, 4, 32, 36, 43, 35, 32, 8, 7, 18, 32, 3, 50, 17, 39, 11, 39, 15, 41, 3, 40, 22, 7, 31, 50, 11, 37, 26, 19, 44, 14, 23, 46, 39, 46, 24, 2, 28, 43, 40, 3, 2, 40, 14, 21, 48, 48, 32, 6, 23, 0, 5, 33, 11, 13, 8, 5, 41, 42, 33, 0, 12, 0, 17, 40, 49, 4, 9, 28, 5, 47, 25, 34, 43, 27, 26, 26, 26, 16, 20, 40, 37, 21, 39, 14, 8, 2, 43, 40, 2, 21, 49, 3, 20, 8, 32, 23, 37, 44, 26, 20, 35, 43, 13, 11, 33, 22, 18]
[13, 29, 32, 2, 37, 17, 43, 16, 0, 24, 19, 36, 20, 0, 30, 46, 17, 13, 39, 28, 28, 9, 26, 31, 41, 6, 36, 28, 0, 47, 28, 21, 17, 23, 47, 13, 17, 11, 0, 30, 3, 43, 27, 50, 48, 50, 14, 18, 24, 33, 5, 48, 41, 6, 25, 33, 10, 15, 37, 36, 27, 9, 1, 30, 12, 7, 28, 31, 48, 15, 4, 43, 34, 37, 2, 7, 4, 7, 19, 49, 44, 29, 43, 33, 44, 39, 4, 39, 8, 25, 1, 4, 34, 39, 48, 30, 6, 24, 11, 11, 37, 49, 3, 39, 41, 7, 44, 13, 14, 47, 2, 45, 18, 1, 40, 32, 43, 26, 43, 9, 20, 45, 34, 5, 12, 5, 47, 16, 32, 0, 20, 26, 26, 46, 20, 23, 32, 41, 25, 16, 22, 28, 1, 45, 21, 0, 24, 3, 19, 35, 7, 24, 0, 24, 3, 9, 50, 6, 29, 4, 9, 28, 42, 22]
[45, 28, 16, 36, 46, 49, 39, 9, 24, 0, 21, 35, 1, 26, 20, 19, 50, 46, 13, 42, 47, 38, 15, 28, 36, 29, 11, 3, 17, 8, 11, 15, 35, 45, 3, 44, 27, 49, 48, 47, 47, 24, 26, 26, 28, 29, 47, 50, 37, 16, 32, 17, 12, 14, 33, 19, 11, 26, 1, 19, 23, 29, 38, 17, 33, 43, 43, 6, 49, 21, 15, 3, 37, 41, 25, 14, 36, 13, 35, 32, 3, 35, 43, 10, 43, 7, 21, 2, 17, 2, 33, 5, 31, 34, 25, 43, 36, 38, 30, 14, 21, 38, 5, 30, 15, 34, 4, 24, 49, 16, 13, 47, 16, 45, 47, 26, 14, 32, 33, 16, 26, 14, 40, 37, 30, 8, 0, 30, 26, 23, 20, 30, 3, 17, 46, 38, 20, 48, 27, 9, 3, 7, 29, 10, 38, 24, 9, 8, 36, 5, 4, 21, 45, 7, 44, 2, 41, 14, 29, 28, 49, 24, 47, 38]
