N1,N2,...,Nx
[0, 29, 7, 21, 8, 24, 32, 14, 12, 1, 18, 12, 9, 16, 49, 11, 47, 23, 4, 9, 0, 15, 2, 36, 7, 12, 40, 14, 31, 47, 16, 18, 3, 46, 34, 41, 18, 40, 18, 20, 47, 19, 40, 27, 11, 15, 0, 22, 7, 30, 44, 50, 34, 45, 28, 7, 24, 10, 48, 9, 37, 44, 5, 14, 24, 30, 5, 4, 16, 33, 21, 16, 22, 36, 26, 10, 2, 24, 27, 4, 29, 22, 15, 16, 14, 50, 37, 18, 10, 27, 31, 22, 41, 32, 26, 46, 3, 9, 26, 34, 7, 6, 39, 45, 10, 3, 45, 4, 11, 2, 12, 15, 47, 14, 2, 50, 23, 7, 28, 45, 5, 32, 24, 45, 4, 49, 3, 48, 28, 26, 11, 35, 5, 25, 1, 19, 20, 34, 38, 10, 41, 50, 24, 37, 48, 24, 45, 4, 38, 21, 15, 22, 16, 30, 41, 13, 44, 49, 23, 27, 42, 33, 44, 42, 22, 10, 4, 26]
[29, 0, 20, 42, 20, 28, 47, 27, 1, 43, 10, 24, 3, 41, 8, 30, 9, 20, 43, 2, 46, 39, 7, 24, 24, 22, 1, 29, 50, 33, 48, 42, 22, 14, 41, 30, 34, 1, 50, 3, 26, 6, 32, 42, 17, 39, 23, 34, 40, 20, 18, 11, 12, 23, 1, 49, 6, 17, 10, 37, 32, 21, 40, 14, 20, 40, 22, 26, 0, 37, 26, 46, 40, 28, 13, 0, 37, 25, 30, 7, 30, 47, 23, 0, 0, 45, 26, 6, 46, 34, 7, 6, 2, 5, 20, 43, 33, 0, 35, 27, 4, 17, 50, 26, 12, 48, 24, 5, 17, 36, 34, 18, 0, 2, 45, 40, 12, 23, 45, 43, 7, 17, 40, 50, 20, 19, 24, 21, 21, 50, 5, 11, 18, 27, 2, 30, 40, 37, 40, 23, 31, 7, 10, 7, 47, 22, 6, 20, 37, 35, 16, 35, 37, 4, 37, 39, 22, 33, 0, 22, 11, 5, 32, 42, 8, 28, 48, 18]
[7, 20, 0, 1, 0, 19, 31, 3, 49, 18, 9, 16, 2, 46, 34, 41, 44, 50, 12, 49, 16, 33, 11, 5, 28, 22, 48, 2, 26, 40, 45, 18, 45, 42, 40, 44, 46, 33, 22, 50, 49, 4, 19, 36, 19, 29, 32, 33, 20, 50, 18, 7, 44, 31, 30, 24, 40, 32, 33, 41, 28, 17, 30, 22, 46, 32, 45, 9, 24, 41, 47, 25, 3, 29, 24, 33, 46, 24, 33, 26, 15, 47, 13, 22, 27, 44, 26, 31, 46, 47, 38, 41, 8, 50, 34, 15, 9, 48, 40, 38, 9, 10, 7, 27, 37, 9, 37, 29, 5, 9, 45, 22, 3, 9, 19, 4, 12, 16, 4, 37, 13, 32, 43, 2, 17, 22, 45, 31, 19, 42, 34, 18, 47, 39, 7, 8, 35, 2, 17, 4, 45, 4, 3, 0, 40, 25, 31, 2, 46, 26, 23, 4, 13, 36, 48, 11, 30, 36, 20, 15, 18, 30, 0, 47, 7, 4, 46, 0]
[21, 42, 1, 0, 35, 30, 33, 23, 27, 43, 3, 13, 15, 4, 31, 31, 14, 39, 50, 13, 24, 5, 11, 5, 49, 5, 29, 36, 19, 26, 20, 46, 45, 18, 47, 30, 9, 29, 26, 18, 23, 15, 43, 37, 18, 27, 45, 47, 36, 14, 2, 36, 40, 45, 15, 28, 28, 34, 43, 22, 29, 5, 10, 7, 30, 9, 8, 11, 20, 37, 9, 28, 28, 13, 30, 15, 10, 28, 12, 23, 44, 47, 20, 12, 49, 34, 44, 35, 45, 45, 12, 1, 30, 34, 26, 39, 23, 19, 17, 5, 37, 6, 47, 46, 18, 40, 2, 4, 42, 16, 23, 45, 23, 24, 43, 20, 47, 31, 41, 32, 8, 1, 23, 34, 6, 45, 32, 18, 48, 31, 42, 36, 8, 1, 22, 41, 41, 41, 10, 8, 39, 16, 47, 35, 17, 32, 42, 9, 38, 30, 20, 3, 44, 35, 17, 19, 5, 47, 26, 26, 32, 38, 0, 24, 7, 34, 32, 1]
[8, 20, 0, 35, 0, 32, 46, 6, 13, 37, 39, 17, 31, 16, 7, 2, 17, 19, 14, 48, 8, 38, 4, 43, 2, 20, 14, 41, 38, 15, 2, 48, 25, 44, 34, 18, 11, 27, 10, 27, 37, 14, 15, 22, 1, 42, 8, 24, 3, 39, 45, 2, 37, 15, 33, 47, 24, 30, 26, 30, 43, 41, 2, 25, 50, 23, 34, 24, 23, 15, 2, 8, 15, 42, 11, 2, 15, 30, 40, 5, 2, 42, 16, 6, 46, 4, 29, 47, 32, 34, 40, 28, 25, 41, 47, 49, 1, 16, 19, 49, 33, 13, 10, 37, 5, 5, 49, 16, 27, 14, 11, 18, 47, 49, 25, 13, 39, 50, 15, 39, 8, 49, 14, 8, 40, 34, 21, 8, 34, 34, 16, 19, 11, 32, 28, 41, 47, 28, 48, 13, 37, 30, 32, 46, 20, 16, 47, 49, 31, 11, 4, 18, 47, 43, 49, 21, 23, 8, 2, 44, 18, 13, 40, 21, 8, 49, 13, 9]
[24, 28, 19, 30, 32, 0, 45, 12, 37, 25, 44, 12, 24, 13, 13, 39, 50, 36, 40, 12, 35, 26, 0, 30, 29, 4, 24, 47, 38, 21, 18, 29, 25, 20, 9, 28, 18, 41, 41, 21, 31, 34, 1, 39, 24, 7, 2, 26, 43, 13, 1, 33, 36, 10, 0, 40, 20, 6, 21, 48, 14, 29, 10, 19, 16, 15, 42, 8, 31, 40, 47, 0, 1, 49, 33, 7, 35, 24, 4, 19, 37, 25, 46, 7, 3, 2, 31, 46, 15, 9, 2, 34, 21, 50, 47, 39, 41, 8, 4, 47, 12, 22, 18, 0, 34, 0, 6, 33, 47, 8, 0, 11, 43, 29, 42, 36, 28, 31, 27, 26, 25, 39, 24, 15, 20, 49, 48, 4, 32, 43, 40, 36, 7, 5, 25, 4, 47, 39, 15, 9, 23, 5, 3, 15, 34, 49, 16, 50, 4, 28, 19, 24, 23, 23, 17, 48, 41, 13, 45, 15, 25, 2, 37, 44, 50, 10, 46, 32]
[32, 47, 31, 33, 46, 45, 0, 3, 40, 0, 47, 0, 42, 23, 23, 29, 38, 15, 4, 29, 7, 41, 49, 20, 50, 3, 2, 34, 27, 24, 7, 20, 25, 1, 35, 29, 46, 7, 6, 6, 40, 12, 32, 37, 9, 45, 46, 19, 23, 21, 1, 37, 6, 11, 13, 25, 2, 48, 41, 48, 15, 40, 28, 24, 28, 42, 19, 14, 23, 22, 34, 1, 35, 17, 12, 26, 49, 47, 24, 34, 50, 25, 21, 33, 43, 42, 8, 15, 7, 27, 29, 32, 19, 3, 24, 6, 19, 2, 4, 40, 7, 47, 5, 1, 41, 14, 43, 2, 47, 41, 20, 2, 8, 15, 10, 15, 34, 9, 2, 38, 12, 0, 15, 39, 31, 2, 18, 11, 13, 8, 41, 30, 30, 10, 48, 20, 37, 28, 15, 29, 16, 13, 16, 47, 34, 44, 15, 30, 16, 25, 4, 49, 26, 14, 25, 4, 40, 27, 22, 26, 40, 36, 24, 48, 28, 13, 49, 3]
[14, 27, 3, 23, 6, 12, 3, 0, 14, 2, 29, 38, 19, 34, 27, 15, 32, 32, 49, 8, 23, 22, 26, 30, 21, 46, 36, 5, 18, 47, 24, 10, 44, 46, 33, 49, 7, 21, 39, 10, 38, 23, 8, 19, 23, 6, 36, 21, 35, 35, 36, 35, 20, 31, 44, 42, 46, 2, 29, 50, 32, 10, 47, 32, 36, 15, 34, 9, 43, 3, 31, 26, 29, 39, 40, 1, 14, 48, 16, 14, 4, 11, 18, 12, 26, 12, 44, 28, 22, 28, 50, 18, 26, 1, 11, 32, 7, 8, 35, 29, 50, 5, 10, 13, 6, 31, 33, 40, 15, 17, 14, 45, 32, 9, 32, 15, 1, 13, 19, 34, 19, 26, 41, 14, 17, 10, 5, 26, 46, 21, 20, 44, 44, 13, 15, 3, 15, 7, 4, 37, 33, 37, 8, 2, 43, 5, 43, 26, 31, 12, 2, 44, 3, 7, 10, 44, 30, 32, 1, 24, 1, 13, 16, 37, 32, 8, 16, 40]
[12, 1, 49, 27, 13, 37, 40, 14, 0, 41, 28, 46, 8, 29, 16, 42, 43, 46, 29, 46, 36, 6, 42, 41, 42, 46, 38, 15, 46, 4, 12, 29, 14, 44, 50, 1, 4, 16, 38, 40, 50, 50, 45, 8, 5, 8, 49, 43, 0, 1, 15, 22, 27, 48, 14, 8, 40, 6, 24, 4, 12, 32, 24, 4, 32, 22, 47, 48, 49, 25, 22, 20, 7, 20, 49, 15, 26, 12, 4, 10, 47, 38, 7, 22, 12, 26, 15, 10, 5, 42, 0, 28, 5, 20, 1, 47, 43, 50, 24, 34, 4, 20, 48, 36, 21, 18, 37, 35, 13, 19, 28, 22, 36, 44, 35, 21, 45, 14, 14, 18, 3, 13, 1, 37, 3, 6, 9, 19, 24, 4, 35, 10, 25, 35, 26, 9, 14, 36, 36, 8, 38, 24, 12, 28, 32, 28, 20, 0, 31, 2, 46, 25, 46, 13, 16, 34, 39, 23, 2, 46, 22, 7, 17, 32, 42, 18, 4, 5]
[1, 43, 18, 43, 37, 25, 0, 2, 41, 0, 44, 26, 1, 11, 14, 11, 1, 36, 34, 15, 8, 2, 34, 36, 35, 38, 37, 46, 36, 26, 24, 47, 22, 11, 48, 47, 50, 26, 3, 25, 44, 0, 49, 22, 30, 1, 40, 41, 50, 17, 48, 36, 25, 43, 9, 48, 34, 17, 16, 44, 10, 25, 36, 8, 17, 30, 32, 18, 40, 6, 40, 43, 10, 10, 28, 17, 31, 6, 33, 50, 35, 21, 38, 34, 15, 12, 5, 2, 40, 5, 31, 19, 6, 11, 44, 21, 28, 23, 41, 37, 13, 42, 5, 10, 46, 38, 33, 48, 5, 3, 17, 24, 12, 32, 45, 14, 0, 46, 17, 23, 43, 48, 42, 23, 47, 19, 33, 7, 2, 49, 38, 0, 19, 36, 4, 48, 39, 4, 20, 15, 42, 46, 42, 15, 3, 36, 26, 31, 42, 15, 38, 6, 11, 32, 12, 41, 29, 47, 12, 30, 17, 21, 15, 50, 43, 17, 1, 24]
